"title","mgg.type","type","star.type","city","state","description","publication","country","geocode.value","lon","lat","year"
"'Figure 8'","Cruising Areas",NA,NA,"Nashville","TN","6th to 8th, betw. Church & Commerce","Bob Damron's Address Book","United States","Nashville, TN, United States",-86.7816016,36.1626638,1981
"'First Beach'","Cruising Areas",NA,NA,"Newport","RI","in front of concession stands","Bob Damron's Address Book","United States","Newport, RI, United States",-71.3128285,41.4901024,1981
"'First Beach'","Cruising Areas",NA,NA,"Newport","RI","in front of concession stands","Bob Damron's Address Book","United States","Newport, RI, United States",-71.3128285,41.4901024,1983
"'Gay Loop'","Cruising Areas",NA,NA,"Des Moines","IA","betw. 4th & 5th Sts. (AH*)","Bob Damron's Address Book","United States","Des Moines, IA, United States",-93.6249522,41.5868417,1981
"'Gay Loop' Keo & Park","Cruising Areas",NA,NA,"Des Moines","IA","betw. 4th & 5th Sts. (AH*)","Bob Damron's Address Book","United States","Des Moines, IA, United States",-93.6249522,41.5868417,1983
"'Hippie Hollow'","Cruising Areas",NA,NA,"Austin","TX","'B.A.' beach in Lake Travis","Bob Damron's Address Book","United States","Austin, TX, United States",-97.7430608,30.267153,1981
"'Hippie Hollow'","Cruising Areas",NA,NA,"Austin","TX","'B.A.' beach in Lake Travis, off Hwy. 620","Bob Damron's Address Book","United States","Austin, TX, United States",-97.7430608,30.267153,1983
"'Hitch-Hikers'","Cruising Areas",NA,NA,"Denver","CO","carrying a newspaper rolled up","Bob Damron's Address Book","United States","Denver, CO, United States",-104.990251,39.7392358,1981
"'Hitch-Hikers'","Cruising Areas",NA,NA,"Denver","CO","","Bob Damron's Address Book","United States","Denver, CO, United States",-104.990251,39.7392358,1983
"'Hitch-hikers'","Cruising Areas",NA,NA,"Sioux Falls","SD","","Bob Damron's Address Book","United States","Sioux Falls, SD, United States",-96.731265,43.5460223,1981
"'Hitch-hikers'","Cruising Areas",NA,NA,"Washington","DC","","Bob Damron's Address Book","United States","Washington, DC, United States",-77.0368707,38.9071923,1983
"'Hitch-hikers'","Cruising Areas",NA,NA,"Tucson","AZ","E. Speedway","Bob Damron's Address Book","United States","Tucson, AZ, United States",-110.9741769,32.2539787,1983
"'Hitch-hikers'","Cruising Areas",NA,NA,"Phoenix","AZ","","Bob Damron's Address Book","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,1983
"'Hitch-hikers'","Cruising Areas",NA,NA,"El Paso","TX","","Bob Damron's Address Book","United States","El Paso, TX, United States",-106.4850217,31.7618778,1983
"'Hitch-hikers'","Cruising Areas",NA,NA,"Yuma","AZ","4th Ave. & Hwy. 8","Bob Damron's Address Book","United States","Yuma, AZ, United States",-114.6276916,32.6926512,1983
"'Hitch-hikers'","Cruising Areas",NA,NA,"Milwaukee","WI","N. Farwell & Prospect","Bob Damron's Address Book","United States","Milwaukee, WI, United States",-87.9064736,43.0389025,1983
"'Hitch-hikers'","Cruising Areas",NA,NA,"Phoenix","AZ","","Bob Damron's Address Book","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,1983
"'Hitch-hikers' 2nd & Roosevelt Sts.","Cruising Areas",NA,NA,"Phoenix","AZ","","Bob Damron's Address Book","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,1981
"'Hitch-hikers' on 4th Ave. & Hwy 8","Cruising Areas",NA,NA,"Yuma","AZ","","Bob Damron's Address Book","United States","Yuma, AZ, United States",-114.6276916,32.6926512,1981
"'Hitch-hikers' on E. Speedway","Cruising Areas",NA,NA,"Tucson","AZ","","Bob Damron's Address Book","United States","Tucson, AZ, United States",-110.9741769,32.2539787,1981
"'Holdings' Little America Lodge","Bars/Clubs",NA,NA,"Cheyenne","WY","(jet. of I-25 & I-80)","Bob Damron's Address Book","United States","Cheyenne, WY, United States",-104.8202462,41.1399814,1981
"'Homo Heights'","Cruising Areas",NA,NA,"Dallas","TX","","Bob Damron's Address Book","United States","Dallas, TX, United States",-96.7969879,32.7766642,1981
"'Homo Heights'","Cruising Areas",NA,NA,"Dallas","TX","Oaklawn & Lemmon","Bob Damron's Address Book","United States","Dallas, TX, United States",-96.7969879,32.7766642,1983
"'In the woods'","Cruising Areas",NA,NA,"Columbus","OH","","Bob Damron's Address Book","United States","Columbus, OH, United States",-82.9987942,39.9611755,1983
"'Info center 'Rest Stop' T-Room","Cruising Areas",NA,NA,"Texarkana","AR","","Bob Damron's Address Book","United States","Texarkana, AR, United States",-94.0361745,33.4304827,1981
"'K' Mart","Cruising Areas",NA,NA,"Sierra Vista","AZ","T-Room","Bob Damron's Address Book","United States","Sierra Vista, AZ, United States",-110.2772856,31.5455001,1983
"'K' St.","Cruising Areas",NA,NA,"Washington","DC","","Bob Damron's Address Book","United States","Washington, DC, United States",-77.0368707,38.9071923,1983
"'L' St. Beach","Cruising Areas",NA,NA,"Boston","MA","","Bob Damron's Address Book","United States","Boston, MA, United States",-71.0588801,42.3600825,1981
"'L' St. Beach","Cruising Areas",NA,NA,"Boston","MA","","Bob Damron's Address Book","United States","Boston, MA, United States",-71.0588801,42.3600825,1983
"'Milk Run'","Cruising Areas",NA,NA,"Omaha","NE","Howard & Jackson Sts., betw . 16th & 18th, in vicinity of Bus Depot (Nights)","Bob Damron's Address Book","United States","Omaha, NE, United States",-95.9345034,41.2565369,1983
"'P' St. Beach","Cruising Areas",NA,NA,"Washington","DC","(Georgetown)","Bob Damron's Address Book","United States","Washington, DC, United States",-77.0368707,38.9071923,1981
"'P' St. Beach","Cruising Areas",NA,NA,"Washington","DC","(Georgetown)","Bob Damron's Address Book","United States","Washington, DC, United States",-77.0368707,38.9071923,1983
"'Primrose Path'","Cruising Areas",NA,NA,"Columbia","SC","Senate St. & grounds adj. to the Capitol","Bob Damron's Address Book","United States","Columbia, SC, United States",-81.0348144,34.0007104,1981
"'Primrose Path'","Cruising Areas",NA,NA,"Columbia","SC","Senate St. & grounds adj. to the Capitol","Bob Damron's Address Book","United States","Columbia, SC, United States",-81.0348144,34.0007104,1983
"'Rest Stop '","Cruising Areas",NA,NA,"Hernando","MS","just N. o f town","Bob Damron's Address Book","United States","Hernando, MS, United States",-89.9937018,34.823987,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Baton Rouge","LA","","Bob Damron's Address Book","United States","Baton Rouge, LA, United States",-91.1871466,30.4514677,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Maple Hill","KS","","Bob Damron's Address Book","United States","Maple Hill, KS, United States",NA,NA,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Greenville","SC","betw. Greenville & Anderson Ga.","Bob Damron's Address Book","United States","Greenville, SC, United States",-82.3940104,34.8526176,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Easthampton","MA","","Bob Damron's Address Book","United States","Easthampton, MA, United States",-72.66898,42.266757,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Ruston","LA","","Bob Damron's Address Book","United States","Ruston, LA, United States",-92.637927,32.5232053,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Ft. Worth","TX","","Bob Damron's Address Book","United States","Ft. Worth, TX, United States",-97.3307658,32.7554883,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Mansfield","OH","","Bob Damron's Address Book","United States","Mansfield, OH, United States",-82.5154471,40.75839,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Cedar Rapids","IA","on old Hwy. 218 betw. Cedar Rapids & Iowa City (Summers only)","Bob Damron's Address Book","United States","Cedar Rapids, IA, United States",-91.6656232,41.9778795,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Muncie","IN","10 mi. S., just off Ind. 3","Bob Damron's Address Book","United States","Muncie, IN, United States",-85.3863599,40.1933767,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Batesville","MS","(Both sides)","Bob Damron's Address Book","United States","Batesville, MS, United States",-89.9442567,34.3114982,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Morton","MS","","Bob Damron's Address Book","United States","Morton, MS, United States",-89.6545171,32.3537557,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Brunswick","ME","betw. Bath & Brunswick (S.)","Bob Damron's Address Book","United States","Brunswick, ME, United States",-69.9669961,43.9140162,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Belleville","MI","","Bob Damron's Address Book","United States","Belleville, MI, United States",-83.4852133,42.2047619,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Marshfield-Pembroke","MA","","Bob Damron's Address Book","United States","Marshfield-Pembroke, MA, United States",-70.8092,42.0714925,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Akron","OH","10 mi. W.  (The Playhouse')","Bob Damron's Address Book","United States","Akron, OH, United States",-81.5188377,41.081199,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Appleton","WI","betw. Appleton & Green Bay","Bob Damron's Address Book","United States","Appleton, WI, United States",-88.4153847,44.2619309,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Dayton","OH","","Bob Damron's Address Book","United States","Dayton, OH, United States",-84.1916069,39.7589478,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Wilkes-Barre","PA","12 mi. S.","Bob Damron's Address Book","United States","Wilkes-Barre, PA, United States",-75.8813075,41.2459149,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Medford","OR","5 mi. S. (Late nights)","Bob Damron's Address Book","United States","Medford, OR, United States",-122.8755949,42.3265152,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Tempe","AZ","","Bob Damron's Address Book","United States","Tempe, AZ, United States",-111.9400054,33.4255104,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Augusta","KS","7 mi. E. (Watchout for Highway Patrol)","Bob Damron's Address Book","United States","Augusta, KS, United States",-96.9767023,37.6866844,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Rutland","VT","","Bob Damron's Address Book","United States","Rutland, VT, United States",-72.9726065,43.6106237,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Longview","TX","","Bob Damron's Address Book","United States","Longview, TX, United States",-94.7404891,32.5007037,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Orange","CT","Wilbur Cross Pkwy- E.","Bob Damron's Address Book","United States","Orange, CT, United States",-73.0265277,41.278637,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Oklahoma City","OK","just N. of I-35 (Both sides)","Bob Damron's Address Book","United States","Oklahoma City, OK, United States",-97.5164276,35.4675602,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Chambersburg","PA","Southbound","Bob Damron's Address Book","United States","Chambersburg, PA, United States",-77.6611022,39.9375911,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Walton","KS","","Bob Damron's Address Book","United States","Walton, KS, United States",-97.2567001,38.1177891,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Blairsville","PA","and adj. woods - 1 mi. E. of Rte. 119","Bob Damron's Address Book","United States","Blairsville, PA, United States",-79.260869,40.4311796,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Olathe","KS","4 mi. W.","Bob Damron's Address Book","United States","Olathe, KS, United States",-94.8191285,38.8813958,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Weymouth","MA","","Bob Damron's Address Book","United States","Weymouth, MA, United States",-70.9410356,42.2180724,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Canton","OH","just N. of N. Canton","Bob Damron's Address Book","United States","Canton, OH, United States",-81.378447,40.7989473,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Wakarusa","KS","","Bob Damron's Address Book","United States","Wakarusa, KS, United States",-95.6960344,38.8856935,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Saginaw","MI","betw. Bay City and Saginaw","Bob Damron's Address Book","United States","Saginaw, MI, United States",-83.9508068,43.4194699,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Owens","OH","just N. of 203","Bob Damron's Address Book","United States","Owens, OH, United States",-83.1579694,40.520337,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Pontiac","MI","","Bob Damron's Address Book","United States","Pontiac, MI, United States",-83.2910468,42.6389216,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Hattiesburg","MS","","Bob Damron's Address Book","United States","Hattiesburg, MS, United States",-89.2903392,31.3271189,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Shreveport","LA","in Minden","Bob Damron's Address Book","United States","Shreveport, LA, United States",-93.7501789,32.5251516,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Houston","TX","","Bob Damron's Address Book","United States","Houston, TX, United States",-95.3698028,29.7604267,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Wilkes-Barre","PA","6 mi. S.","Bob Damron's Address Book","United States","Wilkes-Barre, PA, United States",-75.8813075,41.2459149,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Attleboro","MA","at N. Attleboro","Bob Damron's Address Book","United States","Attleboro, MA, United States",-71.2856082,41.9445441,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Lordsburg","NM","","Bob Damron's Address Book","United States","Lordsburg, NM, United States",-108.7086649,32.3503605,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Big Rapids","MI","8 mi. N.","Bob Damron's Address Book","United States","Big Rapids, MI, United States",-85.4836557,43.6980782,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Bangor","ME","Southbound at Herman & Northbound at Carmel","Bob Damron's Address Book","United States","Bangor, ME, United States",-68.7712257,44.8016128,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Junction City","KS","2 mi. W. of town","Bob Damron's Address Book","United States","Junction City, KS, United States",-96.8313978,39.0286093,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Springfield","MA","betw. Northampton & Holyoke (Mass arrests)","Bob Damron's Address Book","United States","Springfield, MA, United States",-72.589811,42.1014831,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Everett","WA","7 mi. S.","Bob Damron's Address Book","United States","Everett, WA, United States",-122.2020794,47.9789848,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Manhattan","KS","10 mi. E. of Junction City","Bob Damron's Address Book","United States","Manhattan, KS, United States",-96.5716694,39.1836082,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Attleboro","MA","at Attleboro","Bob Damron's Address Book","United States","Attleboro, MA, United States",-71.2856082,41.9445441,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Ogunquit","ME","","Bob Damron's Address Book","United States","Ogunquit, ME, United States",-70.5986223,43.2468352,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Worcester","MA","T-Room nr. Sterling Jet","Bob Damron's Address Book","United States","Worcester, MA, United States",-71.8022934,42.2625932,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Green Bay","WI","Wise. 141 - eastside nr. city limits","Bob Damron's Address Book","United States","Green Bay, WI, United States",-88.0132958,44.5133188,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Cleveland","OH","25 mi. E.","Bob Damron's Address Book","United States","Cleveland, OH, United States",-81.6943605,41.49932,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Richfield","OH","just S. of 271","Bob Damron's Address Book","United States","Richfield, OH, United States",-81.6381785,41.2397772,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Nacogdoches","TX","10 mi. S.","Bob Damron's Address Book","United States","Nacogdoches, TX, United States",-94.656004,31.6039455,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Cleveland","OH","20 mi. S.","Bob Damron's Address Book","United States","Cleveland, OH, United States",-81.6943605,41.49932,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Augusta","ME","at Sidney (Southbound) & Augusta (Northbound) - also woods in back","Bob Damron's Address Book","United States","Augusta, ME, United States",-69.7794897,44.3106241,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Dover","NJ","","Bob Damron's Address Book","United States","Dover, NJ, United States",NA,NA,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Grants Pass","OR","3 mi. N. (Both sides)","Bob Damron's Address Book","United States","Grants Pass, OR, United States",-123.3283925,42.4390069,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Sharon","PA","(AYOR - Fuzz)","Bob Damron's Address Book","United States","Sharon, PA, United States",-80.4934035,41.2331116,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Forest","MS","","Bob Damron's Address Book","United States","Forest, MS, United States",-89.4742348,32.3645888,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Beaver Dam","WI","3 mi. S.","Bob Damron's Address Book","United States","Beaver Dam, WI, United States",-88.837329,43.4577692,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Arcadia","LA","","Bob Damron's Address Book","United States","Arcadia, LA, United States",-92.920158,32.5490406,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Seekonk","MA","E & W","Bob Damron's Address Book","United States","Seekonk, MA, United States",-71.3369972,41.808434,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Columbia","SC","","Bob Damron's Address Book","United States","Columbia, SC, United States",-81.0348144,34.0007104,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Andover","MA","nr. jet. 28","Bob Damron's Address Book","United States","Andover, MA, United States",-71.1367953,42.6583356,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Greencastle","PA","","Bob Damron's Address Book","United States","Greencastle, PA, United States",-77.7277714,39.790371,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Houston","TX","15 E.","Bob Damron's Address Book","United States","Houston, TX, United States",-95.3698028,29.7604267,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Green Bay","WI","US 41 - S. of DePere (AYOR - many arrests)","Bob Damron's Address Book","United States","Green Bay, WI, United States",-88.0132958,44.5133188,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Ogunquit","ME","","Bob Damron's Address Book","United States","Ogunquit, ME, United States",-70.5986223,43.2468352,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Wooster","OH","","Bob Damron's Address Book","United States","Wooster, OH, United States",-81.9399145,40.798237,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Freeport","ME","(Summers)","Bob Damron's Address Book","United States","Freeport, ME, United States",NA,NA,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Bangor","ME","Northbound at Carmel","Bob Damron's Address Book","United States","Bangor, ME, United States",-68.7712257,44.8016128,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Great Bend","KS","1 mi. E.","Bob Damron's Address Book","United States","Great Bend, KS, United States",-98.7648073,38.3644567,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Burtonsville","MD","& woods behind (Known locally as 'Ruth Ann's')","Bob Damron's Address Book","United States","Burtonsville, MD, United States",-76.9324752,39.1112193,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Chattanooga","TN","betw. Chattanooga & Cleveland","Bob Damron's Address Book","United States","Chattanooga, TN, United States",-85.3093995,35.0457984,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Ann Arbor","MI","at 31 mile marker","Bob Damron's Address Book","United States","Ann Arbor, MI, United States",-83.7430378,42.2808256,1981
"'Rest Stop'","",NA,NA,"Lyons","KS","3 mi. W.","Bob Damron's Address Book","United States","Lyons, KS, United States",-98.2017268,38.3450104,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Kansas City","MO","Jet. K.C. & Columbia","Bob Damron's Address Book","United States","Kansas City, MO, United States",-94.5785667,39.0997265,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Knightstown","IN","3 mi. N.E.","Bob Damron's Address Book","United States","Knightstown, IN, United States",-85.5263629,39.7956007,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Flint","MI","Both N. & S.","Bob Damron's Address Book","United States","Flint, MI, United States",-83.6874562,43.0125274,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Provo","UT","8 mi. N.","Bob Damron's Address Book","United States","Provo, UT, United States",-111.6585337,40.2338438,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Kalamazoo","MI","8 mi. from town on (Sure suicide - massive arrests) hidden cameras!","Bob Damron's Address Book","United States","Kalamazoo, MI, United States",-85.5872286,42.2917069,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Kenosha","WI","4 mi. W.","Bob Damron's Address Book","United States","Kenosha, WI, United States",-87.8211854,42.5847425,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Mount Vernon","TX","3 mi. W.","Bob Damron's Address Book","United States","Mount Vernon, TX, United States",NA,NA,1981
"'Rest Stop'","Cruising Areas",NA,NA,"Weymouth","MA","","Bob Damron's Address Book","United States","Weymouth, MA, United States",-70.9410356,42.2180724,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Forest","MS","","Bob Damron's Address Book","United States","Forest, MS, United States",-89.4742348,32.3645888,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Clifton","NJ","(Eastbound) 1/2 mi. E. of Garden St. Pkwy.","Bob Damron's Address Book","United States","Clifton, NJ, United States",-74.1637553,40.8584328,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Pittsburgh","PA","at Bridgeville","Bob Damron's Address Book","United States","Pittsburgh, PA, United States",-79.9958864,40.4406248,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Lyons","KS","3 mi. W.","Bob Damron's Address Book","United States","Lyons, KS, United States",-98.2017268,38.3450104,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Baton Rouge","LA","","Bob Damron's Address Book","United States","Baton Rouge, LA, United States",-91.1871466,30.4514677,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Manhattan","KS","10 mi. E. of Junction City","Bob Damron's Address Book","United States","Manhattan, KS, United States",-96.5716694,39.1836082,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Tacoma","WA","at Federal Way","Bob Damron's Address Book","United States","Tacoma, WA, United States",-122.4442906,47.2528768,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Shreveport","LA","in Minden","Bob Damron's Address Book","United States","Shreveport, LA, United States",-93.7501789,32.5251516,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Knightstown","IN","3 mi. N.E.","Bob Damron's Address Book","United States","Knightstown, IN, United States",-85.5263629,39.7956007,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Bay City","MI","in Vet Park - 3 mi. S.","Bob Damron's Address Book","United States","Bay City, MI, United States",-83.8888647,43.5944677,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Belleville","MI","Westbound","Bob Damron's Address Book","United States","Belleville, MI, United States",-83.4852133,42.2047619,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Covington","KY","","Bob Damron's Address Book","United States","Covington, KY, United States",-84.5085536,39.0836712,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Big Rapids","MI","8 mi. N .","Bob Damron's Address Book","United States","Big Rapids, MI, United States",-85.4836557,43.6980782,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Lansing","MI","2 mi. S. of I96 (Northbound)","Bob Damron's Address Book","United States","Lansing, MI, United States",-84.5555347,42.732535,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Liberty","ME","","Bob Damron's Address Book","United States","Liberty, ME, United States",-69.3026507,44.3893688,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Bangor","ME","Northbound at Carmel","Bob Damron's Address Book","United States","Bangor, ME, United States",-68.7712257,44.8016128,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Burtonsville","MD","& woods behind (Known locally as 'Ruth Ann's')","Bob Damron's Address Book","United States","Burtonsville, MD, United States",-76.9324752,39.1112193,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Gaffney","SC","","Bob Damron's Address Book","United States","Gaffney, SC, United States",-81.6498195,35.0717945,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Saint Marys","OH","","Bob Damron's Address Book","United States","Saint Marys, OH, United States",-84.3893961,40.5422697,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Farmersbury","IN","10 mi. S.","Bob Damron's Address Book","United States","Farmersbury, IN, United States",-87.3819634,39.2486513,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Pittsburgh","PA","","Bob Damron's Address Book","United States","Pittsburgh, PA, United States",-79.9958864,40.4406248,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Ann Arbor","MI","just S. of 1-94","Bob Damron's Address Book","United States","Ann Arbor, MI, United States",-83.7430378,42.2808256,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Great Bend","KS","1 mi. E.","Bob Damron's Address Book","United States","Great Bend, KS, United States",-98.7648073,38.3644567,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Cleveland","OH","20 mi. S. (WE)","Bob Damron's Address Book","United States","Cleveland, OH, United States",-81.6943605,41.49932,1983
"'Rest Stop'","Cruising Areas",NA,NA,"Lansing","MI","1 mi. N.","Bob Damron's Address Book","United States","Lansing, MI, United States",-84.5555347,42.732535,1983
