"geocode.value","lon","lat","geoAddress"
"Nevada City, CA, United States",-121.0160594,39.2615606,"nevada city, ca 95959, usa"
"Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa"
"Oakland, CA, United States",-122.2711639,37.8043514,"oakland, ca, usa"
"Pomona, CA, United States",-117.7499909,34.055103,"pomona, ca, usa"
"Riverside, CA, United States",-117.3754942,33.9806005,"riverside, ca, usa"
"Eureka, CA, United States",-124.1636729,40.8020712,"eureka, ca, usa"
"Little River, CA, United States",-123.7899217,39.2717465,"little river, ca, usa"
"Culver City, CA, United States",-118.3964665,34.0211224,"culver city, ca, usa"
"Modesto, CA, United States",-120.9970014,37.6392595,"modesto, ca, usa"
"Redondo Beach, CA, United States",-118.3884078,33.8491816,"redondo beach, ca, usa"
"Forestville, CA, United States",-122.8902721,38.4735237,"forestville, ca 95436, usa"
"El Sobrante, CA, United States",-122.2952474,37.9771452,"el sobrante, ca, usa"
"Gardena, CA, United States",-118.3089624,33.8883487,"gardena, ca, usa"
"Monterey, CA, United States",-121.8946761,36.6002378,"monterey, ca, usa"
"Redwood City, CA, United States",-122.228141,37.4847955,"redwood city, ca, usa"
"Monte Rio, CA, United States",-123.0088886,38.4654695,"monte rio, ca, usa"
"Redding, CA, United States",-122.3916754,40.5865396,"redding, ca, usa"
", CA, United States",-119.4179324,36.778261,"california, usa"
"Mendocino, CA, United States",-123.7994591,39.3076744,"mendocino, ca, usa"
"Guerneville, CA, United States",-122.9961102,38.5018575,"guerneville, ca 95446, usa"
"Larkspur, CA, United States",-122.5352539,37.9340915,"larkspur, ca, usa"
"Napa, CA, United States",-122.286865,38.2975381,"napa, ca, usa"
"Cupertino, CA, United States",-122.0321823,37.3229978,"cupertino, ca, usa"
"Sherman Oaks, CA, United States",-118.4486989,34.1509272,"sherman oaks, los angeles, ca, usa"
"Mountain View, CA, United States",-122.0838511,37.3860517,"mountain view, ca, usa"
"Newport Beach, CA, United States",-117.9298493,33.6188829,"newport beach, ca, usa"
"San Bernardino, CA, United States",-117.2897652,34.1083449,"san bernardino, ca, usa"
"San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa"
"San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa"
"San Luis Obispo, CA, United States",-120.6596156,35.2827524,"san luis obispo, ca, usa"
"San Mateo, CA, United States",-122.3255254,37.5629917,"san mateo, ca, usa"
"San Rafael, CA, United States",-122.5310874,37.9735346,"san rafael, ca, usa"
"Santa Barbara, CA, United States",-119.6981901,34.4208305,"santa barbara, ca, usa"
"Santa Ana, CA, United States",-117.867653,33.7454725,"santa ana, ca, usa"
"Santa Clara, CA, United States",-121.9552356,37.3541079,"santa clara, ca, usa"
"Santa Cruz, CA, United States",-122.0307963,36.9741171,"santa cruz, ca, usa"
"Santa Rosa, CA, United States",-122.7140548,38.440429,"santa rosa, ca, usa"
"Sonora, CA, United States",-120.3821724,37.9829496,"sonora, ca 95370, usa"
"Stanford, CA, United States",-122.1660756,37.424106,"stanford, ca, usa"
"Stockton, CA, United States",-121.2907796,37.9577016,"stockton, ca, usa"
"Sunnyvale, CA, United States",-122.0363496,37.36883,"sunnyvale, ca, usa"
"Vallejo, CA, United States",-122.2566367,38.1040864,"vallejo, ca, usa"
"Walnut Creek, CA, United States",-122.0651819,37.9100783,"walnut creek, ca, usa"
"Willits, CA, United States",-123.3555656,39.4096079,"willits, ca 95490, usa"
"Statewide, CO, United States",-105.7820674,39.5500507,"colorado, usa"
"Boulder, CO, United States",-105.2705456,40.0149856,"boulder, co, usa"
"Colorado Springs, CO, United States",-104.8213634,38.8338816,"colorado springs, co, usa"
"Denver, CO, United States",-104.990251,39.7392358,"denver, co, usa"
"Fort Collins, CO, United States",-105.084423,40.5852602,"fort collins, co, usa"
"Branford, CT, United States",-72.8141185,41.2799027,"branford, ct, usa"
"Greenwich, CT, United States",-73.6281964,41.0262417,"greenwich, ct, usa"
"Hartford, CT, United States",-72.6733723,41.7658043,"hartford, ct, usa"
"New Haven, CT, United States",-72.9278835,41.308274,"new haven, ct, usa"
"New London, CT, United States",-72.0995209,41.3556539,"new london, ct, usa"
"New Milford, CT, United States",-73.4085463,41.5770433,"new milford, ct, usa"
"Waterbury, CT, United States",-73.0514965,41.5581525,"waterbury, ct, usa"
"Westport, CT, United States",-73.3579049,41.1414717,"westport, ct, usa"
"Bethany Beach, DE, United States",-75.0551806,38.5395564,"bethany beach, de, usa"
"Dewey Beach, DE, United States",-75.0746249,38.6928899,"dewey beach, de 19971, usa"
"Greenville, DE, United States",-75.5982599,39.7790012,"greenville, de 19807, usa"
"Newark, DE, United States",-75.7496572,39.6837226,"newark, de, usa"
"Wilmington, DE, United States",-75.5483909,39.744655,"wilmington, de, usa"
"Washington, DC, United States",-77.0368707,38.9071923,"washington, dc, usa"
"Opa-Locka, FL, United States",-80.2503271,25.9023168,"opa-locka, fl, usa"
"Miami, FL, United States",-80.1917902,25.7616798,"miami, fl, usa"
"Hollywood, FL, United States",-80.1494901,26.0112014,"hollywood, fl, usa"
"Clearwater, FL, United States",-82.7958948,27.9655722,"clearwater, fl, usa"
"Coca, FL, United States",-80.7419984,28.3861159,"cocoa, fl, usa"
"Dania, FL, United States",-80.1439343,26.052311,"dania beach, fl, usa"
"Daytona Beach, FL, United States",-81.0228331,29.2108147,"daytona beach, fl, usa"
"Gainesville, FL, United States",-82.324998,29.6519563,"gainesville, fl, usa"
"Fort Lauderdale, FL, United States",-80.1373174,26.1224386,"fort lauderdale, fl, usa"
"Fort Myers, FL, United States",-81.8723084,26.640628,"fort myers, fl, usa"
"Fort Myers Beach, FL, United States",-81.948145,26.4520248,"fort myers beach, fl 33931, usa"
"Fort Walton Beach, FL, United States",-86.6170308,30.4200708,"fort walton beach, fl, usa"
"Hallendale, FL, United States",-80.148379,25.9812024,"hallandale beach, fl 33009, usa"
"Hialeah, FL, United States",-80.2781057,25.8575963,"hialeah, fl, usa"
"Jacksonville, FL, United States",-81.655651,30.3321838,"jacksonville, fl, usa"
"Jacksonville Beach, FL, United States",-81.3961338,30.2841224,"jacksonville beach, fl, usa"
"Key West, FL, United States",-81.7799871,24.5550593,"key west, fl 33040, usa"
"Lakeland, FL, United States",-81.9498042,28.0394654,"lakeland, fl, usa"
"Lake Worth, FL, United States",-80.0684479,26.6167555,"lake worth beach, fl, usa"
"Medeira Beach, FL, United States",-82.7973247,27.7980814,"madeira beach, fl, usa"
"Miami Beach, FL, United States",-80.1300455,25.790654,"miami beach, fl, usa"
"Neptune Beach, FL, United States",-81.3964734,30.311908,"neptune beach, fl, usa"
"Orlando, FL, United States",-81.3789269,28.5383832,"orlando, fl, usa"
"Panama City, FL, United States",-85.6602058,30.1588129,"panama city, fl, usa"
"Pensacola, FL, United States",-87.2169149,30.421309,"pensacola, fl, usa"
"Pompano Beach, FL, United States",-80.1247667,26.2378597,"pompano beach, fl, usa"
"Punta Gorda, FL, United States",-82.0453664,26.9297836,"punta gorda, fl, usa"
"Sarasota, FL, United States",-82.5310117,27.336465,"sarasota, fl, usa"
"St. Augustine, FL, United States",-81.3139313,29.8921835,"st. augustine, fl, usa"
"St. Petersburg, FL, United States",-82.6384451,27.7671271,"st. petersburg, fl, usa"
"Tallahassee, FL, United States",-84.2806235,30.4381828,"tallahassee, fl, usa"
"Tampa, FL, United States",-82.4587527,27.9516896,"tampa, fl, usa"
"West Palm Beach, FL, United States",-80.0533746,26.7153424,"west palm beach, fl, usa"
"Winter Park, FL, United States",-81.3392352,28.5999998,"winter park, fl, usa"
"Ybor City, FL, United States",-82.4223063,27.9703121,"ybor city, tampa, fl, usa"
"Athens, GA, United States",-83.357567,33.9519347,"athens, ga, usa"
"Atlanta, GA, United States",-84.3876845,33.748752,"atlanta, ga, usa"
"Macon, GA, United States",-83.6324022,32.8406946,"macon, ga, usa"
"Honolulu, HI, United States",-157.8581401,21.3098845,"honolulu, hi, usa"
"Boise, ID, United States",-116.2023137,43.6150186,"boise, id, usa"
"Pocatello, ID, United States",-112.4506191,42.8621042,"pocatello, id, usa"
"Antioch, IL, United States",-88.0956396,42.4772418,"antioch, il 60002, usa"
"Aurora, IL, United States",-88.3200715,41.7605849,"aurora, il, usa"
"Calumet City, IL, United States",-87.5294871,41.6155909,"calumet city, il, usa"
"Carbondale, IL, United States",-89.2167501,37.7272727,"carbondale, il, usa"
"Champaign, IL, United States",-88.2433829,40.1164204,"champaign, il, usa"
"Chicago, IL, United States",-87.6297982,41.8781136,"chicago, il, usa"
"Dekalb, IL, United States",-88.7499128,41.9295355,"dekalb, il, usa"
"East St. Louis, IL, United States",-90.1506465,38.624514,"east st louis, il, usa"
"Evanston, IL, United States",-87.6876969,42.0450722,"evanston, il, usa"
"Evansville, IL, United States",-89.9384406,38.0903289,"evansville, il 62242, usa"
"Forest Park, IL, United States",-87.81367,41.8794758,"forest park, il, usa"
"Joliet, IL, United States",-88.0817251,41.525031,"joliet, il, usa"
"Oak Park, IL, United States",-87.7845025,41.8850317,"oak park, il, usa"
"Peoria, IL, United States",-89.5889864,40.6936488,"peoria, il, usa"
"Quincy, IL, United States",-91.4098726,39.9356016,"quincy, il, usa"
"Rockford, IL, United States",-89.0939952,42.2711311,"rockford, il, usa"
"Rock Island, IL, United States",-90.5787476,41.5094771,"rock island, il, usa"
"Springfield, IL, United States",-89.6501481,39.7817213,"springfield, il, usa"
"Streamwood, IL, United States",-88.1784085,42.0255827,"streamwood, il, usa"
"Indianapolis, IN, United States",-86.158018,39.76909,"indianapolis, in, usa"
"Bloomington, IN, United States",-86.5263857,39.165325,"bloomington, in, usa"
"Fort Wayne, IN, United States",-85.1393513,41.079273,"fort wayne, in, usa"
"Muncie, IN, United States",-85.3863599,40.1933767,"muncie, in, usa"
"South Bend, IN, United States",-86.2519898,41.6763545,"south bend, in, usa"
"Terre Haute, IN, United States",-87.4139092,39.4667034,"terre haute, in, usa"
"Cedar Rapids, IA, United States",-91.6656232,41.9778795,"cedar rapids, ia, usa"
"Des Moines, IA, United States",-93.6249522,41.5868417,"des moines, ia, usa"
"Iowa City, IA, United States",-91.5346169,41.6578257,"iowa city, ia, usa"
"Sioux City, IA, United States",-96.4049408,42.4963416,"sioux city, ia, usa"
"Waterloo, IA, United States",-92.3425775,42.492786,"waterloo, ia, usa"
"Harper, KS, United States",-98.0258945,37.2866863,"harper, ks 67058, usa"
"Hutchinson, KS, United States",-97.9297743,38.0608445,"hutchinson, ks, usa"
"Topeka, KS, United States",-95.6751576,39.0473451,"topeka, ks, usa"
"Kansas City, KS, United States",-94.6267873,39.1155314,"kansas city, ks, usa"
"Wichita, KS, United States",-97.330053,37.6871761,"wichita, ks, usa"
"Covington, KY, United States",-84.5085536,39.0836712,"covington, ky, usa"
"Lexington, KY, United States",-84.5037164,38.0405837,"lexington, ky, usa"
"Louisville, KY, United States",-85.7584557,38.2526647,"louisville, ky, usa"
"Paducah, KY, United States",-88.6000478,37.0833893,"paducah, ky, usa"
"New Orleans, LA, United States",-90.0715323,29.9510658,"new orleans, la, usa"
"Alexandria, LA, United States",-92.4451371,31.3112936,"alexandria, la, usa"
"Baton Rouge, LA, United States",-91.1871466,30.4514677,"baton rouge, la, usa"
"Houma, LA, United States",-90.7195348,29.5957696,"houma, la, usa"
"Lafayette, LA, United States",-92.0198427,30.2240897,"lafayette, la, usa"
"Monroe, LA, United States",-92.1193012,32.5093109,"monroe, la, usa"
"Shreveport, LA, United States",-93.7501789,32.5251516,"shreveport, la, usa"
", ME, United States",-69.4454689,45.253783,"maine, usa"
"Belfast, ME, United States",-69.0064234,44.4259092,"belfast, me 04915, usa"
"Portland, ME, United States",-70.2568189,43.6590993,"portland, me, usa"
"Portsmouth, ME, United States",-70.78821,43.0417715,"united states"
"Augusta, ME, United States",-69.7794897,44.3106241,"augusta, me 04330, usa"
"Bangor, ME, United States",-68.7712257,44.8016128,"bangor, me 04401, usa"
"Bar Harbor, ME, United States",-68.2039123,44.3876119,"bar harbor, me, usa"
"Bath, ME, United States",-69.8206023,43.9106353,"bath, me 04530, usa"
"Lewiston, ME, United States",-70.2147764,44.100351,"lewiston, me, usa"
"Magset, ME, United States",-69.4454689,45.253783,"maine, usa"
"Ogunquit, ME, United States",-70.5986223,43.2468352,"ogunquit, me, usa"
"Orono, ME, United States",-68.6719411,44.8831125,"orono, me, usa"
"Baltimore, MD, United States",-76.6121893,39.2903848,"baltimore, md, usa"
"Columbia, MD, United States",-76.8610462,39.2037144,"columbia, md, usa"
"Gaithersburg, MD, United States",-77.2016062,39.1439689,"gaithersburg, md, usa"
"Hagerstown, MD, United States",-77.7199932,39.6417629,"hagerstown, md, usa"
"Oxon Hill, MD, United States",-76.9897278,38.8033178,"oxon hill, md, usa"
"Boston, MA, United States",-71.0588801,42.3600825,"boston, ma, usa"
"Allston, MA, United States",-71.1328247,42.3555087,"allston, boston, ma, usa"
"Amherst, MA, United States",-72.5198537,42.3732216,"amherst, ma, usa"
"Cambridge, MA, United States",-71.1097335,42.3736158,"cambridge, ma, usa"
"Chicopee, MA, United States",-72.6078672,42.1487043,"chicopee, ma, usa"
"Greenfield, MA, United States",-72.5994104,42.587915,"greenfield, ma 01301, usa"
"Hyannis, MA, United States",-70.2881124,41.6524911,"hyannis, barnstable, ma 02601, usa"
"Lancaster, MA, United States",-71.6731242,42.4556452,"lancaster, ma, usa"
"Lowell, MA, United States",-71.3161718,42.6334247,"lowell, ma, usa"
"Lynn, MA, United States",-70.9494938,42.466763,"lynn, ma, usa"
"Martha's Vineyard Island, MA, United States",-70.645473,41.3804981,"martha's vineyard, massachusetts, usa"
"Northampton, MA, United States",-72.6412013,42.3250896,"northampton, ma, usa"
"Plymouth, MA, United States",-70.6672621,41.9584457,"plymouth, ma, usa"
"Provincetown, MA, United States",-70.1846012,42.0547136,"provincetown, ma, usa"
"Randolph, MA, United States",-71.042551,42.1619739,"randolph, ma 02368, usa"
"Salem, MA, United States",-70.8954626,42.5197473,"salem, ma, usa"
"Somerville, MA, United States",-71.0994968,42.3875968,"somerville, ma, usa"
"Springfield, MA, United States",-72.589811,42.1014831,"springfield, ma, usa"
"Tyngsboro, MA, United States",-71.4244224,42.6766696,"tyngsborough, ma, usa"
"Ann Arbor, MI, United States",-83.7430378,42.2808256,"ann arbor, mi, usa"
"Detroit, MI, United States",-83.0457538,42.331427,"detroit, mi, usa"
"Flint, MI, United States",-83.6874562,43.0125274,"flint, mi, usa"
"Grand Rapids, MI, United States",-85.6680863,42.9633599,"grand rapids, mi, usa"
"Harmonie Park, MI, United States",-86.1853474,42.8101729,"park township, mi, usa"
"Lansing, MI, United States",-84.5555347,42.732535,"lansing, mi, usa"
"Kalamazoo, MI, United States",-85.5872286,42.2917069,"kalamazoo, mi, usa"
"Mt. Clemens, MI, United States",-82.8779754,42.5972563,"mt clemens, mi, usa"
"Muskegon, MI, United States",-86.2483921,43.2341813,"muskegon, mi, usa"
"Plainwell, MI, United States",-85.6489035,42.4400357,"plainwell, mi 49080, usa"
"Pontiac, MI, United States",-83.2910468,42.6389216,"pontiac, mi, usa"
"Port Huron, MI, United States",-82.4249142,42.9708634,"port huron, mi, usa"
"Saginaw, MI, United States",-83.9508068,43.4194699,"saginaw, mi, usa"
"Saugatuck, MI, United States",-86.2019825,42.6550248,"saugatuck, mi 49453, usa"
"South Haven, MI, United States",-86.2736407,42.4030865,"south haven, mi 49090, usa"
"Traverse City, MI, United States",-85.6206317,44.7630567,"traverse city, mi, usa"
"Salute Ste. Marie, MI, United States",-84.3475876,46.4977115,"sault ste. marie, mi 49783, usa"
"Wyanotte, MI, United States",-83.1499239,42.2142064,"wyandotte, mi, usa"
"Minneapolis, MN, United States",-93.2650108,44.977753,"minneapolis, mn, usa"
"St. Paul, MN, United States",-93.0899578,44.9537029,"st paul, mn, usa"
"Biloxi, MS, United States",-88.8853078,30.3960318,"biloxi, ms, usa"
"Gulfport, MS, United States",-89.0928155,30.3674198,"gulfport, ms, usa"
"Jackson, MS, United States",-90.1848103,32.2987573,"jackson, ms, usa"
"Columbia, MO, United States",-92.3340724,38.9517053,"columbia, mo, usa"
"Joplin, MO, United States",-94.513281,37.0842271,"joplin, mo, usa"
"Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"St. Joseph, MO, United States",-94.846681,39.7674578,"st joseph, mo, usa"
"St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa"
"Springfield, MO, United States",-93.2922989,37.2089572,"springfield, mo, usa"
"Missoula, MT, United States",-113.9940314,46.8721284,"missoula, mt, usa"
"Billings, MT, United States",-108.5006904,45.7832856,"billings, mt, usa"
"Helena, MT, United States",-112.0391057,46.5891452,"helena, mt, usa"
"Jersey City, NJ, United States",-74.0431435,40.7177545,"jersey city, nj, usa"
"Paterson, NJ, United States",-74.171811,40.9167654,"paterson, nj, usa"
"Wallington, NJ, United States",-74.1137537,40.8531553,"wallington, nj, usa"
"Belleville, NJ, United States",-74.1500469,40.7936744,"belleville, nj, usa"
"Ashbury Park, NJ, United States",-74.0120817,40.2203907,"asbury park, nj 07712, usa"
"Fort Lee, NJ, United States",-73.9701381,40.8509333,"fort lee, nj 07024, usa"
"Morristown, NJ, United States",-74.4815438,40.7967667,"morristown, nj 07960, usa"
"Trenton, NJ, United States",-74.759717,40.2205824,"trenton, nj, usa"
"Atlantic City, NJ, United States",-74.4229266,39.3642834,"atlantic city, nj, usa"
"Cherry Hill, NJ, United States",-75.0246312,39.926813,"cherry hill, nj, usa"
"Landisville, NJ, United States",-74.938343,39.5251132,"landisville, buena, nj, usa"
"Newark, NJ, United States",-74.1723667,40.735657,"newark, nj, usa"
"South River, NJ, United States",-74.3859831,40.446495,"south river, nj, usa"
"Passaic, NJ, United States",-74.1284764,40.8567662,"passaic, nj, usa"
"Elizabeth, NJ, United States",-74.2107006,40.6639916,"elizabeth, nj, usa"
"Union City, NJ, United States",-74.0237512,40.7795455,"union city, nj 07087, usa"
"New Brunswick, NJ, United States",-74.4518188,40.4862157,"new brunswick, nj, usa"
"Perth Amboy, NJ, United States",-74.2654234,40.5067723,"perth amboy, nj, usa"
"Morris County, NJ, United States",-74.5463282,40.8336038,"morris county, nj, usa"
"Princeton, NJ, United States",-74.6672226,40.3572976,"princeton, nj, usa"
"Sayerville, NJ, United States",-74.360846,40.4594021,"sayreville, nj, usa"
"Newton, NJ, United States",-74.7526651,41.0581527,"newton, nj 07860, usa"
"Kingston, NJ, United States",-74.6134903,40.3753844,"kingston, south brunswick township, nj, usa"
"East Orange, NJ, United States",-74.2048677,40.767323,"east orange, nj, usa"
"Lambertville, NJ, United States",-74.9429448,40.3659394,"lambertville, nj 08530, usa"
"Phillipsburg, NJ, United States",-75.1901761,40.6937099,"phillipsburg, nj 08865, usa"
"Hackensack, NJ, United States",-74.0434736,40.8859325,"hackensack, nj, usa"
"Manhattan, NY, United States",-73.9712488,40.7830603,"manhattan, new york, ny, usa"
"Albany, NY, United States",-73.7562317,42.6525793,"albany, ny, usa"
"Queens, NY, United States",-73.7948516,40.7282239,"queens, ny, usa"
"Rochester, NY, United States",-77.6088465,43.1565779,"rochester, ny, usa"
"Bronx, NY, United States",-73.8648268,40.8447819,"bronx, ny, usa"
"Woodstock, NY, United States",-74.1181971,42.0409247,"woodstock, ny, usa"
"Syracuse, NY, United States",-76.1474244,43.0481221,"syracuse, ny, usa"
"Brooklyn, NY, United States",-73.9441579,40.6781784,"brooklyn, ny, usa"
"Piermont, NY, United States",-73.918192,41.0420414,"piermont, ny, usa"
"East Meadow, NY, United States",-73.5590157,40.7139898,"east meadow, ny, usa"
"Smithtown, NY, United States",-73.1954295,40.854906,"smithtown, ny, usa"
"Bellmore, NY, United States",-73.5270709,40.6687125,"bellmore, ny, usa"
"Poughkeepsie, NY, United States",-73.9209701,41.7003713,"poughkeepsie, ny, usa"
"Uniondale, NY, United States",-73.5931669,40.700611,"uniondale, ny, usa"
"Suffolk County, NY, United States",-72.6151169,40.9848784,"suffolk county, ny, usa"
"Broome County, NY, United States",-75.8533954,42.1791865,"broome county, ny, usa"
"Fire Island, NY, United States",-73.1459474,40.6475997,"fire island, ny, usa"
"Binghamton, NY, United States",-75.9179738,42.0986867,"binghamton, ny, usa"
"Ithaca, NY, United States",-76.5018807,42.4439614,"ithaca, ny, usa"
"Nyack, NY, United States",-73.9179146,41.0906519,"nyack, ny 10960, usa"
"Lake George, NY, United States",-73.7123408,43.4261809,"lake george, ny 12845, usa"
"Sayville, NY, United States",-73.0820556,40.7359317,"sayville, ny, usa"
"Long Island, NY, United States",-73.134961,40.789142,"long island, new york, usa"
"Buffalo, NY, United States",-78.8783689,42.8864468,"buffalo, ny, usa"
"Bayshore, NY, United States",-73.2453946,40.7250986,"bay shore, ny, usa"
"New York, NY, United States",-74.0059728,40.7127753,"new york, ny, usa"
"Huntington, NY, United States",-73.425676,40.8681539,"huntington, ny, usa"
"Seaford, NY, United States",-73.4881809,40.6659344,"seaford, ny, usa"
"West Hempstead, NY, United States",-73.6501295,40.7048242,"west hempstead, ny, usa"
"Lindenhurst, NY, United States",-73.3734547,40.6867667,"lindenhurst, ny 11757, usa"
"Craryville, NY, United States",-73.5821463,42.1753954,"craryville, ny, usa"
"Plattsburg, NY, United States",-73.4529124,44.6994873,"plattsburgh, ny, usa"
"Lake Ronkonkoma, NY, United States",-73.1053707,40.8320984,"lake ronkonkoma, ny, usa"
"Old Roslyn Village, NY, United States",-73.6509622,40.7998227,"roslyn, ny, usa"
"Elmira, NY, United States",-76.8077338,42.0897965,"elmira, ny, usa"
"Olean, NY, United States",-78.429927,42.083639,"olean, ny 14760, usa"
"Staten Island, NY, United States",-74.1502007,40.5795317,"staten island, ny, usa"
"Liverpool, NY, United States",-76.2177046,43.106456,"liverpool, salina, ny, usa"
"North Hudson, NY, United States",-73.7284641,43.9525575,"north hudson, ny 12855, usa"
"Bayville, NY, United States",-73.5620689,40.9106541,"bayville, ny 11709, usa"
"Selden, NY, United States",-73.0356625,40.8664873,"selden, ny, usa"
"Copiaque, NY, United States",-73.3998445,40.6814892,"copiague, ny, usa"
"Niagara Falls, NY, United States",-79.0377388,43.0962143,"niagara falls, ny, usa"
"West Babylon, NY, United States",-73.354287,40.718155,"west babylon, ny, usa"
"Oswego, NY, United States",-76.5104973,43.4553461,"oswego, ny, usa"
"Valley Stream, NY, United States",-73.7084645,40.6642699,"valley stream, ny, usa"
"Utica, NY, United States",-75.232664,43.100903,"utica, ny, usa"
"Lake Monroe, NY, United States",-74.1889604,41.3285013,"lake st, monroe, ny 10950, usa"
"Floral Park, NY, United States",-73.7048532,40.7237133,"floral park, ny 11001, usa"
"Nanuet, NY, United States",-74.013473,41.0887073,"nanuet, ny, usa"
"Belluve, NE, United States",-95.9262498,41.1567003,"bellevue, ne, usa"
"Lincoln, NE, United States",-96.7025764,40.8136634,"lincoln, ne, usa"
"Omaha, NE, United States",-95.9345034,41.2565369,"omaha, ne, usa"
"Grandisland, NE, United States",-98.3420118,40.9263957,"grand island, ne, usa"
"Contoocook, NH, United States",-71.7139655,43.2220234,"contoocook, hopkinton, nh 03229, usa"
"Lebanon, NH, United States",-72.2517569,43.6422934,"lebanon, nh, usa"
"Penacook, NH, United States",-71.5990999,43.2801927,"penacook, concord, nh 03303, usa"
"Concord, NH, United States",-71.5375718,43.2081366,"concord, nh, usa"
"Littletown, NH, United States",-71.7701237,44.3061628,"littleton, nh 03561, usa"
"Nashua, NH, United States",-71.467566,42.7653662,"nashua, nh, usa"
"North Conway, NH, United States",-71.1284041,44.0536805,"north conway, conway, nh, usa"
"Durham, NH, United States",-70.9264393,43.1339545,"durham, nh 03824, usa"
"Manchester, NH, United States",-71.4547891,42.9956397,"manchester, nh, usa"
"Northwood, NH, United States",-71.1508969,43.194249,"northwood, nh 03261, usa"
"Albuquerque, NM, United States",-106.650422,35.0843859,"albuquerque, nm, usa"
"Charlotte, NC, United States",-80.8431267,35.2270869,"charlotte, nc, usa"
"Chapel Hill, NC, United States",-79.0558445,35.9131996,"chapel hill, nc, usa"
"Raleigh, NC, United States",-78.6381787,35.7795897,"raleigh, nc, usa"
"Durham, NC, United States",-78.898619,35.9940329,"durham, nc, usa"
"Greensboro, NC, United States",-79.7919754,36.0726354,"greensboro, nc, usa"
"Ashville, NC, United States",-82.5514869,35.5950581,"asheville, nc, usa"
