"","title","city","state","year","notes","publication","country","Entity.Type","description","mgg.type","geocode.value","lon","lat","geoAddress","type","star.type","Other.Entities","Content.Type","Vol..","Issue..","Month","ID","concat_key","orig.lc.long","orig.lc.lat","amenityfeatures","address","unclear.address","stars","mentions.race","mentions.disability","Last.Modified","Notes.2"
"22","","Belmont","MA",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Belmont, MA, United States",-71.1776114,42.3956405,"belmont, ma, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Belmont_MA_United States","-122.29419","37.5164926",NA,NA,NA,NA,NA,NA,NA,NA
"23","","Berkeley","CA",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Berkeley, CA, United States",-122.273042,37.8715226,"berkeley, ca, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Berkeley_CA_United States","-122.23963","37.8753497",NA,NA,NA,NA,NA,NA,NA,NA
"24","","Berkeley","CA",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Berkeley, CA, United States",-122.273042,37.8715226,"berkeley, ca, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Berkeley_CA_United States","-122.23963","37.8753497",NA,NA,NA,NA,NA,NA,NA,NA
"25","","Blacksburg","VA",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Blacksburg, VA, United States",-80.4139393,37.2295733,"blacksburg, va, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Blacksburg_VA_United States","-80.413677","37.2296566",NA,NA,NA,NA,NA,NA,NA,NA
"26","","Bloomington","IN",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Bloomington, IN, United States",-86.5263857,39.165325,"bloomington, in, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Bloomington_IN_United States","-86.534288","39.1670396",NA,NA,NA,NA,NA,NA,NA,NA
"27","","Blue Lake","CA",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Blue Lake, CA, United States",-123.9839488,40.8829072,"blue lake, ca, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Blue Lake_CA_United States","-123.98744","40.8814695",NA,NA,NA,NA,NA,NA,NA,NA
"28","","Boone","NC",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Boone, NC, United States",-81.6745517,36.216795,"boone, nc, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Boone_NC_United States","-81.674616","36.2165362",NA,NA,NA,NA,NA,NA,NA,NA
"29","","Boone","NC",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Boone, NC, United States",-81.6745517,36.216795,"boone, nc, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Boone_NC_United States","-81.674616","36.2165362",NA,NA,NA,NA,NA,NA,NA,NA
"30","","Boston","MA",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Boston, MA, United States",-71.0588801,42.3600825,"boston, ma, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Boston_MA_United States","-71.060511","42.3554334",NA,NA,NA,NA,NA,NA,NA,NA
"31","","Boston","MA",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Boston, MA, United States",-71.0588801,42.3600825,"boston, ma, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Boston_MA_United States","-71.060511","42.3554334",NA,NA,NA,NA,NA,NA,NA,NA
"32","","Boulder","CO",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Boulder, CO, United States",-105.2705456,40.0149856,"boulder, co, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Boulder_CO_United States","-105.27024","40.0154155",NA,NA,NA,NA,NA,NA,NA,NA
"33","","Bowling Green","IN",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Bowling Green, IN, United States",-87.0116791,39.3830983,"bowling green, in 47833, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Bowling Green_IN_United States","-87.011679","39.3830983",NA,NA,NA,NA,NA,NA,NA,NA
"34","","Brentwood","NY",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Brentwood, NY, United States",-73.2462273,40.7812093,"brentwood, ny, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Brentwood_NY_United States","-73.246227","40.7812093",NA,NA,NA,NA,NA,NA,NA,NA
"35","","Brighton","MA",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Brighton, MA, United States",-71.1604919,42.3489143,"brighton, boston, ma, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Brighton_MA_United States","-86.947215","33.4342755",NA,NA,NA,NA,NA,NA,NA,NA
"36","","Bristol","IN",1983,"request for discretion","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Bristol, IN, United States",-85.8173723,41.7167388,"bristol, in 46507, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Bristol_IN_United States","-85.817536","41.7214415",NA,NA,NA,NA,NA,NA,NA,NA
"37","","Bronx","NY",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Bronx, NY, United States",-73.8648268,40.8447819,"bronx, ny, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Bronx_NY_United States","-73.878594","40.8466508",NA,NA,NA,NA,NA,NA,NA,NA
"38","","Bronx","NY",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Bronx, NY, United States",-73.8648268,40.8447819,"bronx, ny, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Bronx_NY_United States","-73.878594","40.8466508",NA,NA,NA,NA,NA,NA,NA,NA
"39","","Brooklyn","NY",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Brooklyn, NY, United States",-73.9441579,40.6781784,"brooklyn, ny, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Brooklyn_NY_United States","-73.949721","40.6526006",NA,NA,NA,NA,NA,NA,NA,NA
"40","","Brooklyn","NY",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Brooklyn, NY, United States",-73.9441579,40.6781784,"brooklyn, ny, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Brooklyn_NY_United States","-73.949721","40.6526006",NA,NA,NA,NA,NA,NA,NA,NA
"41","","Brooklyn","NY",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Brooklyn, NY, United States",-73.9441579,40.6781784,"brooklyn, ny, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Brooklyn_NY_United States","-73.949721","40.6526006",NA,NA,NA,NA,NA,NA,NA,NA
"42","","Bucks County","PA",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Bucks County, PA, United States",-75.2479061,40.4107964,"bucks county, pa, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Bucks County_PA_United States","-75.126391","40.3451668",NA,NA,NA,NA,NA,NA,NA,NA
"43","","Buffalo","NY",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Buffalo, NY, United States",-78.8783689,42.8864468,"buffalo, ny, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Buffalo_NY_United States","-78.878392","42.8867166",NA,NA,NA,NA,NA,NA,NA,NA
"44","","Buffalo","NY",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Buffalo, NY, United States",-78.8783689,42.8864468,"buffalo, ny, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Buffalo_NY_United States","-78.878392","42.8867166",NA,NA,NA,NA,NA,NA,NA,NA
"45","","Burlington","VT",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Burlington, VT, United States",-73.212072,44.4758825,"burlington, vt, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Burlington_VT_United States","-73.212906","44.4761601",NA,NA,NA,NA,NA,NA,NA,NA
"46","","Burnsville","MN",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Burnsville, MN, United States",-93.2777226,44.7677424,"burnsville, mn, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Burnsville_MN_United States","-93.277389","44.7670567",NA,NA,NA,NA,NA,NA,NA,NA
"47","","Cambridge","MA",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Cambridge, MA, United States",-71.1097335,42.3736158,"cambridge, ma, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Cambridge_MA_United States","-71.105616","42.3750997",NA,NA,NA,NA,NA,NA,NA,NA
"48","","Cambridge","MA",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Cambridge, MA, United States",-71.1097335,42.3736158,"cambridge, ma, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Cambridge_MA_United States","-71.105616","42.3750997",NA,NA,NA,NA,NA,NA,NA,NA
"49","","Cambridge","MA",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Cambridge, MA, United States",-71.1097335,42.3736158,"cambridge, ma, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Cambridge_MA_United States","-71.105616","42.3750997",NA,NA,NA,NA,NA,NA,NA,NA
"50","","Camden","OH",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Camden, OH, United States",-84.6485632,39.6289418,"camden, oh 45311, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Camden_OH_United States","-84.648563","39.6289418",NA,NA,NA,NA,NA,NA,NA,NA
"51","","Carbondale","IL",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Carbondale, IL, United States",-89.2167501,37.7272727,"carbondale, il, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Carbondale_IL_United States","-89.216655","37.7274692",NA,NA,NA,NA,NA,NA,NA,NA
"52","","Carroll","NE",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Carroll, NE, United States",-97.189217,42.2761129,"carroll, ne 68723, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Carroll_NE_United States","-97.189302","42.2768439",NA,NA,NA,NA,NA,NA,NA,NA
"53","","Casper","WY",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Casper, WY, United States",-106.2980824,42.848709,"casper, wy, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Casper_WY_United States","-106.32514","42.8501191",NA,NA,NA,NA,NA,NA,NA,NA
"54","","Champaign","IL",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Champaign, IL, United States",-88.2433829,40.1164204,"champaign, il, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Champaign_IL_United States","-88.243093","40.1164841",NA,NA,NA,NA,NA,NA,NA,NA
"55","","Charleston","SC",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Charleston, SC, United States",-79.9310512,32.7764749,"charleston, sc, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Charleston_SC_United States","-79.940273","32.7876012",NA,NA,NA,NA,NA,NA,NA,NA
"56","","Charleston","SC",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Charleston, SC, United States",-79.9310512,32.7764749,"charleston, sc, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Charleston_SC_United States","-79.940273","32.7876012",NA,NA,NA,NA,NA,NA,NA,NA
"57","","Chicago","IL",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Chicago, IL, United States",-87.6297982,41.8781136,"chicago, il, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Chicago_IL_United States","-87.624421","41.8755616",NA,NA,NA,NA,NA,NA,NA,NA
"58","","Chicago","IL",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Chicago, IL, United States",-87.6297982,41.8781136,"chicago, il, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Chicago_IL_United States","-87.624421","41.8755616",NA,NA,NA,NA,NA,NA,NA,NA
