"publication","year","pub.count","city","state","country","geocode.value","lon","lat","geoAddress","count","relative.percentage"
"Bob Damron's Address Book",1983,5298,"Arcadia","LA","United States","Arcadia, LA, United States",-92.920158,32.5490406,"arcadia, la, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Arlington","TX","United States","Arlington, TX, United States",-97.1080656,32.735687,"arlington, tx, usa",4,0.0755001887504719
"Bob Damron's Address Book",1983,5298,"Arlington","VA","United States","Arlington, VA, United States",-77.0909809,38.8816208,"arlington county, arlington, va, usa",3,0.0566251415628539
"Bob Damron's Address Book",1983,5298,"Asbury Park","NJ","United States","Asbury Park, NJ, United States",-74.0120817,40.2203907,"asbury park, nj 07712, usa",14,0.264250660626652
"Bob Damron's Address Book",1983,5298,"Asheville","NC","United States","Asheville, NC, United States",-82.5514869,35.5950581,"asheville, nc, usa",7,0.132125330313326
"Bob Damron's Address Book",1983,5298,"Ashland","OR","United States","Ashland, OR, United States",-122.7094767,42.1945758,"ashland, or 97520, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Aspen","CO","United States","Aspen, CO, United States",-106.8175387,39.1910983,"aspen, co 81611, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Athens","GA","United States","Athens, GA, United States",-83.357567,33.9519347,"athens, ga, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Athens","OH","United States","Athens, OH, United States",-82.1012554,39.3292396,"athens, oh 45701, usa",3,0.0566251415628539
"Bob Damron's Address Book",1983,5298,"Atlanta","GA","United States","Atlanta, GA, United States",-84.3876845,33.748752,"atlanta, ga, usa",59,1.11362778406946
"Bob Damron's Address Book",1983,5298,"Atlantic City","NJ","United States","Atlantic City, NJ, United States",-74.4229266,39.3642834,"atlantic city, nj, usa",19,0.358625896564741
"Bob Damron's Address Book",1983,5298,"Attleboro","MA","United States","Attleboro, MA, United States",-71.2856082,41.9445441,"attleboro, ma, usa",3,0.0566251415628539
"Bob Damron's Address Book",1983,5298,"Auburn","AL","United States","Auburn, AL, United States",-85.4807825,32.6098566,"auburn, al, usa",4,0.0755001887504719
"Bob Damron's Address Book",1983,5298,"Auburn","CA","United States","Auburn, CA, United States",-121.0768901,38.8965654,"auburn, ca, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Augusta","GA","United States","Augusta, GA, United States",-82.0105148,33.4734978,"augusta, ga, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Augusta","KS","United States","Augusta, KS, United States",-96.9767023,37.6866844,"augusta, ks 67010, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Augusta","ME","United States","Augusta, ME, United States",-69.7794897,44.3106241,"augusta, me 04330, usa",3,0.0566251415628539
"Bob Damron's Address Book",1983,5298,"Aurora","IL","United States","Aurora, IL, United States",-88.3200715,41.7605849,"aurora, il, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Austin","TX","United States","Austin, TX, United States",-97.7430608,30.267153,"austin, tx, usa",22,0.415251038127595
"Bob Damron's Address Book",1983,5298,"Avenel","NJ","United States","Avenel, NJ, United States",-74.2851469,40.5803818,"avenel, woodbridge township, nj, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Babylon","NY","United States","Babylon, NY, United States",-73.3256753,40.6956552,"babylon, ny, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Bakersfield","CA","United States","Bakersfield, CA, United States",-119.0187125,35.3732921,"bakersfield, ca, usa",7,0.132125330313326
"Bob Damron's Address Book",1983,5298,"Baltimore","MD","United States","Baltimore, MD, United States",-76.6121893,39.2903848,"baltimore, md, usa",40,0.755001887504719
"Bob Damron's Address Book",1983,5298,"Bangor","ME","United States","Bangor, ME, United States",-68.7712257,44.8016128,"bangor, me 04401, usa",3,0.0566251415628539
"Bob Damron's Address Book",1983,5298,"Barboursville","WV","United States","Barboursville, WV, United States",-82.2945923,38.4095298,"barboursville, wv, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Barnegat Light","NJ","United States","Barnegat Light, NJ, United States",-74.1062466,39.7576202,"barnegat light, nj, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Batesville","MS","United States","Batesville, MS, United States",-89.9442567,34.3114982,"batesville, ms 38606, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Baton Rouge","LA","United States","Baton Rouge, LA, United States",-91.1871466,30.4514677,"baton rouge, la, usa",12,0.226500566251416
"Bob Damron's Address Book",1983,5298,"Bay City","MI","United States","Bay City, MI, United States",-83.8888647,43.5944677,"bay city, mi, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Beaumont","TX","United States","Beaumont, TX, United States",-94.1265562,30.080174,"beaumont, tx, usa",3,0.0566251415628539
"Bob Damron's Address Book",1983,5298,"Beaver Dam","WI","United States","Beaver Dam, WI, United States",-88.837329,43.4577692,"beaver dam, wi 53916, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Belleville","MI","United States","Belleville, MI, United States",-83.4852133,42.2047619,"belleville, mi 48111, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Bellevue","NE","United States","Bellevue, NE, United States",-95.9177224,41.151465,"bellevue, ne, usa",3,0.0566251415628539
"Bob Damron's Address Book",1983,5298,"Bellingham","WA","United States","Bellingham, WA, United States",-122.4786854,48.7519112,"bellingham, wa, usa",5,0.0943752359380898
"Bob Damron's Address Book",1983,5298,"Bellmawr","NJ","United States","Bellmawr, NJ, United States",-75.0946182,39.8676134,"bellmawr, nj, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Bellmore","NY","United States","Bellmore, NY, United States",-73.5270709,40.6687125,"bellmore, ny, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Bellows Falls","VT","United States","Bellows Falls, VT, United States",-72.4439772,43.133411,"bellows falls, town of rockingham, vt 05101, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Belmar","NJ","United States","Belmar, NJ, United States",-74.0218037,40.1784471,"belmar, nj, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Berkeley","CA","United States","Berkeley, CA, United States",-122.273042,37.8715226,"berkeley, ca, usa",6,0.113250283125708
"Bob Damron's Address Book",1983,5298,"Berlin","VT","United States","Berlin, VT, United States",-72.5861615,44.2152614,"berlin, vt, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Bethany Beach","DE","United States","Bethany Beach, DE, United States",-75.0551806,38.5395564,"bethany beach, de, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Beverly Hills","CA","United States","Beverly Hills, CA, United States",-118.4003563,34.0736204,"beverly hills, ca, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Beverly Shores","IN","United States","Beverly Shores, IN, United States",-86.9775319,41.6925381,"beverly shores, in, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Biddeford","ME","United States","Biddeford, ME, United States",-70.4533844,43.4925843,"biddeford, me 04005, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Big Bear Lake","CA","United States","Big Bear Lake, CA, United States",-116.9114215,34.2438963,"big bear lake, ca, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Big Rapids","MI","United States","Big Rapids, MI, United States",-85.4836557,43.6980782,"big rapids, mi 49307, usa",4,0.0755001887504719
"Bob Damron's Address Book",1983,5298,"Billings","MT","United States","Billings, MT, United States",-108.5006904,45.7832856,"billings, mt, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Biloxi","MS","United States","Biloxi, MS, United States",-88.8853078,30.3960318,"biloxi, ms, usa",7,0.132125330313326
"Bob Damron's Address Book",1983,5298,"Binghamton","NY","United States","Binghamton, NY, United States",-75.9179738,42.0986867,"binghamton, ny, usa",5,0.0943752359380898
"Bob Damron's Address Book",1983,5298,"Birmingham","AL","United States","Birmingham, AL, United States",-86.8103567,33.5185892,"birmingham, al, usa",15,0.28312570781427
"Bob Damron's Address Book",1983,5298,"Bisbee","AZ","United States","Bisbee, AZ, United States",-109.9284084,31.4481547,"bisbee, az 85603, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Bismarck","NC","United States","Bismarck, NC, United States",-100.7876931,46.8054947,"bismarck, nd, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Bismarck","ND","United States","Bismarck, ND, United States",-100.7876931,46.8054947,"bismarck, nd, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Blaine","WA","United States","Blaine, WA, United States",-122.7471191,48.993723,"blaine, wa, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Bloomington","IL","United States","Bloomington, IL, United States",-88.9936873,40.4842027,"bloomington, il, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Bloomington","IN","United States","Bloomington, IN, United States",-86.5263857,39.165325,"bloomington, in, usa",6,0.113250283125708
"Bob Damron's Address Book",1983,5298,"Boca Raton","FL","United States","Boca Raton, FL, United States",-80.1289321,26.3683064,"boca raton, fl, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Boise","ID","United States","Boise, ID, United States",-116.2023137,43.6150186,"boise, id, usa",5,0.0943752359380898
"Bob Damron's Address Book",1983,5298,"Bossier City","LA","United States","Bossier City, LA, United States",-93.7321228,32.5159852,"bossier city, la, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Boston","MA","United States","Boston, MA, United States",-71.0588801,42.3600825,"boston, ma, usa",54,1.01925254813137
"Bob Damron's Address Book",1983,5298,"Boulder","CO","United States","Boulder, CO, United States",-105.2705456,40.0149856,"boulder, co, usa",3,0.0566251415628539
"Bob Damron's Address Book",1983,5298,"Boulder","MT","United States","Boulder, MT, United States",-112.1208336,46.2365947,"boulder, mt 59632, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Bowling Green","KY","United States","Bowling Green, KY, United States",-86.4808043,36.9685219,"bowling green, ky, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Bozeman","MT","United States","Bozeman, MT, United States",-111.0319925,45.6814733,"bozeman, mt, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Bradenton","FL","United States","Bradenton, FL, United States",-82.5748194,27.4989278,"bradenton, fl, usa",3,0.0566251415628539
"Bob Damron's Address Book",1983,5298,"Breckenridge","CO","United States","Breckenridge, CO, United States",-106.0383518,39.4816537,"breckenridge, co 80424, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Bremerton","WA","United States","Bremerton, WA, United States",-122.6269768,47.5650067,"bremerton, wa, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Bridgeport","CT","United States","Bridgeport, CT, United States",-73.1894384,41.1792258,"bridgeport, ct, usa",4,0.0755001887504719
"Bob Damron's Address Book",1983,5298,"Bridgeport","PA","United States","Bridgeport, PA, United States",-75.3451838,40.1051084,"bridgeport, pa, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Bristol","TN","United States","Bristol, TN, United States",-82.1887444,36.5951059,"bristol, tn, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Bristol","VA","United States","Bristol, VA, United States",-82.1887368,36.595142,"bristol, va, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Bronx","NY","United States","Bronx, NY, United States",-73.8648268,40.8447819,"bronx, ny, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Brookings","SD","United States","Brookings, SD, United States",-96.7983877,44.3113573,"brookings, sd 57006, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Brooklyn","MI","United States","Brooklyn, MI, United States",-84.2482819,42.105874,"brooklyn, mi 49230, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Brooklyn","NY","United States","Brooklyn, NY, United States",-73.9441579,40.6781784,"brooklyn, ny, usa",11,0.207625519063798
"Bob Damron's Address Book",1983,5298,"Brownsville","TX","United States","Brownsville, TX, United States",-97.4974838,25.9017472,"brownsville, tx, usa",4,0.0755001887504719
"Bob Damron's Address Book",1983,5298,"Brunswick","ME","United States","Brunswick, ME, United States",-69.9669961,43.9140162,"brunswick, me 04011, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Bryte","CA","United States","Bryte, CA, United States",-121.5416232,38.5946272,"bryte, west sacramento, ca 95605, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Buena Park","CA","United States","Buena Park, CA, United States",-117.9981387,33.8674044,"buena park, ca, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Buffalo","NY","United States","Buffalo, NY, United States",-78.8783689,42.8864468,"buffalo, ny, usa",27,0.509626274065685
"Bob Damron's Address Book",1983,5298,"Burbank","CA","United States","Burbank, CA, United States",-118.3089661,34.1808392,"burbank, ca, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Burlingame","CA","United States","Burlingame, CA, United States",-122.34809,37.5778696,"burlingame, ca, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Burlington","VT","United States","Burlington, VT, United States",-73.212072,44.4758825,"burlington, vt, usa",5,0.0943752359380898
"Bob Damron's Address Book",1983,5298,"Burtonsville","MD","United States","Burtonsville, MD, United States",-76.9324752,39.1112193,"burtonsville, md, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Butler","NJ","United States","Butler, NJ, United States",-74.3415394,41.0037087,"butler, nj 07405, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Caldwell","ID","United States","Caldwell, ID, United States",-116.6873596,43.6629384,"caldwell, id, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Caliente","CA","United States","Caliente, CA, United States",-118.6286669,35.2912425,"caliente, havilah, ca, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Calumet City","IL","United States","Calumet City, IL, United States",-87.5294871,41.6155909,"calumet city, il, usa",5,0.0943752359380898
"Bob Damron's Address Book",1983,5298,"Cambridge","MA","United States","Cambridge, MA, United States",-71.1097335,42.3736158,"cambridge, ma, usa",7,0.132125330313326
"Bob Damron's Address Book",1983,5298,"Camden","NJ","United States","Camden, NJ, United States",-75.1196199,39.9259463,"camden, nj, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Campbell","CA","United States","Campbell, CA, United States",-121.9499568,37.2871651,"campbell, ca, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Campbellsville","KY","United States","Campbellsville, KY, United States",-85.3419069,37.3433974,"campbellsville, ky 42718, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Canton","OH","United States","Canton, OH, United States",-81.378447,40.7989473,"canton, oh, usa",8,0.151000377500944
"Bob Damron's Address Book",1983,5298,"Canyon","TX","United States","Canyon, TX, United States",-101.9188024,34.9803342,"canyon, tx 79015, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Carbondale","IL","United States","Carbondale, IL, United States",-89.2167501,37.7272727,"carbondale, il, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Carthegena","OH","United States","Carthegena, OH, United States",-84.5621823,40.4378453,"carthagena, oh 45822, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Casper","WY","United States","Casper, WY, United States",-106.2980824,42.848709,"casper, wy, usa",3,0.0566251415628539
"Bob Damron's Address Book",1983,5298,"Cathedral City","CA","United States","Cathedral City, CA, United States",-116.4668036,33.7805388,"cathedral city, ca, usa",8,0.151000377500944
"Bob Damron's Address Book",1983,5298,"Cedar Rapids","IA","United States","Cedar Rapids, IA, United States",-91.6656232,41.9778795,"cedar rapids, ia, usa",5,0.0943752359380898
"Bob Damron's Address Book",1983,5298,"Central Falls","RI","United States","Central Falls, RI, United States",-71.3922785,41.8906553,"central falls, ri 02863, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Chambersburg","PA","United States","Chambersburg, PA, United States",-77.6611022,39.9375911,"chambersburg, pa, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Champaign","IL","United States","Champaign, IL, United States",-88.2433829,40.1164204,"champaign, il, usa",4,0.0755001887504719
"Bob Damron's Address Book",1983,5298,"Chapel Hill","NC","United States","Chapel Hill, NC, United States",-79.0558445,35.9131996,"chapel hill, nc, usa",5,0.0943752359380898
"Bob Damron's Address Book",1983,5298,"Charleston","SC","United States","Charleston, SC, United States",-79.9310512,32.7764749,"charleston, sc, usa",10,0.18875047187618
"Bob Damron's Address Book",1983,5298,"Charleston","WV","United States","Charleston, WV, United States",-81.6326234,38.3498195,"charleston, wv, usa",11,0.207625519063798
"Bob Damron's Address Book",1983,5298,"Charlotte","NC","United States","Charlotte, NC, United States",-80.8431267,35.2270869,"charlotte, nc, usa",25,0.471876179690449
"Bob Damron's Address Book",1983,5298,"Chattanooga","TN","United States","Chattanooga, TN, United States",-85.3093995,35.0457984,"chattanooga, tn, usa",9,0.169875424688562
"Bob Damron's Address Book",1983,5298,"Cherokee","IA","United States","Cherokee, IA, United States",-95.5515431,42.7496413,"cherokee, ia 51012, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Cherry Hill","NJ","United States","Cherry Hill, NJ, United States",-75.0246312,39.926813,"cherry hill, nj, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Cheyenne","WY","United States","Cheyenne, WY, United States",-104.8202462,41.1399814,"cheyenne, wy, usa",5,0.0943752359380898
"Bob Damron's Address Book",1983,5298,"Chicago","IL","United States","Chicago, IL, United States",-87.6297982,41.8781136,"chicago, il, usa",120,2.26500566251416
"Bob Damron's Address Book",1983,5298,"Chico","CA","United States","Chico, CA, United States",-121.8374777,39.7284944,"chico, ca, usa",3,0.0566251415628539
"Bob Damron's Address Book",1983,5298,"Chicopee","MA","United States","Chicopee, MA, United States",-72.6078672,42.1487043,"chicopee, ma, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Cincinnati","OH","United States","Cincinnati, OH, United States",-84.5120196,39.1031182,"cincinnati, oh, usa",25,0.471876179690449
"Bob Damron's Address Book",1983,5298,"Clare","MI","United States","Clare, MI, United States",-84.7686281,43.8194703,"clare, mi 48617, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Clarksburg","WV","United States","Clarksburg, WV, United States",-80.3445341,39.2806451,"clarksburg, wv, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Clarksville","TN","United States","Clarksville, TN, United States",-87.3594528,36.5297706,"clarksville, tn, usa",4,0.0755001887504719
"Bob Damron's Address Book",1983,5298,"Clearlake","CA","United States","Clearlake, CA, United States",-122.6263728,38.9582307,"clearlake, ca, usa",5,0.0943752359380898
"Bob Damron's Address Book",1983,5298,"Clearwater","FL","United States","Clearwater, FL, United States",-82.8001026,27.9658533,"clearwater, fl, usa",4,0.0755001887504719
"Bob Damron's Address Book",1983,5298,"Cleveland","OH","United States","Cleveland, OH, United States",-81.6943605,41.49932,"cleveland, oh, usa",46,0.868252170630427
"Bob Damron's Address Book",1983,5298,"Clifton","NJ","United States","Clifton, NJ, United States",-74.1637553,40.8584328,"clifton, nj, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Cocoa Beach","FL","United States","Cocoa Beach, FL, United States",-80.6075513,28.3200067,"cocoa beach, fl 32931, usa",5,0.0943752359380898
"Bob Damron's Address Book",1983,5298,"Coconut Grove","FL","United States","Coconut Grove, FL, United States",-80.2377186,25.7355248,"coconut grove, miami, fl, usa",3,0.0566251415628539
"Bob Damron's Address Book",1983,5298,"College Park","MD","United States","College Park, MD, United States",-76.93776,38.9896967,"college park, md, usa",8,0.151000377500944
"Bob Damron's Address Book",1983,5298,"College Station","TX","United States","College Station, TX, United States",-96.3344068,30.627977,"college station, tx, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Colorado Springs","CO","United States","Colorado Springs, CO, United States",-104.8213634,38.8338816,"colorado springs, co, usa",10,0.18875047187618
"Bob Damron's Address Book",1983,5298,"Columbia","MO","United States","Columbia, MO, United States",-92.3340724,38.9517053,"columbia, mo, usa",9,0.169875424688562
"Bob Damron's Address Book",1983,5298,"Columbia","SC","United States","Columbia, SC, United States",-81.0348144,34.0007104,"columbia, sc, usa",9,0.169875424688562
"Bob Damron's Address Book",1983,5298,"Columbus","GA","United States","Columbus, GA, United States",-84.9877094,32.4609764,"columbus, ga, usa",9,0.169875424688562
"Bob Damron's Address Book",1983,5298,"Columbus","MS","United States","Columbus, MS, United States",-88.4272627,33.4956744,"columbus, ms, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Columbus","OH","United States","Columbus, OH, United States",-82.9987942,39.9611755,"columbus, oh, usa",26,0.490751226878067
"Bob Damron's Address Book",1983,5298,"Concord","NH","United States","Concord, NH, United States",-71.5375718,43.2081366,"concord, nh, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Cooperstown","NY","United States","Cooperstown, NY, United States",-74.924321,42.7006303,"cooperstown, ny 13326, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Coos Bay","OR","United States","Coos Bay, OR, United States",-124.2131325,43.3672213,"coos bay, or, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Coos Bay--North Bend","OR","United States","Coos Bay--North Bend, OR, United States",-124.2242803,43.4065012,"north bend, or 97459, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Corpus Christi","TX","United States","Corpus Christi, TX, United States",-97.396381,27.8005828,"corpus christi, tx, usa",6,0.113250283125708
"Bob Damron's Address Book",1983,5298,"Cortland","NY","United States","Cortland, NY, United States",-76.1804843,42.6011813,"cortland, ny 13045, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Corvallis","OR","United States","Corvallis, OR, United States",-123.2620435,44.5645659,"corvallis, or, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Coshocton","OH","United States","Coshocton, OH, United States",-81.8595756,40.2720151,"coshocton, oh 43812, usa",10,0.18875047187618
"Bob Damron's Address Book",1983,5298,"Costa Mesa","CA","United States","Costa Mesa, CA, United States",-117.9047429,33.6638439,"costa mesa, ca, usa",6,0.113250283125708
"Bob Damron's Address Book",1983,5298,"Council Bluffs","IA","United States","Council Bluffs, IA, United States",-95.8608333,41.2619444,"council bluffs, ia, usa",4,0.0755001887504719
"Bob Damron's Address Book",1983,5298,"Covington","KY","United States","Covington, KY, United States",-84.5085536,39.0836712,"covington, ky, usa",3,0.0566251415628539
"Bob Damron's Address Book",1983,5298,"Crestwood","IL","United States","Crestwood, IL, United States",-87.7525511,41.6611444,"crestwood, il, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Culver City","CA","United States","Culver City, CA, United States",-118.3964665,34.0211224,"culver city, ca, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Cumberland","MD","United States","Cumberland, MD, United States",-78.7625185,39.6528654,"cumberland, md 21502, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Cupertino","CA","United States","Cupertino, CA, United States",-122.0321823,37.3229978,"cupertino, ca, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Dalhart","TX","United States","Dalhart, TX, United States",-102.5132497,36.0594772,"dalhart, tx 79022, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Dallas","TX","United States","Dallas, TX, United States",-96.7969879,32.7766642,"dallas, tx, usa",57,1.07587768969422
"Bob Damron's Address Book",1983,5298,"Dana Point","CA","United States","Dana Point, CA, United States",-117.6981014,33.4672256,"dana point, ca, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Danville","VA","United States","Danville, VA, United States",-79.3950228,36.5859718,"danville, va, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Davenport","IA","United States","Davenport, IA, United States",-90.5776367,41.5236437,"davenport, ia, usa",6,0.113250283125708
"Bob Damron's Address Book",1983,5298,"Davis","CA","United States","Davis, CA, United States",-121.7405167,38.5449065,"davis, ca, usa",4,0.0755001887504719
