"geocode.value","lon","lat","geoAddress"
"Medeira Beach, FL, United States",-82.7973247,27.7980814,"madeira beach, fl, usa"
"Neptune Beach, FL, United States",-81.3964734,30.311908,"neptune beach, fl, usa"
"Sarasota , FL, United States",-82.5310117,27.336465,"sarasota, fl, usa"
"Evansville, IL, United States",-89.9384406,38.0903289,"evansville, il 62242, usa"
"Streamwood, IL, United States",-88.1784085,42.0255827,"streamwood, il, usa"
", ME, United States",-69.4454689,45.253783,"maine, usa"
"Magset, ME, United States",-69.4454689,45.253783,"maine, usa"
"Lancaster, MA, United States",-71.6731242,42.4556452,"lancaster, ma, usa"
"Martha's Vineyard Island, MA, United States",-70.645473,41.3804981,"martha's vineyard, massachusetts, usa"
"Harmonie Park, MI, United States",-85.6023643,44.3148443,"michigan, usa"
"Mt. Clemens, MI, United States",-82.8779754,42.5972563,"mt clemens, mi, usa"
"Salute Ste. Marie, MI, United States",-84.3475876,46.4977115,"sault ste. marie, mi 49783, usa"
"Wyanotte, MI, United States",-83.1499239,42.2142064,"wyandotte, mi, usa"
"Fort Lee, NJ, United States",-73.9701381,40.8509333,"fort lee, nj 07024, usa"
"Morris County, NJ, United States",-74.5463282,40.8336038,"morris county, nj, usa"
"Sayerville, NJ, United States",-74.360846,40.4594021,"sayreville, nj, usa"
"Easthampton, NY, United States",NA,NA,NA
"Uniondale, NY, United States",-73.5931669,40.700611,"uniondale, ny, usa"
"Suffolk County, NY, United States",-72.6151169,40.9848784,"suffolk county, ny, usa"
"Broome County, NY, United States",-75.8533954,42.1791865,"broome county, ny, usa"
"Bayshore, NY, United States",-73.2453946,40.7250986,"bay shore, ny, usa"
"Old Roslyn Village, NY, United States",-73.6509622,40.7998227,"roslyn, ny, usa"
"Liverpool, NY, United States",-76.2177046,43.106456,"liverpool, salina, ny, usa"
"North Hudson, NY, United States",-73.7284641,43.9525575,"north hudson, ny 12855, usa"
"Selden, NY, United States",-73.0356625,40.8664873,"selden, ny, usa"
"Copiaque, NY, United States",-73.3998445,40.6814892,"copiague, ny, usa"
"Niagara Falls, NY, United States",-79.0377388,43.0962143,"niagara falls, ny, usa"
"Lake Monroe, NY, United States",-74.1889604,41.3285013,"lake st, monroe, ny 10950, usa"
"Nanuet, NY, United States",-74.013473,41.0887073,"nanuet, ny, usa"
"Belluve, NE, United States",-95.9262498,41.1567003,"bellevue, ne, usa"
"Grandisland, NE, United States",-98.3420118,40.9263957,"grand island, ne, usa"
"Contookook, NH, United States",-71.7139655,43.2220234,"contoocook, hopkinton, nh 03229, usa"
"Littletown, NH, United States",-71.7701237,44.3061628,"littleton, nh 03561, usa"
"Northwood, NH, United States",-71.1508969,43.194249,"northwood, nh 03261, usa"
"Klamath Fall, OR, United States",-121.7816704,42.224867,"klamath falls, or, usa"
"Hermiston, OR, United States",-119.2894605,45.8404101,"hermiston, or, usa"
"Marrietta, PA, United States",-76.5521882,40.0570411,"marietta, pa 17547, usa"
"Penn Hills, PA, United States",-79.8260578,40.4661428,"penn hills, pa, usa"
"Stroundsburg, PA, United States",-75.1946248,40.9867609,"stroudsburg, pa 18360, usa"
"Landisville, PA, United States",NA,NA,NA
"Phoenixville, PA, United States",-75.5149128,40.1303822,"phoenixville, pa 19460, usa"
"Hazelton, PA, United States",-75.9746472,40.9584181,"hazleton, pa, usa"
"Oak Ridge Farm, TN, United States",-84.2696449,36.0103561,"oak ridge, tn, usa"
"Clarksburg, VA, United States",-80.3445341,39.2806451,"clarksburg, wv, usa"
"Bellevue, WA, United States",-122.2015159,47.6101497,"bellevue, wa, usa"
"Fox Valley, WI, United States",NA,NA,NA
"Central Fall, RI, United States",-71.3922785,41.8906553,"central falls, ri 02863, usa"
"Smithsfield, RI, United States",-71.5495101,41.9220496,"smithfield, ri, usa"
"Clarksburg (WV), WV, United States",-80.3445341,39.2806451,"clarksburg, wv, usa"
"Parksburg, WV, United States",-81.5615135,39.2667418,"parkersburg, wv, usa"
"Charlestown (WV), WV, United States",-77.8597175,39.2889903,"charles town, wv 25414, usa"
"Nimitz, WV, United States",-80.9600897,37.6462298,"nimitz, wv 25951, usa"
"Huntington (WV), WV, United States",-82.445154,38.4192496,"huntington, wv, usa"
"Irvine, CA, United States",-117.8265049,33.6845673,"irvine, ca, usa"
"Hopland/Talmadge, CA, United States",NA,NA,NA
"Lake Arrowhead, CA, United States",-117.1892078,34.2483396,"lake arrowhead, ca, usa"
"Silverlake, CA, United States",-118.2733457,34.082936,"silver lake, los angeles, ca, usa"
"Oakhurst, CA, United States",-119.6493154,37.3279997,"oakhurst, ca 93644, usa"
"Orange County, CA, United States",-117.8311428,33.7174708,"orange county, ca, usa"
"Ocean Park Beach, CA, United States",-118.481435,34.0039259,"ocean park, santa monica, ca, usa"
"Woodacre, CA, United States",-122.645261,38.0127006,"woodacre, ca, usa"
"Bailey, CO, United States",-105.4786412,39.4060536,"bailey, co 80421, usa"
", CT, United States",-73.087749,41.6032207,"connecticut, usa"
"Falls Village, CT, United States",-73.3650579,41.9550202,"falls village, canaan, ct 06031, usa"
"Reheboth Beach, DE, United States",-75.0760137,38.7209454,"rehoboth beach, de, usa"
", FL, United States",-81.5157535,27.6648274,"florida, usa"
"Broward County, FL, United States",-80.365865,26.190096,"broward county, fl, usa"
"Dade County, FL, United States",-80.6326916,25.5516034,"miami-dade county, fl, usa"
"Daytona, FL, United States",-81.0228331,29.2108147,"daytona beach, fl, usa"
"St Augustine's, FL, United States",-81.3139313,29.8921835,"st. augustine, fl, usa"
"Virginia Beach, FL, United States",NA,NA,NA
"Columbus , GA, United States",-84.9877094,32.4609764,"columbus, ga, usa"
"Maui Island, HI, United States",-156.3319253,20.7983626,"maui, hawaii, usa"
"New Town, IL, United States",NA,NA,NA
"South Hadley, MA, United States",-72.5747934,42.2591729,"south hadley, ma 01075, usa"
", MD, United States",-76.6412712,39.0457549,"maryland, usa"
"Montgomery, MD, United States",-77.2405153,39.1547426,"montgomery county, md, usa"
"Bath, ME, United States",-69.8206023,43.9106353,"bath, me 04530, usa"
"Bar Harbor, ME, United States",-68.2039123,44.3876119,"bar harbor, me, usa"
"Portsmouth, ME, United States",-70.78821,43.0417715,"united states"
"Mt Clemens, MI, United States",-82.8779754,42.5972563,"mt clemens, mi, usa"
"Biloxi , MS, United States",-88.8853078,30.3960318,"biloxi, ms, usa"
", MT, United States",-110.3625658,46.8796822,"montana, usa"
", NC, United States",-79.0192997,35.7595731,"north carolina, usa"
"Asbury Park , NJ, United States",-74.0120817,40.2203907,"asbury park, nj 07712, usa"
"Lake Hoptacong, NJ, United States",NA,NA,NA
"Newton, NJ, United States",-74.7526651,41.0581527,"newton, nj 07860, usa"
"Plainsboro, NJ, United States",-74.615308,40.3570497,"plainsboro township, nj, usa"
"Morristown , NJ, United States",-74.4815438,40.7967667,"morristown, nj 07960, usa"
", NM, United States",-105.0323635,34.9727305,"new mexico, usa"
"New York City , NY, United States",-74.0059728,40.7127753,"new york, ny, usa"
"Manhattan, NY, United States",-73.9712488,40.7830603,"manhattan, new york, ny, usa"
"Yorkville, NY, United States",-75.2709991,43.1128475,"yorkville, ny, usa"
"Amagansett, NY, United States",-72.1436884,40.9737117,"amagansett, ny, usa"
"Rockland, NY, United States",NA,NA,NA
"St. Huntington, NY, United States",-73.425676,40.8681539,"huntington, ny, usa"
"Lake Ronkonkona, NY, United States",-73.1053707,40.8320984,"lake ronkonkoma, ny, usa"
"Ronkonkona, NY, United States",-73.1241488,40.8064187,"ronkonkoma, ny, usa"
"Painesville, OH, United States",-81.245657,41.7244885,"painesville, oh 44077, usa"
"Waldport, OR, United States",-124.0687302,44.426786,"waldport, or 97394, usa"
"La Grande, OR, United States",-118.0877188,45.3245771,"la grande, or 97850, usa"
", PA, United States",-77.1945247,41.2033216,"pennsylvania, usa"
"Hummelstown, PA, United States",-76.7083033,40.2653681,"hummelstown, pa 17036, usa"
"Montclaire, PA, United States",-75.502411,40.1389933,"mont clare, pa 19453, usa"
"Upper Darby, PA, United States",-75.2878235,39.9593175,"upper darby, pa, usa"
"East Stroudsberg, PA, United States",-75.1817547,41.0030522,"east stroudsburg, pa 18301, usa"
"Charlestown, SC, United States",-79.9319664,32.7833163,"charleston, sc, usa"
", SD, United States",NA,NA,NA
"Glenrose, TX, United States",-97.7554986,32.2346721,"glen rose, tx, usa"
", TX, United States",-99.9018131,31.9685988,"texas, usa"
", VA, United States",-78.6568942,37.4315734,"virginia, usa"
"Saint Croix, Virgin Islands, United States",-64.8347992,17.7245968,"st croix, usvi"
"St Thomas, Virgin Islands, United States",-64.8940946,18.3380965,"st thomas, 00802, usvi"
"Appletown, WI, United States",-88.4153847,44.2619309,"appleton, wi, usa"
"Douglas, WY, United States",-105.3822069,42.7596897,"douglas, wy 82633, usa"
"North Adams, MA, United States",-73.1087148,42.700915,"north adams, ma 01247, usa"
", , Singapore",103.819836,1.352083,"singapore"
", MA, United States",-71.3824374,42.4072107,"massachusetts, usa"
", Nova Scotia, Canada",-62.6571885,44.6922613,"nova scotia, canada"
", NY, United States",-74.0059728,40.7127753,"new york, ny, usa"
"30300 Vallabregues, , France",4.628383,43.853401,"30300 vallabrègues, france"
"Abiquiu, NM, United States",-106.3186397,36.207241,"abiquiu, nm 87510, usa"
"Addison, AL, United States",-87.1814012,34.2023243,"addison, al 35540, usa"
"Adirondacks, NY, United States",-73.7565686,43.7645456,"adirondack, ny 12808, usa"
"Admire, KS, United States",-96.1030491,38.6411197,"admire, ks, usa"
"Adrian, MI, United States",-84.0371659,41.8975471,"adrian, mi 49221, usa"
"Aguadilla, Puerto Rico, United States",-67.1540698,18.4274454,"aguadilla pueblo, aguadilla, puerto rico"
"Aguilar, CO, United States",-104.6533187,37.402793,"aguilar, co 81020, usa"
"Aiken, SC, United States",-81.7195533,33.5604168,"aiken, sc, usa"
"Aiquiu, NM, United States",-106.3186397,36.207241,"abiquiu, nm 87510, usa"
"Akron, OH, United States",-81.5190053,41.0814447,"akron, oh, usa"
"Alachua, FL, United States",-82.4944226,29.7938144,"alachua, fl, usa"
"Alamedo, CA, United States",-122.2821855,37.7798721,"alameda, ca, usa"
"Alamogordo, NM, United States",-105.960265,32.8995325,"alamogordo, nm 88310, usa"
"Alamosa, CO, United States",-105.8700214,37.4694491,"alamosa, co 81101, usa"
"Albany, NY, United States",-73.7562317,42.6525793,"albany, ny, usa"
"Albion, CA, United States",-123.7680598,39.2232406,"albion, ca, usa"
"Albion, PA, United States",-80.3664542,41.8906112,"albion, pa 16401, usa"
"Albuquerque, NM, United States",-106.650422,35.0843859,"albuquerque, nm, usa"
"Alexandria, LA, United States",-92.4451371,31.3112936,"alexandria, la, usa"
"Alexandria, OH, United States",-82.6123872,40.0889523,"alexandria, oh 43001, usa"
"Alexandria, VA, United States",-77.0469214,38.8048355,"alexandria, va, usa"
"Alfred, NY, United States",-77.7905509,42.2542366,"alfred, ny, usa"
"Allendale, MI, United States",-85.9540218,42.9721861,"allendale charter twp, mi, usa"
"Allentown, PA, United States",-75.4714098,40.6022939,"allentown, pa, usa"
"Allison Park, PA, United States",-79.9592134,40.5594832,"allison park, hampton township, pa, usa"
"Alma, KS, United States",-96.2891624,39.0166657,"alma, ks 66401, usa"
"Alma, MI, United States",-84.6602354,43.3789694,"alma, mi 48801, usa"
"Aloha, OR, United States",-122.8670454,45.4942838,"aloha, or, usa"
"Alpharetta, GA, United States",-84.2940899,34.0753762,"alpharetta, ga, usa"
"Altadena, CA, United States",-118.1313188,34.190162,"altadena, ca, usa"
"Altnau, , Switzerland",9.2573197,47.6106454,"8595 altnau, switzerland"
"Alton, IL, United States",-90.1842764,38.8906038,"alton, il, usa"
"Altus, OK, United States",-99.3340442,34.637765,"altus, ok, usa"
"Amarillo, TX, United States",-101.8312969,35.2219971,"amarillo, tx, usa"
"Amelia, OH, United States",-84.2177136,39.0283966,"amelia, oh 45102, usa"
"Amenia, NY, United States",-73.5567918,41.8492599,"amenia, ny 12501, usa"
"Ames, IA, United States",-93.6319131,42.0307812,"ames, ia, usa"
"Amherst, NH, United States",-71.6253487,42.8614748,"amherst, nh 03031, usa"
"Anaconda, MT, United States",-112.9478359,46.1262998,"anaconda, mt, usa"
"Anacortes, WA, United States",-122.6126718,48.5126045,"anacortes, wa 98221, usa"
"Anaheim, CA, United States",-117.9143012,33.8365932,"anaheim, ca, usa"
"Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Anderson, IN, United States",-85.6802541,40.1053196,"anderson, in, usa"
"Andover, NJ, United States",-74.7421089,40.9859311,"andover, nj, usa"
"Andrews, NC, United States",-83.8240667,35.2017549,"andrews, nc 28901, usa"
"Ann Arbor, MI, United States",-83.7430378,42.2808256,"ann arbor, mi, usa"
"Anna Maria, FL, United States",-82.7334334,27.5311474,"anna maria, fl, usa"
"Annandale, South New Wales, Australia",151.1707,-33.8814,"annandale nsw 2038, australia"
"Annandale, VA, United States",-77.1963703,38.8303905,"annandale, va, usa"
"Anson, ME, United States",-69.8892408,44.7983618,"anson, me, usa"
"Apache, AZ, United States",-109.1323499,31.6906629,"apache, az 85632, usa"
"Apache Junction, AZ, United States",-111.5500532,33.414911,"apache junction, az, usa"
"Apopka, FL, United States",-81.5322149,28.6934076,"apopka, fl, usa"
"Appleton, WI, United States",-88.4153847,44.2619309,"appleton, wi, usa"
"Aptos, CA, United States",-121.8994016,36.9771729,"aptos, ca 95003, usa"
"Arcata, CA, United States",-124.0828396,40.8665166,"arcata, ca, usa"
"Archer, FL, United States",-82.5189969,29.5299677,"archer, fl 32618, usa"
"Arkdale, WI, United States",-89.88783,44.0272994,"arkdale, wi 54613, usa"
"Arlington, MA, United States",-71.1564729,42.4153925,"arlington, ma, usa"
"Arlington, TN, United States",-89.661469,35.2961973,"arlington, tn, usa"
"Arlington, VA, United States",-77.0909809,38.8816208,"arlington county, arlington, va, usa"
"Arnaudville, LA, United States",-91.9315062,30.3976973,"arnaudville, la 70512, usa"
"Artesia, NM, United States",-104.4032962,32.8423345,"artesia, nm 88210, usa"
"Ashbury Park, NJ, United States",-74.0120817,40.2203907,"asbury park, nj 07712, usa"
"Asheville, NC, United States",-82.5514869,35.5950581,"asheville, nc, usa"
"Ashfield, MA, United States",-72.788426,42.5264745,"ashfield, ma, usa"
"Ashland, OR, United States",-122.7094767,42.1945758,"ashland, or 97520, usa"
"Ashland, WI, United States",-90.8837982,46.5924428,"ashland, wi 54806, usa"
"Aspen, CO, United States",-106.8175387,39.1910983,"aspen, co 81611, usa"
"Astoria, NY, United States",-73.9234619,40.7643574,"astoria, queens, ny, usa"
"Atakpame, , Togo",1.1305049,7.5286908,"atakpame, togo"
"Atascadero, CA, United States",-120.6707255,35.4894169,"atascadero, ca 93422, usa"
"Athens, GA, United States",-83.357567,33.9519347,"athens, ga, usa"
"Athens, OH, United States",-82.1012554,39.3292396,"athens, oh 45701, usa"
"Atlanta, GA, United States",-84.3876845,33.748752,"atlanta, ga, usa"
"Atlantic City, NJ, United States",-74.4229266,39.3642834,"atlantic city, nj, usa"
"Atwater, CA, United States",-120.609084,37.3477174,"atwater, ca 95301, usa"
"Auburn, NSW, Australia",151.023592,-33.8603378,"auburn nsw 2144, australia"
"Auburn Hills, MI, United States",-83.2341028,42.6875323,"auburn hills, mi, usa"
"Auckland, , New Zealand",174.7644881,-36.8508827,"auckland, new zealand"
"Augusta, GA, United States",-82.0105148,33.4734978,"augusta, ga, usa"
"Augustine, FL, United States",-81.3124341,29.9012437,"st. augustine, fl, usa"
"Auke Bay, AK, United States",-134.6583071,58.3950682,"auke bay, juneau, ak 99801, usa"
"Aurora, IL, United States",-88.3200715,41.7605849,"aurora, il, usa"
"Austin, TX, United States",-97.7430608,30.267153,"austin, tx, usa"
"Avon Lake, OH, United States",-82.0282001,41.5053178,"avon lake, oh 44012, usa"
"Avondale, AZ, United States",-112.3496021,33.4355977,"avondale, az, usa"
"Aylmer, Ontario, Canada",-80.9828842,42.7729381,"aylmer, on n5h, canada"
"Backus, MN, United States",-94.5163876,46.8202373,"backus, mn 56435, usa"
"Bad Zwischenahn, , Germany",8.0098765,53.1814401,"26160 bad zwischenahn, germany"
"Bad Zwischenahn, Lower Saxony, Germany",8.0098765,53.1814401,"26160 bad zwischenahn, germany"
"Bainbridge Island, WA, United States",-122.5210008,47.6248791,"bainbridge island, wa, usa"
"Bakersfield, CA, United States",-119.0187125,35.3732921,"bakersfield, ca, usa"
"Baltimore, MD, United States",-76.6121893,39.2903848,"baltimore, md, usa"
"Bancroft, ON, Canada",-77.8548814,45.0558574,"bancroft, on k0l, canada"
"Bangkon, , Thailand",100.5017651,13.7563309,"bangkok, thailand"
"Bangor, ME, United States",-68.7712257,44.8016128,"bangor, me 04401, usa"
"Bardstown, KY, United States",-85.4669025,37.8092279,"bardstown, ky 40004, usa"
"Bark River, MI, United States",-87.3048536,45.7102456,"bark river, mi 49807, usa"
"Barlett, IL, United States",-88.1856301,41.9950276,"bartlett, il, usa"
"Barre, VT, United States",-72.5020494,44.1970055,"barre, vt 05641, usa"
"Barron, WI, United States",-91.8490626,45.4013471,"barron, wi 54812, usa"
"Barstow, CA, United States",-117.0172826,34.8957957,"barstow, ca, usa"
"Barton, VT, United States",-72.176258,44.7480805,"barton, vt, usa"
"Baton Rouge, LA, United States",-91.1871466,30.4514677,"baton rouge, la, usa"
"Battle Creek, MI, United States",-85.1797142,42.3211522,"battle creek, mi, usa"
"Beaufort, SC, United States",-80.6698286,32.4315813,"beaufort, sc, usa"
"Beech Grove, IN, United States",-86.0899847,39.7219884,"beech grove, in, usa"
"Belchertown, MA, United States",-72.4008884,42.2770346,"belchertown, ma 01007, usa"
"Belfast, ME, United States",-69.0064234,44.4259092,"belfast, me 04915, usa"
"Belgrade, ME, United States",-69.8321004,44.4466514,"belgrade, me, usa"
"Belgrade, MT, United States",-111.1770945,45.7762463,"belgrade, mt 59714, usa"
"Belleville, IL, United States",-89.9839935,38.5200504,"belleville, il, usa"
"Bellevue, IA, United States",-90.4257531,42.2588936,"bellevue, ia 52031, usa"
"Bellflower, CA, United States",-118.1170117,33.8816818,"bellflower, ca, usa"
"Bellingham, WA, United States",-122.4786854,48.7519112,"bellingham, wa, usa"
"Bellville, OH, United States",-82.5107222,40.6200588,"bellville, oh, usa"
"Bellvue, CO, United States",-105.1725918,40.6295895,"bellvue, co 80512, usa"
"Belmont, MA, United States",-71.1776114,42.3956405,"belmont, ma, usa"
"Belmont, MI, United States",-85.6123238,43.0747937,"belmont, plainfield charter township, mi 49306, usa"
"Beloit, WI, United States",-89.0317765,42.5083482,"beloit, wi 53511, usa"
"Belton, SC, United States",-82.4942948,34.5228881,"belton, sc 29627, usa"
"Bennington, VT, United States",-73.1967741,42.8781345,"bennington, vt 05201, usa"
"Bentonville, AR, United States",-94.2102141,36.3723561,"bentonville, ar, usa"
"Berea, OH, United States",-81.8543026,41.3661614,"berea, oh 44017, usa"
"Bergen, NY, United States",-77.9422336,43.0853387,"bergen, ny 14416, usa"
"Berglen, , Germany",9.4684971,48.8613141,"berglen, germany"
"Berkeley, CA, United States",-122.273042,37.8715226,"berkeley, ca, usa"
"Berkeley Springs, WV, United States",-78.2271957,39.6269902,"berkeley springs, wv 25411, usa"
"Berlin, , Germany",13.404954,52.5200066,"berlin, germany"
"Berlin, NH, United States",-71.1850768,44.4686696,"berlin, nh, usa"
"Berlin, NJ, United States",-74.9290536,39.7912261,"berlin, nj 08009, usa"
"Berne, NY, United States",-74.1334647,42.6253546,"berne, ny 12023, usa"
"Berrien Springs, MI, United States",-86.338905,41.9464342,"berrien springs, mi 49103, usa"
"Berrima Village, , Australia",150.3385238,-34.4865037,"berrima nsw 2577, australia"
"Berthoud, CO, United States",-105.0810924,40.3083174,"berthoud, co, usa"
"Berwick, ME, United States",-70.8635506,43.2683199,"berwick, me, usa"
"Besancon, , France",6.0240539,47.237829,"25000 besançon, france"
"Bethel, AK, United States",-161.7694402,60.794259,"bethel, ak, usa"
"Bethesda, MD, United States",-77.0947092,38.984652,"bethesda, md, usa"
"Bethlehem, PA, United States",-75.3704579,40.6259316,"bethlehem, pa, usa"
"Bettendorf, IA, United States",-90.5072573,41.5262641,"bettendorf, ia, usa"
"Beulah, CO, United States",-104.986655,38.0750064,"beulah, beulah valley, co 81023, usa"
"Biddeford, ME, United States",-70.4533844,43.4925843,"biddeford, me 04005, usa"
"Big Rapids, MI, United States",-85.4836557,43.6980782,"big rapids, mi 49307, usa"
"Big Spring, TX, United States",-101.4787355,32.2503979,"big spring, tx 79720, usa"
"Billings, MT, United States",-108.5006904,45.7832856,"billings, mt, usa"
"Biloxi, MS, United States",-88.8853078,30.3960318,"biloxi, ms, usa"
"Binghamton, NY, United States",-75.9179738,42.0986867,"binghamton, ny, usa"
"Birmingham, AL, United States",-86.8103567,33.5185892,"birmingham, al, usa"
"Birmingham, AL , United States",-86.8103567,33.5185892,"birmingham, al, usa"
"Bisbee, AZ, United States",-109.9284084,31.4481547,"bisbee, az 85603, usa"
"Bismarck, IL, United States",-87.6080755,40.2639252,"bismarck, il, usa"
"Bismark, NC, United States",-100.7876931,46.8054947,"bismarck, nd, usa"
"Blacksburg, SC, United States",-81.5159246,35.1212408,"blacksburg, sc 29702, usa"
"Blacksburg, VA, United States",-80.4139393,37.2295733,"blacksburg, va, usa"
"Blaxhall, Suffolk, United Kingdom",1.456853,52.161777,"blaxhall, woodbridge ip12, uk"
"Bloomfield, IN, United States",-86.9375068,39.0269903,"bloomfield, in 47424, usa"
"Bloomington, IL, United States",-88.9936873,40.4842027,"bloomington, il, usa"
"Bloomington, IN, United States",-86.5263857,39.165325,"bloomington, in, usa"
"Blue Diamond, NV, United States",-115.4038924,36.0463595,"blue diamond, nv, usa"
"Blue Island, IL, United States",-87.6800486,41.6572562,"blue island, il, usa"
"Blue Lake, CA, United States",-123.9839488,40.8829072,"blue lake, ca, usa"
"Bluffton, OH, United States",-83.8888288,40.8953301,"bluffton, oh 45817, usa"
"Boca Raton, FL, United States",-80.1289321,26.3683064,"boca raton, fl, usa"
"Bogangar, NSW, Australia",153.568004,-28.3304338,"bogangar nsw 2488, australia"
"Boise, ID, United States",-116.2023137,43.6150186,"boise, id, usa"
"Bologna, , Italy",11.3426163,44.494887,"bologna, metropolitan city of bologna, italy"
"Bonita Springs, FL, United States",-81.7786972,26.339806,"bonita springs, fl, usa"
"Boone, NC, United States",-81.6745517,36.216795,"boone, nc, usa"
"Bossier City, LA, United States",-93.7321228,32.5159852,"bossier city, la, usa"
"Boston, MA, United States",-71.0588801,42.3600825,"boston, ma, usa"
"Boswell, British Columbia, Canada",-116.762954,49.453918,"boswell, bc v0b 1a4, canada"
"Boulder, CO, United States",-105.2705456,40.0149856,"boulder, co, usa"
"Bowdoin, ME, United States",-69.9696243,44.0495825,"bowdoin, me 04287, usa"
"Bowie, AZ, United States",-109.4870642,32.3259301,"bowie, az 85605, usa"
"Bowling Green, IN, United States",-87.0116791,39.3830983,"bowling green, in 47833, usa"
"Bowling Green, OH, United States",-83.6513229,41.3747744,"bowling green, oh, usa"
"Boyes Hot Springs, CA, United States",-122.4819253,38.3138029,"boyes hot springs, ca 95476, usa"
"Boynton Beach, FL, United States",-80.0905465,26.5317866,"boynton beach, fl, usa"
"Bozeman, MT, United States",-111.0319925,45.6814733,"bozeman, mt, usa"
"Bradford, NH, United States",-71.9576292,43.2687048,"bradford, nh, usa"
"Bradford, OH, United States",-84.4307831,40.1322719,"bradford, oh 45308, usa"
"Bradford, PA, United States",-78.649163,41.9564953,"bradford, pa 16701, usa"
"Brainerd, MN, United States",-94.2020084,46.3526733,"brainerd, mn 56401, usa"
"Brandon, FL, United States",-82.2859247,27.937801,"brandon, fl, usa"
"Brattleboro, VT, United States",-72.5578678,42.8509152,"brattleboro, vt 05301, usa"
"Braunschweig, , Germany",10.5267696,52.2688736,"brunswick, germany"
"Bray, County Wicklow, Ireland",-6.1110741,53.200903,"bray, co. wicklow, ireland"
"Bremen, , Germany",8.8016937,53.0792962,"bremen, germany"
"Brentwood, CA, United States",-121.6957863,37.931868,"brentwood, ca 94513, usa"
"Brentwood, NY, United States",-73.2462273,40.7812093,"brentwood, ny, usa"
"Brevard, NC, United States",-82.7342919,35.2334472,"brevard, nc, usa"
"Bridgeton, NJ, United States",-75.2340768,39.427337,"bridgeton, nj 08302, usa"
"Brighton, MA, United States",-71.1604919,42.3489143,"brighton, boston, ma, usa"
"Brisbane, QLD, Australia",153.0260341,-27.4704528,"brisbane qld, australia"
"Bristol, , England",-2.58791,51.454513,"bristol, uk"
"Bristol, IN, United States",-85.8173723,41.7167388,"bristol, in 46507, usa"
"Bristol, TN, United States",-82.1887444,36.5951059,"bristol, tn, usa"
"Brockton, MA, United States",-71.0183787,42.0834335,"brockton, ma, usa"
"Brogue, PA, United States",-76.484452,39.8721853,"brogue, pa 17309, usa"
"Bronx, NY, United States",-73.8648268,40.8447819,"bronx, ny, usa"
"Brookings, SD, United States",-96.7983877,44.3113573,"brookings, sd 57006, usa"
