title,type,address,unclear.address,city,state,description,stars,star.type,mentions.race,mentions.disability,notes
This Week in Texas (TWT) ,Publication,,checked,,TX,"Tel. 522 1760. Statewide entertainment guide, including a Woman's Place plus Texas
bar guide, sometimes Louisiana information. $55 per year, $35 per half year. Back issues $2
each. First class postage. Weekly",,,,,
Magnolia,Music Production,21 S 15th St,,Birmingham,AL,,,,,,"Under the ""Statewide"" rather than a city"
Birmingham Gay Center,Center, 1019 23rd Street S,,Birmingham,AL, Tel. 251-0682. Your first stop in gay Birmingham,***(**),For Review/Unclear,,,
Lambda Hotline/Gay Info,Information Services,PO Box 73062,checked,Birmingham,AL," Tel. 251-0682. Contact them for details about local MCC and Dignity
",,,,,"
"
Metropolitan Community Church,Religious Groups, 1019 23rd Street S,,Birmingham,AL,"Tel. 251-0682. Your best bet as an alternative to the bar scene in Birmingham. The minister Is a lesbian and theres a pot-luck dinner every Sunday at 6pm, held at the BIRMINGHAM GAY CENTER, 1019-23rd Street, South. Phone number as above",,,,,Shares a space with the Birmingham Gay Center
Bill's Place (Bill's Club),Bars,208 23rd Street N,,Birmingham,AL,"Tel. 254-8634. Very nice place, women only. Disco, pinball, very comfortable and highly recommended. (Located between 2nd and 3rd Avenue). Closed Sundays.",****,"Bars, Clubs, Coffeehouses",,,
Basics,Bars, 912 19th Street N ,,Birmingham,AL,Tel. 254-8612. New and highly recommended,***,"Bars, Clubs, Coffeehouses",,,
Steak 'n' Eggs,Restaurant, 1717 10th Avenue S,,Birmingham,AL,Tel. 933-9822. Popular after hours eating place. Open 24 hours daily.,*,Restaurants,,,
Dexter Pub,Bars, 207 Dexter Avenue,,Montgomery,AL,"Tel. 264-9059 and 269-9715. Super bar with disco, piano bar living-room type lounge, regular shows and two New Orleans style outdoor courtyards. Their new plans include a health club with special nights for ladies. Open 7pm- 5am. Disco from 5am. Very, very highly recommended. A private club that will admit new members who have valid ID and a copy of GAIA'S GUIDE",**(**),"Bars, Clubs, Coffeehouses",,,
Hojon's,Bars, 215 North Court Street,,Montgomery,AL,Tel. 265-0021. Open Mon-Sat from 8pm-3am&Sat till 2am. Pool table/computer & video games/lounge/disco/downstairs bar.,**,"Bars, Clubs, Coffeehouses",,,
Casablanca Disco,Bars, 305 Randolph.,,Montgomery,AL,,**,"Bars, Clubs, Coffeehouses",,,
Montgomery Gay Rap Group,Discussion Group,,checked,Montgomery,MD,"Montgomery County MD Tel. 963 0646. This is now an all-male group but contact the, for local referrals and check with BLADe of DC for information about the women's group. ",,,,,
Metropolitan Community Church of the Ozarks,Religious Groups,P.O. Box 92,checked,Fayetteville,AR,Meetings at: the Church at Kenway & Plainview Tel. ~278 & 443-3717. Sunday services at 11am & 7.30pm. Also coffeehouse for gay women & men and other activities during the week.,,,,,
MCC/Fayetteville,Religious Groups,,checked,Fayetteville,NC,Tel. 484-823,,,,,PO Box 53275
Our House,Bars,336 Central ,,Hot Springs,AR,Tel. 624-6868. Disco 6 days a week. Open 12 noon-2am.,**(MGM),"Bars, Clubs, Coffeehouses",,,
Gay Counseling Service ,Counseling, 409 Walnut ,,Little Rock,AR,Tel. 663-6455. Dr. Ralph Hyman,,Organizations,,,
Gay A_A,Group,"7509 Cantrell suite 102, Tanglewood Shopping Center",checked,Little Rock,AR,,*,Organizations,,,
National Organization of Women,Organization,Box 622,checked,Little Rock,AR,Tel. 227-0003. Strong lesbian participation.,,Organizations,,,
Grassroots Women's House,Center,,checked,Little Rock,AR,Tel. 378-7851. Strictly political interests. Not all-lesbian.,****,Organizations,,,
Silver Dollar,Bars,2710 Asher Avenue,,Little Rock,AR,"Tel. 663-9886. A mixed gay bar-often mostly women clientele. Game area with pool tables, video & pin-ball Serves beer & snacks. Open 12 noon-midnight.",***,"Bars, Clubs, Coffeehouses",,,
Discovery Disco,Bars/Restaurants, 1021 Jessie,,Little Rock,AR,Tel. 664-4784. Pool tables/video games/dancing. Open Weds-Sat. 9pm-3am & Sun. till late. Show time Weds. & Sun. 9pm & 11pm. Back & front bars (back bar open after the shows). Private club.,**,"Bars, Clubs, Coffeehouses",,,
Arizona Gay News (AGN) ,Publication,PO Box 5002,checked,Tucson,AZ,"Tel. 623-5268. Weekly gay newspaper, full of Arizona news and resources.",,,,,Listed under Statewide
"Gay Christian Outreach Services, INC",Religious Groups,,checked,Tucson,AZ,Tel. 792-3772 (24 Hours). Crisis help/social action/informauon & referral.,,,,,
Switchboard,Information Services,,checked,Tucson,AZ,Tel. 626-HELP. Information/referrals/counseling.,,,,,
Gay Information/Referral,Information Services,,checked,Tucson,AZ, 881-1794. Monday thru Friday- 8am-5pm. Very helpful people/some women on the answering staff.,,,,,
Help Line,Counseling,,checked,Tucson,AZ,323-9373. Crisis Line.,,,,,
Metropolitan Community Church of Tucson,Religious Groups,349 W 35th St,,Tucson,AZ,Tel. 622-4536. Offering regular worship services at 10:45 Sundays. Professional counseling and referrals/social activities/possible temporary housing/alcoholics together/women's rap group/children's activities. Other services available. Office Hours: Mon/Th/Fri. 1Dam-4pm + Tu/Weds 1pm-9pm. Over 50% of our church community are women. Be sure and say hi from GAIA.,,,,,
Dignity/Tucson,Religious Groups, P.O. Box 27929,checked,Tucson,AZ,"Tel. 297-6340. Gay and concerned Catholics. Alternate phone number, 297-6340.",,,,,
Ruby's,Bars,2512 E Grant Rd,,Tucson,AZ,Tel. 327-0114. Closed Mondays.,*****,"Bars, Clubs, Coffeehouses",,,
Dena's Outpost,Bars,555 E 16th St,,Tucson,AZ,"Tel. 623-2442. The owners went to turn this into a women's bar- but it is in a very bad section of Tucson and still maintains some straight clientele. You reports, please.",***,"Bars, Clubs, Coffeehouses",,,
Michael's ,Bars,140 S Kolb RD,,Tucson,AZ,(just south of Broadway- east side of town)Tel.886-5480 Good size dance floor for disco - a good mixture of gay women & men. Pinball/pool table/video games/movie nites/beer nite Weds.,**,"Bars, Clubs, Coffeehouses",,,
The Fine Line,Bars,101 W Drachman,,Tucson,AZ,"Tel. 882-4953. Clientele: 70% gay men/30% gay women. Some straights on weekends. Nice atmosphere, 3 areas: country bar, quiet bar and disco bar. Weekends are hopping and weeknights bring in a good crowd too.",**,"Bars, Clubs, Coffeehouses",,,
Joshua Tree/Back Pocket,Bars/Restaurants,2921 N 1st St,,Tucson,AZ,Tel. 622-6233. Juke box/pool table/ outdoor patio. Quiet atmosphere. Bar open 11am-1am. Restaurant open 11:30am-3am.,**(MGM),"Bars, Clubs, Coffeehouses",,,
Antigone Books,Bookstores,403 E 5th St,,Tucson,AZ,Tel. 792-3715. Very well-stocked bookshop featuring lesbian and feminist titles. They sell GAIA'S GUID,,,,,
Books Brothers LTD,Bookstores,3244 E Speedway,,Tucson,AZ,Tel. 326-3332. A new bookstore with a truly enormous range of gay and lesbian titles. also feminist books and much much more. Open 9-9 Mon-Fri. and 9-6 on Saturdays.,,,,,
Roommate Referral of Tucson,Room Mate Service,,checked,Tucson,AZ,c/o GayCommunity ServicesTel.622-8868. Mon-Fri. 7:30pm-midnight. Alternate number 622-3808.,,,,,
The Directory,Publication, PO Box 25073,checked,Phoenix,AZ,Tel. 277-0196. Gay resource and guide for Arizona. Extremely handy and extremely useful.,,Organizations,,,Listed under Statewide
Womansplace Bookstore,Bookstores,425 South Mill Ave,,Phoenix,AZ,"Tel. 966-9276 Your first stop in the Phoenix area. Bulletin board/notices, etc. for all current local events and information. Be sure and say 'hi' from GAIA.",,,,,
Gay Help Line,Information Services,,checked,Phoenix,AZ,Tel.265-1102.Thurs-Sat24hour.Mon-Wed 1Qam-6pm.Callforevents.,,,,,
The Full Moon Saloon,Bars,3108 East McDowell Rd,,Phoenix,AZ,"Tel. 275-0764. Office: 267-8707. Open 1pm-1am. Nightly disco plus live bands and gay community fund raisers. Games, snacks. 'The largest womyn's bar in Arizona, very friendly but younger crowd and comfortable for all. Sunday: home made lunches. Pool tournaments. We have a DJ every night playing rock and roll. Womyn's music'. Nominal cover charge after about 11.00pm on Saturday nights.",****,"Bars, Clubs, Coffeehouses",,,
Raggedy Ann and Andy's,Bars,2320 North 32nd Street,,Phoenix,AZ,"(at Oak); Tel. 957-9929. Cocktails and dinnners. Very nice women's bar. Terrific atmosphere. Sunday brunch, occasional shows. large dance floor, pool tables and pinball. Slightly older crowd. Nominal cover charge after about 11.00pm on Saturday nights.",****,"Bars, Clubs, Coffeehouses",,,
Incognito Lounge,Bars,2424 E Thomas Rd,,Phoenix,AZ,"Tel. 955-9805. Disco/young crowd, good music, friendly neighbourhood, bar atmosphere.",***,"Bars, Clubs, Coffeehouses",,,
Phillip's,Bars,4631 N 7th Ave,,Phoenix,AZ,"Tel. 248-9271. New to the Phoenix scene and very, very promising. Women bartenders.",**,"Bars, Clubs, Coffeehouses",,,
The Grans Camel Club,Bars/Restaurants,5105 N 43rd Ave,,Phoenix,AZ,"Tel. 841-9807. Multi-level super bar/restaurant/disco/game room -pin-ball, video, pool table. Open daily noon-1am. Friendly and intimate, serving dinner nightly. Sunday brunch at 12 noon.",**,"Bars, Clubs, Coffeehouses",,,
Sammy's Steak House and Saloon,Bars/Restaurants,2125 E McDowell Rd,,Phoenix,AZ,"Tel.231-0168. Good Restaurant, reasonable prices. Dance Floor. Separate Game Room. Pin Ball. Pool. Dinner is served until 9pm. Recommended. Sunday brunch: noon. Showtime: Sunday nights",**,"Bars, Clubs, Coffeehouses",,,
Womanplace,Bookstores,4201 N 32nd St,,Phoenix,AZ,"Tel. 956-0456.Feminist and lesbian books. newspapers, periodicals, records. buttons, greetings cards. stickers, jewelry etc. Three mail order booklists; lesbian, feminist, non-sexist children's. Send a S.20 stamp for each list. We sell GAIA'S GUIDE.",,,,,
Women's Pages,Publication,PO Box 38,checked,Scottsdale,AZ,"Tel. 947-5655. Statewide directory of women's resources, services and businesses. Extremely handy.",,,,,Listed under Statewide
Charlie's,Bars,23 N Leroux,,Flagstaff,AZ,(in the Weatherford Hotel) Tel. 779-1919. Folk music/women musicians. Open every night,*,"Bars, Clubs, Coffeehouses",,,
Aradia Women's Books,Bookstores,116 West Cottage,,Flagstaff,AZ,Tel. 779-3817. Closed Sundays- Feminist and lesbian titles galore.,,,,,
Fourth World,Counseling,110 W Geneva Dr,,Tempe,AZ,"Tel. 966 0039. Feminist therapy alternative, especially for those with lesbian lifestyles. For women only. Contact them for information about FEMINIST LESBIAN ACTIVIST COALITION.",**,Organizations,,,
Heartwood,Resort,1000 Navarro Bluff Rd,,Albion,CA,"(near Mendocino) Tel. 877-3466. A retreat resort for women only. Bed & breakfast plus rooms/camping, meals.",,,,,
Casablanca,Bars,"1927 ""K"" St",checked,Bakersfield,CA,Tel. 395-9282.,**,"Bars, Clubs, Coffeehouses",,,
Metropolitan Community Church of Bakersfield,Religious Groups,2415 Alta Vista Dr,,Bakersfield,CA,Tel.327-3724. Office hours: Sun. 7pm & Fri. 5-7pm.,,,,,
Plexus ,Publication,545 Athol Ave,,Oakland,CA,Tel. 451-2585. A power-house of feminist and lesbian resources for the San Francisco Bay area. Events calendar. Large classified ads section. $6.00 per year.,,,,,
MCC,Religious Groups,4986 Fairfax Ave,,Oakland,CA,Tel. 533-4848. They own their own church and have a lesbian pastor plus lesbian student ministers. The congregation is about 60% lesbian and they have many social activities and dances as well as religious services and counseling. Worship is Sundays at 6pm and Thursdays at 7pm.,,,,,
Coven of the Laughing Goddess,Religious Groups,PO Box 11363,checked,Oakland,CA,Tel. 444-7724 or 653-4169. Dianic (ie women only). Z Budapest.,,,,,
Feminist Women's Health Center,Medical Care,2930 McClure St,,Oakland,CA,Tel. 444-7664/444-5676. Full gynecological services/lesbian health and now their own sperm bank. Bv appointment only. Weekdays 9am-7pm.,,,,,
Pacific Center For Human Growth,Center,2712 Telegraph Ave,,Berkeley,CA,"Tel 841-6224 (switchboard). Crisis referral for housing, jobs, etc. Monthly newsletter and calendar of women's events, mental health services and switchboard. Offering these groups Lesbian rap group, Slightly Older Lesbians group, Women's Alcohol and Drug Abuse Group, Bi-sexual Women's Group, Black Lesbian Support Group. Under 30 Lesbian rap group. Also Lesbian incest survivors group and rape/sexual assault survivors group. One of the most successful and active gay centers in the world. A great first contact when new to the Berkeley/Oakland area.",***(**),Organizations,checked,,
Berkeley Women's Center,Center,2908 Ellsworth,,Berkeley,CA,Tel. 548-4343. Info and referral/ classes/evening programs & groups/workshops on all areas of interest to women & for women only. It is also the home of the BERKELEY WOMEN'S HEALTH COLLECTIVE(Tel. 843-6194).,****(*),Organizations,,,
Center For Non-Traditional Religion,Religious Groups,2221 Prince St,,Berkeley,CA,(corner of Prince and Fulton in Berkeley) Tel. 848-8505. This is a Women's Center of Goddess Worship. Frequent meetings/other activities.,,,,,
KPFA Women's Magazine,Radio Program,,checked,Berkely/Oakland,CA,12 noon KPFA,,,,,
Ruth Nodel,Counseling,,checked,Berkely/Oakland,CA,"Tel. 658-0229. Massage practitioner/holistic counseling/relaxing, therapeutic massage for women. Private practice, sliding scale.",,,,,
For Yourself,Sexuality Boutique,5467 College Ave,,Berkely/Oakland,CA,"(near Rockridge BART) Tel. 658-1904. Sensuous supplies. vibrators. body oils, books, erotic art. Monday through Sat. 12 noon-6pm.",,,,,
Becky Jacofsky,Insurance Agent,4020 Telegraph Ave,,Berkely/Oakland,CA,"Tel.655-6761. a wonderful. helpful woman insurance agent-she advertises 'proud to be gay, proud to serve gays'••• 'I've used her for years, the best ever I' Located across from the Women's Place",,,,,
Eddie's Bar,Bars,4101 Arden Dr,,El Monte,CA,Tel. 448-6579. Beer/pool table/clientele: all gay women and men. Atmosphere: very friendly. Highly recommended. Open 2pm-2amn days a week.,**,"Bars, Clubs, Coffeehouses",,,
Womanyes,Clothing,11336 Ranchito St,,El Monte,CA, Tel. 444-9862 (recorded message) Custom and feminist T-shirts/retail/mail order catalogue 25c,,,,,
The Driftwood,Bars,200 1st St,,Eureka,CA,"(in the Old Town section of Eureka). Tel. 442-9788. Clientele: about 40% gay women, about 50% gay men and about 10% bisexuals and others. The atmosphere is often a walk on the wild side but somehow friendly. It's just a beer and wine bar but with a pool table and pinball machine but the bartenders are friendly and it is gay-owned. Recommended.",**,"Bars, Clubs, Coffeehouses",,,
Metropolitan Community Church Fresno,Religious Groups,4144 N Melbrook,,Fresno,CA,meets at Unitarian Church Tel.441--0105(taped message).Sunday meeting at 5pm at the Church.,,,,,
The Palace/Rawhide Room,Bars,4030 E Belmont Ave,,Fresno,CA,"Tel. 264-8283. Dance floor/juke box/video games/4 pool tables. ""Your best bet in Fresno"". Hours: 3pm-2am.",***,"Bars, Clubs, Coffeehouses",,,
"Ash- Alcohol Services for Homosexuals, INC",Drug/Alcohol Services,11918 Garden Grove Blvd,,Garden Grove,CA,Tel. 537-9968.,,,,,
Gay and Lesbian Community Services Center of Orange County,Center,"12832 Garden Grove Blvd, Suite 200",,Garden Grove,CA,"Tel. 534-3280 (HOTLINE) 6.30- 10.30pm; 534--0862 (COUNSELING); 534-3263 (EVENTS LINE: RECORDED ANNOUNCEMENT 24 hrs/day, 7 days/week). Women's group and social happenings. Referrals. counseling, library, newsletter, outreach. Many activities and sub-groups. Your essential contact in Orange County. Your best bet when new to Orange County.",***(**),Organizations,,,
Happy Hour,Bars,12081 Garden Grove Blvd,,Garden Grove,CA,"Tel. 537-9079. Dance bar with entertainment games and community benefits. The ALL GIRL BAND plays on Weds, Friday and Saturday, Sunday is western night. Happy hour Mon-Fri 4pm-7pm and it's a women's bar but men are welcome. Open 2pm-2am weekdays and Sat/Sun noon-2am. A very, very highly recommended old-timer.",****,"Bars, Clubs, Coffeehouses",,,
Rumour Hazzit,Bars,8741 Garden Grove Blvd,,Garden Grove,CA,"534-9370. Pool table, good disco music, young crowd.",**,"Bars, Clubs, Coffeehouses",,,
D.O.K. West,Bars,12889 Garden Grove Blvd,,Garden Grove,CA,Tel. 534-9712,**,"Bars, Clubs, Coffeehouses",,,
The Mug,Bars,8612 Garden Grove Blvd,,Garden Grove,CA,Tel. 534-9943. Entertainment center. Women's pool tournaments. The men outnumber the women but apparently it's quite OK.,**(**),"Bars, Clubs, Coffeehouses",,,
Bed By The Bay,Hotel/Motel,PO Box 902,checked,Sausalito,CA,Bed & Breakfast. Guest rooms in private gay residence- San Francisco and Marin County. $24.00 and up. We provide information about SF's gay/lesbian activities.,,,,,
Bed-By-The-Bay,Accommodation,PO Box 902,checked,Sausalito,CA,"Sausalito, California 94966. Tel.383-7430/453-6405/334· 7262.'Offers you a comfortable lodging with a gracious gay host in a variety of San Francisco locations.'Prices from $23.00to $56.00 per day.",,,,,
Metropolitan Community Church/Ocean of Life,Religious Groups,148 E 22nd St,,Costa Mesa,CA,"meets at Community Church by the Bay, (1 block off Newport Blvd).The pastor is a lesbian.",,,,,
Newport Station,Bars,1945 Placentia Ave,,Costa Mesa,CA,"Tel. 631-0031. Very strict dress code regarding women's shirts. They must be buttoned from right to left (or is it left to right?)- anyway, they must button in the female way.",**(MGM),"Bars, Clubs, Coffeehouses",,,
Scene One,Bars,3340 N Azusa Ave,,Covina,CA,(WestCovina) Tel. 339-5505 and 332-9265 Bar/restaurant/disco. Cocktails and Sunday brunch. All Gay and 80% women. Highly recommended.,***,"Bars, Clubs, Coffeehouses",,,
Davis Lesbian and Gay Task Force,Political Group,433 Russell Blvd,,Davis,CA,"Tel. 753-2090. Affiliated with the GAY STUDENTS UNION OF THE UNIVERSITY OF CALIFORNIA AT DAVIS. They offer: Coming Out Group, Lesbian Sharing Group and potlucks. Events tape and see MOM GUESS WHAT/Newspaper for current details.",,,,,
The Turf Club,Bars,22517 Mission Blvd,,Hayward,CA,Tel.881-9877. Lately it's more women than men. Pool table/hard liquor bar/pin-ball/disco.Open7days 10am-2am.,***,"Bars, Clubs, Coffeehouses",,,
Big Mama's,Bars,22615 Mission Blvd,,Hayward,CA,Tel.881-9310. Hard liquor bar/disco/pool table/video games.Open7 days a week 10am-2am,**(MGM),"Bars, Clubs, Coffeehouses",,,
Driftwood Lounge,Bars,22170 Mission Blvd,,Hayward,CA,Tel. 581-2050.Disco/light sh<Ml/mist machine/pool table/video games. Open everyday2pm-2am.,****,"Bars, Clubs, Coffeehouses",,,
The Ranch,Camp Grounds,11101 E Side Rd,,Hopland/Talmadge,CA,"Tel.824-5352. Camping, swimming, hiking, star gazing, and bonfire. It's woman-owned. Special events in the summer.",,,,,
Gay and Lesbian Students/University of California at Irvine,Student Group,,checked,Irvine,CA,"Office at ASUCI Irvine 92717 Tel. 833-7229. They sponsor speakers, dances, an annual Gay Awareness Week and a social group. With the Counseling Center they sponsor a very popular on going support group. Their office has a library of books and current magazines.",*,Organizations,,,
Mainstreet,Bars,1460 S Coast Highway,,Laguna Beach,CA,Tel. 494-0056. Male-dominated.,**(MGM),"Bars, Clubs, Coffeehouses",,,
Fahrenheit 451,Bookstores,509 S Coast Highway,,Laguna Beach,CA,Gay literature and periodicals. They sell GAIA'S GUIDE.,*,"Bars, Clubs, Coffeehouses",,,
Coast Inn,Hotel/Motel,1401 S Coast Highway ,,Laguna Beach,CA,Tel.494-7588. Has two bars. Quite OK for gay women.,,,,,
Mountain Mommas,Resort,,checked,Lake Arrowhead,CA,Tel. 656-0258. Enjoy an affordable weekend in beautiful Lake Arrowhead- all the comforts of home including unusual catered meals.,,,,,
Inn Tahoe,Resort,114 Tahoe Vista,,Lake Tahoe,CA,"Mail to Box 114 Tahoe Vista; 95732. Location:7170 North Lake Boulevard Tel. 546-2444.A gay resort with frontage and a beach on the lake and lake- front rooms. Some kitchens, moderate rates, gay owned and operated. Very highly recommended.",,,,,
Gay Community Services/Long Beach,Center,1409 E 4th St Suite H,,Long Beach,CA,"Tel. 432-8047.A full service gay center staffed by really friendly, helpful people. Make this your first stop when moving to or visiting Long Beach. Counseling/referrals/volunteer support very welcome. Always extremely helpful to GAIA'SGUIDE.",***(**),Organizations,,,
Metropolitan Community Church/Long Beach,Religious Groups,,checked,Long Beach,CA,"Tel. 438-9781.Call for location of services, etc- to move in 1983",,,,,
Long Beach Women's Union,Group,2025 E 10th St,,Long Beach,CA,Office address 2025 East 10th Street(POBox14785)Tel. 928-2197 and 427 4840. Lesbian collective for social and political action. Contact the GAY COMMUNITY SERVICES for more details. This Group is growing. Monthly activities/annual picnic/meetings/movies/parties,**,Organizations,,,
Que Sera Sera,Bars,1923 E 7th St,,Long Beach,CA,Tel.599-6170.A women's bar with dancing and games. Open Monday- Friday 6pm-2am. Sat/Sun2pm-2am. Dress code: no levis (I),****,"Bars, Clubs, Coffeehouses",,,
Executive Suite,Bars,3428 E Pacific Coast Highway,,Long Beach,CA,(at Redondo)Tel.597-3884. Very highly recommended.,****,"Bars, Clubs, Coffeehouses",,,
Gazebo Cafe,Restaurant,674 Redondo Ave,,Long Beach,CA,"Tel.434-9921. Good to excellent food at very reasonable prices. Gay owned and operated. Open 24 hours a day. Clientele mostly gay women, some gay men and a few straights. (Corner of 7th and Redondo- just a few blocks from the QUE SERA SERA).",*,"Bars, Clubs, Coffeehouses",,,
Commanche,Bars,5211 N Atlantic Ave,,Long Beach,CA,Tel. 428 5545. Used to be INSPIRATION. Disco-dance floor/pool table/video game,**(MGM),"Bars, Clubs, Coffeehouses",,,
Whoop's Coop,Bars,2718 E Anaheim St,,Long Beach,CA,Tel.434-1449. A real old-timer and still going strong. Pool table/beer and wine bar.Clientele80% gay women.,***,"Bars, Clubs, Coffeehouses",,,
Queen City Travel,Travel Agency,506 E 4th St,,Long Beach,CA,Tel. 437-4197,,,,,
Dodd's Books,Bookstores,4818 E. 2nd St,,Long Beach,CA,Tel.438-9948.Feminist/lesbian and gay titles.,,,,,
Chelsea Bookstore,Bookstores,2121 E Broadway,,Long Beach,CA,Tel. 434 2220. Alternative bookstore - featuring a wide selection of gay and lesbian literature and also has a whole section devoted to women's music.,,,,,
For Yourself,Sensuality Store,220 State St No 10,,Los Altos,CA,"Tel. 949-3417. Massage and body oils, books, and playthings. Open Tues- Sat 11am-5.30pm. We are geared towards women'.

",,,,,
The Advocate gay Visitors Guide to Los Angeles(& Palm Springs),Publication,PO Box 5847,checked,San Mateo,CA,"Order from: The Advocate, P.O.Box 5847, SanMateo, Calif.,94402.A Guide Book for gay accommodations, bars, restaurants, shops, cultural attractions, for men and women. The priceIs$4.95 each and add$1.25for postage and handling.",,,,,
The Advocate Gay Visitors Guide to Los Angeles(& Palm Springs),Guide Book,PO Box 5847 ,checked,San Mateo,CA,"94402. a guide book for gay accommodations, bars, restaurants, shops, cultural attractions for men and women. The price is $4.95 each and add $1.25 for postage and handling.",,,,,
The Advocate Gay Visitors Guide to San Francisco (& The Russian River),Guide Book,PO Box 5847,checked,San Mateo,CA,"Order from The Advocate, PO Box 5847, San Mateo, Calif, 94402. A Guide Book for gay accommodation, bars. restaurants, shops, cultural attractions, for men and women. The price is $4.95 each and add $1.25 for postage and handling",,,,,
The Advocate Gay Visitors Guide to San Francisco,Guide Book,PO Box 5847,checked,San Mateo,CA,"Order from The Advocate, 94402. A Guide Book for gay accommodations, bars, restaurants, shops, cultural attractions, for men and women. The price is $4.95 each and add $1.25 for postage and handling.",,,,,
B Stree,Bars,236 South B St,,San Mateo,CA,"Tel. 348-4045. Bar and restaurant. The bar is about 100% gay: men 80%, women 20%. Sunday brunch is especially recommended. During the week- daytimes, the restaurant has a mixed gay/straight clientele and is a bit on the expensive side but the food is excellent.",**(MGM),"Bars, Clubs, Coffeehouses",,,
Lesbian News,Publication,6507 Franrivers,,Canoga Park,CA,Tel. 704-7825. L.A. Oriented monthly in big news-letter form. It's full of local resources and information- includes a very useful classified section. It's one of my own favorites. Subscription rates: Working women $8.50 per year or $10.00 per year for a family. Now in its 8th year.,,,,,
