Name of Site/Org,Site Type,Address,Unclear Address?,City,State,Description (copy & paste),Stars,Star Type,Mentions Race?,Mentions Disability?,Notes to review (if any)
Camping Women,Outdoor Group,,checked,Orange County,CA,"See OC calendar each month in the LESBIAN NEWS for current info/activities which include hikes, roller-skating, hot-air balloon trip, backpacking, thanksgiving weekend in the bottom of the Grand.canyon .••",,,,,
Gay/Lesbian Line of Stanford,,,checked,Palo Alto,CA,"Tel. 497-1488. gay events tape, includes info about the Women's Collective.",,,,,
Women Over 35,Special Interest Groups,,checked,Sacramento,CA,Tel. (Dean) at 371-3496 or see MOM GUESS WHAT! for current meetings and pot-lucks. Recommended as being very friendly people.,,,,,
E&G's Cuisinery,Restaurant,,checked,Sacramento,CA,Downtown Auburn Tel. 5588. Serving lunch and dinner. Relaxed country dining in an 1886 house. Closed Sundays and Mondays.,*,Restaurants,,,
San Bernardino Gay Hotline,Services,,checked,San Bernardino,CA,Tel. 824-7618. Hotline/info/referrals/personal support. 7 nights per week from 6.30-10.30pm. Serving San Bernardino/Riverside,,,,,
San Bernardino Gay Center,Center,,checked,San Bernardino,CA,Tel. 824 7618/Hotline. Lending library/peer counselling/ rap groups/mediation & arbitration commission and speakeri bureau.,,,,,
SD Events Tape,Gay News & Events,,checked,San Diego,CA,Tel. 239-9696,,,,,
Gay Runaways,Special Interest Groups,,checked,San Diego,CA,Tel. 280-1650,,,,,
San Francisco Women's Switchboard,Services,,checked,San Francisco,CA,Tel. 431-1414. Operates 6pm-8pm evenings. Taped message other times.,,,,,
San Francisco Beat,Services,,checked,San Francisco,CA,"Tel. 552-1312. Taped message which reads you all the gay news from everywhere/USA. Includes some macabre horror.stories punctuated with cheerful jingle-music. It's a riot. Office: 174 Henry Street, the contact News Hotline is 564-8912.",,,,,
Gay Overeaters,Special Interest Groups,,checked,San Francisco,CA,Tel. 863-2299.,,,,,
Pell's Fine Jewelrey,Jewelry,,checked,San Francisco,CA,Tel. 584-5591. West Indian bracelets. ,,,,,
Women's Needs Center,Health Center,,checked,San Francisco,CA,Tel. 221-7371. Mon- Fri 10am-5pm. Phones from 10am.,,,,,
Cal State Poly/SLO,Group,,checked,San Luis Obispo,CA,Tel 546-0111.,*,Organizations,,,
Gay People's Union/University of California at Santa Barbara,Group,,checked,Santa Barbara,CA,Meets 7pm in the Women's Center of the campus.,**,Organizations,,,
Gay/Lesbian Radio Collective,Radio Program,,checked,Santa Barbara,CA,Tel. 963-3636. Airing time: Weds 7pm-1Opm 91.9FM. A project of the Gay/Lesbian Resource Center. The program welcomes chats with out of town visitors.,,,,,
Health Matters,Health Center,,checked,Santa Cruz,CA,"which, as well as being a landmark, is excellent. Center hours: Mon 10am-4pm/Tues 10am-7pm/Weds 10am-4pm & 7pm-9pm/Thurs 9am-4pm/Fri 10am-4pm/Sat 9am-1pm.
",,,,,
Metropolitan Community Church of the Everlasting Light,Religious Groups,,checked,Stockton,CA,Tel. 943-5277. A quite charming voice (female) comes on with a taped message of current events.,,,,,
Gay Help-Line,Services,,checked,Colorado Springs,CO,Tel. 471-4429. 6pm-9pm.,,,,,
Womanventure Ranch,Recreational Retreat,,checked,Bailey,CO,Tel. 388-7288. Open year round/call for directions.,,,,,
Mutha's Inn,Bars/Restaurants,,checked,Woodacre,CA,Details please.,,,,,
Datacall,Services,,checked,Denver,CO,(Gay Community Center): Tel. 831-6268. Angry about police abuse or dis- crimination? Phone and report it. Alternate phone: 320-5972.,,,,,
Pike's Peak Metropolitan Community Church,Religious Groups,,checked,Denver,CO,meets at Unitarian Church 730 North Tejon Tel. 634-6186. Gayand Christian religious counselling/worship services.,,,,,
Parents & Friends of Gays,Special Interest Groups,,checked,Denver,CO,Tel. 333-0286. Or check with Gay Community Center if there's any change in phone number.,,,,,
Lavender and Old Lace,Special Interest Groups,,checked,Denver,CO,Tel. 322-8153. Lesbian S/M support group. Check with Gay Community Center if there happens to be a change in phone number.,,,,,
Dignity/Denver,Religious Groups,,checked,Denver,CO,Tel. 480-1924 (Recorded message). Gay Catholics and their friends.,,,,,
Slightly Older Lesbians (SOL),Special Interest Groups,,checked,Denver,CO,"Tel. (Shirley) 428-80?3, This group meets the 4th Sat of each month at 7.30pm - at different locations. Ring the-Gay Community Center if there's any change in the phone number.",,,,,
New England Womyn's Musical Retreat,Music Producers,,checked,,CO,Information from Bloodroot. Probably first weekend in September.,,,,,"Under ""Statewide"" no city listed"
Birds Of A Feather,Bars,,checked,Danbury,CT,"Tel. (914) 669-5650 (NY Area).Take l(nterstate Highway) 84 East to 1-684North, get off at Brewster Exit- really fantastic. It's a mixed gay bar and very well mixed. The women are friendly, beautiful and the place is out of this world. It's owned by two gay men who are pro-lesbian. It has a glassed-in dance floor, all wood, meeting rooms. game room, friendly bar and a lot of nice people. Once a month the SPARTACUS/SAPPHO STUDENTS ORGANIZATION meets there (Gay Studens' Union. Western Connecticut State College in Danbury, Connecticut). Very, very highly recommended.",**,"Bars, Clubs, Coffeehouses",,,
The Retreat (née Fall Village Inn),Women's Retreat,,checked,Falls Village,CT,"Tel. 824-7479. Rooms for women in a charming old colonial home, situated in the foothills of the Berkshire mountains. Open daily year round. Three fireplaces. Very comfortable. Reasonable rates. Renovated barn also available for a more private visit. Pool and tennis court for w~rm weather use. The property borders the Housatonic River, ideal for canoeing and fishing. AppalachianTrail nearby for those who enjoy hiking and backpacking. Cross country and downhill skiing areas locally for winter sports lovers. Ice skating too. Bring your own gear. Owned and managed by women. Call for reservations and be sure and say Hi from GAIA. (Opens March, 1983).",,,,,
Women's Therapy Association,Health Center/Clinic/Counseling,,checked,Hartford,CT,Tel. 232-2140.,,,,,
Yale Women's Center,Center,,checked,New Haven,CT,Tel. 432-3813.,,,,,
Gay/Lesbian Community (at Connecticut College),Group,,checked,New London,CT,Tel. 447-1911.,*,Organizations,,,
Women's Center of South East Connecticut,Center,,checked,New London,CT,Tel. 447-0366.,,,,,
GLAD- Gay Lesbians At Delaware,Group,,checked,Newark,DE,"Tel. 738-8066. This is the gay group of the University of Delaware, Newark. Offering Delaware Gay Community Coffeehouse Friday evening, usually attended by about 50 people, women and men of all ages and orientations. Special entertainment events. Referrals, counseling. Very helpful to GAIA'S GUIDE, Contact them for information about the new publication WOMEN""S COMMUNITY NEWS.",*,"Bars, Clubs, Coffeehouses",,,
Lesbian Switchboard,Services,,checked,Washington,DC,"Tel. 387-5525. Donations/correspondence, etc to: 1638 K Street, North West; 20009.",,,,,
Gay and Lesbian Switchboard,Services,,checked,Washington,DC,Tel. 387-4348. Operates 7.30pm-10.30pm nightly.,,,,,
The Washington Blade,Group,,checked,Washington,DC,"If you want more information about these groups, etc, in the Washington DC area please see the WASHINGTON BLADE: Friends Gay Radio/Sapphire/ Sappho (3rd World Lesbians)/Coalition of Gay Sisters (COGS)(Social Group)/Friday Night Live (Social Group)/Lesbian Mothers and Gay Fathers (parents who are gay)/Parents and Friends of Gays/International Lesbian and Gay Association/National Gay Task Force/Gay Community Center/Gay Restaurant Owners of Washington/Lesbian Rights Task Force of NOW",,,,,
Bet Mishpachah,Religious Groups,,checked,Washington,DC,"services held at Christ United Methodist Church 1 St SW between 3rd and 4th. For information call 833-1638, and see BLADE DC for current details. The gay and lesbian synagogue of Washington DC. Sabbath Service and Oneg, every Friday, 8.30pm. Women's Outreach Service- First Friday of every month.",,,,,
Coalition of Black Gays,Special Interest Groups,,checked,Washington,DC,Tel. 544-3259,,,checked,,
Women Producing Women,Production Company,,checked,Gainesville,FL,Tel. 495-2262. Production company for events/concerts any event that would bring women together plus Sunday afternoon coffeehouse once a month plus referral service for gay women visitors to the Gainesville area.,,,,,
NOW,NOW,,checked,Gainesville,FL,Tel. 392-1634. Campus. ,,,,,
Gay Nell's Books,Feminist Bookstore,,checked,Jacksonville,FL,Tel. 358-8394. By appointment only. Call for location. ,,,,,
Womanrise,Woman's Store,,checked,Jacksonville,FL,"Tel. 399-1608. T-shirts/Buttons/Posters etc. Call for appointment/location Say ""Hi"" to Audrey from GAIA. ",,,,,
Saloon One,Bars,,checked,Key West,FL,"Applerouth Lane (across from COPA). Basically a gay men's bar, but women do go there. Movies/Food/Western type atmosphere and people. ",**(MGM),"Bars, Clubs, Coffeehouses",,,
Gay Hot Line,Services,,checked,Broward County,FL,"Tel. 763-2857. Legal aid, medical aid, psychological aid, phone counseling, support groups and Heavy Rap Sessions. ONLY EMERGENCY CALLS AFTER MIDNIGHT. ",,,,,
ETZ CHAIM,Religious Groups,,checked,Broward County,FL,Tel. 969-6464. Gay Jews.,,,,,
Room Mate Finders of Broward and Palm Beach Counties Fort Lauderdale Florida,Room Mate Service,,checked,Broward County,FL,Tel. 563-6667 and 942-2402. Fast results. Member of Better Business Bureau since 1977 serving lesbians and gays which comprises a large part of our business. Recommended. ,,,,,
Gay Hotline,Services,,checked,Dade County,FL,Tel. 688-0246,,,,,
The Queer Pier,Pier,,checked,Fort Lauderdale,FL,Reynolds Street at ocean.,,,,,
Gay Hotline,Services,,checked,Orlando,FL,Tel 273-7890 or 843-2750. 9pm-midnight.,,,,,
Lido Beach,Beach,,checked,St Petersburg,FL,at the North end.,,,,,
The Gay Beach,Beach,,checked,Virginia Beach,FL,Key Biscayne Tel. 961-7540.,,,,,
Gay Hotline,Services,,checked,Winter Park,FL,Tel. 843-4297. 8pm-midnight.,,,,,
Weekday,Radio Program,,checked,Atlanta,GA,"WTBS at 11.35am-12.05pm Contact Super Stat10nWTBS, 1050 Techwood Drive, NW; 30318 Tel. 892-1717. A half hour talk, news and feature program for todays
woman.",,,,,
Keeping In Touch,Radio Program,,checked,Honolulu,HI,"KNDI Radio,1 270. Call-in number: 946-2845. 9am-1Oam on Thursdays.",,,,,
Lavender Wahini's Club,Social Group,,checked,Honolulu,HI,"a social group for gay and bi-sexual women. Two meetings a month. Dances (100 women attend). Hikes, boat-trips, parties, picnics - it's all very well attended. Collectively run.",,,,,
Both Sides Now,Gay Group,,checked,Maui Island,HI,"Weekly and bi-weekly parties, boat trips, support groups, referrals. Their newsletter, which gives full details Is available in HAMBURGER MARY'S. Very large lesbian partIcIpatIon.",*,Organizations,,,
Switchboard,Services,,checked,Champaign,IL,Tel. 348 8040 (hours 7pm-midnight).Counseling and social information. Serving central Illinois,,,,,
Gay & Lesbian Switchboard,Services,,checked,Chicago,IL,Tel. 929-4357 (hours 7pm-11pm nightly),,,,,
Gay News & Events ,Services,,checked,Chicago,IL,Tel. 236-0909,,,,,
Women's Affairs,Services,,checked,Bloomington,IN,Tel. 335-3640 (at Indiana University) ,,,,,
Gay/ Lesbian Switchboard,Services,,checked,Bloomington,IN,Tel. 336-4299 Taped message sometimes.,,,,,
Gay Hotline,Services,,checked,Iowa City,IA,Tel. 353-7162. Sunday through Friday; 7:30pm-10pm. ,,,,,
Gay Information,Services,,checked,Topeka,KS,"Tel. 235-0235. An extremely informative taped message gives you the current details regarding the bar scene, MCC/counseling service/AA/other groups and current activities. ",,,,,
New Leaf Books,Bookstores,,checked,Rockport,ME,"Tel. 236-2030. Specializes in books by and about women. Publications from small presses etc. Non-sexist children's literature, women's music, and books that are simply fun. Hours 10:30am-5:30pm Monday thru Saturday.",,,,,
Open House,Group,,checked,,MD,"In Bowie, Columbia, Largo and New Carrolton there are regular 'open house' See BLADE OF DC for current details.",,,,,
Sports/Outdoor Groups,Special Interest Groups,,checked,Baltimore,MD,Tel. 837 8888 (Gay Switchboard). Touch football/bowling/volleyball/softball/hockey/backpacking/basketball/skiing. ,,,,,
Gay AA,Special Interest Groups,,checked,Baltimore,MD,Tel. 243 4418 or 243 1783. They meet every Sat at 8:30pm- call for info. ,,,,,
Montgomery Gay Rap Group,Discussion Group,,checked,Montgomery,MD,"Montgomery County MD Tel. 963 0646. This is now an all-male group but contact the, for local referrals and check with BLADe of DC for information about the women's group. ",,,,,
Cogs,Group,,checked,Bethesda,MD,Tel. (Jan) 596 6070 (Kathy) 730 5838 (Amy) 997 0161. A strictly social group which meets every Weds in the HARRIET TUBMAN CENTER in Columbia. ,,,,,
Musically Speaking,Radio Programs,,checked,Boston,MA,"WMBR 88 1FM 1-4pm. Women's programming-music, ideas, and announcements. Call Melanie at 494-8810 with events and comments. ",,,,,
Something About the Women,Radio Programs,,checked,Boston,MA,WMFO (91.5) Saturdays 10am-2pm.,,,,,
Boston's Other Voice. ,Radio Programs,,checked,Boston,MA,"WROR 98 5FM 10:30pm. Weekly discussions of problems facing the lesbian/gay community. News, views, calendar, music.",,,,,
Gay Way Radio,Radio Programs,,checked,Boston,MA,WBUR (90.0 FM). Tel 353-2790. Every Tuesday at 8:30 pm. ,,,,,
Expressions,Counseling/Therapy,,checked,Boston,MA,"Tel. 666-5697. Therapy for women/individuals, couples, groups/lesbian relationship issues/sexuality/incest/abuse/removing barriers to intimacy. Sliding scale. ",,,,,
Isaiah's Lounge,Bars,,checked,Boston,MA,"01605 Tel. 798 8950/791 71 95. A disco bar. Good place to talk and meet old and new friends. Monthly entertainment. open every day from 4pm-2am except Sun, 4pm-1am. Games and snack and quite ok for gay men. Recommended. ",**,"Bars, Clubs, Coffeehouses",,,
Lesbian Lawyers and Legal Workers,Special Interest Groups,,checked,Boston,MA,Tel. 723-6327.,,,,,
Blue Anchor,Bars,,checked,Hyannis,MA,get address and phone number and report back!,**,"Bars, Clubs, Coffeehouses",,,
The Polish Club,Bars,,checked,Northhampton,MA,ask a WOMONFYRE BOOKS. 'Lesbians get together for socializing at the POLISH CLUB.',***,"Bars, Clubs, Coffeehouses",,,
Twelve Center,Hotels/Motels/Guest Houses/ETC,,checked,Provincetown,MA,"Tel. 487-0381. An elegant 1872 house. Rates $28 double. Efficiency cottage $40 per night, $250 per week. Complimentary coffee. 'Wonderful guest house-great hosts, Roger and Jon, made us feel welcome. Very good prices and clean lovely rooms. They give comp tickets to some of the bars too.'",,,,,
Wimmin's Music On WMHC,Radio Programs,,checked,South Hadley,MA,91.5 FM Tel. 538-2044. Saturdays from 12 noon to 2pm. Cell in when they're on the air. 'Where wimmin are the sound of the world'. ,,,,,
Gay Switchboard,Services,,checked,Detroit,MI,"Tel. 577 3450. Mon-Thurs. 6pm-10pm and 6pm-11pm Fridays and Saturdays, 'volunteers needed'. ",,,,,
The North End of Oval Beach,Beach,,checked,Saugatuck,MI,"entrance fee on weekends only $5.00 '& watch out for Bookie the ageing, harmless voyeur who guards the dunes. 'All gay nude beach. ",,,,,
Dexter Pub,Bars, 207 Dexter Avenue,,Montgomery,AL,"Tel. 264-9059 and 269-9715. Super bar with disco, piano bar living-room type lounge, regular shows and two New Orleans style outdoor courtyards. Their new plans include a health club with special nights for ladies. Open 7pm- 5am. Disco from 5am. Very, very highly recommended. A private club that will admit new members who have valid ID and a copy of GAIA'S GUIDE",**(**),"Bars, Clubs, Coffeehouses",,,
Hojon's,Bars, 215 North Court Street,,Montgomery,AL,Tel. 265-0021. Open Mon-Sat from 8pm-3am&Sat till 2am. Pool table/computer & video games/lounge/disco/downstairs bar.,**,"Bars, Clubs, Coffeehouses",,,
Casablanca Disco,Bars, 305 Randolph.,,Montgomery,AL,,**,"Bars, Clubs, Coffeehouses",,,
Gay Counseling Service ,Counseling, 409 Walnut ,,Little Rock,AR,Tel. 663-6455. Dr. Ralph Hyman,,Organizations,,,
Basics,Bars, 912 19th Street N ,,Birmingham,AL,Tel. 254-8612. New and highly recommended,***,"Bars, Clubs, Coffeehouses",,,
Birmingham Gay Center,Center, 1019 23rd Street S,,Birmingham,AL, Tel. 251-0682. Your first stop in gay Birmingham,***(**),For Review/Unclear,,,
Metropolitan Community Church,Religious Groups, 1019 23rd Street S,,Birmingham,AL,"Tel. 251-0682. Your best bet as an alternative to the bar scene in Birmingham. The minister Is a lesbian and theres a pot-luck dinner every Sunday at 6pm, held at the BIRMINGHAM GAY CENTER, 1019-23rd Street, South. Phone number as above",,,,,Shares a space with the Birmingham Gay Center
Discovery Disco,Bars/Restaurants, 1021 Jessie,,Little Rock,AR,Tel. 664-4784. Pool tables/video games/dancing. Open Weds-Sat. 9pm-3am & Sun. till late. Show time Weds. & Sun. 9pm & 11pm. Back & front bars (back bar open after the shows). Private club.,**,"Bars, Clubs, Coffeehouses",,,
Steak 'n' Eggs,Restaurant, 1717 10th Avenue S,,Birmingham,AL,Tel. 933-9822. Popular after hours eating place. Open 24 hours daily.,*,Restaurants,,,
Dignity/Tucson,Religious Groups, P.O. Box 27929,checked,Tucson,AZ,"Tel. 297-6340. Gay and concerned Catholics. Alternate phone number, 297-6340.",,,,,
The Directory,Publication, PO Box 25073,checked,Phoenix,AZ,Tel. 277-0196. Gay resource and guide for Arizona. Extremely handy and extremely useful.,,Organizations,,,Listed under Statewide
Commonground,Radio Programs,2 Ames St,,Cambridge,MA,"WMBR Radio Cambridge 88.1 FM. Friday evenings Tel. 253-4000. 2 Ames St Cambridge 02142. Founded by a woman, this is radio for lesbians and gay men. ",,,,,
Gay and Lesbian Advocates Defenders,Special Interest Groups,2 Park,checked,Boston,MA,2 park 02116 Tel. 426 2020.,,,,,
Green River Cafe,Restaurant,3 1/2 Osgood St,,Greenfield,MA,"Tel. 773-9077. Gay coffeehouse. Women's entertainment. Community benefits, special women's nights. 'We are a consciousness-raising restaurant- a collective trying yo bring creative new ideas to the general public... new ownership, new philosophy'. Very highly recommended. ",*(**),Restaurants,,,
Richmond Inn,Hotels/Motels/Guest Houses/ETC,4 Conant St,,Provincetown,MA,"Tel. 487-9193. 20 feet from Commercial Street and 3 blocks from PIED PIPER. It's a nice place to stay, gay owned and about $30.00 a night for a double.",,,,,
Shot Tower Bar,Bars,4 N High St,,Baltimore,MD,Tel. 539-8942. Women. Live Entertainment. Open days. Food. Closed Mon. ,****,"Bars, Clubs, Coffeehouses",,,
Metropolitan Community Church,Religious Groups,4th and York,checked,Lexington,KY,Meets at Unitarian Church 4th and York Tel. 366-4052. Sunday meetings: new outreach to lesbian community. ,,,,,
Victoria House,Hotels/Motels/Guest Houses/ETC,5 Standish,,Provincetown,MA,Tel. 487 1319.,,,,,
59 Taylor,Bars,5 Taylor St,,Springfield,MA,Tel. 736-5811. Disco and 'Duryee Room' -cocktail lounge. Open 7 days a week. 11am-2am. Disco from 9pm.,**,"Bars, Clubs, Coffeehouses",,,
Lady's Love Disco,Bars,5 W 7 Mile,,Detroit,MI,Tel. 892 6522. Extremely pleasant interior lots of plants and graphics. Small comfortable and highly recommended. Sunday brunch noon-3pm. ,****,"Bars, Clubs, Coffeehouses",,,
Grolier Book Shop,Bookstores,6 Plympton St,,Cambridge,MA,"02133 Tel 547 4648. General bookstore- gay/lesbian/women's title. 'POETRY only with a very solid collection of gay authors; we carry gay literacy periodicals, some of the poets reading are gay poets, but our emphasis is poetry. Mail and special orders invited. ",,,,,
Coat of Arms,Hotels/Motels/Guest Houses/ETC,7 Johnson,,Provincetown,MA,Tel. 487 0816.,,,,,
Watership Inn,Hotels/Motels/Guest Houses/ETC,7 Winthrop St,,Provincetown,MA,"02657 Tel. 487-0094. 'Serving gay women and gay men.' The location is good and central, the rooms are unique and comfortable. Private baths, contintetal breakfasts. The atmosphere is friendly and homey. Bar mixes are also available and WATERSHIP INN is very, very highly recommended. ",,,,,
Carousel,Bars,8 Clonia ,,Grand Rapids,MI,SW Tel. 454 2639.,***,"Bars, Clubs, Coffeehouses",,,
Christopher Inn Guest House,Hotels/Motels/Guest Houses/ETC,8 Dyer St,,Provincetown,MA,02657 Tel. 487 1920. Pool deck. Continental breakfast. Set ups. Open all year round. Center of town. Brochure and rates available on request. ,,,,,
Pipeline,Bars,9 Lansdowne St,,Boston,MA,Kenmore Square 9 Lansdowne St. Recommended disco. Games room. ,**,"Bars, Clubs, Coffeehouses",,,
Misha's Inn,Hotels/Motels/Guest Houses/ETC,9 Soper St,,Provincetown,MA,Tel. 487 0818.,,,,,
Frank's Place,Bars,9 Tilley St,,New London,CT,Tel. 443-8883. A gay bar for women and men. Piano bar now features women entertainers at weekends. Open till 2.00am.,**,"Bars, Clubs, Coffeehouses",,,
Gifford House,Hotels/Motels/Guest Houses/ETC,9-11 Carver St,checked,Provincetown,MA,Tel. 487 0688. Seasonal. ,,,,,
Valerie's ,Bars/Restaurants,10 S Maine St,,Ogunquit,ME,Tel. 646 2476. Full dinner menu and cozy piano bar.,*,"Bars, Clubs, Coffeehouses",,,
Scott's ,Bars,10 Sanchez St,,San Francisco,CA,"Tel. 864-9534. Your friendly neighborhood lesbian leather bar. Black/3rd world, friendly and fun.",***,"Bars, Clubs, Coffeehouses",,,
Isaiah's Lounge,Bars,11 Thomas St,,Worcester,MA,01605 Tel. 798 8950/791 7195. A disco bar. Good place to talk and meet old and new friends. Monthly entertainment. Open: Sat- Sun from 4pm. Mon-Fri from 2pm. Closes 1 am Sun. The rest of the week it's 2am. Games and snacks and quite OK for gay men. Recommended. ,**(MGM),"Bars, Clubs, Coffeehouses",,,
Haven House,Hotels/Motels/Guest Houses/ETC,12 Carver St,,Provincetown,MA,Tel. 487 3031. Swimming pool. Open year round. ,,,,,
Trade Winds Inn,Hotels/Motels/Guest Houses/ETC,12 Johnson St,,Provincetown,MA,Tel. 487-0138. Seasonal. ,,,,,
Birds Nest Gallery,Art Gallery,12 Mount Desert St,,Bar Harbor,ME,04609 Tel. 288 4054. A great art gallery- the largest selection in Maine. Over 40 different artists-gay and straight. ,,,,,
Everywoman's Center,Women's Center,14 Center St,,Provincetown,MA,Box 949 for mail; location 14 Center St 02657. Supposed to be open from 4-6pm. Check it out and report back. ,,,,,
Fenway Community Health Center,Health Center,16 Haviland St,,Boston,MA,Tel. 267-7573. Lesbian medical providers. By appointment Mon-Fri. Days and Monday evening. ,,,,,
Chancellor Inn,Hotels/Motels/Guest Houses/ETC,17 Center St,,Provincetown,MA,Tel. 487 9423.,,,,,
Won-Ten,Gay/Alternative Bookstore,17 Jackson Place,,Fort Wayne,IN,"Tel. 635-0961. Bar and restaurant, live bands. Disco and shows. Snacks and games. 'Slightly older crowd', A very, very highly recommended fun bar. Clientele: 95% gay women. Hours: 10am-3am Monday thru Saturday.",****,"Bars, Clubs, Coffeehouses",,,
Marlin Beach Hotel,Hotels/Motels/Guest Houses/ETC,17 South Atlantic Blvd,,,FL,"33316 Tel. 467 6551. Luxury hotel/resort with 100 rooms, many with spectacular views of the Atlantic Ocean. Swimming pool with poolside bar and Pool Deck restaurant. Air-conditioned with direct-dial phones and TV. Entertainment in the bars and restaurant. Mostly gay men but 'gay women should never feel out of place there.'",,,,,
The Iron Horse Coffeehouse,Coffeehouse,20 Center St,,Northhampton,MA,Tel. 584 0610 (recording) 584 3177. Live music 7 nights a week- the best in women's entertainment. Monthly events schedule. Coffee Happy hour: 8am- 10am. Serves 3 meals a day. Brunch served Sat and Sun until 2:30pm. ,*,"Bars, Clubs, Coffeehouses",,,
Tapestry,Special Interest Groups,20 Sacramento,,Boston,MA,02140 Tel. 661 0248. Lesbian social group. ,,,,,
Mercantile,Bars,20th & L St,checked,Sacramento,CA,The oldest gay bar in Sacramento.,**(MGM),"Bars, Clubs, Coffeehouses",,,
Janus Counseling for Lesbians,Counseling/Therapy,21 Bay St,,Cambridge,MA,"(Janus House) Cambridge Tel. 661-2537. Individual, group, and couple therapy for lesbian women. Serving the community since 1974.",,,,,
O'Dells,Bars,21 E North Ave,,Baltimore,MD,"Tel. 752 4449. Men and women (Monday Mostly Black), non-alcohol disco. ",**,"Bars, Clubs, Coffeehouses",checked,,
The Ideal,Restaurant,21 Huntingdon Ave,,Boston,MA,"(Copley Square) Tel. 247-8249. 'A restaurant for gay women, men and their friends.' Breakfast, lunch, dinner, late nights, fabulous weekend brunches. Many, many letters recommend this as an excellent and low-priced, high quality women's restaurant. ",**,Restaurants,,,
Magnolia,Music Production,21 S 15th St,,Birmingham,AL,,,,,,"Under the ""Statewide"" rather than a city"
Club 21,Bars,21st & L St,checked,Sacramento,CA,,**(MGM),"Bars, Clubs, Coffeehouses",,,
Friends,Restaurant,21st and P St,,Washington,DC,"NW (near Du Pont Circle) tel. 293-2025. Piano bar and good food, reasonable prices. Has a separate bar room for women only. Dancing. Recommended. ",**(MGM),Restaurants,,,
Womonfyre Books,Feminist Bookstore,22 Center St ,,Northhampton,MA,"01060 Tel 586-6445. Women's books, records, posters, T-shirts, jewelry, magazines, buttons. Ticket outlet for wimmin's concerts, bumper stickers, cards and GAIA'S GUIDE. Open 10am-6pm Tues/Weds/Thurs & Fri 12 noon-5pm Saturady. 'We love visitors.' MAIL ORDER SERVICE/information Notebook/'Meet the Author'. ",,,,,
The Bookswap,Bookstores,22 Miles St,,Greenfield,MA,Tel. 774-3989. Used books/feminist titles and Olivia Records. ,,,,,
