Name of Site/Org,Site Type,Address,Unclear Address?,City,State,Description (copy & paste),Stars,Star Type,Mentions Race?,Mentions Disability?,Notes to review (if any)
New Jersey Gay Coalition ,Group,,checked,New Brunswick,NJ,No Phone Listing,*,,,,PO Box 1431 08903
Intergay,Radio Program,,checked,New Brunswick,NJ,Tel 932 8800 and 932 7600,,,,,
The Den,Bars,,checked,New Brunswick,NJ,Tel 5545 7329 A real old-timer which is just about a gay community center,***,"Bars, Clubs, Coffeehouses",,,12-15 Hiram St 08901
Lesbian Union of Central Jersey,Group,,checked,Plainsboro,NJ,Tel 799 8928,**,Organizations,,,PO Box 87 08536
New Jersey Gay Switchboard,Information Services,,checked,Princeton,NJ,Tel 466 1980,,,,,PO Box 2303 Princeton NJ 08540
Metropolitan Community Church of Christ the Liberator,Religious Groups,,checked,Princeton,NJ,Tel 443 1706,,,,,PO Box 703 Princeton 08540 
Gay Activist Alliance of New Jersey,Group,,checked,Teaneck,NJ,Tel 692 1794,,,,,
Sapphic Sisters,Group,,checked,Union,NJ,Tel 352 4527 and 367 2227 A group for lesbians only ,**,Organizations,,,PO Box 2104 07083 
Amazon Autumn,Festival,,checked,Union,NJ,Tel 567 7509 Annual lesbian/feminist fall festival ,,,,,PO Box 2104 Union NJ 07083
The Lesbian Feminist,Group,,checked,Wayne,NJ,Tel 233 3848 and 763 1507 ,**,Organizations,,,Room 262 Benjamin Mattelson Hall William Patterson College 300 Prompton Road in Wayne 07470
Lambda News ,Publication,,checked,,NM,"No Phone Listing  ""I haven't yet seen this one""",,,,,PO Box 26554 87125 
Lesbian Support Group,Group,,checked,Albuquerque,NM,No Phone Listed for information contact Full Circle Books,,,,,
Common Ground,Group,,checked,Albuquerque,NM,Tel 266 8041 ,,,,,PO Box 11191 87103
Namaste,,,checked,Santa Fe,NM,No Phone Listed only open to ceremonious women and their children,,,,,PO Box 1134 87501 
Herizon,Information Services,,checked,Binghamton,NY,Tel 723 3200 Runs lesbian switchboard on Monday nights 7pm-9pm,,,,,
Women's Center,Centers,,checked,Binghamton,NY,Tel 722 4256 and 723 3200 answering service not an open center as such no regular meetings but they do publish a newspaper HOSA ,,,,,
Gay Rights for Older Women ,Group,,checked,Buffalo,NY,Tel 885 2295 Support group mainly but they organize dances once a month ,**,Organizations,,,
Gay Hotline,Information Services,,checked,Buffalo,NY,Tel 881 5335,,,,,PO Box 155 Ellicott Station 14203
Mr Chips ,Bars,,checked,Lake George,NY,Tel 792 9434 Disco dancing relaxed atmosphere,,"Bars, Clubs, Coffeehouses",,,Exit 20 off Northway on Route 9 North 
The Attic,Tea Dance,,checked,Long Island,NY,Tel 537 9611 Just before you get into town and actually located in a tiny hamlet called Wainscott,****,"Bars, Clubs, Coffeehouses",,,Montauk Highway 27 (East Hampton)
Sandpiper,Bars,,checked,Long Island,NY,Tel 537 0499/1,**,"Bars, Clubs, Coffeehouses",,,"The Pines, Fire Island"
The Ice Palace,Bars,,checked,Long Island,NY,Tel 597 6600 Super disco overflowing with gay gals and guys,**,"Bars, Clubs, Coffeehouses",,,"Cherry Grove, Fire Island"
The Monster,Bars,,checked,Long Island,NY,Tel 597 6888,**,"Bars, Clubs, Coffeehouses",,,"Box 81, Ocean Walk, Cherry Grove, Fire Island"
The Island Queen,Bars,,checked,Long Island,NY,No Phone Listed,**,"Bars, Clubs, Coffeehouses",,,"Cherry Grove, Fire Island"
Blue Whale,Bars,,checked,Long Island,NY,Tel 537 0499/1,**,"Bars, Clubs, Coffeehouses",,,"The Pines, Fire Island "
Top of the Bay,Bar/Restuarant,,checked,Long Island,NY,Tel 597 6699 or 368 1518 Excellent sea food slightly older clientele,***,"Bars, Clubs, Coffeehouses",,,"Cherry Grove, Fire Island"
The Cultured Elephant,Restaurant,,checked,Long Island,NY,No Phone Listing ,*,Restaurants,,,"The Pines, Fire Island"
132 North Main,Hotel/Motel,,checked,Long Island,NY,Tel 324 2246 Resort: main house and 2 acres also cabin and bunk house. Sexy swimming pool in the woods 1 1/2 mile from the beach. Mostly gay men about 10-20% gay women ,,,,,East Hampton 
Gansett Green LTD,Hotel/Motel,,checked,Long Island,NY,Tel 267 3133 Holiday apartments and cottages open to everyone especially gay women and men ,,,,,Box 799 Amagansett 11930
Womanews,Publication,,checked,New York City ,NY,Tel 989 7963 New York's City's feminist newspaper,,,,,PO Box 220 Village Station 10014
Gayellow Pages,Publication,,checked,New York City ,NY,"Tel 929 7720 directory of women's bars, businesses, organizations and services",,,,,Renaissance House (GG) PO Box 292 Village Station 100114
New York City News,Publication,,checked,New York City ,NY,"Tel 964 7272 News, art, reviews, features etc",,,,,PO Box 217 Grand Central Station 10163
Conditions,Publication,,checked,New York City ,NY,Tel 788 8654 Extremely high quality feminist literary review,,,,,PO Box 56 Van Brunt Station
Azaela,Publication,,checked,New York City ,NY,Quarterly magazine,,,,,PO Box 200 Cooper Station 10276 Quarterly magazine
Heresies,Publication,,checked,New York City ,NY,Tel 431 9060,,,,,PO Box 776 Canal St Station 10013
New York Women Against Rape,Information Services,,checked,New York City ,NY,Tel 777 4000 free and confidential counseling and referrals for victims of sexual assault and their families ,,,,,
Archives ,Archives,,checked,New York City ,NY,Tel 847 7232 Gathering and presenting news of lesbian lives and activities so that future generations of lesbians will have ready access to materials relevant to them,,,,,Po Box 1258 10001
Victims Services Agency ,Information Services,,checked,New York City ,NY,Tel 577 7777 After you've been a victim of a crime they give you support information,,,,,
WBAI 99.5 FM,Radio Program,,checked,New York City ,NY,"Tel 279 0707 Call for details of programs as times vary. Lesbian programs, gay programs, and women's programs. ",,,,,
Women's Studies,Radio Program,,checked,New York City ,NY,Tel 279 0707 WBAI 99.5 FM radio Wednesdays at 11am ,,,,,
Harlem Metropolitan Community Church,Religious Groups,,checked,New York City ,NY,No Phone Listing,,,,,PO Box 574 10030
Dignity ,Religious Groups,,checked,New York City ,NY,Tel 869 3050,,,,,PO Box 15 54 FDR Station 10150
Greater Gotham Business Council Inc,Group,,checked,New York City ,NY,No Phone Listing Progressive organization for lesbians who want to set up their own business ,,,,,PO Box 41 Chelsea Station 10011
Hikin' Dykes,Group,,checked,New York City ,NY,Tel 569 1888/799 2553/677 9142 Call or write to get on their mailing list,,,,,
Dykes Against Racism Everywhere (DARE) ,Group,,checked,New York City ,NY,Tel 691 7950 (ext 6102),,,checked,,PO Box 914 Stuyvesant Station 10009
Coalition for Lesbian and Gay Rights,Group,,checked,New York City ,NY,Tel 804 1258 ,,,,,PO Box 772 Chelsee Station
Gay and Lesbian Blind,Group,,checked,New York City ,NY,Tel 924 1631 (Raoul) 520 1529 (Rosalind) 362 8729 (Michael) ,,,,,
Gay Teachers Association,Group,,checked,New York City ,NY,Tel 255 5969/499 1060 They meet once a month a very right on group emphasizing lesbian rights,,,,,PO Box 435 Van Brunt Station Brooklyn
Front Runners New York,Group,,checked,New York City ,NY,Tel 278 8280 They mostly run Wednesday evenings or Saturday mornings,,,,,
Crystal Quilt,Group,,checked,New York City ,NY,"Tel 622 7545 Discussion, workshops, referrals",,,,,
Metamorphosis ,Centers,,checked,New York City ,NY,Tel 728 4615 Peer and professional counseling available,,,,,PO Box 6245 Broadway Station Long Island City 
Commitee of Lesbian/Gay Male Socialists,Group,,checked,New York City ,NY,Tel 988 3012 (Ask for Robert) ,,,,,Po Box 512 Village Station
Lesbian Sex Mafia,Group,,checked,New York City ,NY,No Phone Listing believed to have moved but all mail will be forwarded,,,,,Po Box 2 Village Station
Gay Atheist League of America,Group,,checked,New York City ,NY,Tel 595 1445 ,,,,,PO Box 248 Village Station
Lavender Left,Group,,checked,New York City ,NY,No Phone Listing,,,,,Po Box 512 Village Station 
Bi Support Group,Group,,checked,New York City ,NY,Tel 967 9736 Support Group for bi-sexuals and their partners,,,,,
Gotham Psychotherapy Associates,Centers,,checked,New York City ,NY,Tel 940 0033,,,,,
Frank C David Inc,Funeral Director,,checked,New York City ,NY,Tel 729 400 Run by women and they advertise in every gay publication known of,,,,,
Joy Scorpio,Hairdressing,,checked,New York City ,NY,Tel 674 3187,,,,,
Christine Moser,Insurance,,checked,New York City ,NY,Tel 841 8400,,,,,
Marjory Ackerman,Massage,,checked,New York City ,NY,Tel 499 6453 Swedish Massage,,,,,
Janice Blitzor,Massage,,checked,New York City ,NY,Tel 260 7017 Incorporates Swedish Massage and does other workshops as well,,,,,
Rivendell Marketing Company,Public Relations,,checked,New York City ,NY,Tel 242 6863 Specializes in securing national advertising for the gay press across the U.S. ,,,,,PO Box A Old Chelsea Station 10011
New York Roommate Service,Room Mate Service,,checked,New York City ,NY,Tel 505 0770,,,,,
Bronx Women Against Rape,Information Services,,checked,Bronx,NY,Tel 568 4511 day 920 7101 night hotline,,,,,
Lost and Found,Bars,,checked,Manhattan,NY,No Phone Listing Women only on Sunday ,****,"Bars, Clubs, Coffeehouses",,,Lexington at 38th 
Milford Plaza Hotel,Hotel/Motel,,checked,Manhattan,NY,"Tel 869 3600. All rooms with private bathroom, radio. Clientele: mostly gay men. ",,,,,
Womanspace/All the Queen's Women,Group,,checked,Queens,NY,"No Phone Listing Their publication is WOMANSPACE. Membership ·is $15.00 or $4.00 for the newsletter only. 
Activities: socials, lesbian raps, workshops, Sunday brunches in a member's home. ",**,Organizations,,,PO Box 271 Station A Flushing
The Feminist Press,Centers,,checked,Old Westbury,NY,"Tel. 997 7660. They produce the WOMEN'S STUDIES QUARTERLY NEWSLETTER and otter educational services such as speaker's 
bureau, in-service training for school personnel. They publish non-sexist curriculum guides. 
'1983, our 13th year'. Write for their excellent catalogue",,,,,PO Box 334 11568
NOW ,Group,,checked,Rochester,NY,Tel. 235 7223. ,,,,,Genessee Valley
Gayphone,Information Services,,checked,Syracuse,NY,"Tel. 423 3599. Operates everyday. It's a service of the SYRACUSE UNIVERSITY·
GAY AND LESBIAN STUDENTS ASSOCIATION. Phones staffed Sundays-Fridays 7-11pm.
Sat 5-9pm. They sponsor social meetings, every Tuesday from Bpm-midnight. ",,,,,
Sojourners ,Coffeehouse,,checked,Woodstock,NY,"Tel. 246 8081. women's coffeehouse which meets several times a month. Women entertainers, community benefits. Snacks, etc.",****,,,,PO Box 165 Kingston
Susan Weed,Herbal Medicine and Psychic Skills,,checked,Woodstock,NY,Tel. 246 8081. Herbal medicine classes and healing. Re-learning the Amazon lore of healing with plants and psychic energy.,,,,,PO Box 64 Woodstock
Charlie Browns,Bars,,checked,Yorkville,NY,No Phone Listing or details. ,,,,,
The Front Page/Bugle Publishing Inc Co,Publication,,checked,,NC,"Tel. 919 1829-01 Bl. Published twice monthly (except January and August). Lots of special features of
interest to gay women and free classified advertising for groups and individuals too. Subscription
rate $12.00 per year. Statewide community resource list, including women's resources, classified and women's personal column.",,,,,PO Box 25642 Raleigh
Feminary,Publication,,checked,Chapel Hill,NC,"No Phone Listing. A feminist journal for the South, emphasizing the lesbian vision. $2.50 per copy. $6.50 for 3 issues. ",,,,,PO Box 954
Carolina Gay Association,Group,,checked,Chapel Hill,NC,Tel. 962-4401.,*,Organizations,,,"PO Box 39 Carolina Union, Chapel Hill, 27514"
Gay/Lesbian Switchboard of Charlotte,Service,,checked,Charlotte,NC,"Tel. 525-6128. Answered personally 7-
11 pm. Tape machine other times. If calling to leave information, leave callback number or 
message. ",,,,,
Queen City Quordinators,Service,,checked,Charlotte,NC,"Tel. 332-8893. Gay/lesbian community fundraising, c/o Don King, FRIENDS 
OF DOROTHY BOOKSHOP, 331 East Blvd, No 3 Charlotte 28203.",,,,,
Gay Catholics,Religious Groups,,checked,Charlotte,NC,"No Phone Listing. Catholics interested ,n an alternative to the bar scene. ",,,,,"PO Box 4345 Charlotte, NC 28204"
Acceptance,Social Educational Group,,checked,Charlotte,NC, Tel. 535-0541. Phone SWITCHBOARD or contact Don King at FRIENDS OF DOROTHY BOOKSHOP for details about the latest meetings. ,,,,,
The Newsletter,Publication,,checked,Durham,NC,No Phone Listing. From Triangle Area Lesbian Feminist,,,,,PO Box 2272
MCC/Fayetteville,Religious Groups,,checked,Fayetteville,NC,Tel. 484-823,,,,,PO Box 53275
Gay Group,Group,,checked,Greensboro,NC,,,,,,PO Box 19332
Dignity/Triad,Religious Groups,,checked,Greensboro,NC,Tel. 275-2061.,,,,,PO Box 19332
The Front Page,Publication,,checked,Raleigh,NC,"Tel. 829-0181. Subscription rates: $8.00 for one year (24 issues) gay newspaper. Community resource page for all groups: religious/AA/ 
outdoor/social/political/more. ",,,,,PO Box 25642
Aware,Group,,checked,Winston-Salem,NC,"Tel. 723 8607. Just a group of people who meet in people's 
homes the 3rd Sunday of each month for programs on topics such as gay literature and gay 
health, followed by social activities. ",*,Organizations,,,PO Box 551 27101
Dakota in Touch,Service,,checked,Bismarck,ND,"Tel. 223 2337 Hear ring and beep, then dial 0327. Give your name and 
number and wait for a call back with information on gay activities.",,,,,
Dignity/Lutherans Concerned,Religious Groups,,checked,Fargo,ND,Tel. 235 7341. Ask for FRIENDS. Local information and religious/social activities,,,,,
Metropolitan Community Church,Religious Groups,,checked,Akron,OH,"Tel. 836-3930 
(Answering Service). Services Sundays at 330 Morewood Road. Counseling, rap groups, social activities, gay weddings, etc. ",,,,, PO Box 563
Gay Community Switchboard                       ,Switchboard,,checked,Cincinnati,OH,"Tel. 241-0001 or 221-7800. Operating 
Mondays through Fridays: 7pm-11 pm. Information referrals, calendar of activities, rap line 
and peer counseling. ",,,,,
The Yellow Page,Publication,,checked,Cincinnati,OH,"Tel. 851-3326. Covers gay and lesbian issues. 
Includes community resource page. Very very useful. Subscriptions: $?.00 minimum donation for 12 issues. Make checks payable to: The Yellow Page.",,,,, PO Box 5009
Queen City Business Association,Group,,checked,Cincinnati,OH,"Tel. 271-1765. A group of 
professional business women and men providing a social alternative to the gay bar scene. ",,,,, PO Box 2593
Gay Dreams,Radio Program,,checked,Cincinnati,OH,"No Phone Listing. WAIF, 88.3 FM Write: WAIF, FM, 2525 Victory Parkway Cincinnati, Ohio; 
45206. 11 pm-12 midnight. Greater Cincinnati's 5 year old weekly radio magazine for the 
homosexual community. See the YELLOW PAGE for current programs. ",,,,,
Gay Hotline and Switchboard,Service,,checked,Cleveland,OH, Tel. 621-33807pm-11pm.,,,,,
Lesbian Support and Action,Service,,checked,Columbus,OH, Tel. 422-8473.,,,,,
Gay Infoline,Service,,checked,Columbus,OH,"Tel. 422-9212  Write: 307 Ohio Union, 1739 North High St: 43210. 
Counselors answer from 10am-5pm, Monday-Friday, but at other times there's a unique recording, which actually tells you what's going on all over Columbus, including current 
bar information. ",,,,,
Metropolitan Community Church,Religious Groups,,checked,Columbus,OH,Tel. 262-1189 or 294-3026.,,,,,
1470 West,Bars,,checked,Dayton,OH,"Tel. 293-0573. It's a disco/bar - small
restaurant. Clientele: gay men and women, about 50/50 ratio. Very few straights. Highly
recommended. (Directions: Southbound US75 take Dryden St Exit, go south to Northlawn.
left to Springboro Road, left to Dorothy lane to Dixie Highway. Cross and make 1st right into
Hill & Dale Shopping Center. The bar is located around south end of the center. You can't miss
it!",**,"Bars, Clubs, Coffeehouses",,,In the Hill & Dales Shopping Center
Un-Named Women's Bar,Bars,,checked,Kettering,OH,No Phone Listing.,***,"Bars, Clubs, Coffeehouses",,,
Gay Switchboard,Service,,checked,Oklahoma City,OK,Tel 848-7039.,,,,,
Le Dive,Bars,,checked,Oklahoma City,OK,"Tel. 848 7039. Opened March, 1983.",***,"Bars, Clubs, Coffeehouses",,,
Northwest Fountain,Publication,,checked,,OR,"Tel. 248-1990. Non-sexist
gay monthly newspaper. Includes lots of women's resources and bar-map guide to places in
Portland and Seattle. $10.00 per year (make checks payable to TAURUS PUBLICATIONS).",,,,,PO Box 1117
Women In Transition,Centers,,checked,Ashland,OR,"No Phone Listing. Southern Oregon State College; 97520. Information services and
newsletter.",****,Organizations,,,
Womansource,Personal Contacts/Housing,,checked,Ashland,OR,"No Phone Listing. Lesbian/feminist housing network for southern
Oregon. Contact them when new to the area and say hi from GAIA",,,,,PO Box 335; 97520
Womensource,Group,,checked,Ashland,OR,"No Phone Listing. 'We bring lesbian/feminist musicians and artists to
town. Hold annual fall and winter gatherings, maintain library and mailing list. Contact group
for lesbians in southern Oregon. There's more happening here than you think' Say hi from
GAIA.",**,Organizations,,,PO Box 335; 97520
Women's Press,Publication,,checked,Eugene,OR,"Tel. 5B4-9329. Oregon's feminist newspaper and one
of my own favorites. News/announcements/classifieds. Only $5.00 per year. Bi-monthly.",,,,,PO Box 562
Closet Space,Publication,,checked,Eugene,OR,No Phone Listing. $6.00 for 10 issues.,,,,,PO Box 11104
Southern Oregon Lambda Association (SOLA) ,Group,,checked,Grants Pass,OR,Tel. 479-9578/ 582-0808,,,,,PO Box 1185; 97526
Eastern Oregon Gay Community,Group,,checked,La Grande,OR,Tel. 963-0376.,*,Organizations,,,PO Box 514
Lesbian Contact,Group,,checked,Medford,OR,Tel. 779-HELP. Ask for Suzy.,**,Organizations,,,Box 1386
Fly Away Home,Workshop,,checked,Myrtle Creek,OR,"No Phone Listing. We are creating theater here in
these woods, and inventing ritual here in this silence. You are invited to join us for workshops
designed to share the fun, depth and power that we are discovering'.",,,,,PO Box 593 Myrtle Creek Oregon 97457
Gayline,Service,,checked,Portland,OR,"Tel. 241-2251 24 hour recorded information on events and meetings in the gay
community.",,,,,
Portland Gay Hotline,Service,,checked,Portland,OR,"Tel. 228-6785. 8pm to midnight, every night.",,,,,
Keep Listening,Wilderness Trips,,checked,Portland,OR,"Tel. 239-6896. Ski
trips, biology and bicycling, rafting, backpacking and photography, outdoor leadership classes.
NO DOGS ARE ALLOWED ON KEEP LISTENING TRIPS.",,,,,PO Box 14743
Capitol Forum Hotline,Service,,checked,Salem,OR,Tel. 390-7573.,,,,,
Capitol Forum News,Publication,,checked,Salem,OR,"Tel. 585-9295/232-0669. About to change title. Will have new
mailing address too.",,,,,
Metropolitan Community Church,Religious Groups,,checked,Salem,OR,Tel. 390-5216 or 585-9295.,,,,,
Rainbow Mountain Resort,Resort,,checked,East Stroudsberg,PA,"Tel. 223 8484. A great gay
resort. 50% gay women, 50% gay men.",,,,,Rd 5 PO Box 788 18301
Gay Switchboard,Switchboard,,checked,Harrisburg,PA,Tel. 234 0328 Volunteer staff badly needed infrequent service as a result of under staffing.,,,,,
Lancaster Gay Switchboard,Switchboard,,checked,Lancaster,PA,Tel. 898 2876.,**,Organizations,,,
1 Metropolitan Community Church,Religious Groups,,checked,Philadelphia,PA,"Tel. 546 5730. They hold their Sunday services at 6pm at the FIRST UNITARIAN
CHURCH, 2125 Chestnut St. Ring for other events, too.",,,,,"PO Box8174 19101 Office 1706 Fairmount
Ave 19101"
Gay Switchboard,Switchboard,,checked,Philadelphia,PA,Tel. 546 7100. Hours: Mon-Fri 6-11 pm plus Sat-Sun.,,,,,
Sisterspace,Group,,checked,Philadelphia,PA,Tel. 2225110.6-9pmMon/Tues.,**,Organizations,,,PO Box 1852119129
The Eromin Center,Centers,,checked,Philadelphia,PA,"Tel. 732 3212 for information or appointment. Provides professional
counselling for individuals, couples, families and groups serving lesbians, gay men, bisexuals,
transsexuals and transvestites and local black gays chapter. Fees determined on a sliding
scale.",,,checked,,
Natural Foods Eatery,Restaurant,,checked,Philadelphia,PA,Tel. KL-6-1360 Vegetarian cuisine. Eat in and take out. ,*,Restaurants,,,2 doors from Broad and Locust
Apartment and House Sharing Inc,,,checked,Philadelphia,PA,Tel. 735 0500.,,,,,
Homophiles of Penn State (Hops),,,checked,State College,PA,Tel. 863 0588. 7pm-9pm.,,,,,
Woman's World,,,checked,Stroudsburg,PA,"Tel. 4245367. Cross-country skiing.All women. For
info send self-addressed, stamped envelope.",,,,,PO Box 70218301
Atland's Ranch,Resort,,checked,York,PA,"Tel. 225 4479. 10 miles west of town off Rte 30. Bar, disco Sunday night: gay disco 6pm-2am.",,,,,PO Box 4131 Spring Grove
Bocaccio's,Bars,,checked,San Juan,PR,"No Phone Listing. Near the comer of FD Roosevelt and Fernandez Juncos. Near the
University.",***,"Bars, Clubs, Coffeehouses",,,
A Nameless Women's Bar,Bars,,checked,San Juan,PR,"No Phone Listing. Via Cairnito (San Juan to Caguas Road). Sony about this.
Apparently, it does exist at this address, but I just can't get any more information - reports,
please!",***,"Bars, Clubs, Coffeehouses",,,
Gay Helpline,Service,,checked,Pawtucket,RI,Tel. 751 3322.,,,,,
The White House,Bars,,checked,Myrtle Beach,SC,,**,"Bars, Clubs, Coffeehouses",,,
Gay Support Group,Service,,checked,Sioux Falls,SD,"Tel. 332 4599 (but- busy, busy, busy). 6pm-midnight.",,,,,
Sioux Empire Gay and Lesbian Coalition ,Organization,,checked,,SD,"No Phone Listing. Their publication: TOGETHER. $15.00 annual membership dues include subscription,
or $4.50 pay for TOGETHER, only.",,,,,"PO Box 220 Sioux Falls South Dakota
57101. "
Metropolitan Community Church of Sioux Empire,Religious Groups,,checked,Sioux Falls,SD,Tel. 335 8396/5978. Religious services on Sundays at 1 p.m. at 1901-1903 W 25th St. Side entrance on south.,,,,,PO Box 1552
Gaze,Publication,,checked,,TN,Tel. (901) 274 0431. $8.00 per year.,,,,,"Box 3038, Memphis, 38103"
East Tennessee Alliance of Lesbian Activists,Group,,checked,Knoxville,TN,"Tel. 992 8423. Umbrella organisation for women's discussion groups, other activities
both political and social and TENNESSEE LESBIAN ARCHIVES.",,,,,Okra Farm Rte 2 Box 252 Luttrell 37779
This Week in Texas (TWT) ,Publication,,checked,,TX,"Tel. 522 1760. Statewide entertainment guide, including a Woman's Place plus Texas
bar guide, sometimes Louisiana information. $55 per year, $35 per half year. Back issues $2
each. First class postage. Weekly",,,,,
Gay Austin,Publication,,checked,Austin,TX,Tel. 477 6699.,,,,,Room 7 2330 Guadalupe 78705
