title,type,statewide.address,address,unclear.address,stars,star.type,description,city,state,Mentions Race?,Mentions Disability?,notes,Feminist Bookstores,year
Nourishing Space,Retreat,,,checked,,,Tel 7991-7686 Cave Canyon Ranch Box D-11 85641,Vail,AZ,,,,,1977
The Women's Center,Women's Center,,207 Razorback,,****(*),Organizations,Has a Lesbian Co-operative. ,Fayatteville,AR,,,,,1977
M.C.C. Study Group,Religious Group,,,checked,,,Tel. 521-5367,Fayatteville,AR,,,,,1977
Women's Land Trust,Land Trust,,,checked,,,Box 521 72701,Fayatteville,AR,,,,,1977
42nd Street,Bar,,6449 West Dickson Street,,**,"Bars, Clubs, Coffeehouses ",Very gay with a huge dance floor. The entire building i s owned by gay people and it's got tons of potential. ,Fayatteville,AR,,,,,1977
George's Lounge,Bar,,519 West Dickson,,*,"Bars, Clubs, Coffeehouses ",,Fayatteville,AR,,,,,1977
New Orleans Hotel,Hotel,,,checked,,,Tel. (501)-253-8955 Feminist owned and highly recommended.,Eureka Springs,AR,,,,,1977
Peacock Lounge,Bar,,220 Central,checked,**,"Bars, Clubs, Coffeehouses ",Tel. 623-0227,Fort Smith,AR,,,,,1977
Bonnie's Lounge and Showbar,Bar,,600 North Tenth Street,,*,"Bars, Clubs, Coffeehouses ",Tel. 783-9002,Fort Smith,AR,,,,,1977
Drummers Club in the Manning Motor Hotel,Bar,,,checked,**,"Bars, Clubs, Coffeehouses ",Tel 372-5141 Recommended as being very gay and a good place to ask for more info on the local scene. ,Little Rock,AR,,,,,1977
Lesbians In the Law (LIL),Lawyers Assocation,checked,536 Mission Street,,,,"Women's Association, Golden Gate University, Law School",San Francisco,CA,,,"Listed under ""California"" in scanned issue, not San Fran, CA. Though address is city specific, I believe it is a statewide entry(?)",,1977
California Land Trusts,Land Trust,checked,"1538 ""V"" Street",,,,"Home of the ""Bacchanal""",Matthews,CA,,,"Listed under ""California"" in scanned issue, not Matthews, CA. Though address is city specific, I believe it is a statewide entry(?)",,1977
Bacchanal,,,,checked,,,,Albany,CA,,,,,1977
Plexus,Newspaper,,2600 Dwight Way Room 209,,,,A tremendous source of information for all Lesbians in the Bay Area,Berkeley,CA,,,,,1977
Berkeley Women's Center,Women's Center,,2112 Channing Way ,,****(*),Organizations,Tel. (415) 548-4343 2112 Channing Way.,Berkeley,CA,,,,,1977
Kafeneo,Restaurants,,1543 Shattuck Avenue,,,,Tel. 848-9664 ,Berkeley,CA,,,,,1977
Pacific Center Community Services ,Women's Center,,,checked,***(**),Organizations,Tel. (415) 841-6224,Berkeley,CA,,,,,1977
The Campground,Bar,,2329 San Pablo Avenue,,****,"Bars, Clubs, Coffeehouses ",Beer and Wine,Berkeley,CA,,,,,1977
"Barbara S. Arms, M.A.",Counseling Service,,,checked,,,"Tel. 626-7206. Counseling for Lesbians. ""No charge for initial lesson to see if we can work together.""",Berkeley,CA,,,,,1977
Cheese and Coffee Center,Restaurants,,2110 Center Street,,,,Tel. 848-7115,Berkeley,CA,,,,,1977
Electric Banana,Bar,,5625 Paradise Drive,,**,"Bars, Clubs, Coffeehouses ",Tel. 924-1546. Disco,Corte Madera,CA,,,,,1977
Everywoman's Clinic ,Clinic,,2600 Park Avenue,,,,Tel. 825-7900 and 825-7903 Gynecological Services,Concord,CA,,,,,1977
Bear Wallow Guest Ranch,Guest Ranch,,,checked,**,Organizations,Tel. (707) 895-3435. Mostly gay men. Box 476 95415,Boonville,CA,,,,,1977
Savoy,Bar,,24969 Silverado,,****,"Bars, Clubs, Coffeehouses ","Tel. 255-0195 Open: 2pm-2am. ""One of the greatest lesbian bars ever"" or ""Just some men and seedy with it!"" i.e. conflicting reports. ",Cupertino,CA,,,(or is it *?),,1977
Janice Macomber,PIano Tuning,,,checked,,,Tel. (415) 652-6789,Emeryville,CA,,,,,1977
Fogg's,Bar,,E Street and Second,checked,***,"Bars, Clubs, Coffeehouses ",,Eureka,CA,,,,,1977
The Woods,Bar,,1625 St. Francis Drake ,,**,"Bars, Clubs, Coffeehouses ","Disco. ""Lots of gay women"" or has it ""gone straight?""",Fairfax,CA,,,,,1977
New Alibi,Bar,,Foothill Boulevard at Fontana,checked,****,"Bars, Clubs, Coffeehouses ",,Fontana,CA,,,,,1977
Acacia,Bar,,Citrus & Arrow,checked,***,"Bars, Clubs, Coffeehouses ",Sunday brunch. Open till 4am. Good dinners closed Mondays. ,Fontana,CA,,,,,1977
Lesbian and Sexuality Task Force,Organization,,420 North Van Ness,,****(*),Organizations,Tel. 233-2384 93721,Fresno,CA,,,,,1977
Gay People's Union ,Organization,,,checked,**,Organizations,Te. 237-6536 California State University Fresno 937004 c/o Student Affairs,Fresno,CA,,,,,1977
Showbiz,Bar,,1350 North Blackstone,,**,"Bars, Clubs, Coffeehouses ",Tel. 4486-7760 Dancing,Fresno,CA,,,,,1977
Hang Out ,Bar,,6900 Motel Drive,,**,"Bars, Clubs, Coffeehouses ",Tel. 268-1562 90% Gay men. No dancing. ,Fresno,CA,,,,,1977
Mama Jeans,Bar,,15215 South Crenshaw,,****,"Bars, Clubs, Coffeehouses ",,Gardena,CA,,,,,1977
The Club,Bar,,16805 South Western,,****,"Bars, Clubs, Coffeehouses ",,Gardena,CA,,,,,1977
Pit Stop,Bar,,,checked,*,"Bars, Clubs, Coffeehouses ",17901-D South Vermont,Gardena,CA,,,,,1977
Juanita's,Restaurant/Bar,,Arnold Drive,checked,*,"Bars, Clubs, Coffeehouses ",,Glen Ellen,CA,,,,,1977
Emma's Place,Women's Retreat,,,checked,****(?),Organizations,Tel. (805)-489-9633 PO Box 717 93433,Grover City,CA,,,,,1977
South County Women's Center,Women's Retreat,,,checked,,,25036 Hilary,Hayward,CA,,,,,1977
Driftwood Lounge,Bar,,22170 Mission Blvd,,,,,Hayward,CA,,,,,1977
The Oracle,Feminist Bookstore,,22640 Main Street,,,,"Tel. 886-1268 ""We sell Gaia's Guide""",Hayward,CA,,,,,1977
Long Beach Gay Hotline,Gay Hotline,,,checked,,,Tel. (213) 591-7611,Long Beach,CA,,,,,1977
Gay Students' Union,Gay Group,,,checked,*,Organizations,PO Box 3075 90803,Long Beach,CA,,,,,1977
Gay Outdoor Club,Gay Group,,,checked,*,Organizations,"Tel. (213) 438-6029 PO Box 14403 90814 A group of gay women and men totally non-sexist. Activities include: beach cookouts, camping, hiking, prospecting, etc. ",Long Beach,CA,,,,,1977
Que Sera Sera,Bar,,1415 Santa Fe Avenue,,****,"Bars, Clubs, Coffeehouses ",Tel. 437-9351,Long Beach,CA,,,,,1977
Li'l Lucy's ,Bar,,1200 East Broadway,,**,"Bars, Clubs, Coffeehouses ",Tel. (213) 436-3558,Long Beach,CA,,,,,1977
Soujourner,Feminist Bookstore,,538 Redondo Beach,,,,Tel. 433-5384,Long Beach,CA,,,,,1977
The Lesbian Tide,Publication,,1727 North Spring Street,,,,"Tel. (213) 839-7254 90012 $5.00 per year - $10.00 to institutions and overseas subscribers. An extremely sophisticated magazine, this bi-monthly is probably the most uncompromising and thoroughly lesbian publication of its kind in the world. ",Los Angeles,CA,,,,,1977
(Unnamed) Switchboard,Switchboard,,,checked,,,Tel. (213) 464-7485,Los Angeles,CA,,,,,1977
The Women's Building,Organization,,1727 North Spring Street,,,,"This is a phenomenon in the Lesbian/Feminist scene. Purchased and organized with the proceeds from women's dances, the Women's Building houses: studio workshops and an art gallery, a restaurant, the Tide Collective office, Olivia Records, and performance space, plus the Sisterhood Bookstore. It is a center for these activities.: feminist study programs, therapy, art exhibits, and dances. ",Los Angeles,CA,,,,,1977
(Unnamed) Switchboard,Switchboard,,,checked,,,Tel. 466-4241,Los Angeles,CA,,,,,1977
Temple Beth Chayum Chadashim,Religious Organization,,1945 Westwood Boulevard,,,,"Tel. (213) 552-2485. Friday Services: 8:15pm (Followed by Social hour) ""Where a woman is able to express her Jewishness feminism and gayness. We have the regular services of a female Rabbinic Intern and a female Cantorial Student. It was a beautiful experience to them lead our congregation during the High Holiday services"" Newsletter and phone recorder switchboard. ",Los Angeles,CA,,,,,1977
Alcoholism Center for Women,Organization,,1147 South Alvarado Street,,****(*),Organizations,"Tel. (213) 381-7805. ""offers a supportive, sisterly environment for every woman who feels like she has a drinking problem, and wishes to explore her alternatives. Counseling groups, recovery home, social activities, survival services. Coffeehouse nights plus Lesbian rap groups. ",Los Angeles,CA,,,,,1977
Gay Community Services Center,Organization,,1213 North Highland,,***(**),Organizations,Tel 464-7485 Switchboard. Probably the most highly organized Gay Center in the world. ,Los Angeles,CA,,,,,1977
The Lesbian News,Publication,,,checked,,,"PO Box 2023, Culver City 90230",Los Angeles,CA,,,,,1977
M.C.C.,Counseling Service,,,checked,,,Tel. 466-4241 (Hotline) Information and Counseling: Tel 7448-0121,Los Angeles,CA,,,,,1977
Dignity ,Counseling Service,,,checked,,,Tel. 664-2872 PO Box 6161 90055,Los Angeles,CA,,,,,1977
Joe's Place,Bar,,2682 Long Beach Boulevard,,**,"Bars, Clubs, Coffeehouses ",Tel. 426-8421,Long Beach,CA,,,,,1977
"Amazon Airwayys Collective, KPFK-FM",Radio and Television,,,checked,,,"Tel (213) 390-7356 ""Need women to produce new shows - no previous experience in radio is necessary.",Los Angeles,CA,,,,,1977
Pernell Agencies,Travel Agency,,3900 West Third Street,,,,Might be just for gay men. ,Los Angeles,CA,,,,,1977
KTTV,Radio and Television,,,checked,,,"Channel 11, Metro News at 11:30pm weeknights ""An unusual amount of Gay News""",Los Angeles,CA,,,,,1977
Wicca,Occult,,,checked,,,Tel. 399-3919 Occult literature and accessories for lesbians. ,Los Angeles,CA,,,,,1977
Plush Pony,Bar,,5261 Alhambra,,***,"Bars, Clubs, Coffeehouses ",(El Sereno Area),Los Angeles,CA,,,,,1977
Girl Talk ,Bar,,757 South La Brea,,***,"Bars, Clubs, Coffeehouses ",,Los Angeles,CA,,,,,1977
Dianic Mechanics,Feminist Garage,,,checked,,,Tel. 931-0460. A place to get your car fixed and a way to learn more about it yourself. ,Los Angeles,CA,,,,,1977
Identified Woman Cafe,Feminist Restaurant,,1727 North Spring Street,,**,"Bars, Clubs, Coffeehouses ","In the Women's Building. 11am-7pm Thurs, Fri, Sat",Los Angeles,CA,,,,,1977
Palms,Bar,,8572 Santa Monica Boulevard,,,"Bars, Clubs, Coffeehouses ",Tel. 652-6188. Recommended by Ruth (Who knows? Perhaps someone there asked her to dance),Los Angeles,CA,,,,,1977
Great American Dancing and Distillery Company,Restaurant/Bar,,7713 Beverly Boulevard ,,,"Bars, Clubs, Coffeehouses ",Tel. 936-5557,Los Angeles,CA,,,,,1977
David's,Restaurants,,7013 Melrose Avenue,,*,Restaurants,Tel. 934-5730,Los Angeles,CA,,,,,1977
Dummy Up,Bar,,12179 1/2 Ventura Boulevard,checked,****,"Bars, Clubs, Coffeehouses ","Studio City, off the alley - one block west of Laurel Canyon. Open: Noon-2am every day. Pool table, dancing, softball team. ",Los Angeles,CA,,,,,1977
Love Inn,Bar,,10700 Van Owen,,***,"Bars, Clubs, Coffeehouses ",Tel. 769-9215,Los Angeles,CA,,,,,1977
Hialeah House,Bar,,8540 Lankershim,,****,"Bars, Clubs, Coffeehouses ",,Los Angeles,CA,,,,,1977
Carriage Trade,Restaurant/Bar,,8077 Beverly Boulevard,,***,"Bars, Clubs, Coffeehouses ",Tel. 653-9337,Los Angeles,CA,,,,,1977
Oxwood Inn,Bar,,13713 Oxnard at Woodman,,***,"Bars, Clubs, Coffeehouses ",Tel. 997-9666,Los Angeles,CA,,,,,1977
The Canyon Room,Bar,,13625 Moorpark St. ,,***,"Bars, Clubs, Coffeehouses ",Tel. 986-0285,Los Angeles,CA,,,,,1977
The 49'r Disco,Bar,,6411 Lankershim Boulevard,,**,"Bars, Clubs, Coffeehouses ",Tel. (213)-761-4966,Los Angeles,CA,,,,,1977
Brian's,Restaurants,,11800 Ventura Boulevard,,*,Restaurants,Recommended,Los Angeles,CA,,,,,1977
Westside Women's Clinic,Clinic,,"1711 Ocean Park Boulevard
",,,,Tel. 450-2191,Santa Monica,CA,,,,,1977
Chez Jer,Bar,,1717 Artesia Boulevard,,*,"Bars, Clubs, Coffeehouses ",Manhattan Beach/Redondo Beach,Manhattan Beach,CA,,,,,1977
Califia Inc,Feminist Shop,,3415 North Highland Ave,,,,"Tel. 545-8717 Open Tues-Sat 11am-6pm. Sundays 11am-4pm. Closed Mondays. Books, periodicals, arts and crafts by women for women.",Manhattan Beach,CA,,,,,1977
Pink Elephant,Bar,,2810 Main Street,,**,"Bars, Clubs, Coffeehouses ",Piano bar. Recommended,Santa Monica,CA,,,,,1977
The Feminist Shop,Occult,,4224 Lincoln Boulevard,,,,"Tel. (213) 399-3919. Open: Mon, Thurs, Sat. Noon - 6:30pm. Herbs, books, Tarot reading, occult supplies.",Venice,CA,,,,,1977
Golden Bull,Bar,,170 West Channel Road,,*,"Bars, Clubs, Coffeehouses ",,Santa Monica,CA,,,,,1977
Mustang Club,Bar,,"413 North 7th Street
",,**,"Bars, Clubs, Coffeehouses ",,Venice,CA,,,,,1977
Righteous Ram,Bar,,430 Washington,,***,"Bars, Clubs, Coffeehouses ",,Venice,CA,,,,,1977
Bishop's Coffeehouse/Womanspace,Coffeehouse,,14137 Harrison,,**(**),"Bars, Clubs, Coffeehouses ",Tel. 444-9805 and 451-0395,Oakland,CA,,,,,1977
After Dark,Bar,,214 Lighthouse Avenue,,**,"Bars, Clubs, Coffeehouses ",Tel. (408) 373-7828. Mostly gay men. ,Venice,CA,,,,,1977
Gilded Cage,Bar,,420 Tyler,,**,"Bars, Clubs, Coffeehouses ",Tel. 375-8878,Venice,CA,,,,,1977
I.C.I. Information Center Incorporate,Information Center,,5251 Broadway,,,,"Tel. 654-9920. Lesbian books, magazines and newspapers. They sell Gaia's Guide",Oakland,CA,,,,,1977
Sidetrack,Bar,,5384 Bancroft Avenue,,****,"Bars, Clubs, Coffeehouses ",Tel. 532-3820,Oakland,CA,,,,,1977
Whitehorse,Bar,,6547 Telegraph ,,*,"Bars, Clubs, Coffeehouses ","Tel. 652-3820. Once again straight, voyeuristic men and some lesbians. It was the same in 1956 but then there really was no place else to go. ",Oakland,CA,,,,,1977
Grandma's House,Bar,,135 12th Street,,****,"Bars, Clubs, Coffeehouses ","Restaurant and bar. Quite atmosphere, lively guitar music. Very highly recommended. ",Oakland,CA,,,,,1977
Jubilee,Bar,,4900 Bancroft,,***,"Bars, Clubs, Coffeehouses ",,Oakland,CA,,,,,1977
World Travel Bureau,Travel Agency,,236 West Lincoln,,,,Tel. (714) 774-8800. May be just for gay men. ,Anaheim,CA,,,,,1977
Gay Community Center of Orange County,Organization,,12732 Garden Grove,,***(**),Organizations,"Suites G & H. Tels. (714)-534-3280 and 534-3261 (hotline) and 534-5820 (Alcohol hotline) Their Gay Women's Groups are extremely active. Their publication is ""Focus"" monthly. They are definitely the people to contact if you are in one of those areas listed above. ",Orange County,CA,,,,,1977
Newport Station,Bar,,1945 Placentia Ave,,**,"Bars, Clubs, Coffeehouses ",Tel. (714) 631-0031. Good disco dancing and restaurant. Gay women and men. ,Costa Mesa,CA,,,,,1977
Lesbian Group ,Group,,,checked,**,Organizations,California State University. They meet in the Women's Center on Thursday nights. ,Fullerton,CA,,,,,1977
The Horny Toad,Feminist Bookstore,,716 West Commonwealth,,,,Lesbian titles plus sexuality and health.,Fullerton,CA,,,,,1977
Happy Hour,Bar,,12081 Garden Grove Boulevard,,****,"Bars, Clubs, Coffeehouses ","Tel. 537-9079. Cocktail hour, dinner, and dancing. ",Garden Grove,CA,,,,,1977
D.O.K. West,Bar,,12889 Garden Grove Boulevard,,**,"Bars, Clubs, Coffeehouses ",Tel. 534-0521,Garden Grove,CA,,,,,1977
D.J.'s Disco,Bar,,12625 Harbor,,**,"Bars, Clubs, Coffeehouses ",,Garden Grove,CA,,,,,1977
Knotty Keg,Bar,,8932 Garden Grove Boulevard,,**,"Bars, Clubs, Coffeehouses ",,Garden Grove,CA,,,,,1977
Talk of the Town,Boutique,,9922 Garden Grove Boulevard,,,,Tel (714) 636-8111. Clothes for all occasions. Fun fashions just for you. ,Garden Grove,CA,,,,,1977
Granada Realtors,Realtors,,,checked,,,"Tel. (714) 750-0842 Catherine Tatum, Broker Real Estate for you ",Garden Grove,CA,,,,,1977
The Mug,Bar,,8612 Garden Grove Boulevard,,**,"Bars, Clubs, Coffeehouses ",Tel (714) 534-9943. The guys outnumber the gals but it's apparently quite o.k. anyway. ,Garden Grove,CA,,,,,1977
Little Shrimp,Bar,,1305 South Coast Highway,,**,"Bars, Clubs, Coffeehouses ",Tel. 494-4111,Laguna Beach,CA,,,,,1977
South Seas Bar,Bar,,1401 South Coast Hiway,,**,"Bars, Clubs, Coffeehouses ",Tel. 494-1588,Laguna Beach,CA,,,,,1977
M.C.C. ,Religious Group,,964 Noria Street,,,,Tel. (714) 7552-1220,Laguna Beach,CA,,,,,1977
Andree's ,Restaurants,,1464 South Coast Highway,,*,Restaurants,Tel. 494-2528,Laguna Beach,CA,,,,,1977
Main Street Bar,Bar,,1460 South Coast Highway,,**,"Bars, Clubs, Coffeehouses ","Tel. 494-0056. About 80% gay men, and could use some livening up. ",Laguna Beach,CA,,,,,1977
The Cottage,Restaurants,,308 North Coast Highway ,,*,Restaurants,Tel. 494-3023 and 3025,Laguna Beach,CA,,,,,1977
Feminist Forge,Feminist Shop,,686 South Coast Highway,,,,Tel. (714) 494-7877 Feminist jewellery plus things like belts and buckles. ,Laguna Beach,CA,,,,,1977
Pinokkio's,Bar,,15122 Beach Boulevard,,**(**),"Bars, Clubs, Coffeehouses ",Tel. 897-6676,Midway City,CA,,,,,1977
Lesbians in the Feminist Effort,Group,,436 North Olive,,**,Organizations,Tel. (714) 548-7896,Orange,CA,,,,,1977
Aunt Hattie's ,Bar,,67800 Highway 111,,**,"Bars, Clubs, Coffeehouses ",Tel 328-9074,Palm Springs,CA,,,,,1977
Doll House,Bar,,"68-961 ""B"" Street",checked,***,"Bars, Clubs, Coffeehouses ",Just off Highway 111,Palm Springs,CA,,,,,1977
Desert Knight Motel,Motel/Bars,,435 Avenida Olancha,,***,"Bars, Clubs, Coffeehouses ",,Palm Springs,CA,,,,,1977
Desert Palms Inn,Motel/Bars,,67-580 Highway 111,,*,"Bars, Clubs, Coffeehouses ",Tel. 328-9000,Palm Springs,CA,,,,,1977
Desert Paradise Hotel,Motel/Bars,,772 Prescott Drive,,*,"Bars, Clubs, Coffeehouses ",,Palm Springs,CA,,,,,1977
Harlow Haven Hotel,Motel/Bars,,175 E Alameda,,*,"Bars, Clubs, Coffeehouses ",Tel. 325-9093,Palm Springs,CA,,,,,1977
Daily Double,Bar,,3739 East Colorado Boulevard,,***,"Bars, Clubs, Coffeehouses ",Tel. 449-8271,Pasadena,CA,,,,,1977
Page One Books,Feminist Bookstore,,26 North Lake Ave,,,,We sell Gaia's Guides,Pasadena,CA,,,,,1977
Alibi East,Bar,,225 South San Antonio,,**,"Bars, Clubs, Coffeehouses ",Disco,Pomona,CA,,,,,1977
Wayside Inn,Bar,,,checked,*,"Bars, Clubs, Coffeehouses ",One mile west on Highway 299,Redding,CA,,,,,1977
Gay Line,Gay Hotline,,,checked,,,Tel. 246-9686,Redding,CA,,,,,1977
Circus Room,Bar,,3800 7th Street,,*,"Bars, Clubs, Coffeehouses ",,Riverside,CA,,,,,1977
M.C.C.,Religious Organization,,5539 Mission Boulevard,checked,,,"Tel. (714) 682-7445 PO Box 2451 Riverside California 93509 Rap Groups, counseling, social activities (Rev Ms. Debbie Gendron)",Riverside,CA,,,,,1977
Red Shade,Bar,,5539 Mission Boulevard,,**,"Bars, Clubs, Coffeehouses ",,Rubidoux,CA,,,,,1977
Noah's Ark,Bar,,9117 River Road,,*,"Bars, Clubs, Coffeehouses ",Forestville,Russian River,CA,,,,,1977
Gay Crisis Line and Referral Service,Gay Hotline,,,checked,,,Tel. 391-1544. 24 hours. Everything from therapy to current local community social activities. PO Box 215,Sacramento,CA,,,,,1977
M.C.C.,Religious Organization,,2741 34th Street,,,,Tel. 916-451-5552 Lots of activities and lots of lesbian participation. ,Sacramento,CA,,,,,1977
Purple Tortoise,Bar,,3480 West Capitol,,***,"Bars, Clubs, Coffeehouses ",,Sacramento,CA,,,,,1977
Grand Central,Bar,,7th Street,checked,**,"Bars, Clubs, Coffeehouses ",Disco,San Bernadino,CA,,,,,1977
Skylark,Bar,,Inland Center Drive,checked,**,"Bars, Clubs, Coffeehouses ",,San Bernadino,CA,,,,,1977
Pacific Coast Times,Publication,,7985 Santa Monica Blvd,checked,,,"Tel. (714) 222-9678. Their L.A. office (address listed) PO Box 7173. Tel (213) 654-0454 Heavy on items of cultural interest plus education and reviews. Big glossy, fun reading...male oriented but with items of lesbian interest. ",San Diego,CA,,,,,1977
San Diego Son,Publication,,,checked,,,"PO Box 813, Santee California, 92071. Bi-monthly news magazine of the San Diego area. Male owned but there are lesbians on the staff and they are looking for input from gay women. ",San Diego,CA,,,,,1977
Pathways,Emergency Services,,4312 Cass,,,,Pacific Beach 92109. 24 hour counseling service from gay women and men,San Diego,CA,,,,,1977
M.C.C. ,Religious Group,,1335 Fern Street,,,,Tel. 239-0714 Many active gay women involved. We have two women deacons and hope to get more women interested in training to become ministers. Their publication is the Prodigal. ,San Diego,CA,,,,,1977
Echo House,Emergency Services,,108 Ivy ,,,,Temporary housing and food. They also attempt to help with finding employment and housing. ,San Diego,CA,,,,,1977
Gay Center for Social Services,Gay Center,,2250 B Street,,***(**),Organizations,"Tel. 714-232-7528. Very active women's group. A complete range of services and activities. They even sell ""Gaia's Guide""",San Diego,CA,,,,,1977
The Apartment,Bar,,756 Ventura Place,,***,"Bars, Clubs, Coffeehouses ","On mission beach across from the amusement center. Small, popular, active woman-owned bar.",San Diego,CA,,,,,1977
Diablo's ,Bar,,2533 El Cajon Boulevard,,****,"Bars, Clubs, Coffeehouses ",What a place to buy Gaia's Guides,San Diego,CA,,,,,1977
The Matador,Bar,,4633 Mission Boulevard,,***,"Bars, Clubs, Coffeehouses ",Tel. 488-9200 Has a very steady clientele of regulars but newcomers get a warm welcome the vibes are always friendly. ,San Diego,CA,,,,,1977
The Hole,Bar,,2820 Lytton ,,**,"Bars, Clubs, Coffeehouses ",Recommended,San Diego,CA,,,,,1977
Press Room Saloon,Bar,,956 Second Avenue,,**,"Bars, Clubs, Coffeehouses ",Recommended,San Diego,CA,,,,,1977
Bee Jay's,Bar,,750 India Street,,***,"Bars, Clubs, Coffeehouses ",Tel. 234-6871,San Diego,CA,,,,,1977
Joanie's Of Course,Bar,,,checked,**,"Bars, Clubs, Coffeehouses ",El Cajon Boulevard at 21st Street,San Diego,CA,,,,,1977
Babe's 540 Club,Bar,,540 West C Street,,**,"Bars, Clubs, Coffeehouses ",Tel. 2399-2818,San Diego,CA,,,,,1977
Ball Express,Bar,,4025 Pacific Coast Highway,,**,"Bars, Clubs, Coffeehouses ",,San Diego,CA,,,,,1977
