title,type,address,statewide.address,unclear.address,city,state,description,stars,star.type,Mentions Race?,Mentions Disability?,notes,Last Modified By,Last Modified,year
Feminist / Lesbian Social Group (FLSG),Lesbian Social Group,,,checked,Sunnyvale,CA,"write: P.O.Box
70933, Sunnyvale;94098-Tel.741-5206. Very active group, newsletter
and excellent reports. Nice women.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
The Savoy,Bars,3546 Flora Vista Drive,,,Santa Clara,CA,Tel.247-7109,****,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Silver Fox,Bars,10095 Saich Way,,,Cupertino,CA,"725-9662 Neighborhood
bar atmosphere.",**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Desperados,Bars,1425 Hacienda Avenue,,,Campbell,CA,Tel.374-0260,**(MGM),"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
B Street / Sassy's,Bars,236 South 'B' Street,,,San Mateo,CA,"Tel.348-4045. Restaurant
and bar, downstairs is heavy disco. mostly gay men. upstairs 1s
SASSY'S, quieter and acknowledged women's space",**(**),"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Metropolitan Community Church - Christ Chapel,Religious Groups,720 North Spurgeon Street,,,Santa Ana,CA,Tel 835-0722,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Gay / Lesbian Resource Center,Centers,232 East Montecito Street,,,Santa Barbara,CA,Tel.963-3636.,***(**),Organizations,,,,Amanda Regan,4/11/2024 4:42pm,1987
Women's Community Building,Centers,700 North Mipas,,,Santa Barbara,CA,:-Tel.965-6073.,****,Organizations,,,,Amanda Regan,4/11/2024 4:42pm,1987
The Pub,Bars,224 Helena Ave,,,Santa Barbara,CA,Tel. 962-3911,**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Earthling Bookshop,Alternative Bookstore,1236 State Street,,,Santa Barbara,CA,"93101-Tel.965-0926.
Women's Studies+ GAIA'S GUIDE",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
The Unicorn,Bars,30 West Cota,,,Santa Barbara,CA,Tel.965-6701,**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Rape Crisis Line,Rape Crisis,,,checked,Santa Barbara,CA,Tel.569-2255,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
The 221 Club,Bars,221 East Montecito Street,,,Santa Barbara,CA,Tel.965-2800,**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Matrix,Publications,418-B Cedar Street,,checked,Santa Cruz,CA,"Tel.429-1238. Feminist monthly, all
volunteer. In its 10th year Local listings. $8.00 p.a.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Book Loft,Alternative Bookstore,1207 Soquel Ave,,,Santa Cruz,CA,Tel 429-1812,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Blue Lagoon,Bars,923 Pacific Ave,,,Santa Cruz,CA,Tel.423-7117,**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Staff of Life,Restaurants,1305 Water Street,,,Santa Cruz,CA,Tel.423-8065.,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Santa Cruz Women's Health Center,Health Center,250 Locust Street,,,Santa Cruz,CA,"Tel.427-3500 & 452-5211. Emergency service till midnight.
Gyn/health therapy. Bi-lingual (Spanish & english). They
published the excellent resource: LESBIAN HEAL TH MATTERS, a
landmark book",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Heartwood Spa,Spa,3150A Mission Drive,,,Santa Cruz,CA,"Tel.462-2191. Outdoor
hot tub. Open daily noon-11pm.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Sonoma County Women's Voices,Publications,,,checked,Sonoma County,CA,"P.O.Box
4448;95402- Tel.526-5974. They share offices with WOMEN'S SUPPORT
NETWORK & NATIONAL WOMEN'S HISTORY PROJECT",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Santa Rosa Inn,Bars,4302 Santa Rosa Ave,,,Santa Rosa,CA,"in Santa
Rosa-Tel.584-0345.",**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Metropolitan Community Church - Stockton,Religious Groups,2737 Pacific Ave,,,Stockton,CA,(First Unitarian Church)-Tel.943-5277,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Paradise,Bars,4206 North West Lane,,,Stockton,CA,Tel.948-9918.,**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Our Bar,Bar / Restaurants,832 Sonoma Blvd,,,Vallejo,CA,Tel.644-4584.,***,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Wild Goose,Bars,2485 East Main Street,,,Ventura,CA,Tel.653-9194.,**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
The Hub,Bars,1220 Pine Street,,,Walnut Creek,CA,Tel.938-4550,***,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Beebo's Used Books,Bookstores,925 Spruce Street,,,Louisville,CO,"Tel. 666-4919.
Lesbain-owned, they have stocks of gay and women's used books.
They buy, sell and trade. Open Mon-Sat. 10am-5:30pm. They sell
GAIA'S GUIDE, say 'hi' from GAIA.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Fort Collins Gay & Lesbian Alliance,Gay / Lesbian Group,,,checked,Fort Collins,CO,"CSU Activities Center,
Box 206; 80523. Tel. 491- 7232",*,Organizations,,,,Amanda Regan,4/11/2024 4:42pm,1987
People's Bar,Bars,934 South Le May,,,Fort Collins,CO,"80524/(at
Elizabeth). Tel. 493-0251. Dance bar/some entertainment/outdoor
patio/after hours Fri. & Sat. Recommended. Say 'hi' from GAIA.",**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Guide Magazine,Publications,432 South Broadway,,,Denver,CO,80209- Tel.(303)698-1183,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Out Front,Publications,,,checked,Denver,CO,"P.O.Box 18597,Denver,CO;80218-Tel.(303)778-0470",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Parents and Friends of Lesbians and Gays,Special Interest Groups,,,checked,Denver,CO,"Parents
Flag), write: P.O.Box 18901 ;80218-Tel.(303)333-0286",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
The Gay and Lesbian Community Center of Colorado,Centers,1615 Ogden St,,,Denver,CO,"(Mailing: Drawer E, Denver; 80218) Tel. 831-6268 or
837-1598. Opening times Mon-Fri 1pm-9pm, Sat noon-6pm (closed
Sundays and holidays.) This center is a truly successful alternative to
the bar scene. Includes coffeehouse nights, gay/lesbian educators
group, young lesbian support group, the women's outdoor club.",***(**),Organizations,,,,Amanda Regan,4/11/2024 4:42pm,1987
Book Garden ,Feminist Bookstore,2625 East 12th Ave,,,Denver,CO,Women's Store;80206-Tel.399-2004. Very well stocked- -very helpful women.,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Three Sisters,Bars,3358 Maniposa St.,,,Denver,CO,Tel. 458-8926,****,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Denver Detour,Bars,551 E. Colfax Ave,,,Denver,CO,"Tel. 861-1497. This new bar is
owned by two women, with 'Ladies Night' on tuesdays from 7pm-2am.
Open 10am-2am, they do lunch Mon-Sat 11am-3pm, Sun brunch
with special drink prices .",**(**),"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Metropolitan Community Church of the Rockies,Religious Groups,2090 S. Bannock,,,Denver,CO,Tel. 778-0101.,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
The Globe International,Bars,4501 Logan,,,Denver,CO,Tl. 294-0323,****,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Garbo's,Bars,116 East 9th ,,,Denver,CO,Tel.837-8217,****,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Lipps,Bars,6300 West Colfax,,,Denver,CO,Tel. 233-5420,***,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
The Grove,Bars,1618 East 17th Avenue,,,Denver,CO,Tel. 320-9205,**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Tracks,Bars,2975 Fox St.,,,Denver,CO,"Tel. 296-8507. There are women's nights
when about 1,000 tum up. So get on that phone and check out which
nights!",**(**),"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
BJ's Carousel & Restaurant,Bar / Restaurants,1380 South Broadway,,,Denver,CO,"Tel.
777-9880
",**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Denver Sandwich Shop,Restaurants,1217 E. 9th ,,,Denver,CO,Tel. 861-9762,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
House of Pies,Restaurants,745 Colorado Blvd.,,,Denver,CO,Tel. 388-0864,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Garbo's,Bar / Restaurants,116 East Avenue,,,Denver,CO,Tel. 837-9218,**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
B'Way Cafe,Bar / Restaurants,104 S. Broadway,,,Denver,CO,"Tel. 722-3430. Gay women and men.
Open 7-10 Mon-Sat, 8-4 Sun",**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Bonawitz - Dunham,Restaurants,206 East 13th,,,Denver,CO,Tel. 831-0361,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
The Kitchen,Restaurants,1962 East Colfax Ave,,,Denver,CO,Tel. 320-9900,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
The Little Russian Cafe,Restaurants,1430 Larimer,,,Denver,CO,"Tel.595-8600. Open
from 11 am for lunch and dinner, etc.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Victor's Cafe,Restaurants,3030 East 6th Ave,,,Denver,CO,Tel. 321-3345,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Category Six,Gay / Lesbian Bookstore,1029 East 11th Ave,,,Denver,CO,"80218- Tel. 832-6263. An
excellent first stop In Denver. Extremely helpful, frlendly people.
They sell GAIA'S GUIDE. Open: Mon to Sat 10am-6pm, Sunday
1pm-5pm. Be sure and say hi from GAIA. Records/tapes/posters,
too.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Brasserie Broadway,Restaurants,1 Broadway,,,Denver,CO,"One Broadway (at
Ellsworth)-Tel.722-8015, pastries, cocktails, Sunday brunch.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Book Barter,Bookstores,919 East Colfax Ave,,,Denver,CO,"Tel. 831-9768. Used books.
Some feminist/gay and lesbian titles.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Arbor Cottage,"Hotels / Motels / Guest Houses / B&B, etc.",1536 Gilpin Street,,,Denver,CO,80218-Tel.(303)399-7453.,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Together Books,Bookstores,200 East 13th Ave,,,Denver,CO,"Tel. 832-5171. Alternative
books. Gay titles/lesbian titles/feminist titles.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Trilogy Bookstore,Bookstores,630 East 6th Avenue,,,Denver,CO,"Tel. 722-7612. Good
selection of gay/feminist and lesbian books. Open weekdays
10am-pm/Sat to 7pm/Sun 1pm-5pm.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Victoria Oaks Inn,"Hotels / Motels / Guest Houses / B&B, etc.",1575 Race Street,,,Denver,CO,80206-Tel.(303)355-1818,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Dr. Thomas S. Lloyd,Health / Clinics / Counseling,3865 Cherry Creek North Drive,,,Denver,CO,80209-Tel.355- 7444. Podiatrist/foot specialist,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Supportive Health Alternatives,Health / Clinics / Counseling,,,checked,Denver,CO,"Tel.830-6783. For Gay &
Lesbian Unique Problems.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Liz Matthews,Attorneys,1535 Grant,,,Denver,CO,suite 250;80203-Tel.831-4500,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
"Terry Brewick, D.D.S.",Health / Clinics / Counseling,700 East 9th,,,Denver,CO,Tel.832- 7300. Dentist,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Dennis S. Brinn,Attorneys,1115 Grant Street,,,Denver,CO,80203- Tel.830-6811,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Gay and Lesbian Health Alliance,Health / Clinics / Counseling,,,checked,Denver,CO,"PO Box 9413; 80209. Tel.
777-9530 (answering machine)",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
"Reynard, Booms & Piper, P.C.",Attorneys,958 Lincoln Street,,,Denver,CO,"80203-Tel.
830-1300",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Capitol Hill Animal Care Center,Veterinary Hospital,2325 East Colfax,,,Denver,CO,"Tel.329-3131. Full service vetemary hospital. Ms. Jeannetee
Spivak, D.V.M.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Womanschool Network,Classes,1005 Wadsworth,,,Denver,CO,Tel. 238- 7837,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Aspen Gay Community,Group,,,checked,Aspen,CO,"P.O. Box 3143; 81612-3143- Tel.
925-9249. Switchboard operates evenings, otherwise it's a taped
message. Pot luck suppers/referrals. Membership: at least 30% gay
women and recommended. Say 'hi' from GAIA.",*,Organizations,,,,Amanda Regan,4/11/2024 4:42pm,1987
CJ's Fort,Bars,2850 29th Street,,,Boulder,CO,Tel.443-5589.,**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Left Hand,Alternative Bookstore,1200 Pearl Street,,,Boulder,CO,"Tel. 443-8252. Lesbian/women's
studies/gay titles, magazines & newspapers, posters, buttons, women's
music, T-shirts and cards. Reading area, bulletin board; tea and coffee.
They also sell GAIA'S GUIDE.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Mountain House,Guest Houses,,,checked,Breckenridge,CO,"write: P.O.Box
6,Breckenridge,CO;80424-Tel.(303)453-6475. A very, very highly
recommended guest house for women only. There are rooms for
ten persons only, maximum total- -2 rooms with private bath and
a double with private bath costs $35.00 per person per night. It's
bring your own food. Casual, relaxed, refreshing resort-type
atmosphere. Say 'hi' from GAIA",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
The 2735 Club,Bars,2735 East Yampa,,,Colorado Springs,CO,Tel.473-9898.,****,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Gay Help-Line,Service,,,checked,Colorado Springs,CO,Tel. 471-4429,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Hide and Seek Complex,Bars,512 West Colorado Ave,,,Colorado Springs,CO,Tel. 634-9303,**(**),"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
The Exit,Bars,2028 Sheldon Ave,,,Colorado Springs,CO,Tel. 634-9276,**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Colorado Springs Women's Health Clinic,Health Center / Clinic / Counseling,111 East Dale St,,,Colorado Springs,CO,Tel. 471-9492,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Who's Who,Publications,,,checked,Aurora,CO,"P.O.Box 441535-213, Aurora,CO;80044--$12.00 for
6months.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Quincy,Bars,609 Main Street,,,Grand Junction,CO,Tel.242-9633,**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
El Chaparal,Bars,217 East Northem,,,Pueblo,CO,"Tel. 545-9912. Open 7 days a
week.",**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
New Haven Jewish Lesbians,Special Interest Groups,,,checked,New Haven,CT,"open to women who identify
themselves as Jews and lesbians, this group meets approximately every
third week in members' homes for pot-luck suppers, support, and
political discussions. We laugh a lot. Call Golden Thread Booksellers
(203- 777- 7807) for meeting times and places.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
New Haven Gay & Lesbian Switchboard,Switchboards,,,checked,New Haven,CT,"Tel. 624-6869.
Operates Bpm-11 pm Mon-Fri.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Golden Thread Booksellers,Feminist Bookstore,978 State St,,,New Haven,CT,"(near Edwards).
Tel. 777-7807. New Haven's Feminist Bookstore. Books by, for
and about women, with strong lesbian/gay section, plus women's
music nd unusual cards. Local events bulletin board. Special order
welcome. They sell GAIA'S GUIDE.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Yale Women's Center,Special Interest Groups,198 Elm Street,,,New Haven,CT,"06511/at
College-Tel.436-4250. Mail to: 5051 Yale Station.
SWITCHBOARD-10am-5pm/theater/social and political activities.
Say 'hi' from GAIA.",****(*),Organizations,,,,Amanda Regan,4/11/2024 4:42pm,1987
Partner's,Bars,365 Crown St,,,New Haven,CT,"Tel. 624-5510. Gay complex on 3 floors
The top floor is the disco and video-bar in the basement. Clientel: about
70% gay men and 30% gay women. Open 4pm-3am.",**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
The Pub Cafe,Bar / Restaurants,168 York St,,,New Haven,CT,"Tel. 789-8612. The only really gay restaurant in Connecticut. The food is ex1remely high quality and nowadays, 'reservations required'. Clientel: 60% gay men to 40% gay women. Sunday brunches and good entertainment.
",**,Bar / Restaurants,,,,Amanda Regan,4/11/2024 4:42pm,1987
Women's Center of Greater Danbury,Women's Center,241 Main Street,,,Danbury,CT,"Tel.
973-3010.",****,Organizations,,,,Amanda Regan,4/11/2024 4:42pm,1987
Helpline,Service,,,checked,Danbury,CT,Tel. 426-4922,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Women's Therapy Association,Clinics / Health Centers / Counseling,119 Oxford Street,,,Hartford,CT,Tel.232-2140,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Institute of Social Ethics / Gay National Archives,Archives,1 Gold Street,,,Hartford,CT,"suite 22-BC, Hartford;06103; Tel. 547-1281. Keeps historical
documents, data, and publications about the gay rights movement in
America. Their collections from the 1950's & 1960's are especially
interesting.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Metropolitan Community Church,Religious Groups,118 Main St,,,Hartford,CT,"St. Elizabeth Chapel, 118
Main St. Tel.522-9547.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Hartford Women's Center,Centers,350 Farmington Ave,,,Hartford,CT,"Tel.
521-9TT2 & 659-3670. Home of WOMENSPLACE COFFEE HOUSE
NIGHTS/The Feminist Library, Etc.",****(*),Organizations,,,,Amanda Regan,4/11/2024 4:42pm,1987
Commercial Street West,Bars,458 Weatherfield Ave,,,Hartford,CT,"Tel. 249-6653.
Summer Tea-dances and special dinner nights on Thursdays. Recommended.
Closed Sundays.",****,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Backstreet,Bars,81 Pope Park Highway,,,Hartford,CT,"Hartford, 81, Pope Park Highway; Tel. 241-0500.
90% gay men and the women usually clear out about 10:30pm on
Sundays.",**(MGM),"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
"Gay Spirit, WWHU",Radio Program,,,checked,Hartford,CT,"Hartford is 91.3 on your FM dial. Thursdays
8:30pm.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Reader's Feast,Feminist Bookstore / Cafe,529 Farmington Ave,,,Hartford,CT,"Tel. 232-3710. Features a
full line of feminist, gay and lesbian titles. Community events and
art-displays. The cafe/restaurant is mostly vegetarian, serving excellent
cheeses and coffee, it's a real retreat from the bar scene, as they
feature authors nights/poetry readings and local wimmin's talent. They
sell GAIA'S GUIDE and are open Tu.-Th. 10am-9pm,Fri. & Sat.
10am-11pm & Sunday from 11am-3pm. Be sure and say 'hi' from
GAIA.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Womanist House,Women's Center,170 College Street,,,Middletown,CT,"Street;06457/(at Pearl Street)Tel.
347-9710. Social and political activities, lots of lesbian participation.
24 hour switchboard service for emergencies. Say 'hi' from GAIA.",****,Organizations,,,,Amanda Regan,4/11/2024 4:42pm,1987
The New London Forum,Group,,,checked,New London,CT,"meets Tuesday night at: The Wine & Cheese Cellar, Golden St.",,,,,,Lilly Smith,7/23/2024 3:41pm,1987
Frank's Place,Bars,9 Tiley St,,,New London,CT,Tel. 443-8883.,**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Women's Center,Women's Center,27 Whitney Rd,,,Storrs,CT,"University of Connecticut, 27 Whitney Road, U-118, Storrs; 06268.-(on campus)-Tel. 486-4738. Library/referrals for health care services/legal matters/child care/sexual assault and harrassment/battery and pornography. Also film nights/forums/ conf~ren~s/receptions/support groups/and special events (in Oct.,'85, Gloria Steinhem came to speak there). The center is open Mon.-Th. 8:30am-9pm (while school is in session) & Mon.-Fri. 8:30am-4:30pm year round.",****,Centers,,,,Amanda Regan,4/11/2024 4:42pm,1987
Birds of a Feather,,435 Bank St,,,Storrs,CT,"Tel.754-5846. InthePathmark Shopping Center.Exit rte. 21, off Rt. 84- -you can see the shopping center from the highway. Video disco open 8pm-2am/3am.
",**,For Review/Unclear,,,,Amanda Regan,4/11/2024 4:42pm,1987
Brook Cafe,Bar,919 E Post Rd ,,,Westport,CT,Tel. 222-0109. Opens 3pm. An all gay bar that is over 50 years old!--Disco/pool tables/summer tea dances and outdoor patio. It's fully licensed and often attracts more gay women than men.,**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Bloodroot,Feminist Restaurant and Bookstore,85 Ferris Street,,,Black Rock,CT,"06605. Tel. 576-9168.
Vegetarian restaurant and feminist bookstore open
Tues.-Su.- -Sunday brunch there la especially recommended
and starts at 11am. Weds. lt'a women only from 7 to 9pm. There's a
charming outdoor patio and BLOODROOT Ia lesbian owned and
operated. Always very helpful to GAIA'S GUIDE, which they also
sell. Be sure and say 'hi' from GAIA. They now offer overnight
ac:comodatlon: The Inn.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
The Inn - at Bloodroot,Overnight Accomodation,85 Ferris Street,,,Black Rock,CT,See above for details.,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Gay and Lesbian Switchboard,Services,,,checked,Washington,DC,GAY AND LESBIAN SWITCHBOARD Tel. 387-4348 + 387-5525 includes lesbian line 7.30-10.30pm. They usually have a woman on duty.,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
The Washington Blade,Publications,930 NW F St,,,Washington,DC,"(no.315);20044-Tel. 347-2038. Weekly events, calendar, groups, classified. Well balanced Lesbian/Gay paper. $25 p.a.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Washington Area Women's Center,Centers,1638 NW R St,,,Washington,DC,"20009- Tel. 347-5078. Rap groups, walk in & telephone peer counselling, referrals.
",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Off Our Backs,Publications,1841 Columbia Rd,,,Washington,DC,"NW;20009 Feminist news journal. Somewhat third world orientation. Resource section, classified ads, individual subscription, $11.00 a year. Sample copy $1.50. Free to prisoners. Particulalry good book reviews. Emphasis on International news. A real source of strength.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Bet Mishpachah,Religious Groups,,,checked,Washington,DC,"Services held at Christ United Methodist Church 1 St SW between 3rd and 4th. Tel: 833-1638. The gay and lesbian synagogue of Washington DC. Sabbath service and Oneg every Friday, 8.30pm. Women's Outreach Service - first Friday of every month.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Gay Community Center,Center,1638 Q St,,,Washington,DC,Tel. 232-7103. Full range of activities and services. Women's coffeehouse Saturday nights.,***(**),,,,,Amanda Regan,4/11/2024 4:42pm,1987
Metropolitan Community Church-DC,Religious Groups,415 NW M St,,,Washington,DC,Tel.638- 7373.,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
National Organization For Women,N.O.W.,1401 NW New York ,,,Washington,DC,suite 300;20005.,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Lesbian Resource and Counseling Center of the Whitman Walker Clinic,Clinics / Health Centers / Counseling,2335 NW 18th St,,,Washington,DC,";20009 (near Columbia Road).Tel.332-5295. Counselling, out reach and gyn care
",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Other Side,Bars & Bars / Restaurants,1345 SE Half St,,,Washington,DC,Tel.554-5141. Bar & restaurant + disco.,****,Bar / Restaurants,,,,Amanda Regan,4/11/2024 4:42pm,1987
Phase One,Bars & Bars / Restaurants,525 SE 8th St,,,Washington,DC, Tel. 544-6831,***,Bar / Restaurants,,,,Amanda Regan,4/11/2024 4:42pm,1987
Tracks,Bars & Bars / Restaurants,1111 SE 1st St,,,Washington,DC,Tel.488-3320. Bar/restaurant/ dancing.,***,Bar / Restaurants,,,,Amanda Regan,4/11/2024 4:42pm,1987
Hung Jury,Bars & Bars / Restaurants,1819 NW H St,,,Washington,DC,Tel.785-8181 Closed Mon & Tue.,***,Bar / Restaurants,,,,Amanda Regan,4/11/2024 4:42pm,1987
Lost & Found,Bars & Bars / Restaurants,56 SE L St,,,Washington,DC,"Tel. 488-1200. During the week it's a gay men's bar, but Sunday afternoon tea dances are crazy and recommended.",[MGM**,Bar / Restaurants,,,,Amanda Regan,4/11/2024 4:42pm,1987
Two Quail,Restaurants,320 NE Massachusetts Ave,,,Washington,DC,Tel.543-8030,*,Restaurants,,,,Amanda Regan,4/11/2024 4:42pm,1987
Cafe Berlin,Restaurants,322-B NE Massachusetts Ave,,,Washington,DC,Tel.543- 7656,*,Restaurants,,,,Amanda Regan,4/11/2024 4:42pm,1987
The Buck Stops Here,Bars & Bars / Restaurants,1725 G St,,,Washington,DC,Tel.842-1777.,**,Bar / Restaurants,,,,Amanda Regan,4/11/2024 4:42pm,1987
Fasikas,Restaurants,2447 NW 18th St,,,Washington,DC,Tel.797-7673,*,Restaurants,,,,Amanda Regan,4/11/2024 4:42pm,1987
Susan C. Silber,Attorneys,,,checked,Washington,DC,Tel.445-5400. Civil rights law/Federal Civil Service/Military/SecurityClearances/alternative family.,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
La Fourchette,Restaurants,2429 NW 18th St,,,Washington,DC,"Tel.332-3077
",*,Restaurants,,,,Amanda Regan,4/11/2024 4:42pm,1987
Harvey Friedman,Attorneys,1707 NE N St,,,Washington,DC,20036-Tel.293- 7337,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Lillian Santos Cabellero,Attorneys,1801 NW Columbia Rd,,,Washington,DC,20009-Tel.(202)328-0602. Abogada,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
"Isicson, Steinmetz and Weinberg",Attorneys,,,checked,Washington,DC,Tel.861-0077,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Dolkart/Langer/Zavos,Attorneys,,,checked,Washington,DC,"Tel.667-2330. Located at Du Pont Circle. Security clearance/military/alternative family, etc.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
