title,type,address,unclear.address,city,state,statewide.address,description,stars,Star Type,Mentions Race?,Mentions Disability?,notes,Questions/Unsure Dr. R should check,year,Last Modified By,Last Modified
Avenue 54,Bars,,checked,Huntsville,AL,,The Mall;  Tel. 536-0301. Show bar + quiet lounge.,**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Books as Seeds,Alternative Bookstore,202 Andrew Jackson Way,,Huntsville,AL,,"Tel. 533-0270. Gay and lesbian, feminist titles.",,,,,,,1985,,8/8/2024 8:42am
Gulf Alliance for Equality ,Groups,,checked,Mobile,AL,,Tel. 476-5171,*,Organizations,,,,,1985,,8/8/2024 8:42am
Club Park Avenue,Bars,"7, South Joachim Street",,Mobile,AL,,Tel. 433-9105,**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Society Lounge,Bars,51 South Conception,,Mobile,AL,,Tel. 433-9141.,**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
The Corral,Bars,54 South Conception,,Mobile,AL,, Tel. 433-9258,MGM**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Metropolitan Community Church,Religious Groups,,checked,Montgomery,AL,,Tel. 264-7887.,,,,,,,1985,,8/8/2024 8:42am
Skeeters,Bars,150 Lee Street ,,Montgomery,AL,,"Tel. 265-8290. Disco, show-bar. ",**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
B & R Club,Bars,211 Lee Street,,Montgomery,AL,,Tel. 262-9212. Thursdays are women's nights.,**(**),"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
The Chukker,Bars,2121 6th Street,,Tuscaloosa,AL,,,*,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Gay/Lesbian Group,Groups,,checked,Tuscaloosa,AL,,Tel. 939-1543,*,Organizations,,,,,1985,,8/8/2024 8:42am
"Another World Magazine, Alabama Forum: LAMBDA",Publications,P.O. Box 55913,checked,Birmingham,AL,,Gay/lesbian newspaper. Regional directory. $8.00 p.a.,,,,,,,1985,,8/8/2024 8:42am
Arkansas Advisor,Publications,,checked,,AR,,"from UNIVERSAL PUBLISHERS, Tel. (501)225-1300. Complete list of local resources. Very helpful to GAIA'S GUIDE.",,,,,,,1985,,8/8/2024 8:42am
Starlight Club,Bars,Old Calion Highway;,checked,El Dorado,AR,,Tel. 863-9701.,*,,,,,,1985,,8/8/2024 8:42am
News of the Gay and Lesbian Community,Publications, P.O. Box 2897;72701,checked,Fayetteville ,AR,,"Arkansas Gay & Lesbian Rights of Fayetteville,-Tel. 521-4509 & 443-0661. ",,,,,,,1985,,8/8/2024 8:42am
Metropolitan Community Church of the Ozarks,Religious Groups,P.O. Box 92,checked,Fayetteville ,AR,,Tel. 443-4278,,,,,,,1985,,8/8/2024 8:42am
Parents and Friends of Lesbians and Gays,Parents Group,,checked,Fayetteville ,AR,,Tel. 521-4509. ,*,Organizations,,,,,1985,,8/8/2024 8:42am
The Closet,Bars,275 Huntsville Road,,Fayetteville ,AR,,Tel. 442-9552. ,**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Tisza's,Bars,4630 North College Avenue,,Fayetteville ,AR,,Tel. 442-9685 ,**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Village Landing,Bars,3028 North 6th,,Fort Smith,AR,,Tel. 783-9101 ,***,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Our House Lounge & Restaurant,Bars,336 Central Avenue,,Hot Springs,AR,,Tel. 624-6868. Open Mon-Sat.,**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Gay Counselling Service,Services,409 Walnut ,,Little Rock,AR,, Tel. 663-6455. ,,,,,,,1985,,8/8/2024 8:42am
National Organization for Women,N.O.W.,Box 622,checked,Little Rock,AR,,Tel. 663-8486.,,,,,,,1985,,8/8/2024 8:42am
Gay A.A.,Groups,7509 Cantrell (Suite 102) Tanglewood Shopping Center,checked,Little Rock,AR,,,,,,,,,1985,,8/8/2024 8:42am
Grassroots Women's House,Centers,1524 South Summit,,Little Rock,AR,,Tel. 378-7851.,,,,,,,1985,,8/8/2024 8:42am
Metropolitan Community Church,Religious Groups,Box 1964,checked,Little Rock,AR,,Tel. 666-2404.,,,,,,,1985,,8/8/2024 8:42am
Silver Dollar,Bars,2710 Asher Avenue.,,Little Rock,AR,, Tel. 663-9886.,****,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Calamity's ,Bars, 5922 South University,,Little Rock,AR,,Tel. 562-9041. Hours Monday-Friday 3 pm-1 am. Sat. noon-midnight.,****,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Discovery Disco,Bar/Restaurant,1021 Jessie. ,,Little Rock,AR,,Tel. 664-4784 .. Frequent drag shows. ,**,Bar/Restaurant,,,,,1985,,8/8/2024 8:42am
Metropolitan Community Church - of the Pines,Religious Groups,,checked,Texarkana,AR,,Tel. 772-1660.,,,,,,,1985,,8/8/2024 8:42am
Lesbian and Gay Community Switchboard,Services,,checked,,AZ,checked,Tel. 234-2752 (7pm-11pm) ,*,"Hotels, Motels, Services?",,,,,1985,,8/8/2024 8:42am
Aradia Women's Bookstore,Feminist Bookstore,116 West Cottage,,Flagstaff,AZ,,Tel. 779-3817,,,,,,,1985,,8/8/2024 8:42am
Western Express,Publications, PO Box 32575,checked,Phoenix,AZ,, Tel. 254-1324,,,,,,,1985,,8/8/2024 8:42am
FLAC: The Women's Center,Groups,1634 N. 7th Street,,Phoenix,AZ,,Newsletter.,,,,,,,1985,,8/8/2024 8:42am
Parents and Friends of Gays,Special Interest Groups,4217 E. Hazelwood,,Phoenix,AZ,,Tel. 957-1738,,,,,,,1985,,8/8/2024 8:42am
Desert Adventures,Special Interest Groups,1129 W. Culver ,,Phoenix,AZ,,Tel. 257-9290. Activities group for gay women and men. ,,,,,,,1985,,8/8/2024 8:42am
Gay Al-Anon,Special Interest Groups,6829 North 21st Avenue,,Phoenix,AZ,,Tel. 249-1257,,,,,,,1985,,8/8/2024 8:42am
Casa de Cristo (M.C.C.),Religious Groups,1029 E. Turney,,Phoenix,AZ,,Tel. 265-2831 ,,,,,,,1985,,8/8/2024 8:42am
Oasis Metropolitan Community Church,Religious Groups,PO Box 10272;85064,checked,Phoenix,AZ,,"Rev. Kay Palin, Pastor.",,,,,,,1985,,8/8/2024 8:42am
New Moon,Bars,3108 East McDowell Road,,Phoenix,AZ,, Tel. 275-0764. ,****,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Incognito II,Bars, 2601 West Camelback,,Phoenix,AZ,,Tel. 249-9658.,****,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
RAGS,Bars,2320 North 32nd Street.,,Phoenix,AZ,,"Tel. 957-9929. Cocktail and dinners, Sunday brunch. Open till 3 am Sat.",****,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Incognito Lounge,Bars,2424 East Thomas Road,,Phoenix,AZ,,Tel. 956-9940 ,***,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Hotbods,Bars, 3437 East McDowell Road,,Phoenix,AZ,,Tel. 252-9940,MGM**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
The Grand Camel Club,Bar/Restaurant,5105 North 3rd Avenue,,Phoenix,AZ,,Tel. 841-6306,**,Bar/Restaurant,,,,,1985,,8/8/2024 8:42am
Human Space,Alternative Bookstore,2401 North 32nd Street (no.5),,Phoenix,AZ,,Tel. 956-6336.,,,,,,,1985,,8/8/2024 8:42am
Ace Taxis,Taxi Cabs,,checked,Phoenix,AZ,,Tel. 956-1009,,,,,,,1985,,8/8/2024 8:42am
Joseph A. Tuedt Jr.,Attorneys,,checked,Phoenix,AZ,,Tel. 231-0907 (private practice) ,,,,,,,1985,,8/8/2024 8:42am
R. Hegyi,Card Shop, 5150 North 7th Street,,Phoenix,AZ,,Tel. 277-1929,,,,,,,1985,,8/8/2024 8:42am
Discount Cab,Taxi Cabs,,checked,Phoenix,AZ,,Tel. 275-3538,,,,,,,1985,,8/8/2024 8:42am
The Directory,Publications,PO Box 25073,checked,Phoenix,AZ,checked, 85002 Tel. 277-0196. Gay resource and guide for Arizona. Extremely handy and extremely useful.,,,,,,,1985,,8/8/2024 8:42am
Women's Pages ,Publications,PO Box 384,checked,Scottsdale,AZ,checked,"85252 Tel 947-5655. Statewide directory of women's resources, services and businesses Extremely handy.",,,,,,,1985,,8/8/2024 8:42am
Arizona Lesbian and Gay Task Force,Groups,P.O. Box 1405,checked,Tempe,AZ,,Tel. 234-2752,*,Organizations,,,,,1985,,8/8/2024 8:42am
Switchboard ,Services,,checked,Tucson,AZ,,Tel. 792-3772,,,,,,,1985,,8/8/2024 8:42am
Metropolitan Community Church of Tuscon,Religious Groups,560 South Stone. ,,Tucson,AZ,,Tel. 622-4536 ,,,,,,,1985,,8/8/2024 8:42am
Dignity/Tuscon,Religious Groups, PO Box 27929;85726,checked,Tucson,AZ,,Tel. 745-1812 & 297-6340. ,,,,,,,1985,,8/8/2024 8:42am
Ruby's,Bars, 2512 East Grant Road,,Tucson,AZ,,Tel. 327-0114,***,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Women on Wheels,Country Trips,,checked,Tucson,AZ,,"Tel. 326-6008. Sightseeing around the desert, etc. with really nice women. ",,,,,,,1985,,8/8/2024 8:42am
The Graduate,Bars,23 West Washington Boulevard,,Tucson,AZ,,"Tel. 622-9233. 
",***,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Collette's,Bars,2849 North First Ave.,,Tucson,AZ,,Tel. 622-9733,***,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Tramps,Bars,616 North 4th Avenue ,,Tucson,AZ,,Tel. 882-0785.,**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
The Fine Line,Bars,101 West Drachman,,Tucson,AZ,, Tel. 882-4953,**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Rita's Rendezvous,Bars,3455 East Grant,,Tucson,AZ,,Tel. 327-3390,**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Joshua Tree,Bar/Restaurant,2921 North First Street,,Tucson,AZ,,Tel. 722-6233,MGM**,Bar/Restaurant,,,,,1985,,8/8/2024 8:42am
The Sidewalk Cafe,Restaurants,4784 Sunrise Drive,,Tucson,AZ,,Tel. 299-4500,*,Restaurants,,,,,1985,,8/8/2024 8:42am
Antigone Books,Feminist Bookstore,403 East Speedway,,Tucson,AZ,,"Tel. 326-3332. Very well stocked, including: posters records cards, and gifts. + Bulletin board/local info center. Very helpful to GAIA'S GUIDE. They sell GAIA'S GUIDE. Say ""hi"" from GAIA. ",,,,,,,1985,,8/8/2024 8:42am
Great Outdoors,Special Interest Groups,2772 West 8th Street,,Tucson,AZ,, Tel (213) 385-4725 ,,,,,,,1985,,8/8/2024 8:42am
Arizona Gay News (AGN),Publications,PO Box 5002,checked,Tucson,AZ,checked," 85703. Tel 623-5268. Weekly gay newspaper, full of Arizona news and resources",,,,,,,1985,,8/8/2024 8:42am
Women for Nuclear Disarmament ,Organizations,,,,CA,,,,,,,,,1985,Amanda Regan,5/27/2025 10:04am
Sante,Fitness Center,847 San Pablo Avenue,,Albany,CA,,Tel. 526-5900. Fully equipped gym/sauna/Jacuzzi/steam baths/personalized exercise program/massage. Managed and operated by women.,,,,,,,1985,,8/8/2024 8:42am
Metropolitan Community Church of Bakersfield ,Religious Groups,2413 Alta Vista Drive.,,Bakersfield ,CA,,Tel. 327-3724,,,,,,,1985,,8/8/2024 8:42am
Twin Star,Bars, 1030 20th St,,Bakersfield ,CA,, Tel. 322-8901,**,Bar/Restaurant,,,,,1985,,8/8/2024 8:42am
Casablanca,Bars,1209 20th Street.,,Bakersfield ,CA,, Tel. 324-4769,**,Bar/Restaurant,,,,,1985,,8/8/2024 8:42am
The Brick Hut,Restaurants, 3222 Adeline Ave,,Berkeley ,CA,,"-fabulous food, open from 7am- lesbian owned and operated. ",**,,,,,,1985,,8/8/2024 8:42am
Cheese and Coffee Center,Restaurants,2110 Alston Way,,Berkeley ,CA,,Tel. 848-7115,*,,,,,,1985,,8/8/2024 8:42am
Vivoli's Ice Cream of Italy,Ice Cream Shop,"Trumpetvine Court, 21154 Allston Way",,Berkeley ,CA,,"tel. 845-6458. A women's collective serving truly exotic ice-cream, acknowledged hang-out. ",,,,,,,1985,,8/8/2024 8:42am
The Old Mole,Bookstore/Coffeehouse ,1942 University Walk,,Berkeley ,CA,,"Tel. 540-6077. Serving espresso, drip coffee and pastries. + a fine selection of women's books. ",,,,,,,1985,,8/8/2024 8:42am
Cody's Books,Bookstore,2454 Telegraph Avenue,,Berkeley ,CA,, Tel. 845-7852. Good selection of feminist books. ,,,,,,,1985,,8/8/2024 8:42am
The Laughing Goddess Grotto,Spirituality Center,4118 Telegraph Ave,,Berkeley ,CA,,"Tel. 653-4169. Kwan Yin & Venus of Willendorf image candles, oils, incense charcoal, ritual supplies. They also sell the mysterious and esoteric GAIA'S GUIDE. Send for their marvelous mail order catalogue",,,,,,,1985,,8/8/2024 8:42am
For Yourself,Sexuality Boutique,5467 College Avenue,,Berkeley ,CA,,"Tel. 658-1904. Vibrators, massage oils, books, toys, and erotic art. Say 'hi' from GAIA. ",,,,,,,1985,,8/8/2024 8:42am
Point of Departure,Travel Agencies,1660 Shattuck Avenue,,Berkeley ,CA,,Tel. 845-6636.-A woman-owned and operated travel agency Interested in furthering International feminist contact. ,,,,,,,1985,,10/11/2024 9:54pm
Feminist Women's Health Center,Health Center,2930 McClure Street,,Berkley,CA,, Tel. 444-7664/444-5676. Full gynaecological services/lesbian health and now: their own sperm bank. By appointment only. Weekdays 9am-7pm.,,,,,,,1985,,8/8/2024 8:42am
Pacific Center for Gay People,Centers,2712 Telegraph Avenue,,Berkley,CA,,"Tel. 841-6245. (switchboard). Crises referrals for housing, jobs, etc., monthly newsletter and calendar of events, mental health services and switchboard. Many, many lesbian support and special interest groups. One of the best gay centers in the world.",***(**),Organizations,,,,,1985,,10/11/2024 9:53pm
SWITCHBOARD,Services,,checked,Berkley/Oakland,CA,,"Tel. 665-7300, Mon-Fri. 10am-3pm. ",,,,,,,1985,,8/8/2024 8:42am
Berkley Women's Center,Centers,2908 Ellsworth. ,,Berkley/Oakland,CA,,Tel. 843-6194,***(**),Organizations,,,,,1985,,8/8/2024 8:42am
Metropolitan Community Church,Religious Groups,148 East 22nd Street,,Costa Mesa,CA,, Tel. 545-6117 ,,,,,,,1985,,8/8/2024 8:42am
Gays & Lesbians at Davis,Political Group,433 Russell Boulevard.,,Davis,CA,,Tel. 753-2090,*,,,,,,1985,,8/8/2024 8:42am
Driftwood Tavern,Bars,200 First Street,,Eureka,CA,,Tel. 442-9788. Gay some evenings only.,**,,,,,,1985,,8/8/2024 8:42am
Humboldt United Gays,Groups,207'G' Street - Suite 104,,Eureka,CA,,Tel. 442-5604. Answerphone. ,*,,,,,,1985,,8/8/2024 8:42am
Les Biens,Groups,,checked,Fairfield,CA,,"Tel. (707)448-1010. (for messages and information)-Solano county women's support group. Free newsletter, nice women. ",**,,,,,,1985,,8/8/2024 8:42am
Fresno Gay Hotline,Services,Tel. 264-HELP,,Fresno,CA,,,,,,,,,1985,,8/8/2024 8:42am
The Front Runner,Publications,"164 North Blackstone Ave., (suite 119)",,Fresno,CA,,Monthly local gay newspaper. Free at bars or $12.00 p.a.,,,,,,,1985,,8/8/2024 8:42am
Gordick's,Bookstore, 6015 North Palm Avenue;93704,,Fresno,CA,,"Tel. 435-1845. Full selection of lesbian and gay titles, newspapers, including Front Runner, etc. Open Mon Fri. 10am-6pm/Sat. till 5pm/Closed Sundays. They sell GAIA'S GUIDE. Very nice people, say 'hi' from GAIA. ",,,,,,,1985,,8/8/2024 8:42am
The Palace/Rawhide Room,Bars,4030 East Belmont avenue,,Fresno,CA,,Tel. 264-8283,MGM**,,,,,,1985,,8/8/2024 8:42am
Metropolitan COmmunity Church/Fresno,Religious Groups, 4144 North Melbrook,,Fresno,CA,,Tel. 441-0105,,,,,,,1985,,8/8/2024 8:42am
Desert Sun,Bars,408 N Blackstone,,Fresno,CA,,,MGM**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Meadow Lake Camp,Women's Holiday Rentals,Box 15419,checked,Fresno,CA,,"Tel. (209)855-8994. Cabins, rooms and camp
spaces. Women-only camp secure and secluded in the Sierras.",,,,,,,1985,,8/8/2024 8:42am
Gay and Lesbian Community Services,Centers,"12832 Garden Grove Blvd., Suite'E' ",,Garden Grove,CA,,Tel. 534 3261,***(**),,,,,,1985,,10/11/2024 8:51pm
Metropolitan Community Church,Religious Groups,12012 Magnolia Ave L31,,Garden Grove,CA,,Tel. 636-6505,,,,,,,1985,,8/8/2024 8:42am
THe Mug,Bars,8612 Garden Grove Blvd,,Garden Grove,CA,,Tel. 534-9943,MGM**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
ASH,Services,11918 Garden Grove Blvd,,Garden Grove,CA,,"Tel. 537-9968. HOTLINE: (714)534-5820. Nightly (AA) gay meetings, counseling, social and educational in a non-drinking environment. ",,,,,,,1985,,8/8/2024 8:42am
Happy Hour,Bars, 12081 Garden Grove Blvd,,Garden Grove,CA,,Tel. 537-9097,****,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Rumour Hazzit,Bars,8741 Garden Grove Blvd,,Garden Grove,CA,,Tel. 534-9370,*,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Macie's Landing,Bars,8514 Garden Grove Blvd,,Garden Grove,CA,,Tel. 537-9958,***,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
The Turf Club,Bars,22517 Mission Blvd,,Hayward,CA,,Tel. 881-9877,MGM**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Driftwood Lounge,Bars,22170 Mission Boulevard.,,Hayward,CA,,"Tel. 581-2050. Disco-light show and mist machine/pool tables and video games. Open every day 2pm-2am. 
",****,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Big Mama's,Bars,22615 Mission Blvd,,Hayward,CA,,Tel. 881-9310,*,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
National Gay Archives,Archives,1654 N Hudson Ave ,,Hollywood,CA,,"Natalie Barney/Edward Carpenter Library, mail to: Po. Box 3g100; Hollywood,CA;90038. Location: 1654 North Hudson Ave,Hollywood-Tel. 463-5450. Lectures/discussions/film nights/theater parties/over 12000 books and many more Periodicals.",,,,,,,1985,,10/11/2024 9:49pm
Lesbian Central (Of The Gay And Lesbian Community Services Center),Centers,1213 N Highland Ave,,Hollywood,CA,,"90038. Tel.464-740-ext. 231. Services and activities and-support groups for lesbians-too numerous and diverse to list all of them here, but this is just about the most highly organized lesbian/gay center in the world and should be one of your first stops in L.A.-Assistance with housing and employment + these groups: Black Lesbians Support/Lesbian Mothers Support/Mixed After-school Rap/Senior Citizens & (projected) interest in gay/lesbian foster Parenting.",*****,Center,,,,,1985,,8/8/2024 8:42am
Faces,Bars,5520 Santa Monica Blvd,,Hollywood,CA,,Tel. 466-1094. Disco/video.,****,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
LO (Laguna Outreach),Organizations,PO Box 1701,checked,Laguna Beach,CA,,Tel. 497-4237,*,,,,,,1985,,8/8/2024 8:42am
Little Shrimp,Bar/Restaurant, 1305 South Coast Highway,,Laguna Beach,CA,,Tel. 494-4111,*,,,,,,1985,,8/8/2024 8:42am
Fahrenheit 451,Bookstore, 509 South Coast Highway,,Laguna Beach,CA,,Tel. 494-5151. Gay literature and periodicals-they sell GAIA'S GUIDE,,,,,,,1985,,8/8/2024 8:42am
Coast Inn,Hotel, 1401 South Coast Highway,,Laguna Beach,CA,,Tel. 494 7588,,,,,,,1985,,8/8/2024 8:42am
Mainstreet,Bars, 1460 South Coast Highway,,Laguna Beach,CA,,Tel. 494-0056. Not really recommended.,MGM**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Long Beach Gay Center,Centers,2025 East 10th Stree,,Long Beach,CA,,2025 East 10th Street;fel. 434-3089,***,,,,,,1985,,8/8/2024 8:42am
Helpline,Services,,checked,Long Beach,CA,,Tel. (213)434-4455,,,,,,,1985,,8/8/2024 8:42am
Hoop's Coop,Bars,2718 East Anaheim Street.,,Long Beach,CA,,"Tel. 424-1449. A real old-timer still going
strong. Beer and wine bar",****,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Metropolitan Community Church,Religious Groups,1231 Locust Ave,,Long Beach,CA,,Tel. 432-3641. Sunday services at 11am & 7:30p ,,,,,,,1985,,10/11/2024 9:48pm
Le Cat,Bars,1435 East Broadway,,Long Beach,CA,,y;fel. 432-4146. Highly recommended,****,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Que Sera Sera,Bars,1923 East 7th Stree,,Long Beach,CA,,Tel. 599-6170.,****,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Executive Suite,Bars,3428 East Pacific Coast Highway,,Long Beach,CA,,"Tel. 597-3884. Sparkling
view/game room/penthouse disco. Open Weds-Sat. 6pm-2am/Sun. 5pm-2am.
Sunday beer bust 5-9pm, $3.00 all you can drink. 
",****,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Gazebo Cafe,Bar/Restaurant,674 Redondo Ave,,Long Beach,CA,,"4-Tel. 434-9921. Wine bar, happy hours
Mon,WedsTh & Fri.-omelettes, home baking, hamburgers and a 24 hour restaurant.
Sunday champagne buffet brunch.",**,,,,,,1985,,8/8/2024 8:42am
Tee Cee's,Bar/Restaurant,558 East Willow Street,,Long Beach,CA,,RTel. 426-6609,*,,,,,,1985,,8/8/2024 8:42am
Dodd's Books,Bookstore,4818 East 2nd Street,,Long Beach,CA,,"Tel. 438-9948. Feminist, lesbian and gay
titles. They sell GAIA'S GUIDE",,,,,,,1985,,8/8/2024 8:42am
Garden City Cafe,Restaurants,2209 East Broadway,,Long Beach,CA,,"y;fel. 439-4131. Open every day till 3pm.
Specializing in omellettes and salads",*,,,,,,1985,,8/8/2024 8:42am
Chelsea Bookstore,Bookstore,2121 East Broadway,,Long Beach,CA,,"Tel. 434 2220. Alternative bookstore,
wide selection of lesbian and gay books, women's studies and women's music. They
sell GAIA'S GUIDE.",,,,,,,1985,,8/8/2024 8:42am
Lesbian News,Publications,1025 Coronado,,Long Beach,CA,,". Full
of local Info and news. Very useful classified section. Sliding scale from $8.50
pa. Includes events calendar.",,,,,,,1985,,10/11/2024 9:43pm
Hotel Lynford,Hotels/Motels/Guesthouses,612 W. 3rd Street.,,Long Beach,CA,,"Tel. 437-4830. Hotel/bed and breakfast.
Rooms with private bath, lounge. Some pets are allowed. All gay people
welcome. Owned by 2 very nice women, say'hl' to Mary and Linda from GAIA.",,,,,,,1985,,8/8/2024 8:42am
Women's Yellow Pages,Publications,PO Box 66093;90066,checked,Los Angeles,CA,,"Tel. 398-5761. $6.00-on sale
at most bookstores listed in GAIA'S GUIDE.",,,,,,,1985,,8/8/2024 8:42am
Community Yellow Pages,Publications,1314 Temalne. ,,Los Angeles,CA,,Tel. 939-1200,,,,,,,1985,,8/8/2024 8:42am
The Gay Communities Directory,Publications,7985 Santa Monica Boulevard - Suite 109,,Los Angeles,CA,,,,,,,,,1985,,8/8/2024 8:42am
