title,type,statewide.address,address,unclear.address,city,state,description,stars,star.type,Mentions Race?,Mentions Disability?,notes,year
Alice B's Bookservices,Mail Order ,, P.O. Box 4190,checked,Berkeley,CA,"94704. Tel. (415) 845-1308. Out-of-print lesbian books. New titles too. Send $1.00 for catalog with current calendar, listing about 1000 books and periodicals. ",,,,,,1979
Moon Books,Publisher/Distributor,,P.O. Box 9223,checked,Berkeley,CA,"94709. Tel. (415) 444-0465. ""Moon Books is a women's publishing company committed to making a wide variety of fine women's writing and feminist literature available in the general market.""",,,,,,1979
The Bacchanal,Bars,,1390 Solano Ave,,Albany,CA,Albany. Tel. 527-1314. Although this is in Albany (see listing) it is your very best bet in the East Bay area. ,****,"Bars, Clubs, Coffeehouses",,,,1979
Electric Banana,Bars,,5625 Paradise Dr,,Corte Madera,CA,Tel. 924-1546. Disco. ,*(?),"Bars, Clubs, Coffeehouses",,,,1979
Newport Station,Bars,,1945 Placentia Ave,,Costa Mesa,CA,"92627. Tel. (714) 631-0031. Good disco, dancing and restaurant. Gay women and men. ",**,"Bars, Clubs, Coffeehouses",,,,1979
The New Ms. Fitz,Bars,,4363 Supulveda Blvd,,Culver City,CA,"90230. Tel. 397-9377. Live entertainment every weekend. Pool tournaments, bowling league and baseball team. I.D. required. open 10am-2am. Woman owned. Very, very highly recommended. ",****,"Bars, Clubs, Coffeehouses",,,,1979
The Marvelous Book Company,Bookstores,,4335 S Supulveda Blvd,,Culver City,CA,"(one block north of Culver, next to the Big 5) Tel. 397-2771. Woman-owned. Specializing in women's literature. ",,,,,,1979
Savoy,Bars,,24969 Silverado,,Cupertino,CA,Tel. 255-0195. Open 2pm-2am Lots of lesbians go there but it isn't highly recommended. ,***,"Bars, Clubs, Coffeehouses",,,,1979
Davis Women's Books,Feminist Bookstore ,,217 K St,,Davis,CA,95616-Tel. (916) 758-5058. Open Saturday and Sunday only. ,,,,,,1979
Skate World ,Bars,,3645 San Pablo Dam Rd,,Davis,CA,Tel. (415) 222-0244. ,**(**),"Bars, Clubs, Coffeehouses",,,,1979
Fogg's ,Bars,,E St and 2nd,checked,Eureka,CA,,***,"Bars, Clubs, Coffeehouses",,,,1979
Old Town Bar & Grille,Bars,,2nd St,checked,Eureka,CA,(Old Town). Very mixed. ,**,"Bars, Clubs, Coffeehouses",,,,1979
"Acacia, Citrus and Arrow",Bars,,,checked,Fontana,CA,Open till 4am. Closed Mondays. Good dinners. Sunday brunch. ,***(?),"Bars, Clubs, Coffeehouses",,,,1979
Lesbian Rights Committee of the National Organization of Women (N.O.W),Organizations,,420 N Van Ness,,Fresno,CA,93721. Tel. 233-2384.,****(*),Organizations,,,,1979
"Gay People's Union of California State University at Fresno, C.S.U.F. College Union ",Organizations,,P.O. Box 39,checked,Fresno,CA,93740. Social and educational functions for campus-based gay women and men. ,*,Organizations,,,,1979
M.C.C. ,Religious Groups,,P.O. Box 12203,checked,Fresno,CA,"93776. Tel. (209) 251-7476. ""Serving the religious, social and service needs of the community."" Gay women and men. ",,,,,,1979
Wilde/Stein Democratic Club,Political Group,,P.O. Box 4211,checked,Fresno,CA,c/o Fresno Human Rights Coalition; 93744 Tel. (209) 266-6067. Gay Democrats- Women and men.,,,,,,1979
The Circle,Bars,,2777 N Maroa,,Fresno,CA,Tel. (209) 224-0440. Very highly recommended. Discos. Long happy hours. ,***,"Bars, Clubs, Coffeehouses",,,,1979
Continental,Bars,,1350 N Blackstone,,Fresno,CA,Tel. (209) 486-9841. Disco. 50% gay women. ,**,"Bars, Clubs, Coffeehouses",,,,1979
The Club,Bars,,16805 S Western,,Gardena,CA,,***,"Bars, Clubs, Coffeehouses",,,,1979
Red Lantern,Bars,,4618 E Belmont,,Fresno,CA,"Tel. (209) 251-5898. Western, but friendly to women. Pool table. ",**(MGM),"Bars, Clubs, Coffeehouses",,,,1979
Rink's ,Show-Bar,,15215 S Crenshaw,,Gardena,CA,About 30% women. Pool table. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Pit Stop,Bar / Restaurants,,17901-D S Vermont,,Gardena,CA,,*,"Bars, Clubs, Coffeehouses",,,,1979
The Community Center of Orange County,Centers,,12732 Garden Grove Blvd,,Garden Grove,CA,"Suite 'H; 92643. Tel. (714) 534-3261, Hotline; (714) 534-3280 Business/referrals/information Women's Rap group: Monday's at 7:30pm; Mixed Rap groups: Wednesdays, Thursdays at 7:30pm; Sexual Compulsives Anonymous: Tuesdays at 7:30pm. Professionally supervised, short-term counseling; speakers bureau; news-letter; roommate referrals; library. All services provided free. Hotline- information and referral services. ",***(**),Center,,,,1979
The Happy Hour,Bars,,12801 Garden Grove Blvd,,Garden Grove,CA,"Tel. 537-9079. Cocktail hour, dinner and dancing. Live bands and pool table. ",***,"Bars, Clubs, Coffeehouses",,,,1979
The Mug,Bars,,8612 Garden Grove Blvd.,,Garden Grove,CA,"Tel. (714) 534-9943. Entertainment center, women's pool tournaments. The guys outnumber the girls but it's apparently quite OK. ",**(**),"Bars, Clubs, Coffeehouses",,,,1979
D.O.K.,Bars,,12889 Garden Grove Blvd,,Garden Grove,CA,Tel. 534-9712.,**,"Bars, Clubs, Coffeehouses",,,,1979
Knotty Keg,Bars,,8932 Garden Grove Blvd,,Garden Grove,CA,"Tel. (714) 537-9013 ""Good and gay"". ",**,"Bars, Clubs, Coffeehouses",,,,1979
Rumour Hazzit,Bars,,8741 Garden Grove Blvd,,Garden Grove,CA,Tel. (714) 534-9370. Pool table. Good disco music. Young crowd: more men than women. ,**,"Bars, Clubs, Coffeehouses",,,,1979
River Queen Women's Center,Women's Center,,17410 River Rd,,Guernewood Park,CA,"Tel. (707) 869-0333. Library, bookstore, counseling, referrals. ",****,Center,,,,1979
Manzanita Kitchen,Restaurants,,Hiway 4,checked,Hathaway Pines/Murphy's,CA,"(between Murphys and Hathaway Pines, near Hanford Hill area). ""Not feminist or lesbian per se, but owned and operated by two feminists who play Chris Williamson in the background. A very nice restaurant.""",,,,,,1979
Armadillo Mountain,Store,,PO Box 164-9,checked,Hathaway Pines/Murphy's,CA,"Tel. (209) 795-2296. Truly unique T'shirts, including Obnoxious Mountain Woman, Uppity City Woman, Clitspah. $6.00 each post-paid. Levis style mugs. Free brochure. ",,,,,,1979
El Capitan,Bars,,13825 S Hawthorne,,Hawthorne,CA,Mostly gay men? ,**,"Bars, Clubs, Coffeehouses",,,,1979
Monroe,Bars,,5201 W. Rosecrans Ave,,Hawthorne,CA,Tel. (213) 679-7765. Disco. Gay women: 50%. ,**,"Bars, Clubs, Coffeehouses",,,,1979
South Country Women's Center,Centers,,25036 Carlos Bee Blvd,,Hayward,CA,94542,****(*),Center,,,,1979
Driftwood Lounge,Bars,,22170 Mission Blvd,,Hayward,CA,,,,,,,1979
The Oracle,Feminist Bookstore,,22640 Main St,,Hayward,CA,Tel. 886-1268. They sell Gaia's Guide. ,,,,,,1979
Isla Vista Women's Center,Centers,,6503 Pardall ,,Isla Vista,CA,(Number 2),****,Center,,,,1979
M.C.C. ,Religious Groups,,964 Noria St,,Laguna Beach,CA,Tel. (714) 752-1220 and 497-2142. Chapel: 1259 Victoria St (in Costa Mesa).,(?),Center,,,,1979
Main Street,Bars,,1460 S Coast Hiway,,Laguna Beach,CA,"92651. Tel. (714) 494-0056. Open: Noon-2am, seven days a week. ""Located in a resort community. Affluent clientele: artists through real estate people, many self-employed, ages: 25-60. A warm, friendly and casual atmosphere prevails. Also, more women attending regularly."" ",**,"Bars, Clubs, Coffeehouses",,,,1979
Little Shrimp,Bars,,1305 S Coast Hiway,,Laguna Beach,CA,Tel. 494-4111. Paino Bar. ,**,"Bars, Clubs, Coffeehouses",,,,1979
South Seas Bar,Bars,,1401 S Coast Hiway,,Laguna Beach,CA,(in the Coast Inn) Tel. 494-1588.,**,"Bars, Clubs, Coffeehouses",,,,1979
The Cottage Restaurant,Restaurants,,308 N Coast Hiway,,Laguna Beach,CA,"92651. Tel. (714) 494-3023. Open: 8am-3pm (Breakfast Lunch); 5pm-10pm (Dinner). "" Just good home cooking-a landmark home that has watched the ever-changing Laguna surd for more than half a century. The building, which is an old-fashioned garden, was constructed in 1914.""",*,Restaurant,,,,1979
Andree's,Restaurants,,1464 S Coast Hiway,,Laguna Beach,CA,Tel. 494-2528. Piano bar. Elegant. ,*,Restaurant,,,,1979
Carol's Book Shop,Bookstores,,729 S Coast Hiway,,Laguna Beach,CA,92651,,,,,,1979
Feminist Forge,Feminist Shop,,686 S Coast Hiway,,Laguna Beach,CA,Tel. (714) 494-7877. Feminist jewelry plus things like belts and buckles.,,,,,,1979
We're Inn!,Resort,,7170 N Lake Blvd,,Lake Tahoe,CA,"Tahoe, Box 114, Tahoe Vista; 95732. Tel. (916) 546-2444. A gay resort with frontage and a beach on the lake and lake-front rooms. Highly recommended. ",,,,,,1979
Fools Rush Inn,Resort,,PO Box 387,checked,Little River,CA,"Hiway One (at Dimport Road); 95456. Tel. (707) 937-5339. ""Rustic cabins by the sea... we offer accommodation in a beautiful setting at reasonable prices. We are gay-owned and operated, but our clientele are mixed- all are welcome.""",,,,,,1979
Women's Community Resource Center,Centers,,2625 E 3rd,,Long Beach,CA,90814. Tel. 433-2183. ,****,Center,,,,1979
Gay Service League of Long Beach,Service,,601 Pacific Ave,,Long Beach,CA,Tel. (213) 437-0727.,***(**),Organizations,,,,1979
Que Sera Sera,Bars,,1923 E 7th St,,Long Beach,CA,"90813. Tel. 599-6170. Open: Monday-Friday: 6pm-2am; Saturday & Sunday: 2pm-2am. Woman-owned and 90% gay. ""The atmosphere is very warm and friendly. The couches and fireplace lend themselves to the atmosphere. ""Dancing, pool table, pin ball, regular entertainment. Very, very highly recommended. ",****,"Bars, Clubs, Coffeehouses",,,,1979
Golden T's ,Bars,,740 E Broadway,,Long Beach,CA,,***,"Bars, Clubs, Coffeehouses",,,,1979
Hoop's Coop,Bars,,2718 E Anaheim St,,Long Beach,CA,Tel. 434-1449,***,"Bars, Clubs, Coffeehouses",,,,1979
Diamond Horseshoe,Bars,,2523 E Anaheim St,,Long Beach,CA,"(Willmington). Tel. 432-4126. Disco Bar, Women's nites. ",**(**),"Bars, Clubs, Coffeehouses",,,,1979
Red Mill,Bars,,115 Locust Ave,,Long Beach,CA,"Tel. 432-2019. Beer and wine. ""Serving the gay community."" ",***,"Bars, Clubs, Coffeehouses",,,,1979
Li'l Lucy's,Bars,,1200 E Broadway,,Long Beach,CA,Tel. 436-3558. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Farmer's Daughter,Bars,,3674 Santa Fe,,Long Beach,CA,,***(?),"Bars, Clubs, Coffeehouses",,,,1979
Roman IV Restaurant,Restaurants,,14 Elm Ave,,Long Beach,CA,"90802. Tel. (213) 437-3771. Open: 10am-2am, seven days a week. ""Organ and Piano Bar: Wednesday to Sunday nites. Cocktails, dinners, daily luncheon and dinner specials. Sunday Brunch. Relaxed atmosphere. Entertainment: Thursday through Sunday."" Very highly recommended. Popular with gay women. ",*,Restaurant,,,,1979
"""The Lesbian Tide"" Tide Publications",Publications,,8706 Cadillac Ave,,Los Angeles,CA,"90034. Tel. (213) 839-7254. Subs: $6.00 per annum (U.S.A.); $10.00 institutions; $8.00 for Canada and overseas subscribers. An extremely sophisticated magazine, this bi-monthly is probably the most uncompromising and thoroughly lesbian publication of its kind in the world. ""The 'Lesbian Tide' is a feminist lesbian publication, financially supported by the community it serves... we are produces by the pride and energy of a staff who are committed to one or more specific departments within the magazine. The staff is continually open to women who wish to become involved in journalism and communications or who see the media as a vehicle for activism. ",,,,,,1979
Sojourner,Feminist Bookstore ,,538 Redondo Ave,,Long Beach,CA,"(corner of 6th and Redondo). Tel. (213) 433-5384. ""We sell books, gifts, and cards, by for and about women. We have free monthly workshops, a bulletin board with information about women's activities, resources. large selection of lesbian titles and we sell Gaia's Guide.""",,,,,,1979
"""Sister"" ",Publications,,PO Box 3490,checked,Manhattan Beach,CA,"90266. Tel. 994-6729 after 5pm; 450-4231 after 9:30pm; 393-7547 any time. Subs: $.50 per copy; $5.00 per annum. What a newspaper!!!! It's got everything and it's afraid of nothing. It's almost 7 years old and I find it essetial... much better than having had a sister ever could have been. Events calendar and announcements, numbers to know, services and businesses. All are listed. ",,,,,,1979
"""The Lesbian News""",Publications,,PO Box 2023,checked,Culver City,CA,90230. Tel. 396-5135 or 474-1648. L.A.-oriented monthly in big newsletter form. Thoroughly lesbian high calibre journalism. It's great reading and it's often quite juicy (L.A. orientation). There's a regular list of telephone numbers you might need as well as lots of other local resources and information. $3.50 per year. ,,,,,,1979
"""Los Angeles Women's Yellow Pages""",Publications,,960 Dexter St,,Los Angeles,CA,90042. $1.25 mail order. ,,,,,,1979
"""LA Star""",Publications,,8444 Wilshire Blvd,,Los Angeles,CA,"(Suite 7), Beverly Hills;90211. Tel. (213) 653-6622. 'We are one of the country's largest sexual freedom papers. -since 1970. We're very happy about our large bi-sexual women.""",,,,,,1979
