title,type,address,statewide.address,unclear.address,city,state,description,stars,star.type,Mentions Race?,Mentions Disability?,notes,year
C.C. Construction Company,Bars,,,checked,Palm Springs,CA,"on Perez, very friendly to women. Exact location & directions from Help Line. The upstairs bar is women only; Tel. 324-4241. ",**(**),"Bars, Clubs, Coffeehouses",,,,1991
Lesbian and Gay Organization,Information Services,,,checked,Palo Alto,CA,,,,,,,1991
Gay/Lesbian Alliance of Stanford,No Site Type,,,checked,Palo Alto,CA,Tel. 723-1488/a great tape. ,,,,,,1991
Metropolitan Community Church,Religious Groups,,,checked,Pomona,CA,Tel. 984-1258. ,,,,,,1991
Gay/Lesbian Outreach,Media,,,checked,Sacramento,CA,"Cable Channel 47/Saturdays, 10am/Thursdays, 8pm/Fridays, 3pm. ",,,,,,1991
Being Gay Today,Media,,,checked,Sacramento,CA,"Cable Channel 63/Tuesdays, 10pm/Thursdays, 9pm. ",,,,,,1991
Sacramento Area Career Women's Network,Women's Organizations,,,checked,Sacramento,CA,"S.A.CW.N.-LESBIAN ORGANIZATION, P.O. Box 1332, Sacramento, CA. 95866; Tel. 486-8985. Activities include, monthly dances, events, speakers, meetings of sub-groups with specific interests, etc. (usually meets every 3rd Friday). Over 600 members to date!",,,,,,1991
MCC Ministry,Media,,,checked,Sacramento,CA,"Cable Channel 47/Mondays, 10pm/Tuesdays, 5pm/Wednesdays, noon. ",,,,,,1991
Sac Tradeswomen,Professional Groups,,,checked,Sacramento,CA,Tel. 456-5555; Meets every 2nd Friday of the month. ,,,,,,1991
Sac Gay Real Estate Association,Professional Groups,,,checked,Sacramento,CA,Tel. 921-6642/Meets 1st Thursday of the month. ,,,,,,1991
Gay/Lesbian Center,Centers,,,checked,Sacramento,CA,,,,,,,1991
Chemical Dependency Center For Women & Their Families,Victim Services,,,checked,Sacramento,CA,Tel. 448-2951. ,,,,,,1991
Incest Survivors Anonymous,Victim Services,,,checked,Sacramento,CA,Tel. 756-8181/Ask for a female meeting. ,,,,,,1991
Club Bom Bay,Bars,,,checked,San Diego,CA,"Tel. 296-6789. The dance floor is original wood an there's a large, redwood-floored open patio. ",****,"Bars, Clubs, Coffeehouses",,,,1991
Dimitri's Guest House,"Hotel/Guest Houses/Bed and Breakfast, Etc",,,checked,San Diego,CA,Tel. 238-5547. A friendly comfortable atmosphere. Close to all San Diego attractions. Heated pool and spa. reasonable rates. ,,,,,,1991
GlOE- Gay & Lesbian Outreach to Elders,Information Services,,,checked,San Francisco,CA,"Tel. 626-7000. Also: Senior Info Service Line-Tel. 552-6016/Events & services available sponsored by the S.F. Dept. of Health. Get your copy OLD WIVES TALES, etc. -Very useful women in it...",,,,,,1991
Rape Treatment Center,Victim / Emergency Services,,,checked,San Francisco,CA,Tel. 821-3222/24-hour walk-in emergency services for victims of sexual assault. ,,,,,,1991
Suicide Prevention and Crises Line,Victim / Emergency Services,,,checked,San Francisco,CA,Tel. 221-1423. 24 hour crisis intervention and emotional support for the lesbian and gay community. ,,,,,,1991
Battered Lesbians,Victim / Emergency Services,,,checked,San Francisco,CA,Tel.(WOMAN INC) 864-4722. For victims or survivors of battering within a lesbian relationship & see BAYLAW listing; Tel. 681-4850. ,,,,,,1991
Baylaw,"Legal Services/Legal Aid, Etc. ",,,checked,San Francisco,CA,"Tel. 681-4850. 'Never Another Battered Victim.' legal assistance, support groups, counseling, restraining orders, and shelter referral, etc., for Lesbians. ",,,,,,1991
Gay Legal Referral Services,"Legal Services/Legal Aid, Etc. ",,,checked,San Francisco,CA,Tel. 621-3900. $20.00 for first 1/2 hour. Some low fee & no fee referrals available. ,,,,,,1991
ACT-UP (AIDS Coalition to Unleash Power) Women's Caucus,Alcohol and Drug Abuse Centers,,,checked,San Francisco,CA,Tel. 563-0724. 'Lesbians and Bi-sexual women fighting to end the AIDS epidemic'. ,,,,,,1991
Nancy's Bed,Hotel/Motels/Guest Houses,,,checked,San Francisco,CA,"Lovely, private lesbian home available for women travelers. Tel. 239-5692. very affordable nightly rates + negotiable weekly rates. 5 minutes by car to the Castro/close to public transport. Say 'hi' from GAIA. ",,,,,,1991
Peninsula Gay Hotline,Information Services and Groups,,,checked,San Jose,CA,Tel. 979-8864. ,,,,,,1991
Baptists,Religious Groups,,,checked,San Jose,CA,"Lesbian, Gay & friends, Tel. 465-8652. ",,,,,,1991
Battered Women,Victim Services,,,checked,San Luis Obispo,CA,Drop-In Support Group meets at the South County Library from 10-11:30am. Sponsored by the Women's Shelter Program I nc. Tel. 544-2321. ,,,,,,1991
Battered Women's Support Group,Victim Services,,,checked,San Luis Obispo,CA,"(Victim Witness), meets at the Women's Resource Center from 12:00-1:30pm. Tel. 549-5821. ",,,,,,1991
South County Lesbian Rap Group,Special Interest Groups,,,checked,San Luis Obispo,CA,"Tel. 929-3197. Meets first Friday of each month at 7:30pm to discuss topics of interest to Lesbians. Usually attended by 50-80 women. Social events, too. ",,,,,,1991
North County Rap Group,Special Interest Groups,,,checked,San Luis Obispo,CA,Tel. 466-9154. Meets last Friday of each month at 7:00pm. ,,,,,,1991
Santa Maria Rap Group,Special Interest Groups,,,checked,San Luis Obispo,CA,Tel. 349-8464/second and fourth Wednesdays of each month at 7:00pm. ,,,,,,1991
Gay/Lesbian/and Bisexual Alliance,Special Interest Groups,,,checked,San Luis Obispo,CA,"(Gay Student Union)- at Cal Poly University; San Luis Obispo, 93407; Tel. 546-8148. Meetings held Tuesdays at 7pm in the Faculty Office Building, room 24B. ",,,,,,1991
Hotline,Special Interest Groups,,,checked,San Luis Obispo,CA,"Tel. 546-6163 or 544-6065 for support in crises, referral, etc. ",,,,,,1991
Rape Crisis Line,Rape Crisis,,,checked,Santa Barbara,CA,Tel. 569-2255. ,,,,,,1991
Cabrillo Women's Center,Centers,,,checked,Santa Cruz,CA,"Tel. 479-6249, Friday afternoon Lesbian drop-in. ",****(*),Centers,,,,1991
Gay & Lesbian Services of Ventura County ,Lesbian/Gay Group,,,checked,Ventura,CA,Tel. (805) 653-7775. ,,,,,,1991
Battered Women's Center,Information Services/Victim Emergency Services,,,checked,Colorado Springs,CO,For all women. Tel. 633-3819. ,,,,,,1991
The Gateway Battered Women's Shelter,Information Services/Victim Emergency Services,,,checked,Colorado Springs,CO,24 hour hotline: 1-800-333-SAFE. For Lesbians who are being battered in their own relationships. ,,,,,,1991
Gay Help Line,Information Services/Victim Emergency Services,,,checked,Colorado Springs,CO,Tel. 471-4429. Ask them about S.O.S.- Sisters of Sappho. ,,,,,,1991
Call-In,Victim/Emergency Services & Legal Advice,,,checked,Denver,CO,"Legal Information, Toll Free: Tel. 825-7141. ",,,,,,1991
Gateway Battered Women's Shelter,Victim/Emergency Services & Legal Advice,,,checked,Denver,CO,Tel. 343-1856/1. Crisis line/residential facilities/children's programs/legal advice. Resources for Lesbians who are being battered in their own relationships. ,,,,,,1991
Denver Women's Center,Victim/Emergency Services & Legal Advice,,,checked,Denver,CO,320-1555. ,,,,,,1991
Slightly Older Lesbians,Lesbian Group,,,checked,Denver,CO,2nd Saturday of each month. Tel. 388-8611. ,,,,,,1991
La Coupole Cafe,Restaurants,,,checked,Denver,CO,"(Paris Hotel Building), 22nd & Arapahoe St; tel. 297-2288. Fine moderately priced country French cuisine/turn-of-the-century Parisian Brasserie/Courtyard Terrace/live jazz nightly. ",,,,,,1991
Marge Rust,"Therapists-Counseling, etc.",,,checked,Denver,CO,Tel. 320-0747. ,,,,,,1991
Cherie Kirschbaum,"Therapists-Counseling, etc.",,,checked,Denver,CO,"Tel. 773-0377. HEALING ABUSE- Working with adults who experienced childhood abuse; physical, emotional, sexual. ",,,,,,1991
"Joan R. Shapiro, M.D./Margaret E. Grant, M.D.","Therapists-Counseling, etc.",,,checked,Denver,CO,"Tel. 320-1555/Denver Women's Center. Multi-disciplinary group specializing in psychotherapy for women. Individual, group, couples. ",,,,,,1991
Nordic Lodge,Lesbian Lodge,,,checked,Steamboat Springs,CO,"Get more information locally. Probably, Together as One. Feminist Bookstore, will have full details by the time you're reading this. ",,,,,,1991
Gay Spirits,Radio Program,,,checked,Hartford,CT,WWUH-FM 91.3- Broadcasts every Thursday night at 8:30pm. ,,,,,,1991
New Haven Gay and Lesbian Switchboard,Information Services,,,checked,New Haven,CT,"Tel. 624-6869. Operates 8pm-11pm Monday-Friday, a lesbian is usually on duty Tuesday or Wednesday evening. They play a tape with local bar information. ",,,,,,1991
Nomad Village/The Other Room,Bars,,,checked,Bethany Beach,DE,"Route one, Tower Shores; Tel. 539-7581. Bar/swimming pool/beach. ",**,"Bars, Clubs, Coffeehouses",,,,1991
Gay and Lesbian Switchboard,Information Services,,,checked,Washington,DC,Tel. 387-4348 + 387-5525/includes lesbian line 7:30-10:30pm. They usually have a woman on duty. ,,,,,,1991
Gay and Lesbian Information Bureau-Glib,Information Services,,,checked,Washington,DC,Tel. (703) 578-4542. 'FREE computer-based information/communications service.' ,,,,,,1991
D.C. Rape Crisis Center,Victim-Emergency Resource,,,checked,Washington,DC,Tel. 332-RAPE. ,,,,,,1991
Gay Women's Alternative ,Social and Cultural Groups,,,checked,Washington,DC,Tel. (301)369-6003. ,,,,,,1991
Black Women Together,Black Women,,,checked,Washington,DC,Tel. 543-8785.,,,checked,,,1991
Bet Mishpachah,Religious Groups,,,checked,Washington,DC,"Services held at Christ United Methodist Church 1 Street SW/between 3rd and 4th. They gay and lesbian synagogue of Washington D.C. Sabbath service and Oneg every Friday, 8:30pm. Women's Outreach Service- First Friday of every month. 'tel. 833-1638 or see 'The Washington Blade' for current details. ",,,,,,1991
Coming Out,Radio Program,,,checked,Washington,DC,"Airs: 11pm-midnight, on WMMJ 102.3FM. Live phone-in talk show. ",,,,,,1991
Sophie's Parlor,Radio Program,,,checked,Washington,DC,"Airs Tuesdays on WPFW, 89.3 FM/ 8:30-11:30pm. Women's music and programming. ",,,,,,1991
"Mary Ruth Lembright, M.S. ",Mental Health Counsellor,,,checked,Boca Raton,FL,Tel. (813) 758-5716. Licensed Mental Health Counselor,,,,,,1991
Metropolitan Community Church,Religious Groups,,,checked,Boca Raton,FL,Tel. 546-8618. ,,,,,,1991
Hotline,Information Services,,,checked,Fort Lauderdale,FL,Tel. 537-3235. ,,,,,,1991
January's ,Bar/Restaurant,,,checked,Fort Lauderdale,FL,"One block west of 1-95 on Davie Blvd; Tel. 587-0938. Dinner served nightly 5pm-12:30/Saturdays, 6pm-1:30/Sundays, 6-12:30. Happy Hour: Tuesday-Friday, 4:30-8pm/Restaurant & lounge closed Mondays. Live Entertainment. 'A Romantic Evening Awaits You...""",**(**),Bar / Restaurants,,,,1991
Gay Switchboard,Services,,,checked,Fort Myers,FL,Tel. 945-9551. ,,,,,,1991
Coffee Exchange & Cafe,Restaurants,,,checked,Fort Myers,FL,Tel. 433-3228. ,,,,,,1991
Metropolitan Community Church,Religious Groups,,,checked,Gainesville,FL,Tel. 495-3378/tape. ,,,,,,1991
Metropolitan Community Church,Religious Groups,,,checked,Jacksonville,FL,Tel. 384-6004. ,,,,,,1991
The Queer Pier,Pier,,,checked,Key West,FL,Reynolds Street at Ocean. ,,,,,,1991
Fantasy Fest,Events,,,checked,Key West,FL,"Annual Celebration that attracts more than 2,500 visitors to the island city for four days of celebrating over Halloween. It's key West's version of Mardi Gras-only zanier. ",,,,,,1991
Women's Week,Events,,,checked,Key West,FL,2nd week in September- Write or phone Key West Business Guild for all information. ,,,,,,1991
Hotline,Information Services,,,checked,Miami,FL,Tel. 759-3661. ,,,,,,1991
Switchboard of Miami,Information Services,,,checked,Miami,FL,Administrative telephone no: (305) 358-1640/Crises line: 358-4357. ,,,,,,1991
Lesbian Rights Task Force,Information Services,,,checked,Miami,FL,Tel. 223-8300. ,,,,,,1991
Women In Network,Information Services,,,checked,Miami,FL,Tel. 661-4224. ,,,,,,1991
Metropolitan Community Church,Religious Groups,,,checked,Miami,FL,Tel. 573-4156. ,,,,,,1991
'We Care',Gay Rap,,,checked,Orlando,FL,Tel. 628-1227. Gay & Lesbian rap group. Meets Tuesdays at 7:30pm.,,,,,,1991
The Cloisters- of Pineland,Chemical Dependency Clinic,,,checked,Pineland,FL,33945; Tel. (813) 283-1019. 'Sensitive to the special character of the problems of the chemical dependent gay/lesbian.' ,,,,,,1991
Gay Hotline,Hotline,,,checked,Pinellas County,FL,Tel. 586-4297. ,,,,,,1991
Gay Line,Information Services,,,checked,Sarasota,FL,Tel. 923-3235. ,,,,,,1991
Metropolitan Community Church,Religious Groups,,,checked,Sarasota,FL,Tel. 9516MCC. ,,,,,,1991
Spouse Abuse Center,Victim-Emergency Services,,,checked,St Petersburg,FL,Tel. 898-3671. Includes resources for Lesbians who are being battered in their own relationships. ,,,,,,1991
National Organization For Women,N.O.W.,,,checked,St Petersburg,FL,Tel. 823-3281. ,,,,,,1991
The Women's Show,Radio Program,,,checked,St Petersburg,FL,"WMNF 88.5FM, Every Saturday, 10am-12 noon. Music/Conversation/Public Service announcements/Film & video Reviews. All women are invited to participate in planning meetings. For more info: Tel. 823-5353/SP (Dorthy Abbott). ",,,,,,1991
Diane M. Grove,Neuromuscular Massage,,,checked,St Petersburg,FL,"B.A., LMT; Tel. 522-4695. 'For the relief of chronic pain'/Hatha Yoga Movement for flexibility & breathwork.",,,,,,1991
Everywoman's Coffee House,Coffeehouse,,,checked,Tallahassee,FL,"Performances by local musicians and poets every first Friday of the month (except in the summer)- where all women are welcome. It's free, and a chemical/alcohol free space. For info contact: RUBYFRUIT BOOKS; Tel. 222-2627. ",****,"Bars, Clubs, Coffeehouses",,,,1991
Women's Information Line,Information Services,,,checked,Tampa,FL,"Tel. 656-7884/6pm-10pm, Tuesday-Saturday + tape. ",,,,,,1991
"WMNF Community Radio, 88.5 FM",Radio,,,checked,Tampa,FL,"Every Saturday, 10am-12 noon. [See: St. Petersburg, for details]. ",,,,,,1991
Fire House,Bars,,,checked,Tampa,FL,North Shore Shopping Center,MGM**,"Bars, Clubs, Coffeehouses",,,,1991
The Travel Group,Lesbian & Gay Travel Information,,,checked,Tampa,FL,Ybor square- suite 205- 33605; Tel. (813) 248-2634 (Places to stay) or 800-365-WISH (Places to play). 'Agents who understand your special needs... Never fee for our services!'. Credit Cards accepted. ,,,,,,1991
The Gay Beach,Beach,,,checked,Tampa,FL,"Key Biscayne, Tel. 961-7540. ",,,,,,1991
Gay Hotline,Services,,,checked,Winter Park,FL,Tel. 843-4297. Referrals/info/+messages taken during the day for counselor to call back from pm-midnight. ,,,,,,1991
Atlanta Gay Helpline,Services,,,checked,Atlanta,GA,Tel. 892-0661/6-9pm nightly. ,,,,,,1991
Atlanta Couples Together,Special Interest Groups,,,checked,Atlanta,GA,"Tel. 432-1085. For men & women. Monthly meetings, scheduled activities for gay and lesbian couples. ",,,,,,1991
Both Sides Now,Publications,,checked,checked,Maui,HI,Maui's Gay/Lesbian Community Newsletter. Highly Recommended. [See: Maui],,,,,,1991
Lesbian Task on Domestic Violence ,Lesbian Domestic Violence,,checked,checked,,HI,Tel. 322-7233 (Kelsie) or 242-9559 (Karen). ,,,,,,1991
Hana Plantation Houses,"Guest House/Camping/Bed and Breakfast, Etc.",,,checked,Hana,HI,Tel. 248-7248. Deluxe private homes. ,,,,,,1991
Camp Kula,"Guest House/Camping/Bed and Breakfast, Etc.",,,checked,Kula,HI,"Write: Kula, Maui, HI, 96790; Tel. 800-367-7546 or 808-878-2528. Bed and breakfast for happy campers. ",,,,,,1991
Ke Aneunue O Ke Aloha,Religious Groups,,,checked,Honolulu,HI,"Metropolitan Community Church, Tel. 599-4985. Sunday worship, 7pm. ",,,,,,1991
Gay Community Center,Gay Center,,,checked,Boise,ID,Tel. 342-6764. ,***,Centers,,,,1991
Metropolitan Community Church,Religious Groups,,,checked,Boise,ID,Tel. 386-9229. ,,,,,,1991
Women's Center/University of Idaho,Women's Center,,,checked,Moscow,ID,"Write: Women's Center U. of I. Moscow ID, 83843. Location: corner of Idaho and Line Streets, on campus; Tel. 885-6616. Open: 8am-5pm, Monday-Friday/7-9pm, Wednesday & Thursday. Very active and visible lesbian participation + social activities/local information and referrals/vertical files on lesbian concerns/coffee lounge/ studay areas/twice weekly programs, presentations, etc. Bulletin board. Newsletter. Say 'hi' from GAIA. ",****,Centers,,,,1991
Gay Switchboard,Information Services,,,checked,Bloomington,IL,Tel. 336-4299. ,,,,,,1991
East Central Illinois Gay and Lesbian Switchboard,Information Services,,,checked,Champaign ,IL,"Tel. 384 8040/Monday-Friday, 7pm-10pm. ",,,,,,1991
Gay/Lesbian Switchboard,Switchboards / Hotlines / Crises Lines,,,checked,Chicago,IL,Tel. 929-HELP (4357). ,,,,,,1991
Lesbian and Gay Events Tape,Switchboards / Hotlines / Crises Lines,,,checked,Chicago,IL,Tel. 975-1212. ,,,,,,1991
WICCA- Women In Crises Can Act,Switchboards / Hotlines / Crises Lines,,,checked,Chicago,IL,Tel. 528-3303. ,,,,,,1991
Metropolitan Sports Association,Archives / Libraries,,,checked,Chicago,IL,Tel. 528-3699 or 325-6277. ,,,,,,1991
Club Cierra ,Bars,,,checked,Urbana,IL,45N off I-74; Tel. 367-1082. Lesbian private parties! Every Sunday evening- phone up first. ,**(**),"Bars, Clubs, Coffeehouses",,,,1991
Gay/Lesbian Switchboard,Services,,,checked,Bloomington,IN,"Tel. 336-4299/8pm-midnight, daily + answering machine. ",,,,,,1991
Gay/Lesbian Alliance,Services,,,checked,Bloomington,IN,Tel. 332-1847. ,,,,,,1991
Gay/Lesbian Helpline,Switchboards,,,checked,Fort Wayne,IN,"Tel. 422-1766/Weeknights: 7:30pm-10pm & Saturdays, 7:30pm-12 midnight. ",,,,,,1991
Gay/Lesbian Switchboard,Service,,,checked,Indianapolis,IN,"Tel. 253-GAYS, 7pm-11pm. Free peer counseling/information and referrals. Answered 24 hours a day, 7 days a week. ",,,,,,1991
National Organization For Women,N.O.W.,,,checked,Indianapolis,IN,Tel. 925-4641. ,,,,,,1991
Open Line,Information Services,,,checked,Ames,IA,"Tel. 292-7000 + 294-2104. Ask them about: GAYS AND LESBIANS OF AMES/GAY AND LESBIAN ALL ADDICTIONS RECOVERY GROUP, etc. ",,,,,,1991
Gay Info Line,Information Services,,,checked,Des Moines,IA,"Tel. 279-2110 (24 hours) or 277-1454. Write: PO Box 851, 50304. ",,,,,,1991
Gayline,Information Services,,,checked,Iowa City,IA,"Tel. 335-3877/Operates: Tuesday/Wednesday/Thursday, 7pm-9pm. ",,,,,,1991
Events Tape,Information Services,,,checked,Iowa City,IA,Tel. 335-3251. ,,,,,,1991
Triangle Times Directory,Publications,,checked,checked,,KS,See Missouri listings,,,,,,1991
Personally,Publications,,checked,checked,,KS,see Missouri listings- personal contact club: 'The Adventure Without the Jungle'.,,,,,,1991
Gay Information Line,Service,,,checked,Kansas City,KS,Tel. 931-4470/Recorded message of activities of interest. ,,,,,,1991
Kansas City B & B,Bed and Breakfast,,,checked,Kansas City,KS,"Tel. 596-1096. Room and use of common areas, under $20.00 per night. ",,,,,,1991
Gay/Lesbian Services,Services,,,checked,Lawrence,KS,"Tel. 864-3091; LESBIAN AA, etc. ",,,,,,1991
Gay Services Line,Services,,,checked,Lexington,KY,Tel. 231-0335/8pm-11pm. ,,,,,,1991
Our Paper,Publications,,,checked,Portland,ME,pick up a copy at OUR BOOKS. Includes: Lesbigay Network/calendar/meetings. ,,,,,,1991
Feminist Spiritual Community,Groups,,,checked,Portland,ME,"Tel. 773-2294. Rituals in celebration of women's spirituality, also politically active. All women welcome. they meet at the FRIENDS MEETING HOUSE, route 302 Forest Avenue. ",,,,,,1991
Rose Mary Denman,Counseling and Therapy,,,checked,Portland,ME,Tel. 879-0371. Lesbian/feminist counselor. ,,,,,,1991
Baltimore Gay and Lesbian Switchboard,Information Services,,,checked,Baltimore,MD,Tel. 837-8888. + TDD for hearing impaired-Tel. 837-8890. Includes roomate services. ,,,,,,1991
Metropolitan Community Church,Religious Groups,,,checked,Baltimore,MD,"Tel. 889-6363. See: THE PAPER, for information about other religious groups: Presbyterian/Dignity/Unitarian & others. ",,,,,,1991
Woman-To-Woman,Introduction Services,,checked,checked,,MA,Tel. (617) 872-1071. ,,,,,,1991
Gay Hotline,Service,,,checked,Amherst,MA,"University of Mass/Amherst- Tel. 545-0154/Monday-Friday, 9-5pm. ",,,,,,1991
Everywoman's Center,Women's Center,,,checked,Amherst,MA,"Wilder Hall, Univ. of Massachusetts at Amherst, 01003. Tel. 545-0883. Wild range of services, including: 24 HOUR [rape/violence/domestic violence-including Lesbian battering. HOTLINE (545-0800). ",****,Centers,,,,1991
Lesbian and Gay Hotline,Information Services & Crisis Hotlines,,,checked,Boston,MA,"Tel. (617) 267-9001/Monday-Thursday, 6pm-11pm/Friday & Sunday, 6-8:30pm. Health and businesses referrals/crisis intervention/information and referrals for victims of anti-Lesbian violence. ",,,,,,1991
Boston Rape Crisis,Information Services & Crisis Hotlines,,,checked,Boston,MA,Tel. (617) 492-RAPE/24 hour HOTLINE. ,,,,,,1991
Roxbury Multi-Service Centre,Information Services & Crisis Hotlines,,,checked,Roxbury,MA,RAPE HOTLINE- Tel. (617) 536-6500. ,,,,,,1991
Legal Aid,Information Services & Crisis Hotlines,,,checked,Boston,MA,"GLAD- (Gay & Lesbian Advocates & Defenders), Tel. (617) 426-1350. ",,,,,,1991
Say It Sister,Media,,,checked,Cambridge,MA,WMBR 88.1 FM- A feminist call-in radio show-every WEDNESDAY 8pm. ,,,,,,1991
Battered Lesbians,Emergency-Victim Services,,,checked,,MA,Tel. 744-6841 (HAWC),,,,,,1991
Women's Community Cancer Project,Women's Centres,,,checked,,MA,"Tel. 354-9888. Lesbian rap groups- Coming Out, etc. Lesbians with children. Alcoholism programs. They provide referrals and self-support. Hours: Monday-Thursday 10am-10pm/Friday 10am-5pm/Saturday 10am-1pm. WHEELCHAIR ACCESSIBLE. ",,,,checked,,1991
Act-Up,Political Action Groups,,,checked,,MA,(AIDS Coalition to Unleash Power)- Tel. (617) 492-2887. direct political action group working to fight AIDS. Their Women's Task Force addresses issues of women and AIDS. ,,,,,,1991
Queer Nation,Political Action Groups,,,checked,,MA,Tel. (617) 577-8123. Direct action group working to fight homophobia & anti- gay violence. They have a 'Dyke Nation' subgroup devoted to lesbian issues. ,,,,,,1991
Miriam Rosenberg,Counseling,,,checked,Boston,MA,"M.D., PhD. Child & Adult Psychiatry- 20 years serving lesbians, gay men and their children. Tel. (508) 358-7512. Close to Boston. ",,,,,,1991
Women's Counseling Associates,Counseling,,,checked,Boston,MA,of Sunbury Valley- Psychotherapy services for Metro-West Lesbians- Tel. (508) 443-2329. ,,,,,,1991
New Alexandria Lesbian Library,No Site Type,,,checked,Northampton,MA,Tel. 584-7616. [See: Statewide listings for more details]. ,,,,,,1991
Pennacook,Guest Houses,,,checked,Oak Bluffs,MA,"Tel. 693-1231. Near beach & shopping area. Gay male owned, receptive & friendly to gay women. Only 4 rooms rented out, so advance reservation necessary. ",,,,,,1991
Women's Weekend,Events,,,checked,Provincetown,MA,"October 13, 14, & 15th. Held annually, this is the 8th! Sponsored by the Women Innkeepers of Provincetown-book early- it's always very well attended. Probably the best lesbian party of its Kind! Look for WOMEN GOING PLACES. ",,,,,,1991
Fresh Fruit Radio Show,Radio Program,,,checked,Minneapolis,MN,"FKAI 90.3 FM; Tel. 721-5011; Thursdays, 6:30-7:30pm, + WE WANT YOU TO KNOW, Lesbian Half Hour at 10:30am Wednesdays. ",,,,,,1991
Gay Line,Information Services,,,checked,Kansas City,MO,Tel. 931-8800/tape recording out of operating hours. ,,,,,,1991
Gay Talk,Information Services,,,checked,Kansas City,MO,Tel. 931-4470. ,,,,,,1991
Gay Info,Information Services,,,checked,Kansas City,MO,Tel. 931-8800; recorded events message. ,,,,,,1991
