"title","type","address","unclear.address","city","state","description","stars","star.type","mentions.race","mentions.disability","notes","year","publication","country","geocode.value","lon","lat","geoAddress"
"The Cauldron","Restaurants","328 G Street","","Anchorage","AK","Tel.276-0592.Home-cooked food and live folk music. Open for lunch and dinner.","*","Restaurants","",NA,"",1981,"Gaia's Guide","United States","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Alaska Lesbians","Groups","P.O. Box 1173, 99510.","checked","Anchorage","AK","","**","Organizations","",NA,"",1981,"Gaia's Guide","United States","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Jakes Place","Bars","111 West 5th Avenue","","Anchorage","AK","Tel.276-9663.""O.K for Wimmin if desperate""","MGM**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Gay Alaska","Publications","P.O. Box 1581, 99510","checked","Anchorage","AK","One year: $7.50. Very handy,non-sexist monthly.Political in orientation with lots of lesbian news and an events calander.","-","","",NA,"",1981,"Gaia's Guide","United States","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Robert's Dining Room","Restaurants","646 East 5th Avenue, 99501. ","","Anchorage","AK","Tel. 272-8315.","*","Restaurants","",NA,"",1981,"Gaia's Guide","United States","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Village Lounge and Disco","Bars","225 East 5th Avenue, 99501","","Anchorage","AK","Tel. 276-2267.Separate women ’ s space on certain nights. Open: noon-4:30am M-F. 2pm-4:30am  weekends. Alternate phone number: 276-9160. Highly recommended.","**(**)","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Anchorage Book Mart","Bookstore","419 D Street","","Anchorage","AK","Some gay titles.","-","","",NA,"",1981,"Gaia's Guide","United States","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Upstairs","Bars","","checked","Anchorage","AK","Get address locally--private members' club--might be just gay men.","MGM**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Hal's Place","Bars","618 Gambell Street, 99503","","Anchorage","AK","Tel.276-9672.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Gay Information Services","Services","P.O. Box 812, 99510","checked","Anchorage","AK","Tel. (907) 276-8129. Friday or Saturday from 8pm to midnight","-","","",NA,"",1981,"Gaia's Guide","United States","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Alaska Lesbians","Centers","c/o Alaska Women's Resource Center, 99510.","","Anchorage","AK","Tel. (907) 278-9047.0pen:Monday to Friday, 9-5pm. Their publ:""Klondyke Kontact"", bimonthly. Includes events calender,local news,radio & TV.Requests input.","****(*)","Organizations","",NA,"",1981,"Gaia's Guide","United States","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"The Bread Factory","Restaurants","835 I Street","","Anchorage","AK","Naturalfoods tavern.","*","Restaurants","",NA,"",1981,"Gaia's Guide","United States","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Traveler's Inn","Bars","720 Gambell.","","Anchorage","AK","Tel.279-2663-Just gay men?","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"M.C.C. of Anchorage","Religious Groups","429 Barrow Street, 99501","","Anchorage","AK","Tel. (907) 272-1715. Worship Service:602 West 10th Ave. 24 hourtelephone s witchboard.A full range of social and religious activities.Lesbian participation.Their publ: ‘ Light of the North',includes a calander of events for M.C.C. activities,plus a very handy community and bar  guide titled ""Where its at"".Monthly.","-","","",NA,"",1981,"Gaia's Guide","United States","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Love Boutique","Bookstore","2621 Spenard Road","","Anchorage","AK","Some gay titles.","-","","",NA,"",1981,"Gaia's Guide","United States","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Pier Street Annex","Bars","5th Avenue and Fairbanks","","Anchorage","AK","","MGM**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Antigone Books","Bookstore","415 North 4th Avenue","","Tucson","AZ","Tel.(602)792-3715.Books,posters,crafts,cards from throughout the world.records,etc. Also —buttons, jewelry,greeting cards.Ticket outlet and informal referral services. They sell GAIA'S GUIDE","-","","",NA,"",1981,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Women's Center","Women's Centers","419 South Stone","","Tucson","AZ","Tel.792-1929.Very active women's center.","****","Organizations","",NA,"",1981,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Womansplace Bookstore","Bookstore","2401 North 32nd Street","","Phoenix","AZ","Tel.(602) 956-0456.""Feminist and lesbian books,  newspapers, periodicals, records, buttons, greeting cards, stickers, jewelry,etc. Three mail order booklists-lesbian, feminist, non-sexist  children's.Send a 13c stamp for each list.We sell Gaia’sGuide.""","-","","",NA,"",1981,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Roommate Finders","Roommate Service","","checked","Phoenix","AZ","Tel.955-6662.""We maintain a gay roomate file"". 24 hours daily. ""Quick placement and low fees.""","-","","",NA,"",1981,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Mac Arthur Hotel","Hotel","345 East Toole","","Tucson","AZ","Tel.622-8867.Just gay men? Report back please.","-","","",NA,"",1981,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Full Moon","Bars","3108 East McDowell","","Phoenix","AZ","Open:Mon-Fri. 10am-lam;Weekends noon-lam. Nitely disco plus live bands and gay community fund raisers.Very highly recommended.Opened in May 1978.","****","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Center for Women","Women's Centers","1202 West Thomas Avenue","","Phoenix","AZ","1el-26-2492.Referrals/drop-in/library.","****","Organizations","",NA,"",1981,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Santa Cruz Metropolitan Community Church","Religious Groups","P.O. Box 40364","checked","Tucson","AZ","Tel.3:69719.The Christian chruch with an outreach to the gay community.--In this one, ""se habla Espanol.""","-","","checked",NA,"Counted notes as mentioning race because they noted Spanish language speakers - not sure if that's correct",1981,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Free Spirit","Groups","P.O. Box 117","checked","Tempe","AZ","Tel.(602) 966-5090. Gay services at Arizona State University. Switchboard, coffee houses, bar nites, newsletter. Helpline: 271-0125, Sat & Sun. nites from 8pm to midnight. ""Gay people helping gay people.""","**","Organizations","",NA,"",1981,"Gaia's Guide","United States","Tempe, AZ, United States",-111.9400054,33.4255104,"tempe, az, usa"
"His Co. Disco","Bars","3839 North 16th Street","","Phoenix","AZ","Tel.248-9580.Very popular big disco.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Gay Community Service","Organisation and Services","","checked","Tucson","AZ","Tel.622-8868.","***","Organizations","",NA,"",1981,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Dignity/Tucson","Religious Groups","P.O. Box 27929","checked","Tucson","AZ","Tel.745-1812.Gay and concerned Catholics. Alternate phone number: 297-6340.","-","","",NA,"",1981,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Information and Referral","Services","","checked","Phoenix","AZ","Tel.881-1794.Daily-9 to 5.","-","","",NA,"",1981,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Unlimited","Bars","2320 North 32nd Street","","Phoenix","AZ","(at Oak). Tel.(602)957-9929.","****","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Sally's El Oasis","Bars","","checked","Huachuca","AZ","Tel. (602)456-9881.Big disco.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Huachuca, AZ, United States",-110.3339678,31.6278703,"huachuca city, az 85616, usa"
"Harem","Bar/Restaurant","4029 Washington Street","","Phoenix","AZ","Tel.267-9938.","**","Bar/Restaurant","",NA,"",1981,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Casa de Roma","Show-Bars","4331 North 16th Street","","Phoenix","AZ","Tel.248-9624.","MGM**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"M.C.C.","Religious Groups","4035 East McDowell","","Phoenix","AZ","Te.273-7000.Church:4035 East McDowell.","-","","",NA,"",1981,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"New Morning Cafe","Restaurants","16th Street (just north of Thomas)","checked","Phoenix","AZ","Tel.279-6322. Open:Mon-Thurs. 11.30am-9.00pm;Fri & Sat. 11.30am-10.00pm. Natural food.","-","","",NA,"",1981,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Arizona Gay News","Publications","P.O. Box 5002","checked","Tucson","AZ","Tel.(602)623-5268.Weekly gay newspaper--full of Arizona news and resources.","-","","",NA,"",1981,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"M.C.C. Tucson","Religious Groups","P.O. Box 2768","checked","Tucson","AZ","Tel.(602) 748-8699. Regular meetings and social activities;temproary housing provided for women ony. Also dances, counselling and religious services. They sell GAIA'S GUIDE.","-","","",NA,"",1981,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"El Torero","Restaurants","231 East 26th Street","","Phoenix","AZ","Tel.622-9534.Wonderful Mexican food--wines and beers. Open 5pm-midnight. Closed Tuesdays.","*","Restaurants","",NA,"",1981,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Jekyll's-The Last Culture","Bars","1455 N. Miracle Mile","","Tucson","AZ","Te1.(602)622-1371. ”Tucson's gayest disco and showbar for gay men and women dedicated to having a good time.""Open: Sun-Thurs.4pm-lam;Prik Sat.4pm-3am(dancing,but no alcohol after 1am).Three live shows per week and disco nltely. Very,very highly recommended**","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Pier 7","Bars","13th and Van Buren","","Phoenix","AZ","""Large, woman-owred disco. X **# Women’s bands and tremendous potential."" Very highly recommended.","****","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"""Help Line""","Services","","checked","Tucson","AZ","Tel.323-9373.24 hours.","-","","",NA,"",1981,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Gay Information and Asistance/Phoenix","Services","","checked","Phoenix","AZ","Tel.257-0350.Evenings-7pm-11pm.","-","","",NA,"",1981,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Women's Center","Women's Centers","333 East McDowell","","Phoenix","AZ","Tel.258 7 * — 9 groups,legal services,workshops,free alcohol counseling","****(*)","Organizations","",NA,"",1981,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Sunpath Bookshop","Bookstore","6062 North 16th Street","","Phoenix","AZ","Tel.265-8584. Women's books, children's books, outdoors, health","-","","",NA,"",1981,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Arizona Women's Yellow Pages","Directory","P.O. Box 3242","checked","","AZ","$3.00 per year.Divided into three categories:!) Women 1 Business;2) Resources available to women;]) Women'! organisations.Very very handy and nighly recommended.","-","","",NA,"",1981,"Gaia's Guide","United States",", AZ, United States",-111.0937311,34.0489281,"arizona, usa"
"Women's Line","Services","","checked","Phoenix","AZ","Tel. 252-5152. Open: 2pm-10pm seven days. Telephone counseling,crisis coounceling,information and referals.","-","","",NA,"",1981,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Women's Center","Women's Centers","9000 East Chaparral","","Scottsdale","AZ","","****","Organizations","",NA,"",1981,"Gaia's Guide","United States","Scottsdale, AZ, United States",-111.9216734,33.4948764,"scottsdale, az, usa"
"Back Pocket-Joshua Tree","Bars","2921 North First Ave","","Tucson","AZ","Tel.622-6233. Big disco.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Gay Information/Referral","Services","","checked","Tucson","AZ","Tel.881-1794. 9 to 5.","-","","",NA,"",1981,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Car House","Bars","1418 East McDowell Road","","Phoenix","AZ","Bar/cafe/disco for gay women and men. Open daily at noon. Disco till 1am/weekends till 3am. Opened December, 1979.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Books Brothers, Ltd.","Bookstore","3244 East Speedway","","Tucson","AZ","Tel.(602)326-3332.A new bookstore with a truly enormous range of gay and lesbian titles also  feminist books and much, much more. Open 9-9 Mon.Fri. and 9-6 on Saturdays.","-","","",NA,"",1981,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Ozark Wimmin's Land Trust","Land Trust","Box 718, 85716","checked","","AR","An organization of wimmin in Missouri and Arkansas who want to make more wimmen's land available and used.","-","","",NA,"Listed under Arkansas, but notes give both Arkansas and Missouri as locations.",1981,"Gaia's Guide","United States",", AR, United States",-91.8318334,35.20105,"arkansas, usa"
"Women's Center","Centers","207 Razor Back Road","checked","","AR","Tel.(501) 443-4998.Switchboard,Mon-Fri.9am-5pm. Their Publ: 'HARD LABOR'-quarterly newspaper.","****(*)","Organizations","",NA,"",1981,"Gaia's Guide","United States",", AR, United States",-91.8318334,35.20105,"arkansas, usa"
"49'r Club","Bars","6413 Lankershim","","North Hollywood","CA","Tel. 761-/1966. Dancing, entertainment, pool table, pin-ball, food. Warm, friendly atmosphere. Open: Mon-Thurs.lOam-2am; weekends: 24 hours. Highly recommended.","****","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","North Hollywood, CA, United States",-118.3877732,34.1866635,"north hollywood, los angeles, ca, usa"
"Growth House","Centers","5919 Ranchito Avenue","","Van Nuys","CA","Tel.787-1090. Offering: ""The Friday Night Club""--an alternative to the bars for gay women and men. Highly recommended.","***(**)","Organizations","",NA,"",1981,"Gaia's Guide","United States","Van Nuys, CA, United States",-118.466222,34.2012166,"van nuys, los angeles, ca, usa"
"Oxwood Inn","Bars","13713 Oxnard at Woodman","","Los Angeles","CA","Tel.997-9666. Entrance in the rear. (Private parking.)","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"Sojourner","Feminist Bookstore","538 Redondo Avenue","","Long Beach","CA","Tel.(213)433-5384.Books, gifts, cards, by, for and about women. Bulletin board and free monthly workshops. There’ s a large selection of lesbian titles including GAIA'S GUIDE.","-","","",NA,"",1981,"Gaia's Guide","United States","Long Beach, CA, United States",-118.1937395,33.7700504,"long beach, ca, usa"
"Diamond Horseshoe","Bars","2523 East Anaheim Street","","Long Beach","CA","Tel.432-4126. Disco bar/women's nights.","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Long Beach, CA, United States",-118.1937395,33.7700504,"long beach, ca, usa"
"Red Mill","Bars","115 Locust Avenue","","Long Beach","CA","Tel.432-2019.Beer and wine bar. ""Serving the gay community.""","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Long Beach, CA, United States",-118.1937395,33.7700504,"long beach, ca, usa"
"Little Shrimp","Bars","1305 South Coast Highway","","Laguna Beach","CA","Tel.494-4111. Piano bar.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Laguna Beach, CA, United States",-117.7853568,33.5427189,"laguna beach, ca, usa"
"Chatterton's","Bookstore","1818 N. Vermont Avenue","","Los Angeles","CA","Tel.664-_a11pm Sun. Noon-9pm. ' hodicals: Open: Mon.-","-","","",NA,"",1981,"Gaia's Guide","United States","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"Green Gables Hotel","Hotel","280 Mel Avenue","","Palm Springs","CA","Tel.(714)325-5270. ""We are a woman’s hotel owned by women"". Swimming pool.","-","","",NA,"",1981,"Gaia's Guide","United States","Palm Springs, CA, United States",-116.5452921,33.8302961,"palm springs, ca, usa"
"Palms","Bars","8572 Santa Monica Boulevard","","Hollywood","CA","Tel.652-6188.Recommended.","****","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Hollywood, CA, United States",-118.3266146,34.0907315,"hollywood, los angeles, ca, usa"
"Gay Community Center/Orange County","Centers","12411 Euclid","","Garden Grove","CA","Tel.(714)534-3261.Hotline:(714)534-3280.Women's groups and social happenings. Referrals, counselling, library, newsletter, outreach. Many activities and sub-groups. Your essential contact 1n Orange County. Your best bet when new to Orange County. Hotline hours:6:30-10:30","***(**)","Organizations","",NA,"",1981,"Gaia's Guide","United States","Garden Grove, CA, United States",-117.9379952,33.7742692,"garden grove, ca, usa"
"Driftwood Lounge","Bars","22170 Mission Boulevard","","Hayward","CA","Tel.581-2050.Disco, light show and mist machine.","****","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Hayward, CA, United States",-122.0809964,37.6687665,"hayward, ca, usa"
"Wilde/Stein Democratic Club","Political/Legislative","c/o Fresno Human Rights Coalition","checked","Fresno","CA","Tel.(209)266-6067,Gay Democrats-women & men.","-","","",NA,"",1981,"Gaia's Guide","United States","Fresno, CA, United States",-119.7871247,36.7377981,"fresno, ca, usa"
"Center for Feminist Therapy","Counselling/Therapy","1640 Fifth Street","","Santa Monica","CA","Tel.(213)393-9194.Lesbian therapists.","-","","",NA,"",1981,"Gaia's Guide","United States","Santa Monica, CA, United States",-118.4911912,34.0194543,"santa monica, ca, usa"
"Queen Mary","Bars","12449 Ventura Boulevard","","Studio City","CA","Drag shows. Recommended. Separate woman’s room.","**(**)","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Studio City, CA, United States",-118.3952727,34.1435864,"studio city, los angeles, ca, usa"
"Seaworthy Women","Vacation & Recreation","2210 Wilshire Boulevard","","Santa Monica","CA","Tel.(213)397-7728.Sailing adventures for women by private charter. Cruises and sailing classes. Write to them for full details.","-","","",NA,"",1981,"Gaia's Guide","United States","Santa Monica, CA, United States",-118.4911912,34.0194543,"santa monica, ca, usa"
"Whiskey Gulch Saloon","Bars","1951 E. University Way","","Palo Alto","CA","","MGM**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Palo Alto, CA, United States",-122.1430195,37.4418834,"palo alto, ca, usa"
"Farmer's Daughter","Bars","3674 Santa Fe","","Long Beach","CA","","***(?)","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Long Beach, CA, United States",-118.1937395,33.7700504,"long beach, ca, usa"
"Club 21","Bars","2314A Monument Boulevard","","Pleasant Hill","CA","Tel.689-2102.","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Pleasant Hill, CA, United States",-122.0607963,37.9479786,"pleasant hill, ca, usa"
"Maypole","Bars","2720-22 Main Street","","Santa Monica","CA","Tel.399-9705.Disco. Open 8pm weekdays/4pm Sundays I.D. required.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Santa Monica, CA, United States",-118.4911912,34.0194543,"santa monica, ca, usa"
"Vermie's","Bars","3772 E. Foothill Boulevard","","Pasadena","CA","Tel.(213)578-9359. Dancing, pool table. Local clientel- good atmosphere. Open: Mon.-Thurs.pm-midnight; Fri & Sat: noon-2am; Sun:Ncon-midnight. Very, very highly recommended.","****","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Pasadena, CA, United States",-118.1445155,34.1477849,"pasadena, ca, usa"
"Lesbian Tide, Tide Publications","Publications","8706 Cadillac Avenue","","Los Angeles","CA","Tel.(213)839-7254.The most sophisticated lesbian publication in the world. Local and international news in depth. Photos, reviews, resources. $6. 00 per year. $8.00 for Canada and overseas. Bi-monthly.","-","","",NA,"",1981,"Gaia's Guide","United States","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"Westside","Restaurants","6112 Venice Boulevard","","Los Angeles","CA","Tel.935-1274. Excellent 'homestyle' cooking. Gay clientel.","*","Restaurants","",NA,"",1981,"Gaia's Guide","United States","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"Carriage Trade","Restaurants","","checked","Hollywood","CA","More men than women but highly recommended. Excellent food.","**","Restaurants","",NA,"",1981,"Gaia's Guide","United States","Hollywood, CA, United States",-118.3266146,34.0907315,"hollywood, los angeles, ca, usa"
"Westside Bar","Bar/Restaurant","6112 Venice Boulevard","","Los Angeles","CA","Tel.935-1274.""Plano bar, low key and friendly. Mostly gay men but quite good for women too."" Recommended","**","Bar/Restaurant","",NA,"",1981,"Gaia's Guide","United States","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"Apache","Bar/Restaurant","2214 Stoner Avenue","","Los Angeles","CA","Open 6pm-2am. Dance bar and restaurant.","**","Bar/Restaurant","",NA,"",1981,"Gaia's Guide","United States","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"Blue Angel","Bars","5472 Mission","","Rubdoux","CA","","***","Bars, Clubs, Coffeehouses","",NA,"Unsure why Blue Angel is listed twice in two separate cities.",1981,"Gaia's Guide","United States","Rubdoux, CA, United States",-117.41762,33.9971988,"rubidoux, riverside, ca, usa"
"Integrity","Religious Groups","at St. John's Episcopal Church.","checked","Los Angeles","CA","Tel.931-8550","-","","",NA,"",1981,"Gaia's Guide","United States","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"The Oracle","Feminist Bookstore","22640 Main Street","","Hayward","CA","Tel.886-1268. They sell GAIA'S GUIDE.","-","","",NA,"",1981,"Gaia's Guide","United States","Hayward, CA, United States",-122.0809964,37.6687665,"hayward, ca, usa"
"Isla Vista Women's Center","Women's Centers","6503 Fardall","","Isla Vista","CA","","****","Organizations","",NA,"",1981,"Gaia's Guide","United States","Isla Vista, CA, United States",-119.8609718,34.4133292,"isla vista, ca 93117, usa"
