"title","type","address","unclear.address","city","state","description","stars","star.type","mentions.race","mentions.disability","notes","Last.Modified","Notes.2","year","publication","country","geocode.value","lon","lat","geoAddress"
"Metropolitan Community Church of the Ozarks","Religious Groups","P.O. Box 92","checked","Fayetteville","AR","Meetings at: the Church at Kenway & Plainview Tel. ~278 & 443-3717. Sunday services at 11am & 7.30pm. Also coffeehouse for gay women & men and other activities during the week.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Fayetteville, AR, United States",-94.1605839,36.0626579,"fayetteville, ar, usa"
"Our House","Bars","336 Central ","","Hot Springs","AR","Tel. 624-6868. Disco 6 days a week. Open 12 noon-2am.","**(MGM)","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Hot Springs, AR, United States",-93.0546003,34.5077615,"hot springs, ar, usa"
"Gay Counseling Service ","Counseling"," 409 Walnut ","","Little Rock","AR","Tel. 663-6455. Dr. Ralph Hyman","","Organizations","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Little Rock, AR, United States",-92.2880157,34.7444618,"little rock, ar, usa"
"Gay A_A","Group","7509 Cantrell suite 102, Tanglewood Shopping Center","checked","Little Rock","AR","","*","Organizations","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Little Rock, AR, United States",-92.2880157,34.7444618,"little rock, ar, usa"
"National Organization of Women","Organization","Box 622","checked","Little Rock","AR","Tel. 227-0003. Strong lesbian participation.","","Organizations","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Little Rock, AR, United States",-92.2880157,34.7444618,"little rock, ar, usa"
"Grassroots Women's House","Center","","checked","Little Rock","AR","Tel. 378-7851. Strictly political interests. Not all-lesbian.","****","Organizations","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Little Rock, AR, United States",-92.2880157,34.7444618,"little rock, ar, usa"
"Silver Dollar","Bars","2710 Asher Avenue","","Little Rock","AR","Tel. 663-9886. A mixed gay bar-often mostly women clientele. Game area with pool tables, video & pin-ball Serves beer & snacks. Open 12 noon-midnight.","***","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Little Rock, AR, United States",-92.2880157,34.7444618,"little rock, ar, usa"
"Discovery Disco","Bars/Restaurants"," 1021 Jessie","","Little Rock","AR","Tel. 664-4784. Pool tables/video games/dancing. Open Weds-Sat. 9pm-3am & Sun. till late. Show time Weds. & Sun. 9pm & 11pm. Back & front bars (back bar open after the shows). Private club.","**","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Little Rock, AR, United States",-92.2880157,34.7444618,"little rock, ar, usa"
"Arizona Gay News (AGN) ","Publication","PO Box 5002","checked","Tucson","AZ","Tel. 623-5268. Weekly gay newspaper, full of Arizona news and resources.","","","","","Listed under Statewide","Lilly Smith",NA,1983,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"The Directory","Publication"," PO Box 25073","checked","Phoenix","AZ","Tel. 277-0196. Gay resource and guide for Arizona. Extremely handy and extremely useful.","","Organizations","","","Listed under Statewide","Lilly Smith",NA,1983,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Women's Pages","Publication","PO Box 38","checked","Scottsdale","AZ","Tel. 947-5655. Statewide directory of women's resources, services and businesses. Extremely handy.","","","","","Listed under Statewide","Lilly Smith",NA,1983,"Gaia's Guide","United States","Scottsdale, AZ, United States",-111.9216734,33.4948764,"scottsdale, az, usa"
"Charlie's","Bars","23 N Leroux","","Flagstaff","AZ","(in the Weatherford Hotel) Tel. 779-1919. Folk music/women musicians. Open every night","*","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Flagstaff, AZ, United States",-111.651302,35.1982836,"flagstaff, az, usa"
"Aradia Women's Books","Bookstores","116 West Cottage","","Flagstaff","AZ","Tel. 779-3817. Closed Sundays- Feminist and lesbian titles galore.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Flagstaff, AZ, United States",-111.651302,35.1982836,"flagstaff, az, usa"
"Womansplace Bookstore","Bookstores","425 South Mill Ave","","Phoenix","AZ","Tel. 966-9276 Your first stop in the Phoenix area. Bulletin board/notices, etc. for all current local events and information. Be sure and say 'hi' from GAIA.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Gay Help Line","Information Services","","checked","Phoenix","AZ","Tel.265-1102.Thurs-Sat24hour.Mon-Wed 1Qam-6pm.Callforevents.","","","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"The Full Moon Saloon","Bars","3108 East McDowell Rd","","Phoenix","AZ","Tel. 275-0764. Office: 267-8707. Open 1pm-1am. Nightly disco plus live bands and gay community fund raisers. Games, snacks. 'The largest womyn's bar in Arizona, very friendly but younger crowd and comfortable for all. Sunday: home made lunches. Pool tournaments. We have a DJ every night playing rock and roll. Womyn's music'. Nominal cover charge after about 11.00pm on Saturday nights.","****","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Raggedy Ann and Andy's","Bars","2320 North 32nd Street","","Phoenix","AZ","(at Oak); Tel. 957-9929. Cocktails and dinnners. Very nice women's bar. Terrific atmosphere. Sunday brunch, occasional shows. large dance floor, pool tables and pinball. Slightly older crowd. Nominal cover charge after about 11.00pm on Saturday nights.","****","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Incognito Lounge","Bars","2424 E Thomas Rd","","Phoenix","AZ","Tel. 955-9805. Disco/young crowd, good music, friendly neighbourhood, bar atmosphere.","***","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Phillip's","Bars","4631 N 7th Ave","","Phoenix","AZ","Tel. 248-9271. New to the Phoenix scene and very, very promising. Women bartenders.","**","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"The Grans Camel Club","Bars/Restaurants","5105 N 43rd Ave","","Phoenix","AZ","Tel. 841-9807. Multi-level super bar/restaurant/disco/game room -pin-ball, video, pool table. Open daily noon-1am. Friendly and intimate, serving dinner nightly. Sunday brunch at 12 noon.","**","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Sammy's Steak House and Saloon","Bars/Restaurants","2125 E McDowell Rd","","Phoenix","AZ","Tel.231-0168. Good Restaurant, reasonable prices. Dance Floor. Separate Game Room. Pin Ball. Pool. Dinner is served until 9pm. Recommended. Sunday brunch: noon. Showtime: Sunday nights","**","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Womanplace","Bookstores","4201 N 32nd St","","Phoenix","AZ","Tel. 956-0456.Feminist and lesbian books. newspapers, periodicals, records. buttons, greetings cards. stickers, jewelry etc. Three mail order booklists; lesbian, feminist, non-sexist children's. Send a S.20 stamp for each list. We sell GAIA'S GUIDE.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Fourth World","Counseling","110 W Geneva Dr","","Tempe","AZ","Tel. 966 0039. Feminist therapy alternative, especially for those with lesbian lifestyles. For women only. Contact them for information about FEMINIST LESBIAN ACTIVIST COALITION.","**","Organizations","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Tempe, AZ, United States",-111.9400054,33.4255104,"tempe, az, usa"
"Gay Christian Outreach Services, INC","Religious Groups","","checked","Tucson","AZ","Tel. 792-3772 (24 Hours). Crisis help/social action/informauon & referral.","","","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Switchboard","Information Services","","checked","Tucson","AZ","Tel. 626-HELP. Information/referrals/counseling.","","","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Gay Information/Referral","Information Services","","checked","Tucson","AZ"," 881-1794. Monday thru Friday- 8am-5pm. Very helpful people/some women on the answering staff.","","","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Help Line","Counseling","","checked","Tucson","AZ","323-9373. Crisis Line.","","","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Metropolitan Community Church of Tucson","Religious Groups","349 W 35th St","","Tucson","AZ","Tel. 622-4536. Offering regular worship services at 10:45 Sundays. Professional counseling and referrals/social activities/possible temporary housing/alcoholics together/women's rap group/children's activities. Other services available. Office Hours: Mon/Th/Fri. 1Dam-4pm + Tu/Weds 1pm-9pm. Over 50% of our church community are women. Be sure and say hi from GAIA.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Dignity/Tucson","Religious Groups"," P.O. Box 27929","checked","Tucson","AZ","Tel. 297-6340. Gay and concerned Catholics. Alternate phone number, 297-6340.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Ruby's","Bars","2512 E Grant Rd","","Tucson","AZ","Tel. 327-0114. Closed Mondays.","*****","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Dena's Outpost","Bars","555 E 16th St","","Tucson","AZ","Tel. 623-2442. The owners went to turn this into a women's bar- but it is in a very bad section of Tucson and still maintains some straight clientele. You reports, please.","***","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Michael's ","Bars","140 S Kolb RD","","Tucson","AZ","(just south of Broadway- east side of town)Tel.886-5480 Good size dance floor for disco - a good mixture of gay women & men. Pinball/pool table/video games/movie nites/beer nite Weds.","**","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"The Fine Line","Bars","101 W Drachman","","Tucson","AZ","Tel. 882-4953. Clientele: 70% gay men/30% gay women. Some straights on weekends. Nice atmosphere, 3 areas: country bar, quiet bar and disco bar. Weekends are hopping and weeknights bring in a good crowd too.","**","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Joshua Tree/Back Pocket","Bars/Restaurants","2921 N 1st St","","Tucson","AZ","Tel. 622-6233. Juke box/pool table/ outdoor patio. Quiet atmosphere. Bar open 11am-1am. Restaurant open 11:30am-3am.","**(MGM)","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Antigone Books","Bookstores","403 E 5th St","","Tucson","AZ","Tel. 792-3715. Very well-stocked bookshop featuring lesbian and feminist titles. They sell GAIA'S GUID","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Books Brothers LTD","Bookstores","3244 E Speedway","","Tucson","AZ","Tel. 326-3332. A new bookstore with a truly enormous range of gay and lesbian titles. also feminist books and much much more. Open 9-9 Mon-Fri. and 9-6 on Saturdays.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Roommate Referral of Tucson","Room Mate Service","","checked","Tucson","AZ","c/o GayCommunity ServicesTel.622-8868. Mon-Fri. 7:30pm-midnight. Alternate number 622-3808.","","","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Heartwood","Resort","1000 Navarro Bluff Rd","","Albion","CA","(near Mendocino) Tel. 877-3466. A retreat resort for women only. Bed & breakfast plus rooms/camping, meals.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Albion, CA, United States",-123.7680598,39.2232406,"albion, ca, usa"
"Casablanca","Bars","1927 ""K"" St","checked","Bakersfield","CA","Tel. 395-9282.","**","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Bakersfield, CA, United States",-119.0187125,35.3732921,"bakersfield, ca, usa"
"Metropolitan Community Church of Bakersfield","Religious Groups","2415 Alta Vista Dr","","Bakersfield","CA","Tel.327-3724. Office hours: Sun. 7pm & Fri. 5-7pm.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Bakersfield, CA, United States",-119.0187125,35.3732921,"bakersfield, ca, usa"
"Plexus ","Publication","545 Athol Ave","","Oakland","CA","Tel. 451-2585. A power-house of feminist and lesbian resources for the San Francisco Bay area. Events calendar. Large classified ads section. $6.00 per year.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Oakland, CA, United States",-122.2711639,37.8043514,"oakland, ca, usa"
"Pacific Center For Human Growth","Center","2712 Telegraph Ave","","Berkeley","CA","Tel 841-6224 (switchboard). Crisis referral for housing, jobs, etc. Monthly newsletter and calendar of women's events, mental health services and switchboard. Offering these groups Lesbian rap group, Slightly Older Lesbians group, Women's Alcohol and Drug Abuse Group, Bi-sexual Women's Group, Black Lesbian Support Group. Under 30 Lesbian rap group. Also Lesbian incest survivors group and rape/sexual assault survivors group. One of the most successful and active gay centers in the world. A great first contact when new to the Berkeley/Oakland area.","***(**)","Organizations","checked","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Berkeley, CA, United States",-122.273042,37.8715226,"berkeley, ca, usa"
"Berkeley Women's Center","Center","2908 Ellsworth","","Berkeley","CA","Tel. 548-4343. Info and referral/ classes/evening programs & groups/workshops on all areas of interest to women & for women only. It is also the home of the BERKELEY WOMEN'S HEALTH COLLECTIVE(Tel. 843-6194).","****(*)","Organizations","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Berkeley, CA, United States",-122.273042,37.8715226,"berkeley, ca, usa"
"MCC","Religious Groups","4986 Fairfax Ave","","Oakland","CA","Tel. 533-4848. They own their own church and have a lesbian pastor plus lesbian student ministers. The congregation is about 60% lesbian and they have many social activities and dances as well as religious services and counseling. Worship is Sundays at 6pm and Thursdays at 7pm.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Oakland, CA, United States",-122.2711639,37.8043514,"oakland, ca, usa"
"Center For Non-Traditional Religion","Religious Groups","2221 Prince St","","Berkeley","CA","(corner of Prince and Fulton in Berkeley) Tel. 848-8505. This is a Women's Center of Goddess Worship. Frequent meetings/other activities.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Berkeley, CA, United States",-122.273042,37.8715226,"berkeley, ca, usa"
"KPFA Women's Magazine","Radio Program","","checked","Berkeley","CA","12 noon KPFA","","","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Berkeley, CA, United States",-122.273042,37.8715226,"berkeley, ca, usa"
"Coven of the Laughing Goddess","Religious Groups","PO Box 11363","checked","Oakland","CA","Tel. 444-7724 or 653-4169. Dianic (ie women only). Z Budapest.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Oakland, CA, United States",-122.2711639,37.8043514,"oakland, ca, usa"
"Eddie's Bar","Bars","4101 Arden Dr","","El Monte","CA","Tel. 448-6579. Beer/pool table/clientele: all gay women and men. Atmosphere: very friendly. Highly recommended. Open 2pm-2amn days a week.","**","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","El Monte, CA, United States",-118.0275667,34.0686206,"el monte, ca, usa"
"The Driftwood","Bars","200 1st St","","Eureka","CA","(in the Old Town section of Eureka). Tel. 442-9788. Clientele: about 40% gay women, about 50% gay men and about 10% bisexuals and others. The atmosphere is often a walk on the wild side but somehow friendly. It's just a beer and wine bar but with a pool table and pinball machine but the bartenders are friendly and it is gay-owned. Recommended.","**","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Eureka, CA, United States",-124.1636729,40.8020712,"eureka, ca, usa"
"Womanyes","Clothing","11336 Ranchito St","","El Monte","CA"," Tel. 444-9862 (recorded message) Custom and feminist T-shirts/retail/mail order catalogue 25c","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","El Monte, CA, United States",-118.0275667,34.0686206,"el monte, ca, usa"
"Metropolitan Community Church Fresno","Religious Groups","4144 N Melbrook","","Fresno","CA","meets at Unitarian Church Tel.441--0105(taped message).Sunday meeting at 5pm at the Church.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Fresno, CA, United States",-119.7871247,36.7377981,"fresno, ca, usa"
"Ash- Alcohol Services for Homosexuals, INC","Drug/Alcohol Services","11918 Garden Grove Blvd","","Garden Grove","CA","Tel. 537-9968.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Garden Grove, CA, United States",-117.9379952,33.7742692,"garden grove, ca, usa"
"The Palace/Rawhide Room","Bars","4030 E Belmont Ave","","Fresno","CA","Tel. 264-8283. Dance floor/juke box/video games/4 pool tables. ""Your best bet in Fresno"". Hours: 3pm-2am.","***","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Fresno, CA, United States",-119.7871247,36.7377981,"fresno, ca, usa"
"Gay and Lesbian Community Services Center of Orange County","Center","12832 Garden Grove Blvd, Suite 200","","Garden Grove","CA","Tel. 534-3280 (HOTLINE) 6.30- 10.30pm; 534--0862 (COUNSELING); 534-3263 (EVENTS LINE: RECORDED ANNOUNCEMENT 24 hrs/day, 7 days/week). Women's group and social happenings. Referrals. counseling, library, newsletter, outreach. Many activities and sub-groups. Your essential contact in Orange County. Your best bet when new to Orange County.","***(**)","Organizations","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Garden Grove, CA, United States",-117.9379952,33.7742692,"garden grove, ca, usa"
"Happy Hour","Bars","12081 Garden Grove Blvd","","Garden Grove","CA","Tel. 537-9079. Dance bar with entertainment games and community benefits. The ALL GIRL BAND plays on Weds, Friday and Saturday, Sunday is western night. Happy hour Mon-Fri 4pm-7pm and it's a women's bar but men are welcome. Open 2pm-2am weekdays and Sat/Sun noon-2am. A very, very highly recommended old-timer.","****","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Garden Grove, CA, United States",-117.9379952,33.7742692,"garden grove, ca, usa"
"Rumour Hazzit","Bars","8741 Garden Grove Blvd","","Garden Grove","CA","534-9370. Pool table, good disco music, young crowd.","**","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Garden Grove, CA, United States",-117.9379952,33.7742692,"garden grove, ca, usa"
"D.O.K. West","Bars","12889 Garden Grove Blvd","","Garden Grove","CA","Tel. 534-9712","**","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Garden Grove, CA, United States",-117.9379952,33.7742692,"garden grove, ca, usa"
"The Mug","Bars","8612 Garden Grove Blvd","","Garden Grove","CA","Tel. 534-9943. Entertainment center. Women's pool tournaments. The men outnumber the women but apparently it's quite OK.","**(**)","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Garden Grove, CA, United States",-117.9379952,33.7742692,"garden grove, ca, usa"
"The Turf Club","Bars","22517 Mission Blvd","","Hayward","CA","Tel.881-9877. Lately it's more women than men. Pool table/hard liquor bar/pin-ball/disco.Open7days 10am-2am.","***","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Hayward, CA, United States",-122.0809964,37.6687665,"hayward, ca, usa"
"Big Mama's","Bars","22615 Mission Blvd","","Hayward","CA","Tel.881-9310. Hard liquor bar/disco/pool table/video games.Open7 days a week 10am-2am","**(MGM)","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Hayward, CA, United States",-122.0809964,37.6687665,"hayward, ca, usa"
"Driftwood Lounge","Bars","22170 Mission Blvd","","Hayward","CA","Tel. 581-2050.Disco/light sh<Ml/mist machine/pool table/video games. Open everyday2pm-2am.","****","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Hayward, CA, United States",-122.0809964,37.6687665,"hayward, ca, usa"
"Gay and Lesbian Students/University of California at Irvine","Student Group","","checked","Irvine","CA","Office at ASUCI Irvine 92717 Tel. 833-7229. They sponsor speakers, dances, an annual Gay Awareness Week and a social group. With the Counseling Center they sponsor a very popular on going support group. Their office has a library of books and current magazines.","*","Organizations","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Irvine, CA, United States",-117.8265049,33.6845673,"irvine, ca, usa"
"Mainstreet","Bars","1460 S Coast Highway","","Laguna Beach","CA","Tel. 494-0056. Male-dominated.","**(MGM)","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Laguna Beach, CA, United States",-117.7853568,33.5427189,"laguna beach, ca, usa"
"The Ranch","Camp Grounds","11101 E Side Rd","","Hopland/Talmadge","CA","Tel.824-5352. Camping, swimming, hiking, star gazing, and bonfire. It's woman-owned. Special events in the summer.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Hopland/Talmadge, CA, United States",NA,NA,NA
"Fahrenheit 451","Bookstores","509 S Coast Highway","","Laguna Beach","CA","Gay literature and periodicals. They sell GAIA'S GUIDE.","*","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Laguna Beach, CA, United States",-117.7853568,33.5427189,"laguna beach, ca, usa"
"Mountain Mommas","Resort","","checked","Lake Arrowhead","CA","Tel. 656-0258. Enjoy an affordable weekend in beautiful Lake Arrowhead- all the comforts of home including unusual catered meals.","","","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Lake Arrowhead, CA, United States",-117.1892078,34.2483396,"lake arrowhead, ca, usa"
"Inn Tahoe","Resort","114 Tahoe Vista","","Lake Tahoe","CA","Mail to Box 114 Tahoe Vista; 95732. Location:7170 North Lake Boulevard Tel. 546-2444.A gay resort with frontage and a beach on the lake and lake- front rooms. Some kitchens, moderate rates, gay owned and operated. Very highly recommended.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Lake Tahoe, CA, United States",NA,NA,NA
"Coast Inn","Hotel/Motel","1401 S Coast Highway ","","Laguna Beach","CA","Tel.494-7588. Has two bars. Quite OK for gay women.","","","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Laguna Beach, CA, United States",-117.7853568,33.5427189,"laguna beach, ca, usa"
"Gay Community Services/Long Beach","Center","1409 E 4th St Suite H","","Long Beach","CA","Tel. 432-8047.A full service gay center staffed by really friendly, helpful people. Make this your first stop when moving to or visiting Long Beach. Counseling/referrals/volunteer support very welcome. Always extremely helpful to GAIA'SGUIDE.","***(**)","Organizations","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Long Beach, CA, United States",-118.1937395,33.7700504,"long beach, ca, usa"
"Metropolitan Community Church/Long Beach","Religious Groups","","checked","Long Beach","CA","Tel. 438-9781.Call for location of services, etc- to move in 1983","","","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Long Beach, CA, United States",-118.1937395,33.7700504,"long beach, ca, usa"
