"title","description","type","city","state","country","publication","year","notes","geocode.value","lon","lat","geoAddress"
"Ruby's Relief and Rescue","For current details check with Alaska Women's Reosurce Center. Women's coffeehouse.","Coffeehouses","Anchorage","AK","United States","Gaia's Guide",1981,"","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"The Cauldron","Tel.276-0592.Home-cooked food and live folk music. Open for lunch and dinner.","Restaurants","Anchorage","AK","United States","Gaia's Guide",1981,"","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Alaska Lesbians","","Groups","Anchorage","AK","United States","Gaia's Guide",1981,"","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Jakes Place","Tel.276-9663.""O.K for Wimmin if desperate""","Bars","Anchorage","AK","United States","Gaia's Guide",1981,"","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Gay Alaska","One year: $7.50. Very handy,non-sexist monthly.Political in orientation with lots of lesbian news and an events calander.","Publications","Anchorage","AK","United States","Gaia's Guide",1981,"","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Robert's Dining Room","Tel. 272-8315.","Restaurants","Anchorage","AK","United States","Gaia's Guide",1981,"","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Village Lounge and Disco","Tel. 276-2267.Separate women ’ s space on certain nights. Open: noon-4:30am M-F. 2pm-4:30am  weekends. Alternate phone number: 276-9160. Highly recommended.","Bars","Anchorage","AK","United States","Gaia's Guide",1981,"","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Anchorage Book Mart","Some gay titles.","Bookstore","Anchorage","AK","United States","Gaia's Guide",1981,"","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Upstairs","Get address locally--private members' club--might be just gay men.","Bars","Anchorage","AK","United States","Gaia's Guide",1981,"","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Hal's Place","Tel.276-9672.","Bars","Anchorage","AK","United States","Gaia's Guide",1981,"","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Gay Information Services","Tel. (907) 276-8129. Friday or Saturday from 8pm to midnight","Services","Anchorage","AK","United States","Gaia's Guide",1981,"","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Alaska Lesbians","Tel. (907) 278-9047.0pen:Monday to Friday, 9-5pm. Their publ:""Klondyke Kontact"", bimonthly. Includes events calender,local news,radio & TV.Requests input.","Centers","Anchorage","AK","United States","Gaia's Guide",1981,"","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"The Bread Factory","Naturalfoods tavern.","Restaurants","Anchorage","AK","United States","Gaia's Guide",1981,"","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Traveler's Inn","Tel.279-2663-Just gay men?","Bars","Anchorage","AK","United States","Gaia's Guide",1981,"","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"M.C.C. of Anchorage","Tel. (907) 272-1715. Worship Service:602 West 10th Ave. 24 hourtelephone s witchboard.A full range of social and religious activities.Lesbian participation.Their publ: ‘ Light of the North',includes a calander of events for M.C.C. activities,plus a very handy community and bar  guide titled ""Where its at"".Monthly.","Religious Groups","Anchorage","AK","United States","Gaia's Guide",1981,"","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Love Boutique","Some gay titles.","Bookstore","Anchorage","AK","United States","Gaia's Guide",1981,"","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Pier Street Annex","","Bars","Anchorage","AK","United States","Gaia's Guide",1981,"","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Antigone Books","Tel.(602)792-3715.Books,posters,crafts,cards from throughout the world.records,etc. Also —buttons, jewelry,greeting cards.Ticket outlet and informal referral services. They sell GAIA'S GUIDE","Bookstore","Tucson","AZ","United States","Gaia's Guide",1981,"","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Women's Center","Tel.792-1929.Very active women's center.","Women's Centers","Tucson","AZ","United States","Gaia's Guide",1981,"","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Womansplace Bookstore","Tel.(602) 956-0456.""Feminist and lesbian books,  newspapers, periodicals, records, buttons, greeting cards, stickers, jewelry,etc. Three mail order booklists-lesbian, feminist, non-sexist  children's.Send a 13c stamp for each list.We sell Gaia’sGuide.""","Bookstore","Phoenix","AZ","United States","Gaia's Guide",1981,"","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Roommate Finders","Tel.955-6662.""We maintain a gay roomate file"". 24 hours daily. ""Quick placement and low fees.""","Roommate Service","Phoenix","AZ","United States","Gaia's Guide",1981,"","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Mac Arthur Hotel","Tel.622-8867.Just gay men? Report back please.","Hotel","Tucson","AZ","United States","Gaia's Guide",1981,"","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Full Moon","Open:Mon-Fri. 10am-lam;Weekends noon-lam. Nitely disco plus live bands and gay community fund raisers.Very highly recommended.Opened in May 1978.","Bars","Phoenix","AZ","United States","Gaia's Guide",1981,"","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Center for Women","1el-26-2492.Referrals/drop-in/library.","Women's Centers","Phoenix","AZ","United States","Gaia's Guide",1981,"","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Santa Cruz Metropolitan Community Church","Tel.3:69719.The Christian chruch with an outreach to the gay community.--In this one, ""se habla Espanol.""","Religious Groups","Tucson","AZ","United States","Gaia's Guide",1981,"Counted notes as mentioning race because they noted Spanish language speakers - not sure if that's correct","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Free Spirit","Tel.(602) 966-5090. Gay services at Arizona State University. Switchboard, coffee houses, bar nites, newsletter. Helpline: 271-0125, Sat & Sun. nites from 8pm to midnight. ""Gay people helping gay people.""","Groups","Tempe","AZ","United States","Gaia's Guide",1981,"","Tempe, AZ, United States",-111.9400054,33.4255104,"tempe, az, usa"
"His Co. Disco","Tel.248-9580.Very popular big disco.","Bars","Phoenix","AZ","United States","Gaia's Guide",1981,"","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Gay Community Service","Tel.622-8868.","Organisation and Services","Tucson","AZ","United States","Gaia's Guide",1981,"","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Dignity/Tucson","Tel.745-1812.Gay and concerned Catholics. Alternate phone number: 297-6340.","Religious Groups","Tucson","AZ","United States","Gaia's Guide",1981,"","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Information and Referral","Tel.881-1794.Daily-9 to 5.","Services","Phoenix","AZ","United States","Gaia's Guide",1981,"","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Unlimited","(at Oak). Tel.(602)957-9929.","Bars","Phoenix","AZ","United States","Gaia's Guide",1981,"","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Sally's El Oasis","Tel. (602)456-9881.Big disco.","Bars","Huachuca","AZ","United States","Gaia's Guide",1981,"","Huachuca, AZ, United States",-110.3339678,31.6278703,"huachuca city, az 85616, usa"
"Harem","Tel.267-9938.","Bar/Restaurant","Phoenix","AZ","United States","Gaia's Guide",1981,"","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Casa de Roma","Tel.248-9624.","Show-Bars","Phoenix","AZ","United States","Gaia's Guide",1981,"","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"M.C.C.","Te.273-7000.Church:4035 East McDowell.","Religious Groups","Phoenix","AZ","United States","Gaia's Guide",1981,"","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"New Morning Cafe","Tel.279-6322. Open:Mon-Thurs. 11.30am-9.00pm;Fri & Sat. 11.30am-10.00pm. Natural food.","Restaurants","Phoenix","AZ","United States","Gaia's Guide",1981,"","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Arizona Gay News","Tel.(602)623-5268.Weekly gay newspaper--full of Arizona news and resources.","Publications","Tucson","AZ","United States","Gaia's Guide",1981,"","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"M.C.C. Tucson","Tel.(602) 748-8699. Regular meetings and social activities;temproary housing provided for women ony. Also dances, counselling and religious services. They sell GAIA'S GUIDE.","Religious Groups","Tucson","AZ","United States","Gaia's Guide",1981,"","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"El Torero","Tel.622-9534.Wonderful Mexican food--wines and beers. Open 5pm-midnight. Closed Tuesdays.","Restaurants","Phoenix","AZ","United States","Gaia's Guide",1981,"","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Jekyll's-The Last Culture","Te1.(602)622-1371. ”Tucson's gayest disco and showbar for gay men and women dedicated to having a good time.""Open: Sun-Thurs.4pm-lam;Prik Sat.4pm-3am(dancing,but no alcohol after 1am).Three live shows per week and disco nltely. Very,very highly recommended**","Bars","Tucson","AZ","United States","Gaia's Guide",1981,"","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Pier 7","""Large, woman-owred disco. X **# Women’s bands and tremendous potential."" Very highly recommended.","Bars","Phoenix","AZ","United States","Gaia's Guide",1981,"","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"""Help Line""","Tel.323-9373.24 hours.","Services","Tucson","AZ","United States","Gaia's Guide",1981,"","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Gay Information and Asistance/Phoenix","Tel.257-0350.Evenings-7pm-11pm.","Services","Phoenix","AZ","United States","Gaia's Guide",1981,"","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Women's Center","Tel.258 7 * — 9 groups,legal services,workshops,free alcohol counseling","Women's Centers","Phoenix","AZ","United States","Gaia's Guide",1981,"","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Sunpath Bookshop","Tel.265-8584. Women's books, children's books, outdoors, health","Bookstore","Phoenix","AZ","United States","Gaia's Guide",1981,"","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Arizona Women's Yellow Pages","$3.00 per year.Divided into three categories:!) Women 1 Business;2) Resources available to women;]) Women'! organisations.Very very handy and nighly recommended.","Directory","","AZ","United States","Gaia's Guide",1981,"",", AZ, United States",-111.0937311,34.0489281,"arizona, usa"
"Women's Line","Tel. 252-5152. Open: 2pm-10pm seven days. Telephone counseling,crisis coounceling,information and referals.","Services","Phoenix","AZ","United States","Gaia's Guide",1981,"","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Women's Center","","Women's Centers","Scottsdale","AZ","United States","Gaia's Guide",1981,"","Scottsdale, AZ, United States",-111.9216734,33.4948764,"scottsdale, az, usa"
"Back Pocket-Joshua Tree","Tel.622-6233. Big disco.","Bars","Tucson","AZ","United States","Gaia's Guide",1981,"","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Gay Information/Referral","Tel.881-1794. 9 to 5.","Services","Tucson","AZ","United States","Gaia's Guide",1981,"","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Car House","Bar/cafe/disco for gay women and men. Open daily at noon. Disco till 1am/weekends till 3am. Opened December, 1979.","Bars","Phoenix","AZ","United States","Gaia's Guide",1981,"","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Books Brothers, Ltd.","Tel.(602)326-3332.A new bookstore with a truly enormous range of gay and lesbian titles also  feminist books and much, much more. Open 9-9 Mon.Fri. and 9-6 on Saturdays.","Bookstore","Tucson","AZ","United States","Gaia's Guide",1981,"","Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Ozark Wimmin's Land Trust","An organization of wimmin in Missouri and Arkansas who want to make more wimmen's land available and used.","Land Trust","","AR","United States","Gaia's Guide",1981,"Listed under Arkansas, but notes give both Arkansas and Missouri as locations.",", AR, United States",-91.8318334,35.20105,"arkansas, usa"
"Women's Center","Tel.(501) 443-4998.Switchboard,Mon-Fri.9am-5pm. Their Publ: 'HARD LABOR'-quarterly newspaper.","Centers","","AR","United States","Gaia's Guide",1981,"",", AR, United States",-91.8318334,35.20105,"arkansas, usa"
"49'r Club","Tel. 761-/1966. Dancing, entertainment, pool table, pin-ball, food. Warm, friendly atmosphere. Open: Mon-Thurs.lOam-2am; weekends: 24 hours. Highly recommended.","Bars","North Hollywood","CA","United States","Gaia's Guide",1981,"","North Hollywood, CA, United States",-118.3877732,34.1866635,"north hollywood, los angeles, ca, usa"
"Growth House","Tel.787-1090. Offering: ""The Friday Night Club""--an alternative to the bars for gay women and men. Highly recommended.","Centers","Van Nuys","CA","United States","Gaia's Guide",1981,"","Van Nuys, CA, United States",-118.466222,34.2012166,"van nuys, los angeles, ca, usa"
"Oxwood Inn","Tel.997-9666. Entrance in the rear. (Private parking.)","Bars","Los Angeles","CA","United States","Gaia's Guide",1981,"","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"Sojourner","Tel.(213)433-5384.Books, gifts, cards, by, for and about women. Bulletin board and free monthly workshops. There’ s a large selection of lesbian titles including GAIA'S GUIDE.","Feminist Bookstore","Long Beach","CA","United States","Gaia's Guide",1981,"","Long Beach, CA, United States",-118.1937395,33.7700504,"long beach, ca, usa"
"Diamond Horseshoe","Tel.432-4126. Disco bar/women's nights.","Bars","Long Beach","CA","United States","Gaia's Guide",1981,"","Long Beach, CA, United States",-118.1937395,33.7700504,"long beach, ca, usa"
"Red Mill","Tel.432-2019.Beer and wine bar. ""Serving the gay community.""","Bars","Long Beach","CA","United States","Gaia's Guide",1981,"","Long Beach, CA, United States",-118.1937395,33.7700504,"long beach, ca, usa"
"Little Shrimp","Tel.494-4111. Piano bar.","Bars","Laguna Beach","CA","United States","Gaia's Guide",1981,"","Laguna Beach, CA, United States",-117.7853568,33.5427189,"laguna beach, ca, usa"
"Chatterton's","Tel.664-_a11pm Sun. Noon-9pm. ' hodicals: Open: Mon.-","Bookstore","Los Angeles","CA","United States","Gaia's Guide",1981,"","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"Green Gables Hotel","Tel.(714)325-5270. ""We are a woman’s hotel owned by women"". Swimming pool.","Hotel","Palm Springs","CA","United States","Gaia's Guide",1981,"","Palm Springs, CA, United States",-116.5452921,33.8302961,"palm springs, ca, usa"
"Palms","Tel.652-6188.Recommended.","Bars","Hollywood","CA","United States","Gaia's Guide",1981,"","Hollywood, CA, United States",-118.3266146,34.0907315,"hollywood, los angeles, ca, usa"
"Gay Community Center/Orange County","Tel.(714)534-3261.Hotline:(714)534-3280.Women's groups and social happenings. Referrals, counselling, library, newsletter, outreach. Many activities and sub-groups. Your essential contact 1n Orange County. Your best bet when new to Orange County. Hotline hours:6:30-10:30","Centers","Garden Grove","CA","United States","Gaia's Guide",1981,"","Garden Grove, CA, United States",-117.9379952,33.7742692,"garden grove, ca, usa"
"Driftwood Lounge","Tel.581-2050.Disco, light show and mist machine.","Bars","Hayward","CA","United States","Gaia's Guide",1981,"","Hayward, CA, United States",-122.0809964,37.6687665,"hayward, ca, usa"
"Wilde/Stein Democratic Club","Tel.(209)266-6067,Gay Democrats-women & men.","Political/Legislative","Fresno","CA","United States","Gaia's Guide",1981,"","Fresno, CA, United States",-119.7871247,36.7377981,"fresno, ca, usa"
"Center for Feminist Therapy","Tel.(213)393-9194.Lesbian therapists.","Counselling/Therapy","Santa Monica","CA","United States","Gaia's Guide",1981,"","Santa Monica, CA, United States",-118.4911912,34.0194543,"santa monica, ca, usa"
"Queen Mary","Drag shows. Recommended. Separate woman’s room.","Bars","Studio City","CA","United States","Gaia's Guide",1981,"","Studio City, CA, United States",-118.3952727,34.1435864,"studio city, los angeles, ca, usa"
"Seaworthy Women","Tel.(213)397-7728.Sailing adventures for women by private charter. Cruises and sailing classes. Write to them for full details.","Vacation & Recreation","Santa Monica","CA","United States","Gaia's Guide",1981,"","Santa Monica, CA, United States",-118.4911912,34.0194543,"santa monica, ca, usa"
"Whiskey Gulch Saloon","","Bars","Palo Alto","CA","United States","Gaia's Guide",1981,"","Palo Alto, CA, United States",-122.1430195,37.4418834,"palo alto, ca, usa"
"Farmer's Daughter","","Bars","Long Beach","CA","United States","Gaia's Guide",1981,"","Long Beach, CA, United States",-118.1937395,33.7700504,"long beach, ca, usa"
"Club 21","Tel.689-2102.","Bars","Pleasant Hill","CA","United States","Gaia's Guide",1981,"","Pleasant Hill, CA, United States",-122.0607963,37.9479786,"pleasant hill, ca, usa"
"Maypole","Tel.399-9705.Disco. Open 8pm weekdays/4pm Sundays I.D. required.","Bars","Santa Monica","CA","United States","Gaia's Guide",1981,"","Santa Monica, CA, United States",-118.4911912,34.0194543,"santa monica, ca, usa"
"Vermie's","Tel.(213)578-9359. Dancing, pool table. Local clientel- good atmosphere. Open: Mon.-Thurs.pm-midnight; Fri & Sat: noon-2am; Sun:Ncon-midnight. Very, very highly recommended.","Bars","Pasadena","CA","United States","Gaia's Guide",1981,"","Pasadena, CA, United States",-118.1445155,34.1477849,"pasadena, ca, usa"
"Lesbian Tide, Tide Publications","Tel.(213)839-7254.The most sophisticated lesbian publication in the world. Local and international news in depth. Photos, reviews, resources. $6. 00 per year. $8.00 for Canada and overseas. Bi-monthly.","Publications","Los Angeles","CA","United States","Gaia's Guide",1981,"","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"Westside","Tel.935-1274. Excellent 'homestyle' cooking. Gay clientel.","Restaurants","Los Angeles","CA","United States","Gaia's Guide",1981,"","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"Carriage Trade","More men than women but highly recommended. Excellent food.","Restaurants","Hollywood","CA","United States","Gaia's Guide",1981,"","Hollywood, CA, United States",-118.3266146,34.0907315,"hollywood, los angeles, ca, usa"
"Westside Bar","Tel.935-1274.""Plano bar, low key and friendly. Mostly gay men but quite good for women too."" Recommended","Bar/Restaurant","Los Angeles","CA","United States","Gaia's Guide",1981,"","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"Apache","Open 6pm-2am. Dance bar and restaurant.","Bar/Restaurant","Los Angeles","CA","United States","Gaia's Guide",1981,"","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"Blue Angel","","Bars","Rubdoux","CA","United States","Gaia's Guide",1981,"Unsure why Blue Angel is listed twice in two separate cities.","Rubdoux, CA, United States",-117.41762,33.9971988,"rubidoux, riverside, ca, usa"
"Integrity","Tel.931-8550","Religious Groups","Los Angeles","CA","United States","Gaia's Guide",1981,"","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"The Oracle","Tel.886-1268. They sell GAIA'S GUIDE.","Feminist Bookstore","Hayward","CA","United States","Gaia's Guide",1981,"","Hayward, CA, United States",-122.0809964,37.6687665,"hayward, ca, usa"
"Isla Vista Women's Center","","Women's Centers","Isla Vista","CA","United States","Gaia's Guide",1981,"","Isla Vista, CA, United States",-119.8609718,34.4133292,"isla vista, ca 93117, usa"
"Daily Double","Tel.578-9701. Pooltable, Juke box, club-like atmosphere. Open Sat &Sun:lpm-2an;Mon-Wed:5pm-midnight. Very, very highly recommended.","Bars","Pasadena","CA","United States","Gaia's Guide",1981,"","Pasadena, CA, United States",-118.1445155,34.1477849,"pasadena, ca, usa"
"The Jack's","Te1.265-5809. Food and cocktails.","Bars","Nevada City","CA","United States","Gaia's Guide",1981,"","Nevada City, CA, United States",-121.0160594,39.2615606,"nevada city, ca 95959, usa"
"Lesbians of Color","write Box 199.Pasadena.","Third World Group","Pasadena","CA","United States","Gaia's Guide",1981,"","Pasadena, CA, United States",-118.1445155,34.1477849,"pasadena, ca, usa"
"The Happy Hour","Tel. 537- 9079.Dinner and dancing. Cocktail hours, pool table and live bands. 4 highly recommended old-timer.","Bars","Garden Grove","CA","United States","Gaia's Guide",1981,"","Garden Grove, CA, United States",-117.9379952,33.7742692,"garden grove, ca, usa"
"Jett's Cafe & Art Haus","","Coffeehouses","Los Angeles","CA","United States","Gaia's Guide",1981,"","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"Chez Claude","Tel.(213)651-5578.","Restaurants","Los Angeles","CA","United States","Gaia's Guide",1981,"","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"N.O.W. (Sacramento Chapter)","Tel.443-3470. 24 hour switchboard service. Newsletter.","Groups","Sacramento","CA","United States","Gaia's Guide",1981,"","Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa"
"Pickwick Books","Tel. 469-8191. Gay titles.","Bookstore","Los Angeles","CA","United States","Gaia's Guide",1981,"","Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"Women's Community Resource Center","Tel.433-2183.Bisexual/Teminist group meets weekly.","Women's Centers","Long Beach","CA","United States","Gaia's Guide",1981,"","Long Beach, CA, United States",-118.1937395,33.7700504,"long beach, ca, usa"
"Feminist Women's Health Center","Tel.(415)444-7664.","Health Center","Oakland","CA","United States","Gaia's Guide",1981,"","Oakland, CA, United States",-122.2711639,37.8043514,"oakland, ca, usa"
"Sacramento Women's Center","Tel.442-4657.","Women's Centers","Sacramento","CA","United States","Gaia's Guide",1981,"","Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa"
"Belinda Terrace","Tel.(714)623-9474. Recommended.","Bars","Pomona","CA","United States","Gaia's Guide",1981,"","Pomona, CA, United States",-117.7499909,34.055103,"pomona, ca, usa"
"Blue Angel","Tel.683-9520.","Bars","Riverside","CA","United States","Gaia's Guide",1981,"Unsure why this is listed as having the same number as Circus Room in Redwood City. Different area code, or error?","Riverside, CA, United States",-117.3754942,33.9806005,"riverside, ca, usa"
"M.C.C.","Tel.(415)533-4848. They own their own church and have a lesbian pastor plus lesbian student ministers. The congregation is about 60% lesbian | and they have many social activities and dances as well as religious services and counseling. Worship 1s Sundays at 6pm & Thursdays at 7pm. Their publication is: KRYSALIS-monthly","Religious Groups","Oakland","CA","United States","Gaia's Guide",1981,"","Oakland, CA, United States",-122.2711639,37.8043514,"oakland, ca, usa"
"The Circle","Tel.(209)224-0440.Veryhighly recommended. Discos and long happy hours.","Bars","Fresno","CA","United States","Gaia's Guide",1981,"","Fresno, CA, United States",-119.7871247,36.7377981,"fresno, ca, usa"
"Old Town Bar & Grill","Very mixed.","Bars","Eureka","CA","United States","Gaia's Guide",1981,"Very mixed could refer to bar being friendly but not just lesbian, or could refer to race?","Eureka, CA, United States",-124.1636729,40.8020712,"eureka, ca, usa"
"Fools Rush Inn","Tel.(707 )937-5339.""Rustc cabins by the sea...we offer accomodation in a beautiful setting at reasonable price. We are gay-owned and operated.""","Resorts","Little River","CA","United States","Gaia's Guide",1981,"","Little River, CA, United States",-123.7899217,39.2717465,"little river, ca, usa"
"Sandwiched Inn","Tel.655-1202.Lunches and dinners. Woman owned and recommended.","Restaurants","Oakland","CA","United States","Gaia's Guide",1981,"","Oakland, CA, United States",-122.2711639,37.8043514,"oakland, ca, usa"
"Lesbian News","Tel.837-6874.L.A. oriented monthly in big newsletter form. It’s full of local resources and inf ormation-includes a very useful classifiedsection. It’s one of my own favorites. $5.00 per year donation to cover postage and handling. Now includes the extremely useful and unique: RESOURCE REFERENCE LIST FOR THE SOUTHERN CALIFORNIA WOMEN'S COMMUNITY, (updated monthly)","Publications","Culver City","CA","United States","Gaia's Guide",1981,"","Culver City, CA, United States",-118.3964665,34.0211224,"culver city, ca, usa"
"Lesbian Rights Committee/NOW","","Organisation and Services","Fresno","CA","United States","Gaia's Guide",1981,"","Fresno, CA, United States",-119.7871247,36.7377981,"fresno, ca, usa"
"For Yourself","Tel. 658-1904.","Sexual Boutique","Oakland","CA","United States","Gaia's Guide",1981,"","Oakland, CA, United States",-122.2711639,37.8043514,"oakland, ca, usa"
"Brave Bull","Tel.529-6712.","Bars","Modesto","CA","United States","Gaia's Guide",1981,"","Modesto, CA, United States",-120.9970014,37.6392595,"modesto, ca, usa"
"Lost & Found","Tel.371-7859.Pleasant atmosphere, good disco, pool table, and outdoor patio","Bars","Redondo Beach","CA","United States","Gaia's Guide",1981,"","Redondo Beach, CA, United States",-118.3884078,33.8491816,"redondo beach, ca, usa"
"GAF","Tel.(714)328-9079.Disco, lounge and game rooms. Open:9pm-2am seven nights a week. O.K. for gay women.","Bars","Palm Springs","CA","United States","Gaia's Guide",1981,"","Palm Springs, CA, United States",-116.5452921,33.8302961,"palm springs, ca, usa"
"Lesbian Visions","Tel.(415)497-1488.","Publications","Palo Alto","CA","United States","Gaia's Guide",1981,"","Palo Alto, CA, United States",-122.1430195,37.4418834,"palo alto, ca, usa"
