type,category
"cruising areas,book store,business",Bookstores and Retail
"cruising areas,book store,theatre",Other or Unclear
"cruising areas,theatre,book store",Arts and Culture
feminist restaurant,Restaurants and Cafes
feminist shop,Bookstores and Retail
groups - special interest groups,"Organizations, Groups, and Community Centers"
groups/organizations and services,"Organizations, Groups, and Community Centers"
hairdressers,Professional Services
health / clinics / counseling,"Organizations, Groups, and Community Centers"
"health centers/counseling and therapy, etc.","Organizations, Groups, and Community Centers"
"hotel,gym,cruising areas",Other or Unclear
"hotel,restaurant,gym",Restaurants and Cafes
"hotel,travel agency",Accommodations
"hotels/guest houses,etc",Accommodations
ice cream shop,Restaurants and Cafes
introduction services,Professional Services
lawyer,Professional Services
lesbian / gay bookstore,Bookstores and Retail
older lesbian groups,"Organizations, Groups, and Community Centers"
open house,"Organizations, Groups, and Community Centers"
pier,Cruising Areas
printers,Professional Services
religious,Religious and Spiritual
resort/rental cottages,Accommodations
resources and references,Publications
"restaurant,hotels",Restaurants and Cafes
sexuality boutiques,Adult Entertainment
social groups,"Organizations, Groups, and Community Centers"
sports,Fitness and Recreation
student group,"Organizations, Groups, and Community Centers"
theaters,Arts and Culture
tour operators,Professional Services
tv show,Arts and Culture
women's guest house,Accommodations
aa,Other or Unclear
accountants,Professional Services
adventure vacations,Professional Services
"attorneys and legal aid, etc.",Professional Services
"bars, etc.",Bars and Nightlife
"bars/clubs,book store,erotic shop",Bars and Nightlife
bath house,Bathhouses and Men's Services
bath houses,Bathhouses and Men's Services
"book store,bars/clubs,cruising areas",Bars and Nightlife
"book store,business,cruising areas",Bookstores and Retail
"book store,cruising areas,theatre",
"books, cards and gift shop",Bookstores and Retail
cab company,Professional Services
campground,Accommodations
camping and cabins,Accommodations
camping space,Accommodations
classes,Other or Unclear
coffeehouses and cafe / bars,Restaurants and Cafes
counseling services/therapy/massage,"Organizations, Groups, and Community Centers"
"cruising areas,religious institution",Religious and Spiritual
dating services,Professional Services
directory,Publications
"entertainment and recreation,cruisy areas",Other or Unclear
"erotic shop,bars/clubs",Bars and Nightlife
"erotic shop,cruising areas,book store",Adult Entertainment
"erotica,cruising areas",Adult Entertainment
event,Other or Unclear
feminist coffeehouse,Restaurants and Cafes
feminist shops,Bookstores and Retail
fitness center,Fitness and Recreation
food store,Bookstores and Retail
gay beach,Cruising Areas
gay centre,"Organizations, Groups, and Community Centers"
gay complex / resort,Accommodations
gay complex/resort,Accommodations
gay/lesbian restaurant,Restaurants and Cafes
graphic design,Professional Services
groups / organizations and services,"Organizations, Groups, and Community Centers"
guide book,Publications
"gym,bathhouses",Bathhouses and Men's Services
herbal medicine and psychic skills,"Organizations, Groups, and Community Centers"
"hotel,business",Accommodations
"hotel,restaurant,cruising areas",Restaurants and Cafes
hotel/bar/restaurant,Restaurants and Cafes
"hotels,restaurant",Restaurants and Cafes
"hotels,restaurant,bars/clubs",Restaurants and Cafes
hotlines / emergency services for women,Information and Emergency Services
"hotlines,community center/support group",
"hotlines,organization",Information and Emergency Services
hotlines/emergency services for women,Information and Emergency Services
insurance,Professional Services
lesbian / gay community center,"Organizations, Groups, and Community Centers"
lesbian organization,"Organizations, Groups, and Community Centers"
lesbian social club,"Organizations, Groups, and Community Centers"
massage,Bathhouses and Men's Services
metaphysical bookstore,Bookstores and Retail
music producers and promoters,Arts and Culture
newsletter,Publications
"nightclubs,cruisy areas",Bars and Nightlife
occult services,Other or Unclear
occult supplies,Bookstores and Retail
occult/astrology,Religious and Spiritual
"organization,religious institution",Religious and Spiritual
organizations and groups,"Organizations, Groups, and Community Centers"
organizations and groups - including special interests,"Organizations, Groups, and Community Centers"
"organizations,hotel",Accommodations
personal contacts/housing,Accommodations
private healthcare,"Organizations, Groups, and Community Centers"
professional association,"Organizations, Groups, and Community Centers"
"publications,organization",Publications
publications/bar guides,Publications
record shop,Bookstores and Retail
religious groups and helpline,
"religious institution,hotline",Information and Emergency Services
resort and bar,Bars and Nightlife
resort/hotel,Accommodations
"restaurant,bars/clubs,theatre",Restaurants and Cafes
"restaurant,cruising areas,bars/clubs",Restaurants and Cafes
"restaurants and cafes,cruising areas",Restaurants and Cafes
rooming house,Accommodations
rural communities,Other or Unclear
secretarial typing services,Professional Services
special interests,"Organizations, Groups, and Community Centers"
switchboard services,Information and Emergency Services
theater,Arts and Culture
"theatre,book store,cruising areas",Arts and Culture
third world group,"Organizations, Groups, and Community Centers"
university,Other or Unclear
vacations,Professional Services
women's coffeehouse,Restaurants and Cafes
women's land,"Organizations, Groups, and Community Centers"
women's land trust,"Organizations, Groups, and Community Centers"
"accommodation - guest houses, etc.",Accommodations
"accommodations,info lines and services",Other or Unclear
accountant,Professional Services
accounting and income tax services,Professional Services
acupuncture,"Organizations, Groups, and Community Centers"
alcohol and drug abuse centers,"Organizations, Groups, and Community Centers"
alcoholism center,"Organizations, Groups, and Community Centers"
"alcoholism, chemical dependency, drug abuse counseling","Organizations, Groups, and Community Centers"
alternative bookshop,Bookstores and Retail
"bar and cafes, etc.",Bars and Nightlife
bar/swimming pool,Bars and Nightlife
"bars/clubs,cruising areas,book store",Bars and Nightlife
"bars/clubs,cruising areas,theatre",Bars and Nightlife
"bars/clubs,hotel,baths",Bars and Nightlife
"bars/clubs,restaurant,bathhouses",Restaurants and Cafes
"bars/clubs,restaurant,cruising areas,bathhouses",Restaurants and Cafes
"baths,book store",Bathhouses and Men's Services
"baths,organizations",Other or Unclear
"baths,restaurant,bars/clubs",Restaurants and Cafes
"book store,community center/support group","Organizations, Groups, and Community Centers"
"book store,cruising areas,business",Bookstores and Retail
"book store,erotic shop,bathhouses",
"book store,erotic shop,theatre",Other or Unclear
"book store,publication",Bookstores and Retail
bookstore/coffeehouse,Restaurants and Cafes
bookstores / cafe,Restaurants and Cafes
boutique,Bookstores and Retail
business and trade organizations,"Organizations, Groups, and Community Centers"
business consultants,Professional Services
"business,book store,cruising areas",Bookstores and Retail
"business,theatre",Arts and Culture
cafe/gallery,Restaurants and Cafes
camp grounds,Accommodations
campground/retreat,Accommodations
camping for women,Accommodations
camping program,Accommodations
captained charted sailings,Professional Services
center/groups,"Organizations, Groups, and Community Centers"
centers / groups,"Organizations, Groups, and Community Centers"
centers and organizations,"Organizations, Groups, and Community Centers"
chemical dependency association,"Organizations, Groups, and Community Centers"
chemical dependency clinic,"Organizations, Groups, and Community Centers"
coffee house,Restaurants and Cafes
coffeehouse / cafe,Restaurants and Cafes
"community center/ support group,hotline","Organizations, Groups, and Community Centers"
"community center/ support group,religious institution","Organizations, Groups, and Community Centers"
"community center/support group,organization","Organizations, Groups, and Community Centers"
counseling / therapy / health centers,"Organizations, Groups, and Community Centers"
counseling / therapy / massage,"Organizations, Groups, and Community Centers"
counseling and health services --community organized,"Organizations, Groups, and Community Centers"
counseling and psychotherapy,"Organizations, Groups, and Community Centers"
counselling and therapy,"Organizations, Groups, and Community Centers"
counselling institute,"Organizations, Groups, and Community Centers"
"counselors / therapists / psychologists, etc.","Organizations, Groups, and Community Centers"
"cruising areas,bars",Bars and Nightlife
"cruising areas,community center/support group","Organizations, Groups, and Community Centers"
"cruising areas,organizations,hotel",Accommodations
"cruising areas,restaurant,hotel",Restaurants and Cafes
cultural organizations,Arts and Culture
dating service,Professional Services
delicatessen,Restaurants and Cafes
disco night,Bars and Nightlife
drug/alcohol services,"Organizations, Groups, and Community Centers"
educational institution,Other or Unclear
emergency services,Information and Emergency Services
"erotic shop,book store,theatre",Adult Entertainment
"erotic shop,theatre,cruising areas",Adult Entertainment
feminist bookstore / cafe,Restaurants and Cafes
feminist newspaper,Publications
feminist restaurant/bookstore,Restaurants and Cafes
feminist shop and bookstore,Bookstores and Retail
feminist social club and restaurant,Restaurants and Cafes
feminist stores,Bookstores and Retail
framing shop,Bookstores and Retail
gay bookstore,Bookstores and Retail
gay switchboard,Information and Emergency Services
gay/lesbian bookstores,Bookstores and Retail
gay/lesbian/feminist bookstore,Bookstores and Retail
general and alternative bookstores,Bookstores and Retail
general bookstores,Bookstores and Retail
goddess crafts,Bookstores and Retail
graphic consultant,Professional Services
groups/-- special interest groups,"Organizations, Groups, and Community Centers"
guest house referral agency,Professional Services
"gym,hotel",
hairdressing,Professional Services
healing center,"Organizations, Groups, and Community Centers"
health - centers / clinics / counselling / practitioners,"Organizations, Groups, and Community Centers"
health care,"Organizations, Groups, and Community Centers"
"health centers / counseling and therapy, etc.","Organizations, Groups, and Community Centers"
"health centers/counseling,etc","Organizations, Groups, and Community Centers"
"hotel,bathhouses,cruising areas",Bathhouses and Men's Services
"hotel,cruising areas,bathhouses",Bathhouses and Men's Services
"hotel,cruising areas,restaurant",Restaurants and Cafes
"hotel,restaurant,bathhouses",Restaurants and Cafes
"hotel,theatre",Accommodations
hotel/private disco club,Bars and Nightlife
hotel/resort,Accommodations
"hotels / guest houses, etc",Accommodations
hotels/motels,Accommodations
"hotlines,religious institution",Information and Emergency Services
ice cream parlour,Restaurants and Cafes
"info lines and services,accommodations",Information and Emergency Services
legal aid,Professional Services
lesbian aa,"Organizations, Groups, and Community Centers"
lesbian bookstore,Bookstores and Retail
lesbian land,"Organizations, Groups, and Community Centers"
lesbian library,Arts and Culture
lesbian photographers,Professional Services
lesbian space,"Organizations, Groups, and Community Centers"
medical practitioners,"Organizations, Groups, and Community Centers"
music,Arts and Culture
music festival,Arts and Culture
music production,Arts and Culture
occult,Religious and Spiritual
"occult, astrology",Religious and Spiritual
"organization,hotline",Information and Emergency Services
"organization,hotlines",Information and Emergency Services
organization/groups,"Organizations, Groups, and Community Centers"
"organizations,bars/clubs",Bars and Nightlife
organizations/coffehouse,Restaurants and Cafes
other bookshops / videos,Bookstores and Retail
other bookstores,Bookstores and Retail
other centers,"Organizations, Groups, and Community Centers"
other guest houses,Accommodations
other lesbian special interest groups,"Organizations, Groups, and Community Centers"
other services,Other or Unclear
outdoor trips,Fitness and Recreation
pamphlet and periodoical outlet,Publications
personal contact club,Bathhouses and Men's Services
political/legislative,"Organizations, Groups, and Community Centers"
private club,Bars and Nightlife
private parties,Bars and Nightlife
progressive bookstore,Bookstores and Retail
public relations,Professional Services
radio program and television,Arts and Culture
ranch,Other or Unclear
rape crisis,Information and Emergency Services
real estate agent,Professional Services
records/music,Bookstores and Retail
recreational retreat,Fitness and Recreation
religious groups and organizations,Religious and Spiritual
"religious institution,community center/ support group",
"restaurant,bars/clubs,bathhouses",Restaurants and Cafes
"restaurant,hotel,bars/clubs,cruising areas",Restaurants and Cafes
"restaurant,hotel,cruising areas",Restaurants and Cafes
"restaurant,hotel,travel service",Restaurants and Cafes
"restaurants and cafes,book stores or retail shops",Restaurants and Cafes
restaurants/supper clubs,Restaurants and Cafes
roommate matching services,Professional Services
salon tea,Restaurants and Cafes
sauna,Bathhouses and Men's Services
sea charters,Professional Services
self-defense school,Fitness and Recreation
sex shops,Adult Entertainment
social event,Other or Unclear
social group,"Organizations, Groups, and Community Centers"
spirituality center,Religious and Spiritual
surfing lessons,Fitness and Recreation
swimming pool/bar,Bars and Nightlife
tea dance,Bars and Nightlife
tea room/restaurant,Restaurants and Cafes
tea-room,Restaurants and Cafes
theater and music events,Arts and Culture
theater/arts centers,Arts and Culture
theater/restaurant,Restaurants and Cafes
"theatre,cruising areas,book store",Other or Unclear
therapists,"Organizations, Groups, and Community Centers"
vacation and recreation,Professional Services
vacation ranch,Accommodations
walking tour,Professional Services
wilderness trips,Fitness and Recreation
women only bed and breakfast guest house,Accommodations
women's club,"Organizations, Groups, and Community Centers"
women's garage,Other or Unclear
women's holiday rentals,Accommodations
women's music,Arts and Culture
women's radio,Arts and Culture
youth group,"Organizations, Groups, and Community Centers"
"accommodations,bars",Bars and Nightlife
"accommodations,bars/clubs",Bars and Nightlife
"accommodations,cruising areas",Accommodations
"accommodations,restaurants and cafes",Restaurants and Cafes
"accommodations,travel agency or tour operators",Accommodations
accomodation agency,Professional Services
activities for fat women,"Organizations, Groups, and Community Centers"
adventure,Fitness and Recreation
advertising agency,Professional Services
advertising specialties / promotional items / trophies and awards / buttons / t-shirts,Bookstores and Retail
aikido school,Fitness and Recreation
alcoholics anonymous,"Organizations, Groups, and Community Centers"
all-gay guest house,Accommodations
alternative / spirituality bookstore,Bookstores and Retail
alternative bookstore / cafe / local info.,Restaurants and Cafes
animal clinic,Other or Unclear
antiques,Bookstores and Retail
apartment locations,Accommodations
apartments,Accommodations
art and film gallery,Arts and Culture
art center,Arts and Culture
athletic association,Fitness and Recreation
"attorneys / legal services / legal referrals, etc.",Professional Services
attorneys/legal assistance,Professional Services
bakery,Restaurants and Cafes
bar / swimming pool,Bars and Nightlife
bar guide,Publications
bar night,Bars and Nightlife
bar/coffeehouse,Restaurants and Cafes
bargain shop,Bookstores and Retail
"bars,cafes",Bars and Nightlife
"bars,restaurants and cafes",Restaurants and Cafes
"bars/clubs,bathhouses,hotel",Bars and Nightlife
"bars/clubs,baths,hotel,restaurant",Restaurants and Cafes
"bars/clubs,book store,cruising areas",Bars and Nightlife
"bars/clubs,business,cruising areas",Bars and Nightlife
"bars/clubs,business,erotic shop",Bars and Nightlife
"bars/clubs,business,hotel,restaurant",Restaurants and Cafes
"bars/clubs,gym",Bars and Nightlife
"bars/clubs,hotel,bathhouses",Bars and Nightlife
"bars/clubs,hotel,restaurant,business",Restaurants and Cafes
"bars/clubs,organizations",Bars and Nightlife
"bars/clubs,restaurant,baths",Restaurants and Cafes
"bars/clubs,restaurant,business",Restaurants and Cafes
"bars/clubs,restaurant,hotels",Restaurants and Cafes
"bars/clubs,restaurant,theatre",Restaurants and Cafes
"bars/clubs,theatre,baths",Bars and Nightlife
"bars/clubs,theatre,restaurant",Restaurants and Cafes
"bars/clubs,travel agency",Bars and Nightlife
bars[3x],Bars and Nightlife
"bathhouses,bars/clubs,cruising areas",Bars and Nightlife
"bathhouses,bars/clubs,hotel",Bars and Nightlife
"bathhouses,restaurant",Restaurants and Cafes
"bathhouses,restaurant,hotel",Restaurants and Cafes
"baths,bars/clubs,cruising areas",Bars and Nightlife
"baths,bars/clubs,hotel",Bars and Nightlife
"baths,cruising areas",Bathhouses and Men's Services
"baths,theatre,bars/clubs",Bars and Nightlife
bed and breakfast inn,Accommodations
"book store,bars/clubs,erotic shop,business",Bars and Nightlife
"book store,bathhouses,erotic shop",Other or Unclear
"book store,cruising areas,erotic shop,theatre",Other or Unclear
"book store,cruising areas,religious institution",
"book store,cruising areas,theatre,business",Other or Unclear
"book store,erotic shop,bars/clubs",Bars and Nightlife
"book store,hotel",Other or Unclear
"book store,organization",Bookstores and Retail
"book store,theatre,baths",Other or Unclear
"book store,theatre,cruising areas,erotic shop",Other or Unclear
"book store,theatre,erotic shop,cruising areas",Other or Unclear
"book stores or retail shops,erotica",Adult Entertainment
bookcenter,Bookstores and Retail
bookstore cafe,Restaurants and Cafes
bookstore/art gallery,Arts and Culture
bookstore/cafe,Restaurants and Cafes
