"","title","description","type","address","city","state","country","publication","year","notes","unclear.address"
"34","Let's Be An Apple Pie","Tel 517 484 3475 and 353 9488 We now have a pool table a good one. ","Organization","427 Spring St","Detroit","MI","United States","Gaia's Guide",1977,"",""
"35","Joe Covello's ","At Larch. Tel 517 482 4577, Very highly recommended for gay women. ","Bar","533 535 East Michigan Ave","Detroit","MI","United States","Gaia's Guide",1977,"",""
"36","Portland Town Council","room 303 Tel 503 227 2765 Office, library, regular meetings, social and political activities, referrals and education. Their publication ""Gay Rights - 77 free upon request. ","Organization","320 SW Stark ","Portland","OR","United States","Gaia's Guide",1977,"",""
"37","Women's Place and Resource Center","Tel 503 234 7044 Lesbian rap groups and all woman's school. ","Organization","1915 NE Everett","Portland","OR","United States","Gaia's Guide",1977,"",""
"38","Tash's ","","Bar","316 W Burnside","Portland","OR","United States","Gaia's Guide",1977,"",""
"39","Rising Moon","Tel 503 223 0363","Bar","413 W Burnside","Portland","OR","United States","Gaia's Guide",1977,"",""
"40","Mountain Moving Cafe","Tel 503 236 7541 Women's nights open 11am-11pm","Feminist Coffeehouse","532 SE 39th ","Portland","OR","United States","Gaia's Guide",1977,"",""
"41","The Water Closet","at Washington","Bar","426 SW 4th ","Portland","OR","United States","Gaia's Guide",1977,"",""
"42","Incredble Edibles","Upstairs Great Atmosphere","Restaurants","208 NW Couch","Portland","OR","United States","Gaia's Guide",1977,"",""
"43","Zorba The Greek ","Tel 502 227 0867","Bar","626 SW Park","Portland","OR","United States","Gaia's Guide",1977,"",""
"44","The Barrel","Tel 823 0408","Bar","2406 N Fitzhugh","Dallas","TX","United States","Gaia's Guide",1977,"",""
"45","Olive Brance Saloon","Tel 823 0921","Bar","2822 McKinney Ave","Dallas","TX","United States","Gaia's Guide",1977,"",""
"46","T.J.'s","Entertainment pool table and dancing","Bar","3307 McKinney","Dallas","TX","United States","Gaia's Guide",1977,"",""
"47","Bachelor Quarters","","Bar","1225 Skiles","Dallas","TX","United States","Gaia's Guide",1977,"",""
"48","Act III","","Bar","3115 Live Oak","Dallas","TX","United States","Gaia's Guide",1977,"",""
"49","Entre Nuit","Tel 823 0423 rear door ","Bar","3116 Live Oak","Dallas","TX","United States","Gaia's Guide",1977,"",""
"50","Bon Soir","","Bar","4527 Cole","Dallas","TX","United States","Gaia's Guide",1977,"",""
"51","Crew Inn","","Bar","3220 Fitzhugh","Dallas","TX","United States","Gaia's Guide",1977,"",""
"52","Encore","","Bar","4516 McKinney","Dallas","TX","United States","Gaia's Guide",1977,"",""
"53","Lady Love","48203. ""Extremely pleasant interior, lots of plants and graphics. Small comfortable and very highly recommended."" New in may, 1978. ","Bars","5 W 7 Mile Rd","Detroit","MI","United States","Gaia's Guide",1979,"",""
"54","Amiga's","Tel. 891-9719. Open: 6pm-2am. ","Bars","19326 Conant","Detroit","MI","United States","Gaia's Guide",1979,"",""
"55","Casbah","48227. Tel. 837-6379. Open: 7pm-2am. Very popular women's bar. Disco on Wednesdays, Fridays and Saturdays. Pool table and other games. very highly recommended. ","Bars","14701 Plymouth Rd","Detroit","MI","United States","Gaia's Guide",1979,"",""
"56","Gold Coast","Tel. 891-9665. Open: 7pm-2am. ","Showbar","2971 E 7 Mile Rd","Detroit","MI","United States","Gaia's Guide",1979,"",""
"57","La Palais Bar","Tel. 964-8374. ","Bars","655 Beaubien","Detroit","MI","United States","Gaia's Guide",1979,"",""
"58","Menjo's","Big disco. Recommended. ","Bars","928 W McNichols","Detroit","MI","United States","Gaia's Guide",1979,"",""
"59","Hershelf Wimmins Books & Crafts","Highland Park; 48203. Tel. (313) 869-4045. Open: Wed-Sat. 2-7pm; Sun. noon-5pm. "" A collectively-run bookstore of books, posters, publications, records, buttons, t-shirts for and by women. Also, a resource file, newsletter and calendar of local events. Childcare provided for all work and events."" Lesbians are involved in the running of the store and they invite all lesbians to the events they sponsor. ","Feminist Bookstore","2 Highland","Detroit","MI","United States","Gaia's Guide",1979,"",""
"60","Portland Town Counsil","Room 506; 97204. Tel. (503) 227-2765. Office, library, regular meetings, social and political activities, referrals and education. Their publ: 'Gay Rights' free upon request, has monthly events calendar. ","Organization and Service","320 SW Stark ","Portland","OR","United States","Gaia's Guide",1979,"",""
"61","Women's Place and Resource Center","97232. Tel. (503) 234-7044. Lesbian rap groups and all women school. ","Organization and Service","1915 NE Everett","Portland","OR","United States","Gaia's Guide",1979,"",""
"62","Rising Moon ","97209. Tel. 223-0363. Open: 6:30pm-2:30am daily. ""We serve a variety of sandwiches, including a vegie, fruit juices, chips, etc. We have disco dancing Friday and Saturday nites from 9:30pm (50 cent cover charge), 2 pool tables (free pool between 6:30 and 8:30 pm Friday and Saturday nites and all nite Sundays), pin ball, football. We do community benefits, dance marathons and sponsor a softball team. Occasional entertainment. We are a pretty mellow bar during the week and usually crowded at weekends because of the disco. We have a cross-section of women from political to professional. We feel that women can be as comfortable here as they choose to be."" Highly recommended. ","Bars","413 W. Burnside","Portland","OR","United States","Gaia's Guide",1979,"",""
"63","Darcelle XV Tavern ","Tel. 222-5338. Open: 11am-2:30am Mon-Fri; 4:30pm-2:30am Sat and Sun. Shows. ","Bars","208 NW 3rd St","Portland","OR","United States","Gaia's Guide",1979,"",""
"64","Magic Garden","","Bars","217 NW 4th Ave","Portland","OR","United States","Gaia's Guide",1979,"",""
"65","Wilde Oscar's ","(Bar/Restaurant), 318 SW 3rd Avenue; 97201. Tel. 223-8620. Open: Mon-Fri: 11am-1am; Sat: Noon-2:30am; Sunday; 4pm-midnite. ""We serve high quality, varied menu. Each order is done individually. Such specialities as French onion soup, English pork pies, beef cornish pasties and hot seafood sandwiches. Pool table. Outdoor courtyard in warm weather. Chequers, chess and cribbage. Wilde Oscar's specializes in good pub-style food mellow music (folk, classical, jazz) and a highly conversational, relaxed atmosphere. We boast a vintage turn-of-the-century oak bar in tasteful ambience."" Gay community minded and very highly recommended. ","Restaurants","318 SW 3rd ave","Portland","OR","United States","Gaia's Guide",1979,"",""
"66","Rhondee's ","","Restaurants","1014 SW Stark","Portland","OR","United States","Gaia's Guide",1979,"",""
"67","Dahl & Penne's  ","(at Alder). Tel. 228-7469. Shows, pin ball, pool table, future plans include stage shows. ","Bars","604 SW 2nd ","Portland","OR","United States","Gaia's Guide",1979,"",""
"68","Zorba's ","97205. Tel. 227-0867. Open: 6pm-2:30am. ""My establishment is mixed gay women and men and that's the way it should be in all gay bars. We are all in this gay life together and we should should work together..."" No full dinners as yet, just sandwiches for now. Dancing, pool table, future plans include stage shows. ","Bars","626 SW Park Ave","Portland","OR","United States","Gaia's Guide",1979,"",""
"69","Mountain Moving Cafe","97215. Tel. 236-7541. Open: Thurs Sun: 11am-11pm; Sunday Brunch: 10am-1pm. ""Nice atmosphere, live music and assorted types of entertainmetn. We welcome gay people- we are a collective of lesbian women."" Vegetarian menu, dancing, films, speakers, poetry kids nite (Fridays). ","Feminist Coffeehouse","532 SE 39th St","Portland","OR","United States","Gaia's Guide",1979,"",""
"70","The Embers","","Restaurants","739 SW Park","Portland","OR","United States","Gaia's Guide",1979,"",""
"71","A Woman's Place Bookstore","97205. Tel. (503) 226-0848. ""We sell books periodicals, posters, records, buttons, notecards and more. Also, a free lending library; referrals and bulletin board with monthly newsletter, bookvan; space for women to enjoy but since we are a business, law says we cannot turn men away though sometimes we do."" Their newsletter: 'Women's Place', monthly. ","Bookstores","1300 SW Washington","Portland","OR","United States","Gaia's Guide",1979,"",""
"72","Portland Thrift Center","(S.E. 26th and Clinton). Tel. 232-2699. ""We have a huge supply of clothing, books, albums, small appliances, household items.""","Shop","4609 11 SE Hawthorne","Portland","OR","United States","Gaia's Guide",1979,"",""
"73","T.J.'s","Tel. 526-9368. Entertainment, pool table, dancing. ","Bars","3307 McKinney","Dallas","TX","United States","Gaia's Guide",1979,"",""
"74","The Old Plantation","Tel. (214) 651-1988. A super-disco. Recommended. ","Bars","1807 N Hardwood","Dallas","TX","United States","Gaia's Guide",1979,"",""
"75","Sassy's","Recommended. ","Bars","4516 McKinney","Dallas","TX","United States","Gaia's Guide",1979,"",""
"76","Jug's ","","Bars","3218 N Fitzhugh","Dallas","TX","United States","Gaia's Guide",1979,"",""
"77","Entre Nuit","(rear door). Tel. 823-0423. ","Bars","3116 Live Oak","Dallas","TX","United States","Gaia's Guide",1979,"",""
"78","Crews Inn","Tel. 526-9320. ","Bars","3220 Fitzhugh","Dallas","TX","United States","Gaia's Guide",1979,"",""
"79","Bon Soir","","Bars","4527 Cole","Dallas","TX","United States","Gaia's Guide",1979,"",""
"80","GAYLINE","Tel(313)315-4180.Daily recorded news events.","Services","write, 940 West Mc Nichols","Detroit","MI","United States","Gaia's Guide",1981,"",""
"81"," Lady Love","Extremely pleasant interior, lots of plants and graphics. Small, comfortable and highly recommended. Sunday brunch: noon-3pm.","Bars","5, West Seven Mile","Detroit","MI","United States","Gaia's Guide",1981,"",""
"82","Amigas","","Bars","19326 Conant","Detroit","MI","United States","Gaia's Guide",1981,"",""
"83","Escape Disco Lounge","","Bars","15606 Joy","Detroit","MI","United States","Gaia's Guide",1981,"",""
"84","Gold Coast","","Bars","2971 East 7 Mile Road","Detroit","MI","United States","Gaia's Guide",1981,"",""
"85","Hamburger Mary’s","highly recommended good, gay restaurant.","Restaurants","—corner of South West 9th/Taylor","Portland","OR","United States","Gaia's Guide",1981,"",""
"86","Dahl & Penne's","Tel.228-7469.","Bars","604 S.W. 2nd (at Adler)","Portland","OR","United States","Gaia's Guide",1981,"",""
"87","Jonah's","Tel.245-2188.","Restaurants","7425 South West Barbur","Portland","OR","United States","Gaia's Guide",1981,"",""
"88","Kachina's","""Mixed drinks/pool
table/pin-ball — good music and excellent food.""","Bars","1131 South West Stark","Portland","OR","United States","Gaia's Guide",1981,"",""
"89","The Embers","Tel.223-8620.","Restaurants","739 S.W. Park","Portland","OR","United States","Gaia's Guide",1981,"",""
"90","Wildes Oscar's","Tel. 223-8620.Open air theater plus women’s groups.","Restaurants","318 S.W. 3rd Avenue, 97201","Portland","OR","United States","Gaia's Guide",1981,"",""
"91","Portland Town Council","Tel. (503) 277-2765. The emphasis is on the political: gay civil rights/military and veterans rights included. Their publiction is OREGON GAY RIGHTS REPORT Membership 1s $20.00 per year or just $5.00 for the publication.","Organisation and Services","320 S.W. Stark, 97204","Portland","OR","United States","Gaia's Guide",1981,"",""
"92","Aaron's Place","Tel. 232-7839. Lunch/dlnner/fireplace and pool tables. Disco 9pm- 2:30am. Gay women and men. Recommended. After hours dancing and","Bar/Restaurant","South East 35th Place and Division","Portland","OR","United States","Gaia's Guide",1981,"",""
"93","Women's Place & Resource Centre","Tel.(503)234-7044.","Organisation and Services","1915 N.E. Everett, 97323","Portland","OR","United States","Gaia's Guide",1981,"",""
"94","Roxy Heart's","A highly recommended good, gay restaurant.","Restaurants","1121 South West Stark","Portland","OR","United States","Gaia's Guide",1981,"",""
"95","Metropolitan Community Church/Portland","Tel.(503)281-8868.The Christian Church with an outreach to the gay community. Social activities as well as religious counseling and referrals. Their publications is: THE CHALICE and they sell GAIA'S GUIDE. ","Groups","N.E. 24th & Broadway, 97232","Portland","OR","United States","Gaia's Guide",1981,"",""
"96","Rafter’s","Gay disco + EMBERS Bar & Lounge","Bars","-corner Park/Yamhill","Portland","OR","United States","Gaia's Guide",1981,"",""
"97","A Woman’s Place Bookstore","Tel. (503)226-0848. Books plus periodicals, buttons, posters, records. Community referral center with bulletin board and free lending library. A good place to go when new to the scene in Portland. They sell GAIA’S GUIDE.","Feminist Bookstore","1300 South West Washington, 97205","Portland","OR","United States","Gaia's Guide",1981,"",""
"98","Mildred's Palace","An after hours disco for under 21s.","Bars","918 South West Yamhill","Portland","OR","United States","Gaia's Guide",1981,"",""
"99","Brian Thomas Books","Tel.222-2934.General bookstore with a separate section for
women’s books and one for gay books. Gallery on the second floor. Open Mon-Sat. 9am-lOprajSun. nocn-opm. Also mail order service.","Bookstore","921 South West Morrison, 97205","Portland","OR","United States","Gaia's Guide",1981,"",""
"100","Metropolis","Tel.(503)223- 3438.The only gay place in Portland where gay people under 21 are allowed to go.""Many lesbian mothers come here with their teenage children."" Disco +special lounge section selling beer & wine for 21s & over. They sell GAIA'S GUIDE and are highly recommended.","Bar/Restaurant","One, Southwest Third, 92709","Portland","OR","United States","Gaia's Guide",1981,"",""
"101","Rhondee’s"," Tel.223-8620.","Restaurants","1014 South West Stark","Portland","OR","United States","Gaia's Guide",1981,"",""
"102","Magic Garden","Tel.(503)234-7044.","Bars","217 N.W. 4th Avenue","Portland","OR","United States","Gaia's Guide",1981,"",""
"103","Commodore Hotel","Tel. 223-1686. Daily and weekly rates also PLENTY GOOD GRILLE IN BAR
breakfast, lunch dinner and full salad bar.","Hotel","1609 South West Morrison","Portland","OR","United States","Gaia's Guide",1981,"",""
"104","214 Tavern","Tel. 224-8111. Pizza, beer, wine and over 6000 original antique postcards for sale. ""Everyone Welcome!""","Bars","214 Burnside","Portland","OR","United States","Gaia's Guide",1981,"",""
"105","Sunnyside Tavern","Tel.234-4118.","Bars","3330 South East Belmont","Portland","OR","United States","Gaia's Guide",1981,"",""
"106","Darcelle XV Tavern","Tel.222-5338.","Bars","208 N.W. 3rd Street","Portland","OR","United States","Gaia's Guide",1981,"",""
"107","Fogelman's","Afterhours: for gay
people only!","Restaurants","816 South West 5th","Portland","OR","United States","Gaia's Guide",1981,"",""
"108","Half Moon Tavern","Tel.227-3367.","Bars","122 South West Yamhill","Portland","OR","United States","Gaia's Guide",1981,"",""
"109","Portland Thrift Center","Tel.232-2688","Store","4609/11 S.E. Hawthorne","Portland","OR","United States","Gaia's Guide",1981,"",""
"110","Somebody's Place","","Bars","728 South West Ninth","Portland","OR","United States","Gaia's Guide",1981,"",""
"111","Bon Soir","Tel.(214)651-1988","Bars","4527 Cole","Dallas","TX","United States","Gaia's Guide",1981,"",""
"112","Crews Inn","Tel.526-9320.","Bars","3220 Fitzhugh","Dallas","TX","United States","Gaia's Guide",1981,"",""
"113","Encore II","Tel. (214) 526- 9328.Dancing/pool tables and other games. They have occalsonal entertainment and prefer a woman-only clientel — they are very highly recommended and sell GAIA’S GUIDE. Open 7 days a week: 1pm-2am. Disco from 9pm","Bars","4516 McKinney","Dallas","TX","United States","Gaia's Guide",1981,"",""
"114","Gas Pipe","Tel.526-5982.Love products and paraphanelia","Headshop","4435 Naple","Dallas","TX","United States","Gaia's Guide",1981,"",""
"115","The Old Plantation","Tel.(214)651-1988.","Bars","1807 N.Harwood","Dallas","TX","United States","Gaia's Guide",1981,"",""
"116","Dimension III","Tel.741-0300.","Bars","2609 Pearl St.","Dallas","TX","United States","Gaia's Guide",1981,"",""
"117","Entre Nuit","Tel.823-0423","Bars","3116 Live Oak","Dallas","TX","United States","Gaia's Guide",1981,"",""
"118","Sassy’s","Tel.526-9368","Bars","4516 McKinney","Dallas","TX","United States","Gaia's Guide",1981,"",""
"119","Baja Sam’s","","Bars","2508 Maple","Dallas","TX","United States","Gaia's Guide",1981,"",""
"120","M.C.C./Dallas","Tel. (214)526-6221","Religious Groups","2701 Reagan","Dallas","TX","United States","Gaia's Guide",1981,"",""
"121","Jug’s","Tel.526-9582","Bars","4527 Cole","Dallas","TX","United States","Gaia's Guide",1981,"",""
"122","Magnolia’s","Tel.522-9611.","Bars","3914 Cedar Springs","Dallas","TX","United States","Gaia's Guide",1981,"",""
"123","T.J's","Tel.526-9368.","Bars","3307 McKinney","Dallas","TX","United States","Gaia's Guide",1981,"",""
"124","Lady's Love Disco","Tel. 892 6522. Extremely pleasant interior lots of plants and graphics. Small comfortable and highly recommended. Sunday brunch noon-3pm. ","Bars","5 W 7 Mile","Detroit","MI","United States","Gaia's Guide",1983,"",""
"125","Amigas","Tel. 891 9795. Disco. Woman DJ on weekends. Open 7pm-2am (located three blocks North of 7 Mile Drive). 'Older crowd, role playing and the neighborhood is BAD.'","Bars","19326 Conant","Detroit","MI","United States","Gaia's Guide",1983,"",""
"126","Gigi's ","Tel. 584 6525. 3 blocks east of Southfield and there is a disco. Upper deck for men, lower deck for women. Upper deck open from 2pm-2am. Bar for women opens at 8pm on Monday, Friday and Saturday. Friday night is the 'Gay Go-Go Gi~s·","Bars","16920 W Warren","Detroit","MI","United States","Gaia's Guide",1983,"",""
"127","Tiffany's ","Mailing address PO Box 48303 17346 Woodward Ave (nr 6 Mile) Tel 956 8326. 2pm-2:30am.","Bars","17346 Woodward Ave","Detroit","MI","United States","Gaia's Guide",1983,"",""
"128","The Deck","Pleasant, congenial neighborhood-type bar. Open 12 noon. ","Bars","14901 E Jefferson Ave","Detroit","MI","United States","Gaia's Guide",1983,"",""
"129","Incognito","Tel. 892 9303.","Bars","441 E 7 Mile","Detroit","MI","United States","Gaia's Guide",1983,"",""
"130","Menjo's ","Popular disco with outdoor patio in the summer. Women mostly on Sunday. ","Bars","928 W McNichols","Detroit","MI","United States","Gaia's Guide",1983,"",""
"131","The Underground","Tel. 341 4423. Find it at the corner of Greenfield. Gay women. Disco: dinner and breakfast. Open 8pm-2am. Until 4am weekends. Recommended. (Slightly older crowd'.)","Bars/Restaurants","1553 W 8 Mile Dr","Detroit","MI","United States","Gaia's Guide",1983,"",""
"132","Aruba","Tel. 893 8460. Large game room/Californian decor. Women always welcome. ","Bars","99 W 7 Mile","Detroit","MI","United States","Gaia's Guide",1983,"",""
"133","Chosen Books","48203. Alternative bookstore with gay and lesbian titles. They sell GAIA'S GUIDE.","Bookstores","19400 Alcoy","Detroit","MI","United States","Gaia's Guide",1983,"",""
"134","The Back Stage Deli","Tel. 892 9645. An Excellent and friendly restaurant near the bars. ","Restaurant","1020 W 7 Mile ","Detroit","MI","United States","Gaia's Guide",1983,"",""
"135","Crew's Inn","Restaurant/bar combined. Dancing and good food 24 hours. Lots of women at weekends. ","Bars/Restaurants","950 W McNichols","Detroit","MI","United States","Gaia's Guide",1983,"",""
"136","Club 927","Tel. 231-1606. Operated by gay woman. Game room, pool
tables. Basically disco music. DJ at weekends. Flo\\ restaurant. Live entertainment, video
games. Holds 150-175 people. Open 7 days a week 2pm-2,30am and till 4am Friday and Saturday (open for breakfast). Highly recommended.","Bars","927 S.E. Morrison","Portland","OR","United States","Gaia's Guide",1983,"",""
"137","Wilde Oscar","Tel. 223-8620. An extremely unique bar and
restaurant with an outdoor patio and open-air theater - woman's groups, very special
happenings like weekend cabarets and art shows. Community minded and 'vary hospitable'.
A highly recommended old-timer open 11 am-1 am daily.","Bar/Restuarant","318 S W 3rd Ave","Portland","OR","United States","Gaia's Guide",1983,"",""
"138","Dahl & Penne's","Tel. 228-7469. Basically a man's bar. Pool tabla,
dancing, show bar restaurant. Beer garden. During the week it's about 5% gay
women and weekends about 20% gay women. It's open from 7am-2.30am 7 days a weak.
The shows which are Friday and Saturday at 9pm and 11 .30pm are free.","Show Bar","604 SW Second","Portland","OR","United States","Gaia's Guide",1983,"",""
"139","Portland Women's Counseling Collective","Tel. 233-1759.","Centers","410 South East 12th","Portland","OR","United States","Gaia's Guide",1983,"",""
"140","Darcelle XV Tavern","Tel. 222-5338. Female impersonation shows.
Monday is burlesque night $5.00 cover. 'Incredibly delightful show bar but so popular that it's
not all gay now. Lots of people go but still recommended.'","Show Bar","208 NW Third St","Portland","OR","United States","Gaia's Guide",1983,"",""
"141","A Woman's Place Bookstore","Tel. 236-3609. Books plus
periodicals, buttons, posters, records, community referral canter with a bulletin board and free
lending library. They publish an excellent newspaper which costs $0.25 and they sell GAIA'S
GUIDE. A good place to start out when you first hit Portland.","Bookstores","2349 S E Ankeny","Portland","OR","United States","Gaia's Guide",1983,"",""
"142","Chuckles","Tel. 223-2372. Juke box. Food is served. Pool
table. Clientele: all gay and 40% women. Open 7 days a week and recommended.","Bars","1810 North West Lovejoy Street","Portland","OR","United States","Gaia's Guide",1983,"",""
"143","JOQ's Tavern","Tel. 287-4210.
Neighborhood bar for gay men and women, inter racial. Video games, pool table, no dancing.
A real friendly place and recommended.","Bars","1422 North East Broadway","Portland","OR","United States","Gaia's Guide",1983,"",""
"144","D&R's Studio West","No Phone Listing. ","Bars","1532 SW Morrison","Portland","OR","United States","Gaia's Guide",1983,"",""
"145","Fogelman's","No Phone Listing. After hours: for gay people only!","Restaurant","816 SW Fifth","Portland","OR","United States","Gaia's Guide",1983,"",""
"146","Hamburger Mary's","Tel. 223-0900 (Second location) 1441 NE Broadway Tel. 287-7715. Open 11am-12 midnight 7 days a weak. Bulletin board.","Restaurant","840 SW Park Avenue","Portland","OR","United States","Gaia's Guide",1983,"",""
"147","Wilde Oscar","Tel. 223-8620. An unique bar and restaurant with an outdoor patio and open-air theater - women's groups, very special
happenings like weekend cabarets and art shows. Community minded and 'very hospitable'.
A highly recommended old-timer open 11 am-1 am daily.","Bar/Restuarant","318 S W 3rd Ava","Portland","OR","United States","Gaia's Guide",1983,"",""
"148","Oregon Gay Archives","No Phone Listing.  No 506","Archives","320 SW Stark","Portland","OR","United States","Gaia's Guide",1983,"",""
"149","Jonah's Galley & Pub","Tel. 245-2188. Casual,
intimate, and relaxing. Steak and seafood. Brunch and dinner. Lunch 11-4.30 Dinner 4.30-11.
Sunday Champagne Brunch - recommended.","Restaurant","7425 SW Barbur Blvd","Portland","OR","United States","Gaia's Guide",1983,"",""
"150","Hot Potata Cafe","Tel. 223-7573. Gay run,
the food is _good and the waiters are very helpful, they even found us a place to stay.' Open
11am-10pm.","Restaurant","13 St SW","Portland","OR","United States","Gaia's Guide",1983,"",""
"151","C C Slaughters","Tel. 248-9135. Country and Western Bar and Restaurant. Pinball. Open 11am-2.30am daily. Clientale mostly gay and about 15%
gaywomen.","Bar/Restuarant","1014 SW Stark","Portland","OR","United States","Gaia's Guide",1983,"",""
"152","Old Wives' Tales","Tat.
238-0470. Saturday and Sunday Brunch/Salad Bar. Fine desserts and expresso/beer and
wine. Children's playroom/Meeting and Banquet room. Featuring works of women musicians'.
artists and writers. Browsing library. Open every day; Mon-Thurs 11.30am-10pm, Friday
11.30am-11 pm. Sat 9am-11 pm, Sun. 9am-10pm. Be sure to say hi to Holly Hart from GAIA","Bar/Restuarant","1300 East Burnside","Portland","OR","United States","Gaia's Guide",1983,"",""
"153","Old Wives' Tales","Tel. 238-0470. Saturday and Sunday Brunch/Salad Bar. Fina desserts and expresso/beer and
wine. Children's playroom/Meeting and Banquet room. Featuring works of women musicians,
artists and writers. Browsing library. Open every day; Mon-Thurs 1 l.30am-10pm, Fri
11.30am-11 pm. Sat 9am-11 pm, Sun. 9am-10pm. Be sure to say hi to Holly Hart from GAIA.","Bar/Restuarant","1300 East Burnside","Portland","OR","United States","Gaia's Guide",1983,"",""
"154","The Hunt Pub","Tel. 227-1324. Conversation bar. Pool table","Bars","1027 SW Morrison","Portland","OR","United States","Gaia's Guide",1983,"",""
"155","The Other Side of Midnight","Tat. 233-0755. Three
pool tablas, and 3 pin-ball machines, wide screen TV. Featuring: hot and cold sandwiches,
cracker and cheese board, and home-made soups. Summer beer gardenI.t 's owneda nd
operated by women for woman. Hara are the directions: located under the eastbound
off-ramp of the Hawthome Bridge. Park your car beneath the bridge. Open: 6pm-1am Sunday
through Thursday and till 2.30am Fri & Sat. Vary highly recommended.","Bars","426 SE Hawthome Blvd","Portland","OR","United States","Gaia's Guide",1983,"",""
"156","Looking Glass Books","Tel. 227-4760. Gay, lesbian and feminist titles.
Bulletin board. Children's section. Open Monday, Friday and Saturday 1 Oam-6.30pm. Tuesday
to Thursday 1 Oam-5.30pm. Closed on Sunday.","Bookstores","421 SW Taylor St","Portland","OR","United States","Gaia's Guide",1983,"",""
