"city","state","country"
"Dana Point","CA","United States"
"Danbury","CT","United States"
"Dania","FL","United States"
"Danville","IL","United States"
"Danville","VA","United States"
"Darien","CT","United States"
"Davenport","IA","United States"
"Davis","CA","United States"
"Dayton","OH","United States"
"Daytona","FL","United States"
"Daytona Beach","FL","United States"
"De Kalb","IL","United States"
"Decanso","CA","United States"
"Decatur","AL","United States"
"Decatur","IL","United States"
"Deer Park","NY","United States"
"Dekalb","IL","United States"
"Denton","TX","United States"
"Denver","CO","United States"
"Deptford","NJ","United States"
"Des Moines","IA","United States"
"Des Plaines","IL","United States"
"Descanso","CA","United States"
"Detroit","MI","United States"
"Detroit Lakes","MN","United States"
"Dewey Beach","DE","United States"
"Dickenson","ND","United States"
"Dillon","SC","United States"
"Dixmore","IL","United States"
"Dodson","LA","United States"
"Donna","TX","United States"
"Dorchester","MA","United States"
"Dothan","AL","United States"
"Douglas","MI","United States"
"Douglas","WY","United States"
"Dover","DE","United States"
"Dover","NJ","United States"
"Duarte","CA","United States"
"Dubuque","IA","United States"
"Duluth","MN","United States"
"Duncan Mills","CA","United States"
"Duncansville","OR","United States"
"Duncansville","PA","United States"
"Dunkirk","NY","United States"
"Durango","CO","United States"
"Durham","NC","United States"
"Durham","NH","United States"
"Dutch Flat","CA","United States"
"Eagle Rock","CA","United States"
"East Barnet","VT","United States"
"East Greenwich","RI","United States"
"East Hampton","NY","United States"
"East Islip","NY","United States"
"East Lansing","MI","United States"
"East Meadow","NY","United States"
"East Middlebury","VT","United States"
"East Northport","NY","United States"
"East Orange","NJ","United States"
"East Patterson","NJ","United States"
"East St Louis","IL","United States"
"East St. Louis","IL","United States"
"East Stroudsberg","PA","United States"
"Easthampton","MA","United States"
"Easthampton","NY","United States"
"Easton","PA","United States"
"Eastport","MD","United States"
"Eatontown","NJ","United States"
"Echo Park","CA","United States"
"Edison","NJ","United States"
"Edmonds","WA","United States"
"El Cajon","CA","United States"
"El Centro","CA","United States"
"El Monte","CA","United States"
"El Paso","TX","United States"
"El Segundo","CA","United States"
"El Sobrante","CA","United States"
"Elgin","IL","United States"
"Elizabeth","NJ","United States"
"Elizabeth","PA","United States"
"Ellensburg","WA","United States"
"Ellsworth","ME","United States"
"Elmhurst","NY","United States"
"Elmira","NY","United States"
"Elmwood Park","NJ","United States"
"Emeryville","CA","United States"
"Erie","OR","United States"
"Erie","PA","United States"
"Escondido","CA","United States"
"Eugene","OR","United States"
"Eureka","CA","United States"
"Eureka Springs","AR","United States"
"Evanston","IL","United States"
"Evansville","IL","United States"
"Evansville","IN","United States"
"Everett","WA","United States"
"Fabens","TX","United States"
"Fairbanks","AK","United States"
"Fairfax","CA","United States"
"Fairfield","CA","United States"
"Fairfield","CT","United States"
"Fall River","MA","United States"
"Falls Village","CT","United States"
"Fanwood","NJ","United States"
"Fargo","NC","United States"
"Fargo","ND","United States"
"Farmersbury","IN","United States"
"Farmington","CT","United States"
"Farmingville","NY","United States"
"Fayatteville","AR","United States"
"Fayetteville","AR","United States"
"Fayetteville","NC","United States"
"Fayetteville","SC","United States"
"Fells Point","MD","United States"
"Fernandina Beach","FL","United States"
"Ferndale","MI","United States"
"Findlay","OH","United States"
"Fire Island","NY","United States"
"Fitchburg","MA","United States"
"Flagstaff","AZ","United States"
"Flint","MI","United States"
"Floral Park","NY","United States"
"Florence","AL","United States"
"Florence","KY","United States"
"Florence","SC","United States"
"Flushing","NY","United States"
"Fond Du Lac","WI","United States"
"Fontana","CA","United States"
"Forest","MS","United States"
"Forest Park","IL","United States"
"Forestville","CA","United States"
"Fort Collins","CO","United States"
"Fort Lauderdale","FL","United States"
"Fort Lee","NJ","United States"
"Fort Myers","FL","United States"
"Fort Myers Beach","FL","United States"
"Fort Smith","AR","United States"
"Fort Walton Beach","FL","United States"
"Fort Wayne","IN","United States"
"Fort Worth","TX","United States"
"Fox Valley","WI","United States"
"Frederiksted, St. Croix","VI","United States"
"Freeport","ME","United States"
"Fremont","CA","United States"
"Fremont","OH","United States"
"Fresno","CA","United States"
"Ft. Dodge","IA","United States"
"Ft. Lauderdale","FL","United States"
"Ft. Lee","NJ","United States"
"Ft. Myers","FL","United States"
"Ft. Pierce","FL","United States"
"Ft. Smith","AR","United States"
"Ft. Walton Beach","FL","United States"
"Ft. Wayne","IN","United States"
"Ft. Worth","TX","United States"
"Fullerton","CA","United States"
"Gaffney","SC","United States"
"Gainesville","FL","United States"
"Gainseville","FL","United States"
"Gainsville","FL","United States"
"Gaithersburg","MD","United States"
"Gallup","NM","United States"
"Galveston","TX","United States"
"Garden Grove","CA","United States"
"Gardena","CA","United States"
"Garrison","NY","United States"
"Garwood","NJ","United States"
"Gary","IN","United States"
"Gastonia","NC","United States"
"Gatlinburg","TN","United States"
"Genesee Valley","NY","United States"
"Geneseo","NY","United States"
"Geneva on the Lake","OH","United States"
"Germantown","OR","United States"
"Ghent","NY","United States"
"Glassboro","NJ","United States"
"Glen Cove","NY","United States"
"Glen Ellen","CA","United States"
"Glen Rose","TX","United States"
"Glenbrook","CT","United States"
"Glendale","AZ","United States"
"Glendora","CA","United States"
"Glenrose","TX","United States"
"Golden","CO","United States"
"Goldsboro","NC","United States"
"Grand Forks","NC","United States"
"Grand Forks","ND","United States"
"Grand Haven","MI","United States"
"Grand Island","NE","United States"
"Grand Junction","CO","United States"
"Grand Rapids","MI","United States"
"Grand haven","MI","United States"
"Grandisland","NE","United States"
"Grant's Pass","OR","United States"
"Grants Pass","OR","United States"
"Grass Valley","CA","United States"
"Great Bend","KS","United States"
"Great Falls","MT","United States"
"Greeley","CO","United States"
"Green Bay","WI","United States"
"Greenbelt","MD","United States"
"Greenburg","PA","United States"
"Greencastle","PA","United States"
"Greenfield","MA","United States"
"Greensboro","NC","United States"
"Greensburg","PA","United States"
"Greenville","DE","United States"
"Greenville","NC","United States"
"Greenville","SC","United States"
"Greenwhich","CT","United States"
"Greenwich","CT","United States"
"Greenwood","SC","United States"
"Grover City","CA","United States"
"Guerneville","CA","United States"
"Gulfport","MS","United States"
"Guttenberg","NJ","United States"
"Hackensack","NJ","United States"
"Hagerstown","MD","United States"
"Hallandale","FL","United States"
"Hallendale","FL","United States"
"Hamilton","KS","United States"
"Hamilton","OH","United States"
"Hammond","IN","United States"
"Hampton","NH","United States"
"Hampton","VA","United States"
"Hanover","NH","United States"
"Harmonie Park","MI","United States"
"Harper","KS","United States"
"Harpers Ferry","WV","United States"
"Harrisburg","PA","United States"
"Hartford","CT","United States"
"Hato Ray","PR","United States"
"Hattiesburg","MS","United States"
"Haverhill","MA","United States"
"Hawthorne","CA","United States"
"Hayward","CA","United States"
"Hazelton","PA","United States"
"Hazleton","PA","United States"
"Hegins","PA","United States"
"Helena","MT","United States"
"Hemet","CA","United States"
"Hempstead","NY","United States"
"Hermiston","OR","United States"
"Hermosa Beach","CA","United States"
"Hernando","MS","United States"
"Hialeah","FL","United States"
"Hickory","NC","United States"
"Hicksville","NY","United States"
"High Point","NC","United States"
"Highland","NY","United States"
"Highland Park","MI","United States"
"Highland Park","NJ","United States"
"Highland Park","NY","United States"
"Hillsborough","CA","United States"
"Hilo","HI","United States"
"Hilton Head","GA","United States"
"Hodges","SC","United States"
"Holland","MI","United States"
"Hollywood","CA","United States"
"Hollywood","FL","United States"
"Hollywood & North Hollywood","CA","United States"
"Holyoke","MA","United States"
"Homestead","PA","United States"
"Honolulu","HI","United States"
"Hopland/Talmadge","CA","United States"
"Hoquiam","WA","United States"
"Hot Springs","AR","United States"
"Houma","LA","United States"
"Houston","TX","United States"
"Huachuca","AZ","United States"
"Hummelstown","PA","United States"
"Huntington","NY","United States"
"Huntington","WV","United States"
"Huntington (WV)","WV","United States"
"Huntington Park","CA","United States"
"Huntsville","AL","United States"
"Hutchinson","KS","United States"
"Hyannis","MA","United States"
"Idaho Falls","ID","United States"
"Indiana","PA","United States"
"Indianapolis","IN","United States"
"Indio","CA","United States"
"Inglewood","CA","United States"
"Interlochen","MI","United States"
"Iowa City","IA","United States"
"Ipswich","MA","United States"
"Irvine","CA","United States"
"Irvington","NJ","United States"
"Isla Vista","CA","United States"
"Ithaca","NY","United States"
"Jackson","MI","United States"
"Jackson","MS","United States"
"Jackson","NH","United States"
"Jackson","TN","United States"
"Jackson","WY","United States"
"Jackson Heights","NY","United States"
"Jacksonville","AL","United States"
"Jacksonville","FL","United States"
"Jacksonville","IL","United States"
"Jacksonville","NC","United States"
"Jacksonville Beach","FL","United States"
"Jamaica","NY","United States"
"Jamestown","NY","United States"
"Janesville","WI","United States"
"Jefferson City","MO","United States"
"Jersey City","NJ","United States"
"Johnson City","NY","United States"
"Johnson City","TN","United States"
"Johnstown","PA","United States"
"Joliet","IL","United States"
"Joplin","MO","United States"
"Junction City","KS","United States"
"Juneau","AK","United States"
"Kailua","HI","United States"
"Kailua-Kona","HI","United States"
"Kalakapei Beach, Kauai","HI","United States"
"Kalamazoo","MI","United States"
"Kalispell","MT","United States"
"Kannapolis","NC","United States"
"Kansas City","KS","United States"
"Kansas City","MO","United States"
"Kapaa-Wailua, Kauai","HI","United States"
"Kearney","NE","United States"
"Kennewick","WA","United States"
"Kenosha","WI","United States"
"Kent","OH","United States"
"Ketchikan","AK","United States"
"Kettering","OH","United States"
"Kew Gardens","NY","United States"
"Key West","FL","United States"
"Killeen","TX","United States"
"Kingman","AZ","United States"
"Kingston","NJ","United States"
"Klamath Fall","OR","United States"
"Klamath Falls","OR","United States"
"Knightstown","IN","United States"
"Knoxville","TN","United States"
"Kokomo","IN","United States"
"Kona","HI","United States"
"La Crosse","WI","United States"
"La Grande","OR","United States"
"La Grange","IL","United States"
"La Salle","IL","United States"
"Laconia","NH","United States"
"Lafayette","IN","United States"
"Lafayette","LA","United States"
"Laguna Beach","CA","United States"
"Laguna Niguel","CA","United States"
"Lahaina","HI","United States"
"Lahaina, Maui","HI","United States"
"Lake Alfred","FL","United States"
"Lake Arrowhead","CA","United States"
"Lake Charles","LA","United States"
"Lake George","NY","United States"
"Lake Hoptacong","NJ","United States"
"Lake Monroe","NY","United States"
"Lake Placid","NY","United States"
"Lake Ronkonkoma","NY","United States"
"Lake Ronkonkona","NY","United States"
"Lake Ronkonoma","NY","United States"
"Lake Tahoe","CA","United States"
"Lake Tahoe","NV","United States"
"Lake Worth","FL","United States"
"Lakeland","FL","United States"
"Lakeport","CA","United States"
"Lakeshore","OH","United States"
"Lakewood","OH","United States"
"Lambertville","NJ","United States"
"Lancaster","CA","United States"
"Lancaster","MA","United States"
"Lancaster","OH","United States"
"Lancaster","PA","United States"
"Landisville","NJ","United States"
"Landisville","PA","United States"
"Lansing","MI","United States"
"Lantana","FL","United States"
"Laramie","WY","United States"
"Laredo","TX","United States"
"Largo","MD","United States"
"Larkspur","CA","United States"
"Las Vegas","NE","United States"
"Las Vegas","NV","United States"
"Latham","NY","United States"
"Lawrence","KS","United States"
"Lawton","OK","United States"
"Lebanon","NH","United States"
"Lebanon","OH","United States"
"Lebanon","PA","United States"
"Leesburg","FL","United States"
"Leominster","MA","United States"
"Leonard","ND","United States"
"Lewiston","ID","United States"
"Lewiston","ME","United States"
"Lexington","KT","United States"
"Lexington","KY","United States"
"Lexington","NC","United States"
"Liberty","ME","United States"
"Lihue","HI","United States"
"Lima","OH","United States"
"Lincoln","NE","United States"
"Lincoln City","OR","United States"
"Lindenhurst","NY","United States"
"Lithia","FL","United States"
"Little Neck","NY","United States"
"Little River","CA","United States"
"Little Rock","AR","United States"
"Littletown","NH","United States"
"Liverpool","NY","United States"
"Livingston","NJ","United States"
"Logan","UT","United States"
"Lombard","IL","United States"
"Long Beach","CA","United States"
"Long Beach","NJ","United States"
"Long Branch","NJ","United States"
"Long Island","NY","United States"
"Long Wharf","CT","United States"
"Longview","TX","United States"
"Longview","WA","United States"
"Lorain","OH","United States"
"Lordsburg","NM","United States"
"Los Altos","CA","United States"
"Los Angeles","CA","United States"
"Los Gatos","CA","United States"
"Louisville","KT","United States"
"Louisville","KY","United States"
"Lowell","MA","United States"
"Lubbock","TX","United States"
"Lynn","MA","United States"
"Lynwood","CA","United States"
"Lyons","KS","United States"
"Macomb","IL","United States"
"Macon","GA","United States"
"Madeira Beach","FL","United States"
"Madison","IN","United States"
"Madison","WI","United States"
"Magset","ME","United States"
"Mahwah","NJ","United States"
"Makena","HI","United States"
"Manassas","VA","United States"
"Manchester","CT","United States"
"Manchester","NH","United States"
"Manfield","OH","United States"
"Manhattan","KS","United States"
"Manhattan","NY","United States"
"Manhattan Beach","CA","United States"
"Manitou Springs","CO","United States"
"Manitowac","WI","United States"
"Mankato","MN","United States"
"Mansfield","OH","United States"
"Maple Hill","KS","United States"
"Marblehead","OH","United States"
"March's Hook","OR","United States"
"Marcus Hook","PA","United States"
"Marietta","PA","United States"
"Marin County","CA","United States"
"Marion","IL","United States"
"Marion","OH","United States"
"Marquette","MI","United States"
"Marrietta","PA","United States"
"Marshall","TX","United States"
"Marshalltown","IA","United States"
"Marshfield-Pembroke","MA","United States"
"Martha's Vineyard","MA","United States"
"Martha's Vineyard Island","MA","United States"
"Marysville","CA","United States"
"Mason City","IA","United States"
"Matthews","CA","United States"
"Maui Island","HI","United States"
"Mayaguez","PR","United States"
"McAllen","TX","United States"
"Medeira Beach","FL","United States"
"Medford","MA","United States"
"Medford","OR","United States"
"Melbourne","FL","United States"
"Melrose Park","IL","United States"
"Memphis","TN","United States"
"Mendocino","CA","United States"
"Meriden","CT","United States"
"Meridian","MS","United States"
"Mesa","AZ","United States"
"Metairie","LA","United States"
"Miami","FL","United States"
"Miami Beach","FL","United States"
"Miamisburg","OH","United States"
"Michigan City","IN","United States"
"Middlebury","VT","United States"
"Middletown","CT","United States"
"Midway City","CA","United States"
"Milford","MA","United States"
"Mill Valley","CA","United States"
"Milldale","CT","United States"
"Milton","MA","United States"
"Milwaukee","WI","United States"
"Mine Hill","NJ","United States"
"Mineola","NY","United States"
"Minneapolis","MN","United States"
"Minot","NC","United States"
"Minot","ND","United States"
"Miracle Mile","CA","United States"
"Miramar","PR","United States"
"Mission Viejo","CA","United States"
"Mississippi","MS","United States"
"Missoula","MT","United States"
"Mobile","AL","United States"
"Modesto","CA","United States"
"Monmouth","IL","United States"
"Monroe","LA","United States"
"Monroe","NY","United States"
"Monrovia","CA","United States"
"Montara","CA","United States"
"Montclair","CA","United States"
"Montclaire","PA","United States"
"Monte Rio","CA","United States"
"Monterey","CA","United States"
"Montgomery","AL","United States"
"Montgomery","MD","United States"
"Montpelier","VT","United States"
"Moorhead","MN","United States"
"Morgan City","LA","United States"
"Morgantown","WV","United States"
"Morris County","NJ","United States"
"Morristown","NJ","United States"
"Morro Bay","CA","United States"
"Morton","MS","United States"
"Moscow","ID","United States"
"Mount Clemens","MI","United States"
"Mount Vernon","TX","United States"
"Mountain View","CA","United States"
"Mt Clemens","MI","United States"
"Mt. Clemens","MI","United States"
"Mt. Pleasant","MI","United States"
"Mt. Vernon","IL","United States"
"Mt. Vernon","WA","United States"
"Mt. Washington","CA","United States"
"Muncie","IN","United States"
"Murpheesboro","TN","United States"
"Muskegon","MI","United States"
"Myrtle Beach","SC","United States"
"Myrtle Creek","OR","United States"
"Nacogdoches","TX","United States"
"Nantucket","MA","United States"
"Nanuet","NY","United States"
"Napa","CA","United States"
"Naples","FL","United States"
"Nashua","NH","United States"
"Nashville","TN","United States"
"Nawiliwili","HI","United States"
"Nazareth","OR","United States"
"Neptune Beach","FL","United States"
"Nescopeck","PA","United States"
"Nevada City","CA","United States"
"New Bedford","CT","United States"
"New Bedford","MA","United States"
"New Britain","CT","United States"
"New Brunswick","NJ","United States"
"New City","NY","United States"
"New Haven","CT","United States"
"New Hope","OR","United States"
"New Hope","PA","United States"
"New Lebanon","IN","United States"
"New London","CT","United States"
"New Milford","CT","United States"
"New Milford","PA","United States"
"New Monterey","CA","United States"
"New Orleans","LA","United States"
"New Paltz","NY","United States"
"New Rochelle","NY","United States"
"New Town","IL","United States"
"New York","NY","United States"
"New York City","NY","United States"
"Newark","DE","United States"
"Newark","NJ","United States"
"Newport","KY","United States"
"Newport","OR","United States"
"Newport","RI","United States"
"Newport Beach","CA","United States"
"Newton","NJ","United States"
"Newtown","CT","United States"
"Niagara Falls","NY","United States"
"Niagra Falls","NY","United States"
"Nimitz","WV","United States"
"Norfolk","NE","United States"
"Norfolk","VA","United States"
"Normal","IL","United States"
"Norman","OK","United States"
"North Adams","MA","United States"
"North Beach","MD","United States"
"North Conway","NH","United States"
"North Dartmouth","MA","United States"
"North Hollywood","CA","United States"
"North Hudson","NY","United States"
"North Merrick","NY","United States"
"North Quincy","MA","United States"
"North Salem","NY","United States"
"North Smithfield","RI","United States"
"Northampton","MA","United States"
"Northhampton","MA","United States"
"Northwood","NH","United States"
"Norwalk","CA","United States"
"Norwalk","CT","United States"
"Norwalk","WI","United States"
"Norwich","CT","United States"
"Nyack","NY","United States"
"Oak Bluffs","MA","United States"
"Oak Park","IL","United States"
"Oak Ridge Farm","TN","United States"
"Oakhurst","CA","United States"
"Oakland","CA","United States"
"Oakland","PA","United States"
"Oberlin","OH","United States"
"Ocean Beach","CA","United States"
"Ocean City","MD","United States"
"Ocean Park Beach","CA","United States"
"Oceanside","CA","United States"
"Odessa","TX","United States"
"Ogden","UT","United States"
"Ogunquit","ME","United States"
"Oklahoma City","OK","United States"
"Olathe","KS","United States"
"Old Orchard Beach","ME","United States"
"Old Roslyn Village","NY","United States"
"Old Town","CA","United States"
"Old Westbury","NY","United States"
"Olean","NY","United States"
"Olympia","WA","United States"
"Omaha","NE","United States"
"Oneonta","NY","United States"
"Ontario","CA","United States"
"Opa-Locka","FL","United States"
"Opelika","AL","United States"
"Orange","CA","United States"
"Orange","CT","United States"
"Orange","NJ","United States"
"Orange County","CA","United States"
"Orlando","FL","United States"
"Orono","ME","United States"
"Oroville","CA","United States"
"Oshikosh","WI","United States"
"Oshkosh","WI","United States"
"Oswego","NY","United States"
"Ottawa","IL","United States"
"Overland Park","KS","United States"
"Owens","OH","United States"
"Owensboro","KY","United States"
"Owings Mills","MD","United States"
"Oxford","MS","United States"
"Oxnard","CA","United States"
"Oxon Hill","MD","United States"
"Ozark","AR","United States"
"Pacific Beach","CA","United States"
"Pacific Grove","CA","United States"
"Paducah","KY","United States"
"Paia","HI","United States"
"Painesville","OH","United States"
"Painsville","OH","United States"
"Palisades Park","NJ","United States"
"Palm Springs","CA","United States"
"Palo Alto","CA","United States"
"Panama City","FL","United States"
"Paramount","CA","United States"
"Paramus","NJ","United States"
"Paris","TN","United States"
"Parkersburg","WV","United States"
"Parksburg","WV","United States"
"Parsons","KS","United States"
"Pasadena","CA","United States"
"Pascagoula","MS","United States"
"Pasco","WA","United States"
"Passaic","NJ","United States"
"Patchoque","NY","United States"
"Paterson","NJ","United States"
"Patterson","NJ","United States"
"Pawtucket","RI","United States"
"Peabody","MA","United States"
"Penacook","NH","United States"
"Penn Hills","PA","United States"
"Pensacola","FL","United States"
"Peoria","IL","United States"
"Perth Amboy","NJ","United States"
"Petaluma","CA","United States"
"Petoskey","MI","United States"
"Phenix City","AL","United States"
"Philadelphia","PA","United States"
"Philipsburg","PA","United States"
"Phillipsburg","NJ","United States"
"Phillipsville","CA","United States"
"Phoenix","AZ","United States"
"Phoenixville","PA","United States"
"Piermont","NY","United States"
"Pierre","SD","United States"
"Pine Grove","PA","United States"
"Pine HIll","NY","United States"
"Pinellas Park","FL","United States"
"Piqua","OH","United States"
"Pittsburgh","KS","United States"
"Pittsburgh","OH","United States"
"Pittsburgh","PA","United States"
"Pittsfield","MA","United States"
"Plainfield","NJ","United States"
"Plainsboro","NJ","United States"
"Plainview","TX","United States"
"Plainwell","MI","United States"
"Plantsville","CT","United States"
