"title","description","type","city","state","country","publication","year","notes"
"Gay Information Services","Tel. (907) 276-8129. Friday or Saturday from 8pm to midnight","Services","Anchorage","AK","United States","Gaia's Guide",1981,""
"Alaska Lesbians","Tel. (907) 278-9047.0pen:Monday to Friday, 9-5pm. Their publ:""Klondyke Kontact"", bimonthly. Includes events calender,local news,radio & TV.Requests input.","Centers","Anchorage","AK","United States","Gaia's Guide",1981,""
"The Bread Factory","Naturalfoods tavern.","Restaurants","Anchorage","AK","United States","Gaia's Guide",1981,""
"Traveler's Inn","Tel.279-2663-Just gay men?","Bars","Anchorage","AK","United States","Gaia's Guide",1981,""
"M.C.C. of Anchorage","Tel. (907) 272-1715. Worship Service:602 West 10th Ave. 24 hourtelephone s witchboard.A full range of social and religious activities.Lesbian participation.Their publ: ‘ Light of the North',includes a calander of events for M.C.C. activities,plus a very handy community and bar  guide titled ""Where its at"".Monthly.","Religious Groups","Anchorage","AK","United States","Gaia's Guide",1981,""
"Love Boutique","Some gay titles.","Bookstore","Anchorage","AK","United States","Gaia's Guide",1981,""
"Pier Street Annex","","Bars","Anchorage","AK","United States","Gaia's Guide",1981,""
"Antigone Books","Tel.(602)792-3715.Books,posters,crafts,cards from throughout the world.records,etc. Also —buttons, jewelry,greeting cards.Ticket outlet and informal referral services. They sell GAIA'S GUIDE","Bookstore","Tucson","AZ","United States","Gaia's Guide",1981,""
"Women's Center","Tel.792-1929.Very active women's center.","Women's Centers","Tucson","AZ","United States","Gaia's Guide",1981,""
"Womansplace Bookstore","Tel.(602) 956-0456.""Feminist and lesbian books,  newspapers, periodicals, records, buttons, greeting cards, stickers, jewelry,etc. Three mail order booklists-lesbian, feminist, non-sexist  children's.Send a 13c stamp for each list.We sell Gaia’sGuide.""","Bookstore","Phoenix","AZ","United States","Gaia's Guide",1981,""
"Roommate Finders","Tel.955-6662.""We maintain a gay roomate file"". 24 hours daily. ""Quick placement and low fees.""","Roommate Service","Phoenix","AZ","United States","Gaia's Guide",1981,""
"Mac Arthur Hotel","Tel.622-8867.Just gay men? Report back please.","Hotel","Tucson","AZ","United States","Gaia's Guide",1981,""
"Full Moon","Open:Mon-Fri. 10am-lam;Weekends noon-lam. Nitely disco plus live bands and gay community fund raisers.Very highly recommended.Opened in May 1978.","Bars","Phoenix","AZ","United States","Gaia's Guide",1981,""
"Center for Women","1el-26-2492.Referrals/drop-in/library.","Women's Centers","Phoenix","AZ","United States","Gaia's Guide",1981,""
"Santa Cruz Metropolitan Community Church","Tel.3:69719.The Christian chruch with an outreach to the gay community.--In this one, ""se habla Espanol.""","Religious Groups","Tucson","AZ","United States","Gaia's Guide",1981,"Counted notes as mentioning race because they noted Spanish language speakers - not sure if that's correct"
"Free Spirit","Tel.(602) 966-5090. Gay services at Arizona State University. Switchboard, coffee houses, bar nites, newsletter. Helpline: 271-0125, Sat & Sun. nites from 8pm to midnight. ""Gay people helping gay people.""","Groups","Tempe","AZ","United States","Gaia's Guide",1981,""
"His Co. Disco","Tel.248-9580.Very popular big disco.","Bars","Phoenix","AZ","United States","Gaia's Guide",1981,""
"Gay Community Service","Tel.622-8868.","Organisation and Services","Tucson","AZ","United States","Gaia's Guide",1981,""
"Dignity/Tucson","Tel.745-1812.Gay and concerned Catholics. Alternate phone number: 297-6340.","Religious Groups","Tucson","AZ","United States","Gaia's Guide",1981,""
"Information and Referral","Tel.881-1794.Daily-9 to 5.","Services","Phoenix","AZ","United States","Gaia's Guide",1981,""
"Unlimited","(at Oak). Tel.(602)957-9929.","Bars","Phoenix","AZ","United States","Gaia's Guide",1981,""
"Sally's El Oasis","Tel. (602)456-9881.Big disco.","Bars","Huachuca","AZ","United States","Gaia's Guide",1981,""
"Harem","Tel.267-9938.","Bar/Restaurant","Phoenix","AZ","United States","Gaia's Guide",1981,""
"Casa de Roma","Tel.248-9624.","Show-Bars","Phoenix","AZ","United States","Gaia's Guide",1981,""
"M.C.C.","Te.273-7000.Church:4035 East McDowell.","Religious Groups","Phoenix","AZ","United States","Gaia's Guide",1981,""
"New Morning Cafe","Tel.279-6322. Open:Mon-Thurs. 11.30am-9.00pm;Fri & Sat. 11.30am-10.00pm. Natural food.","Restaurants","Phoenix","AZ","United States","Gaia's Guide",1981,""
"Arizona Gay News","Tel.(602)623-5268.Weekly gay newspaper--full of Arizona news and resources.","Publications","Tucson","AZ","United States","Gaia's Guide",1981,""
"M.C.C. Tucson","Tel.(602) 748-8699. Regular meetings and social activities;temproary housing provided for women ony. Also dances, counselling and religious services. They sell GAIA'S GUIDE.","Religious Groups","Tucson","AZ","United States","Gaia's Guide",1981,""
"El Torero","Tel.622-9534.Wonderful Mexican food--wines and beers. Open 5pm-midnight. Closed Tuesdays.","Restaurants","Phoenix","AZ","United States","Gaia's Guide",1981,""
"Jekyll's-The Last Culture","Te1.(602)622-1371. ”Tucson's gayest disco and showbar for gay men and women dedicated to having a good time.""Open: Sun-Thurs.4pm-lam;Prik Sat.4pm-3am(dancing,but no alcohol after 1am).Three live shows per week and disco nltely. Very,very highly recommended**","Bars","Tucson","AZ","United States","Gaia's Guide",1981,""
"Pier 7","""Large, woman-owred disco. X **# Women’s bands and tremendous potential."" Very highly recommended.","Bars","Phoenix","AZ","United States","Gaia's Guide",1981,""
"""Help Line""","Tel.323-9373.24 hours.","Services","Tucson","AZ","United States","Gaia's Guide",1981,""
"Gay Information and Asistance/Phoenix","Tel.257-0350.Evenings-7pm-11pm.","Services","Phoenix","AZ","United States","Gaia's Guide",1981,""
"Women's Center","Tel.258 7 * — 9 groups,legal services,workshops,free alcohol counseling","Women's Centers","Phoenix","AZ","United States","Gaia's Guide",1981,""
"Sunpath Bookshop","Tel.265-8584. Women's books, children's books, outdoors, health","Bookstore","Phoenix","AZ","United States","Gaia's Guide",1981,""
"Arizona Women's Yellow Pages","$3.00 per year.Divided into three categories:!) Women 1 Business;2) Resources available to women;]) Women'! organisations.Very very handy and nighly recommended.","Directory","","AZ","United States","Gaia's Guide",1981,""
"Women's Line","Tel. 252-5152. Open: 2pm-10pm seven days. Telephone counseling,crisis coounceling,information and referals.","Services","Phoenix","AZ","United States","Gaia's Guide",1981,""
"Women's Center","","Women's Centers","Scottsdale","AZ","United States","Gaia's Guide",1981,""
"Back Pocket-Joshua Tree","Tel.622-6233. Big disco.","Bars","Tucson","AZ","United States","Gaia's Guide",1981,""
"Gay Information/Referral","Tel.881-1794. 9 to 5.","Services","Tucson","AZ","United States","Gaia's Guide",1981,""
"Car House","Bar/cafe/disco for gay women and men. Open daily at noon. Disco till 1am/weekends till 3am. Opened December, 1979.","Bars","Phoenix","AZ","United States","Gaia's Guide",1981,""
"Books Brothers, Ltd.","Tel.(602)326-3332.A new bookstore with a truly enormous range of gay and lesbian titles also  feminist books and much, much more. Open 9-9 Mon.Fri. and 9-6 on Saturdays.","Bookstore","Tucson","AZ","United States","Gaia's Guide",1981,""
"Ozark Wimmin's Land Trust","An organization of wimmin in Missouri and Arkansas who want to make more wimmen's land available and used.","Land Trust","","AR","United States","Gaia's Guide",1981,"Listed under Arkansas, but notes give both Arkansas and Missouri as locations."
"Women's Center","Tel.(501) 443-4998.Switchboard,Mon-Fri.9am-5pm. Their Publ: 'HARD LABOR'-quarterly newspaper.","Centers","","AR","United States","Gaia's Guide",1981,""
"49'r Club","Tel. 761-/1966. Dancing, entertainment, pool table, pin-ball, food. Warm, friendly atmosphere. Open: Mon-Thurs.lOam-2am; weekends: 24 hours. Highly recommended.","Bars","North Hollywood","CA","United States","Gaia's Guide",1981,""
"Growth House","Tel.787-1090. Offering: ""The Friday Night Club""--an alternative to the bars for gay women and men. Highly recommended.","Centers","Van Nuys","CA","United States","Gaia's Guide",1981,""
"Oxwood Inn","Tel.997-9666. Entrance in the rear. (Private parking.)","Bars","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Sojourner","Tel.(213)433-5384.Books, gifts, cards, by, for and about women. Bulletin board and free monthly workshops. There’ s a large selection of lesbian titles including GAIA'S GUIDE.","Feminist Bookstore","Long Beach","CA","United States","Gaia's Guide",1981,""
"Diamond Horseshoe","Tel.432-4126. Disco bar/women's nights.","Bars","Long Beach","CA","United States","Gaia's Guide",1981,""
"Red Mill","Tel.432-2019.Beer and wine bar. ""Serving the gay community.""","Bars","Long Beach","CA","United States","Gaia's Guide",1981,""
"Little Shrimp","Tel.494-4111. Piano bar.","Bars","Laguna Beach","CA","United States","Gaia's Guide",1981,""
"Chatterton's","Tel.664-_a11pm Sun. Noon-9pm. ' hodicals: Open: Mon.-","Bookstore","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Green Gables Hotel","Tel.(714)325-5270. ""We are a woman’s hotel owned by women"". Swimming pool.","Hotel","Palm Springs","CA","United States","Gaia's Guide",1981,""
"Palms","Tel.652-6188.Recommended.","Bars","Hollywood","CA","United States","Gaia's Guide",1981,""
"Gay Community Center/Orange County","Tel.(714)534-3261.Hotline:(714)534-3280.Women's groups and social happenings. Referrals, counselling, library, newsletter, outreach. Many activities and sub-groups. Your essential contact 1n Orange County. Your best bet when new to Orange County. Hotline hours:6:30-10:30","Centers","Garden Grove","CA","United States","Gaia's Guide",1981,""
"Driftwood Lounge","Tel.581-2050.Disco, light show and mist machine.","Bars","Hayward","CA","United States","Gaia's Guide",1981,""
"Wilde/Stein Democratic Club","Tel.(209)266-6067,Gay Democrats-women & men.","Political/Legislative","Fresno","CA","United States","Gaia's Guide",1981,""
"Center for Feminist Therapy","Tel.(213)393-9194.Lesbian therapists.","Counselling/Therapy","Santa Monica","CA","United States","Gaia's Guide",1981,""
"Queen Mary","Drag shows. Recommended. Separate woman’s room.","Bars","Studio City","CA","United States","Gaia's Guide",1981,""
"Seaworthy Women","Tel.(213)397-7728.Sailing adventures for women by private charter. Cruises and sailing classes. Write to them for full details.","Vacation & Recreation","Santa Monica","CA","United States","Gaia's Guide",1981,""
"Whiskey Gulch Saloon","","Bars","Palo Alto","CA","United States","Gaia's Guide",1981,""
"Farmer's Daughter","","Bars","Long Beach","CA","United States","Gaia's Guide",1981,""
"Club 21","Tel.689-2102.","Bars","Pleasant Hill","CA","United States","Gaia's Guide",1981,""
"Maypole","Tel.399-9705.Disco. Open 8pm weekdays/4pm Sundays I.D. required.","Bars","Santa Monica","CA","United States","Gaia's Guide",1981,""
"Vermie's","Tel.(213)578-9359. Dancing, pool table. Local clientel- good atmosphere. Open: Mon.-Thurs.pm-midnight; Fri & Sat: noon-2am; Sun:Ncon-midnight. Very, very highly recommended.","Bars","Pasadena","CA","United States","Gaia's Guide",1981,""
"Lesbian Tide, Tide Publications","Tel.(213)839-7254.The most sophisticated lesbian publication in the world. Local and international news in depth. Photos, reviews, resources. $6. 00 per year. $8.00 for Canada and overseas. Bi-monthly.","Publications","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Westside","Tel.935-1274. Excellent 'homestyle' cooking. Gay clientel.","Restaurants","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Carriage Trade","More men than women but highly recommended. Excellent food.","Restaurants","Hollywood","CA","United States","Gaia's Guide",1981,""
"Westside Bar","Tel.935-1274.""Plano bar, low key and friendly. Mostly gay men but quite good for women too."" Recommended","Bar/Restaurant","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Apache","Open 6pm-2am. Dance bar and restaurant.","Bar/Restaurant","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Blue Angel","","Bars","Rubdoux","CA","United States","Gaia's Guide",1981,"Unsure why Blue Angel is listed twice in two separate cities."
"Integrity","Tel.931-8550","Religious Groups","Los Angeles","CA","United States","Gaia's Guide",1981,""
"The Oracle","Tel.886-1268. They sell GAIA'S GUIDE.","Feminist Bookstore","Hayward","CA","United States","Gaia's Guide",1981,""
"Isla Vista Women's Center","","Women's Centers","Isla Vista","CA","United States","Gaia's Guide",1981,""
"Daily Double","Tel.578-9701. Pooltable, Juke box, club-like atmosphere. Open Sat &Sun:lpm-2an;Mon-Wed:5pm-midnight. Very, very highly recommended.","Bars","Pasadena","CA","United States","Gaia's Guide",1981,""
"The Jack's","Te1.265-5809. Food and cocktails.","Bars","Nevada City","CA","United States","Gaia's Guide",1981,""
"Lesbians of Color","write Box 199.Pasadena.","Third World Group","Pasadena","CA","United States","Gaia's Guide",1981,""
"The Happy Hour","Tel. 537- 9079.Dinner and dancing. Cocktail hours, pool table and live bands. 4 highly recommended old-timer.","Bars","Garden Grove","CA","United States","Gaia's Guide",1981,""
"Jett's Cafe & Art Haus","","Coffeehouses","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Chez Claude","Tel.(213)651-5578.","Restaurants","Los Angeles","CA","United States","Gaia's Guide",1981,""
"N.O.W. (Sacramento Chapter)","Tel.443-3470. 24 hour switchboard service. Newsletter.","Groups","Sacramento","CA","United States","Gaia's Guide",1981,""
"Pickwick Books","Tel. 469-8191. Gay titles.","Bookstore","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Women's Community Resource Center","Tel.433-2183.Bisexual/Teminist group meets weekly.","Women's Centers","Long Beach","CA","United States","Gaia's Guide",1981,""
"Feminist Women's Health Center","Tel.(415)444-7664.","Health Center","Oakland","CA","United States","Gaia's Guide",1981,""
"Sacramento Women's Center","Tel.442-4657.","Women's Centers","Sacramento","CA","United States","Gaia's Guide",1981,""
"Belinda Terrace","Tel.(714)623-9474. Recommended.","Bars","Pomona","CA","United States","Gaia's Guide",1981,""
"Blue Angel","Tel.683-9520.","Bars","Riverside","CA","United States","Gaia's Guide",1981,"Unsure why this is listed as having the same number as Circus Room in Redwood City. Different area code, or error?"
"M.C.C.","Tel.(415)533-4848. They own their own church and have a lesbian pastor plus lesbian student ministers. The congregation is about 60% lesbian | and they have many social activities and dances as well as religious services and counseling. Worship 1s Sundays at 6pm & Thursdays at 7pm. Their publication is: KRYSALIS-monthly","Religious Groups","Oakland","CA","United States","Gaia's Guide",1981,""
"The Circle","Tel.(209)224-0440.Veryhighly recommended. Discos and long happy hours.","Bars","Fresno","CA","United States","Gaia's Guide",1981,""
"Old Town Bar & Grill","Very mixed.","Bars","Eureka","CA","United States","Gaia's Guide",1981,"Very mixed could refer to bar being friendly but not just lesbian, or could refer to race?"
"Fools Rush Inn","Tel.(707 )937-5339.""Rustc cabins by the sea...we offer accomodation in a beautiful setting at reasonable price. We are gay-owned and operated.""","Resorts","Little River","CA","United States","Gaia's Guide",1981,""
"Sandwiched Inn","Tel.655-1202.Lunches and dinners. Woman owned and recommended.","Restaurants","Oakland","CA","United States","Gaia's Guide",1981,""
"Lesbian News","Tel.837-6874.L.A. oriented monthly in big newsletter form. It’s full of local resources and inf ormation-includes a very useful classifiedsection. It’s one of my own favorites. $5.00 per year donation to cover postage and handling. Now includes the extremely useful and unique: RESOURCE REFERENCE LIST FOR THE SOUTHERN CALIFORNIA WOMEN'S COMMUNITY, (updated monthly)","Publications","Culver City","CA","United States","Gaia's Guide",1981,""
"Lesbian Rights Committee/NOW","","Organisation and Services","Fresno","CA","United States","Gaia's Guide",1981,""
"For Yourself","Tel. 658-1904.","Sexual Boutique","Oakland","CA","United States","Gaia's Guide",1981,""
"Brave Bull","Tel.529-6712.","Bars","Modesto","CA","United States","Gaia's Guide",1981,""
"Lost & Found","Tel.371-7859.Pleasant atmosphere, good disco, pool table, and outdoor patio","Bars","Redondo Beach","CA","United States","Gaia's Guide",1981,""
"GAF","Tel.(714)328-9079.Disco, lounge and game rooms. Open:9pm-2am seven nights a week. O.K. for gay women.","Bars","Palm Springs","CA","United States","Gaia's Guide",1981,""
"Lesbian Visions","Tel.(415)497-1488.","Publications","Palo Alto","CA","United States","Gaia's Guide",1981,""
"G.P.U.","Tel.(415)497-1488. Gay People's Union at Stanford Women's Collective. Legal and medical referrals, health clinic, emergency housing, local information, dances, raps, pot-lucks. Regular weekly meetings.","Groups","Palo Alto","CA","United States","Gaia's Guide",1981,""
"Holy Trinity Community Church","Tel.(213)461-1647.","Religious Groups","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Odyssey","Tel.(213)658-8106. Young crowd—no alcohol. Pool and pin-ball. All gay. Open 9pm-4am. Recommended. ""Before and after hours dancing"".","Bars","Hollywood","CA","United States","Gaia's Guide",1981,""
"Big Horn","Tel.980-9792. Dancing, pool table, pin-ball and still going strong.","Bars","North Hollywood","CA","United States","Gaia's Guide",1981,""
"Santa Monica Bay Women's Club","","Women's Club","Santa Monica","CA","United States","Gaia's Guide",1981,""
"Coast Inn","Tel.(714)494-7588.","Hotel","Isla Vista","CA","United States","Gaia's Guide",1981,""
"David's","Tel.934-5730.""Excellent food, cozy fireplace atmosphere and more women are going all the time.""","Restaurants","Hollywood","CA","United States","Gaia's Guide",1981,""
"Red Lantern","Tel.(209)251-5898.Western, but friendly to women. Pool table.","Bars","Fresno","CA","United States","Gaia's Guide",1981,""
"The Blue Book from Payne Publications","Tel. (213)966-5669. A complete source of information about gay L.A. & environs. $3.00 each-mail order.","Resources and References","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Golden T's","","Bars","Long Beach","CA","United States","Gaia's Guide",1981,""
"The Farmhouse","Tel.(707)887-1623.","Resorts","Forestville","CA","United States","Gaia's Guide",1981,""
"Skate World","Tel.(415)222-0244.Women's nights.","Bars","El Sobrante","CA","United States","Gaia's Guide",1981,""
"Main Street","Tel.(714)494-0056. Friendly and casual. Affluent clientel. More women attending regularly.","Bars","Laguna Beach","CA","United States","Gaia's Guide",1981,""
"Dummy Up","Tel.980-9936.Dancing, pool table, soft-ball team. Open noon-2am very day. It’s locateoff the Alley—one block west of Laurel Canyon.","Bars","Studio City","CA","United States","Gaia's Guide",1981,""
"Mi Wey (Safari)","el.391-9264. Disco dancing and pool tables. ""Great atmosphere."" Seven days a week.","Bars","Hollywood","CA","United States","Gaia's Guide",1981,""
"A Woman's Place","Tel.547-9920. Lesbian books, periodicals, newspapers, magazines.","Feminist Bookstore","Oakland","CA","United States","Gaia's Guide",1981,""
"Red Dog Saloon","","Bars","Hollywood","CA","United States","Gaia's Guide",1981,""
"""MOM""--Guess What!""","Tel.362-8283.Non-sexist gay newspaper. Events calender, resources,' community map, classified ads and business directory. News and reviews. $10.00 per year — monthly.","Publications","Sacramento","CA","United States","Gaia's Guide",1981,""
"Rink's","Showbar. Pool table. About 30% gay women.","Bars","Gardena","CA","United States","Gaia's Guide",1981,""
"The Store","Tel. 980-9798. Open 6am-6pm.","Bars","North Hollywood","CA","United States","Gaia's Guide",1981,""
"Back Door","Tel.(702)588-2515. Mostly gay men?","Bars","Lake Tahoe","CA","United States","Gaia's Guide",1981,""
"Bull 'n' Bear Saloon","Tel- (408)372-8700. Two bars, one with small disco dance floor. ""A good place to drink and talk—relaxed, friendly atmosphere","Bars","Monterey","CA","United States","Gaia's Guide",1981,""
"The Church in Ocean Park","Tel. 399-1631. ""Our space is available for events such as concerts, films, discussions, forums, meetings and theater.""","Religious Groups","Santa Monica","CA","United States","Gaia's Guide",1981,""
"The Club","","Bars","Gardena","CA","United States","Gaia's Guide",1981,""
"South Seas Bar","Tel.494-1588.","Bars","Laguna Beach","CA","United States","Gaia's Guide",1981,"Same address as Boom Boom Room. Same building, or error?"
"Baker Street","Tel.(213)761-4000.Beer/wne/pool table/entertainment.","Bars","North Hollywood","CA","United States","Gaia's Guide",1981,""
"Robbie's","Tel.(714)622-9511.","Bars","Pomona","CA","United States","Gaia's Guide",1981,""
"N.O.W.","Tel.(714)661-6888.","Groups","Laguna Beach","CA","United States","Gaia's Guide",1981,""
"Circus Room","Tel.683-9520.","Bars","Redwood City","CA","United States","Gaia's Guide",1981,""
"River View Lodge","Tel.865-1372. Relaxed atmosphere. Probably mixed clientele.","Lodge","Monte Rio","CA","United States","Gaia's Guide",1981,""
"Inspiration","Tel.(213)428-55'15. ""A good place to drink, dance, shoot pool, and talk."" Highly recommended.","Bars","Long Beach","CA","United States","Gaia's Guide",1981,""
"Studio One ""Backlot""","Tel. 659-0471. Theater, restaurant and disco. Women only on Weds, nights. Dinner: 7:30pm-9:00pm. Two shows: 10pm & midnight.Call for reservations. Very, very highly recommended.","Bars","Hollywood","CA","United States","Gaia's Guide",1981,""
"Los Angeles Women's Yellow Pages","21102. Handy resource of L.A. women’s businesses and services. $1.35 mail order.","Publications","Pasadena","CA","United States","Gaia's Guide",1981,""
"M.C.C."," ""Serving the religious, social and service need of gay womenand men.""","Religious Groups","Fresno","CA","United States","Gaia's Guide",1981,""
"Sister","Te1.994-6729 Feminis t news Journal-events calendar and announcements, numbers to know. Services and businesses. Always good reading and much better than having had a sister ever could have been. $.50 per copy or $5.00Per year.","Publications","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Hollywood Club","","Show-Bars","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Desert Knight Hotel","Tel.(714)325-5456.8 unit hot el/resort. All units have kitchens. There's a swimming pool and the clientel is 80% gay in Jan.,Feb., and March. Highly recommended. Luxurious hotel in garden surroundings.","Hotel","Palm Springs","CA","United States","Gaia's Guide",1981,""
"Bacchanal","Tel.527-1314. Your best bet in the East Bay area. (21+ I.D. essential)Opens every day at 5pm. (Located in Albany)","Bars","Oakland","CA","United States","Gaia's Guide",1981,""
"Papa Bach Paperbacks","Mon.-Thurs. 9:30am-11pm;Fri. & Sat: midnight. Sunday: noon-9pm.","Bookstore","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Backlot","Te.373-7828. Lush patio bar.","Bars","Monterey","CA","United States","Gaia's Guide",1981,""
"Jubilee","","Bars","Oakland","CA","United States","Gaia's Guide",1981,""
"Bogie's","Tel.243-7869. Dancing/pool table. Open from 3pm daily.","Bars","Redding","CA","United States","Gaia's Guide",1981,""
"Village Inn","Tel.(707)865-1180.","Restaurants","Monte Rio","CA","United States","Gaia's Guide",1981,""
"Eeyore Books","Tel.795-8301.","Bookstore","","CA","United States","Gaia's Guide",1981,"No city given above this description."
"Alibi East","Tel.623-9422.","Bars","Pomona","CA","United States","Gaia's Guide",1981,""
"Canyon Room","Bar/restaurant. A real old-timer.","Bars","Los Angeles","CA","United States","Gaia's Guide",1981,""
"M.C.C./West Bay","P.O.Box24501, 90024. Tel. (213)826- 6220.Worship services at: 1260-18th Streetin SantaMonica.","Religious Groups","Santa Monica","CA","United States","Gaia's Guide",1981,""
"Aunt Hattie's","Tel.328-9074.Tea dances. Open: seven nights 7pm-2am. Very Highlyrecommended, (highway 111 at Date Palm)","Bars","Palm Springs","CA","United States","Gaia's Guide",1981,""
"Plush Pony","Tel.226-9302.","Bar/Restaurant","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Womankind Bookstore","Tel.(805)685-3969.","Feminist Bookstore","Isla Vista","CA","United States","Gaia's Guide",1981,""
"M.C.C./Pomona","Tel.(714)623-9958.","Religious Groups","Pomona","CA","United States","Gaia's Guide",1981,""
"Center Press","Tel.381-7805.Businesssards, typesetting, publications. Black & white + color. Discountto feminist groups. ""Women teaching women"".","Printing/Graphics","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Cruiser","Tel.(415)366-4955. Dance bar/restaurant. Open 6pm for dinners. Also serving Sunday brunch.","Bars","Redwood City","CA","United States","Gaia's Guide",1981,""
"M.C.C.","Tel.(213)748-0121. Social activities and religious services. Large lesbian participation. Our pastor is a woman, praise God!.","Religious Groups","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Circus Room","","Bars","Hollywood","CA","United States","Gaia's Guide",1981,""
"Carol's Book Shop","Tel.494-7059.Gay titles, women’s titles. Open:Tues.-Fri.lO:3Gam- 8pm. Sat to 7pm. Sunday noon-5pm.","Bookstore","Laguna Beach","CA","United States","Gaia's Guide",1981,""
"The Book Shop in Ocean Park","Tel.396-3659.Large selection of feminist books.","Bookstore","Santa Monica","CA","United States","Gaia's Guide",1981,""
"Hudson House","Tel.(213)464-9161.""A place to stay until you get back on your feet again.""","Housing Project","Los Angeles","CA","United States","Gaia's Guide",1981,""
"Page One Books","Tel.(213)792-9011.""We have a complete list of lesbian and feminist books. We sell GAIA'S GUIDE."" OPEN: MON-SAT llam-5:30pm. Hail order catalogs: $.50 (adult list) $.50 children's list.Also-records/buttons/jewelry/posters/T-shirts/magazines and bulletin board.","Feminist Bookstore","Pasadena","CA","United States","Gaia's Guide",1981,""
"Daily Double","Tel.578-9701. Sunday champagne brunch: noon-3pm; weekdays: 6:30pm-llpm & Pri /Sat:6: 30-lam.","Bars","Pasadena","CA","United States","Gaia's Guide",1981,""
"Cafe Metro","Tel.484-2442. Vegetarian and non-vegetarian. Open 5pm-11pm Tues-Sunday. Very highly recommended","Restaurants","Los Angeles","CA","United States","Gaia's Guide",1981,""
"The Women's Building","Tel.(213)221-6161. Classes, workshops, performances, dances,art gallery, women’s graphic center. —A cultural center forwomen—","Women's Building","Los Angeles","CA","United States","Gaia's Guide",1981,""
