X,title,description,type,address,city,state,country,publication,year,notes,unclear.address,full.address,lon,lat,geoAddress,manual.lon,manual.lat,updated.lon,updated.lat
39,Gay and Lesbian Jew of the Metroplex,Tel.827-9161 or 942-1599,Religious Groups,,Dallas,TX,United States,Gaia's Guide,1985,,checked,", Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",-122.687766,45.529506,-122.687766,45.529506
40,Dallas Gay Alliance,"Office: 3920 Cedar Springs (next
to Union Jack);fel. (214)528-4233",Group,P.O. Box 190712;75219,Dallas,TX,United States,Gaia's Guide,1985,,checked,"P.O. Box 190712;75219, Dallas, TX",-96.8109852,32.8122051,"dallas, tx 75219, usa",,,-96.8109852,32.8122051
41,Affirmation,Tel. 559-3353,Religious Groups,,Dallas,TX,United States,Gaia's Guide,1985,,checked,", Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",-122.683275,45.518194,-122.683275,45.518194
42,Radio Cab,Tel.227-1212,Taxi Cabs,,Portland,OR,United States,Gaia's Guide,1987,,checked,", Portland, OR",-122.6783853,45.515232,"portland, or, usa",,,-122.6783853,45.515232
43,Just Out,97215-Tel. 223-1252. Full of local resources.,Services,PO Box 15117,Portland,OR,United States,Gaia's Guide,1987,,checked,"PO Box 15117, Portland, OR",-122.6783853,45.515232,"portland, or, usa",-80.200875,25.762421,-80.200875,25.762421
44,Counseling Service for Sexual Minorities,Tel.228-6785,Services,,Portland,OR,United States,Gaia's Guide,1987,,checked,", Portland, OR",-122.6783853,45.515232,"portland, or, usa",-122.652583,45.52275,-122.652583,45.52275
45,Minorities,Tel.228-6785,Services,,Portland,OR,United States,Gaia's Guide,1987,,checked,", Portland, OR",-122.6783853,45.515232,"portland, or, usa",,,-122.6783853,45.515232
46,Broadway Cab,Tel.227-1234,Taxi Cabs,,Portland,OR,United States,Gaia's Guide,1987,,checked,", Portland, OR",-122.6783853,45.515232,"portland, or, usa",,,-122.6783853,45.515232
47,Gayline,"Tel. 368-6283, -7:30pm-midnight, seven days a week-- serving Dallas & Forth Worth.",Services,,Dallas,TX,United States,Gaia's Guide,1987,,checked,", Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",,,-96.7969879,32.7766642
48,Gay and Lesbian Jews of the Metroplex,Tels.521-8288 & 827-9161,Religious Groups,,Dallas,TX,United States,Gaia's Guide,1987,,checked,", Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",-96.810441,32.810788,-96.810441,32.810788
49,Dallas Gay Alliance,75219-Ottice:3920 Cedar Springs (neX1to 'Union Jack' - Tel.528-4233,Political Group,PO Box 190712,Dallas,TX,United States,Gaia's Guide,1987,,checked,"PO Box 190712, Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",-96.810441,32.810788,-96.810441,32.810788
50,Gay / Lesbian Information Center,-Tel. 345-2722.,Information Services,,Detroit,MI,United States,Gaia's Guide,1989,,checked,", Detroit, MI",-83.0457538,42.331427,"detroit, mi, usa",-96.80433,32.90185,-96.80433,32.90185
51,Portland Lesbian Boarding House,Tel 281 5386 Rates start about $10.00 ring up to reserve a room,"Accommodation - Guest Houses, etc.",,Portland,OR,United States,Gaia's Guide,1989,,checked,", Portland, OR",-122.6783853,45.515232,"portland, or, usa",-96.80433,32.90185,-96.80433,32.90185
52,Apartments,One bedroom apartments to rent at SE 10th Tel 233 2833 Start about $180.00 per month,"Accommodation - Guest Houses, etc.",,Portland,OR,United States,Gaia's Guide,1989,,checked,", Portland, OR",-122.6783853,45.515232,"portland, or, usa",,,-122.6783853,45.515232
53,The Lesbian Community Project,"is Oregon's largest Lesbian organization. 'LCP' produces a wide variety of social, political and educational activities. Monthly newsletter. Many volunteer opportunities. Write: PO Box 5931, Portland, OR; 97228- -Tel. (503)233-9079. Be sure and say 'hi' from GAIA to these friendly, helpful and highly recommended people.",Lesbian Service Organization,PO Box 5931,Portland,OR,United States,Gaia's Guide,1989,,checked,"PO Box 5931, Portland, OR",-122.6783853,45.515232,"portland, or, usa",,,-122.6783853,45.515232
54,Lesbian Abuse Task Force of Portland,"-Tel. 238-3504, 234-3599, 236-7963 Crisis contacts, sheller services, support groups, counseling and information for lesbians who are being battered and/ or abused by their partners",Information and Emergency Services,,Portland,OR,United States,Gaia's Guide,1989,,checked,", Portland, OR",-122.6783853,45.515232,"portland, or, usa",,,-122.6783853,45.515232
55,Radio Cab,Tel 227 1212,Taxi Cabs,,Portland,OR,United States,Gaia's Guide,1989,,checked,", Portland, OR",-122.6783853,45.515232,"portland, or, usa",,,-122.6783853,45.515232
56,Just Out,"write: PO Box 15117; 97215 -Tel. 223-1252. Full of local resources need
a lesbian therapist or counselor?-naturopath or acupuncturist?-chiropractor?-dentist?-lawyer?-old fashioned doctor?-JUST OUT is just full of
information about them & many, many more local groups and other types of resources than space, here will permit pick up your copy at A WOMAN'S PLACE BOOKSTORE before starting out In the Portland area ... $12. 50 for 12 issues by sub",Publications,PO Box 15117,Portland,OR,United States,Gaia's Guide,1989,,checked,"PO Box 15117, Portland, OR",-122.6783853,45.515232,"portland, or, usa",,,-122.6783853,45.515232
57,Gay Events Tape,-Tel. 248-6969,Information and Emergency Services,,Portland,OR,United States,Gaia's Guide,1989,,checked,", Portland, OR",-122.6783853,45.515232,"portland, or, usa",,,-122.6783853,45.515232
58,Windfire,"-Tel. 223-8299, for lesbians&/ or bi-sexual women under 21. . they meet
at OLD WIVES TALES. & see ·Just Out' & I or 'Lavender Network' for current details. TLAND PROFESSIONAL ORGANIZATION OF WOMEN-PPOW, PO Box 22821, Milwaukee. WI; 97222-A social organization",Organizations and Groups - Including Special Interests,,Portland,OR,United States,Gaia's Guide,1989,,checked,", Portland, OR",-122.6783853,45.515232,"portland, or, usa",,,-122.6783853,45.515232
59,Counseling Services for Sexual Minorities,-Tel 228-6785,Health Centers / Clinics / Counseling / Practitioners,,Portland,OR,United States,Gaia's Guide,1989,,checked,", Portland, OR",-122.6783853,45.515232,"portland, or, usa",-96.813775,32.807854,-96.813775,32.807854
60,Lesbian / Gay Political Caucus,"write-PO Box 224424: 75222 -Tel
828-9882.",Group,PO Box 224424,Dallas,TX,United States,Gaia's Guide,1989,,checked,"PO Box 224424, Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",-96.813775,32.807854,-96.813775,32.807854
61,Little Feather Productions,PO Box 64720; 75206,Theater and Music Events,PO Box 64720,Dallas,TX,United States,Gaia's Guide,1989,,checked,"PO Box 64720, Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",,,-96.7969879,32.7766642
62,"Lesbian Information Line - ""LIL""","-Tel. 528-2426. 24 hour/ seven day a week
recording of events and services, meetings and referrals",Information Services,,Dallas,TX,United States,Gaia's Guide,1989,,checked,", Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",,,-96.7969879,32.7766642
63,Gayline,Tel. 368-6283,Information Services,,Dallas,TX,United States,Gaia's Guide,1989,,checked,", Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",,,-96.7969879,32.7766642
64,Lesbian Visionaries,"write: PO Box 710185: 75371 -Tel. (214)528-2426. Nonprofit
lesbian membership organization",Group,PO Box 710185,Dallas,TX,United States,Gaia's Guide,1989,,checked,"PO Box 710185, Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",-96.811071,32.810535,-96.811071,32.810535
65,Integrity,-Tel. 739-5899 Lesbian and Gay Episcopalians,Religious Groups,,Dallas,TX,United States,Gaia's Guide,1989,,checked,", Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",,,-96.7969879,32.7766642
66,Lesbian / Gay Unitarians,-Tel. 324-2732.,Religious Groups,,Dallas,TX,United States,Gaia's Guide,1989,,checked,", Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",,,-96.7969879,32.7766642
67,Among Friends,"write PO Box 710185: 75371. Non-membership lesbian events
group.",Group,PO Box 710185,Dallas,TX,United States,Gaia's Guide,1989,,checked,"PO Box 710185, Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",-96.811405,32.810642,-96.811405,32.810642
