"publication","geocode.value","count","relative.percentage","location_rank"
"Bob Damron's Address Book","Angeles Nat'l Forest, CA",9,0.00495207491939123,310
"Bob Damron's Address Book","Angeles National Forest, CA",6,0.00330138327959415,313
"Bob Damron's Address Book","Angelica, NY",10,0.00550230546599025,309
"Bob Damron's Address Book","Angleton, TX",1,0.000550230546599025,318
"Bob Damron's Address Book","Ann Arbor, MI",315,0.173322622178693,109
"Bob Damron's Address Book","Annandale-on-Hudson, NY",6,0.00330138327959415,313
"Bob Damron's Address Book","Annapolis, MD",107,0.0588746684860957,214
"Bob Damron's Address Book","Anniston, AL",60,0.0330138327959415,259
"Bob Damron's Address Book","Anoka, MN",17,0.00935391929218342,302
"Bob Damron's Address Book","Anoke, MN",1,0.000550230546599025,318
"Bob Damron's Address Book","Ansley Square, GA",1,0.000550230546599025,318
"Bob Damron's Address Book","Antioch, IL",2,0.00110046109319805,317
"Bob Damron's Address Book","Apache Junction, AZ",5,0.00275115273299512,314
"Bob Damron's Address Book","Apollo, PA",2,0.00110046109319805,317
"Bob Damron's Address Book","Apple Valley, CA",2,0.00110046109319805,317
"Bob Damron's Address Book","Appleton, WI",114,0.0627262823122889,209
"Bob Damron's Address Book","Aptos, CA",1,0.000550230546599025,318
"Bob Damron's Address Book","Arcadia, CA",5,0.00275115273299512,314
"Bob Damron's Address Book","Arcadia, LA",12,0.0066027665591883,307
"Bob Damron's Address Book","Arcata, CA",12,0.0066027665591883,307
"Bob Damron's Address Book","Arden, NC",4,0.0022009221863961,315
"Bob Damron's Address Book","Ardmore, PA",1,0.000550230546599025,318
"Bob Damron's Address Book","Arlington Heights, MA",2,0.00110046109319805,317
"Bob Damron's Address Book","Arlington, MA",10,0.00550230546599025,309
"Bob Damron's Address Book","Arlington, TX",104,0.0572239768462986,217
"Bob Damron's Address Book","Arlington, VA",111,0.0610755906724918,211
"Bob Damron's Address Book","Arlington, VT",31,0.0170571469445698,288
"Bob Damron's Address Book","Armherst, NY",1,0.000550230546599025,318
"Bob Damron's Address Book","Arnold, CA",3,0.00165069163979707,316
"Bob Damron's Address Book","Arundel, ME",2,0.00110046109319805,317
"Bob Damron's Address Book","Asan, GU",1,0.000550230546599025,318
"Bob Damron's Address Book","Asbury Park, NJ",311,0.171121699992297,110
"Bob Damron's Address Book","Asbury Park/Ocean Grove, NJ",12,0.0066027665591883,307
"Bob Damron's Address Book","Ascutney, VT",2,0.00110046109319805,317
"Bob Damron's Address Book","Ashbury Park/Ocean Grove, NJ",5,0.00275115273299512,314
"Bob Damron's Address Book","Asheville, MS",2,0.00110046109319805,317
"Bob Damron's Address Book","Asheville, NC",365,0.200834149508644,97
"Bob Damron's Address Book","Ashfield, MA",5,0.00275115273299512,314
"Bob Damron's Address Book","Ashland City, TN",1,0.000550230546599025,318
"Bob Damron's Address Book","Ashland, KY",15,0.00825345819898538,304
"Bob Damron's Address Book","Ashland, OR",151,0.0830848125364528,177
"Bob Damron's Address Book","Ashland, VA",3,0.00165069163979707,316
"Bob Damron's Address Book","Ashland, WI",12,0.0066027665591883,307
"Bob Damron's Address Book","Ashtabula, OH",6,0.00330138327959415,313
"Bob Damron's Address Book","Ashton, ID",1,0.000550230546599025,318
"Bob Damron's Address Book","Ashville, NC",10,0.00550230546599025,309
"Bob Damron's Address Book","Aspen, CO",155,0.0852857347228489,176
"Bob Damron's Address Book","Astoria, NY",5,0.00275115273299512,314
"Bob Damron's Address Book","Astoria, OR",13,0.00715299710578732,306
"Bob Damron's Address Book","Atascadero, CA",16,0.0088036887455844,303
"Bob Damron's Address Book","Athens, FL",2,0.00110046109319805,317
"Bob Damron's Address Book","Athens, GA",246,0.13535671446336,130
"Bob Damron's Address Book","Athens, OH",52,0.0286119884231493,267
"Bob Damron's Address Book","Athens, TX",2,0.00110046109319805,317
"Bob Damron's Address Book","Athens, VT",1,0.000550230546599025,318
"Bob Damron's Address Book","Athol, MA",1,0.000550230546599025,318
"Bob Damron's Address Book","Atkinson, IL",5,0.00275115273299512,314
"Bob Damron's Address Book","Atlanta, FL",51,0.0280617578765503,268
"Bob Damron's Address Book","Atlanta, GA",2062,1.13457538708719,11
"Bob Damron's Address Book","Atlantic Beach, NC",2,0.00110046109319805,317
"Bob Damron's Address Book","Atlantic City, NJ",558,0.307028645002256,63
"Bob Damron's Address Book","Atmore, AL",4,0.0022009221863961,315
"Bob Damron's Address Book","Attleboro, MA",20,0.0110046109319805,299
"Bob Damron's Address Book","Atwood, MI",7,0.00385161382619318,312
"Bob Damron's Address Book","Auburn, AL",63,0.0346645244357386,256
"Bob Damron's Address Book","Auburn, CA",28,0.0154064553047727,291
"Bob Damron's Address Book","Auburn, ME",5,0.00275115273299512,314
"Bob Damron's Address Book","Auburn, WA",22,0.0121050720251785,297
"Bob Damron's Address Book","Auburndale, FL",1,0.000550230546599025,318
"Bob Damron's Address Book","Augusta, FL",2,0.00110046109319805,317
"Bob Damron's Address Book","Augusta, GA",83,0.0456691353677191,236
"Bob Damron's Address Book","Augusta, KS",9,0.00495207491939123,310
"Bob Damron's Address Book","Augusta, ME",65,0.0357649855289366,254
"Bob Damron's Address Book","Auke Bay, AK",1,0.000550230546599025,318
"Bob Damron's Address Book","Aurora, IL",30,0.0165069163979708,289
"Bob Damron's Address Book","Aurora, OR",2,0.00110046109319805,317
"Bob Damron's Address Book","Austin, TX",953,0.524369710908871,35
"Bob Damron's Address Book","Autaugaville, AL",13,0.00715299710578732,306
"Bob Damron's Address Book","Ava, MO",3,0.00165069163979707,316
"Bob Damron's Address Book","Avenel, NJ",3,0.00165069163979707,316
"Bob Damron's Address Book","Avon, CT",1,0.000550230546599025,318
"Bob Damron's Address Book","Avon, MA",5,0.00275115273299512,314
"Bob Damron's Address Book","Aztalan, WI",4,0.0022009221863961,315
"Bob Damron's Address Book","Azusa, CA",2,0.00110046109319805,317
"Bob Damron's Address Book","Babylon, L.I, NY",1,0.000550230546599025,318
"Bob Damron's Address Book","Babylon, L.I., NY",1,0.000550230546599025,318
"Bob Damron's Address Book","Babylon, NY",10,0.00550230546599025,309
"Bob Damron's Address Book","Bagnell, MO",2,0.00110046109319805,317
"Bob Damron's Address Book","Bailey Island, ME",1,0.000550230546599025,318
"Bob Damron's Address Book","Bailey, CO",1,0.000550230546599025,318
"Bob Damron's Address Book","Baileys Harbor, WI",2,0.00110046109319805,317
"Bob Damron's Address Book","Baker City, OR",4,0.0022009221863961,315
"Bob Damron's Address Book","Bakersfield, CA",268,0.147461786488539,121
"Bob Damron's Address Book","Bakersville, NC",2,0.00110046109319805,317
"Bob Damron's Address Book","Bal Harbour, FL",3,0.00165069163979707,316
"Bob Damron's Address Book","Balboa, CA",6,0.00330138327959415,313
"Bob Damron's Address Book","Baldwin Park, CA",1,0.000550230546599025,318
"Bob Damron's Address Book","Baldwin, L.I., NY",1,0.000550230546599025,318
"Bob Damron's Address Book","Baldwin, NY",2,0.00110046109319805,317
"Bob Damron's Address Book","Ballard, WA",2,0.00110046109319805,317
"Bob Damron's Address Book","Baltimore, MD",1382,0.760418615399853,22
"Bob Damron's Address Book","Bangor, ME",107,0.0588746684860957,214
"Bob Damron's Address Book","Bangor, PA",1,0.000550230546599025,318
"Bob Damron's Address Book","Bar Habor, ME",1,0.000550230546599025,318
"Bob Damron's Address Book","Bar Harbor, ME",32,0.0176073774911688,287
"Bob Damron's Address Book","Barberton, OH",2,0.00110046109319805,317
"Bob Damron's Address Book","Barboursville, WV",2,0.00110046109319805,317
"Bob Damron's Address Book","Barnardsville, NC",3,0.00165069163979707,316
"Bob Damron's Address Book","Barnegat Light, NJ",10,0.00550230546599025,309
"Bob Damron's Address Book","Barre, MA",20,0.0110046109319805,299
"Bob Damron's Address Book","Barre, VT",3,0.00165069163979707,316
"Bob Damron's Address Book","Barstow, CA",13,0.00715299710578732,306
"Bob Damron's Address Book","Bartlesville, OK",10,0.00550230546599025,309
"Bob Damron's Address Book","Bass Lake, CA",2,0.00110046109319805,317
"Bob Damron's Address Book","Bastrop, TX",6,0.00330138327959415,313
"Bob Damron's Address Book","Bat Cave, NC",9,0.00495207491939123,310
"Bob Damron's Address Book","Batesland, SD",5,0.00275115273299512,314
"Bob Damron's Address Book","Batesville, AR",5,0.00275115273299512,314
"Bob Damron's Address Book","Batesville, MS",13,0.00715299710578732,306
"Bob Damron's Address Book","Bath Village, NH",8,0.0044018443727922,311
"Bob Damron's Address Book","Bath, ME",8,0.0044018443727922,311
"Bob Damron's Address Book","Bath, NH",2,0.00110046109319805,317
"Bob Damron's Address Book","Baton Rouge, LA",321,0.176624005458287,108
"Bob Damron's Address Book","Battle Creek, MI",41,0.02255945241056,278
"Bob Damron's Address Book","Bay City, MI",27,0.0148562247581737,292
"Bob Damron's Address Book","Bay Ridge, NY",2,0.00110046109319805,317
"Bob Damron's Address Book","Bay Shore, NY",17,0.00935391929218342,302
"Bob Damron's Address Book","Bayamon, PR",6,0.00330138327959415,313
"Bob Damron's Address Book","Bayamón, PR",6,0.00330138327959415,313
"Bob Damron's Address Book","Bayonne, NJ",1,0.000550230546599025,318
"Bob Damron's Address Book","Bayshore, NY",11,0.00605253601258927,308
"Bob Damron's Address Book","Bayville, L.I., NY",2,0.00110046109319805,317
"Bob Damron's Address Book","Bayville, NY",15,0.00825345819898538,304
"Bob Damron's Address Book","Beachwood, OH",8,0.0044018443727922,311
"Bob Damron's Address Book","Beacon Hill, MA",1,0.000550230546599025,318
"Bob Damron's Address Book","Beacon, NY",4,0.0022009221863961,315
"Bob Damron's Address Book","Beaufort, NC",2,0.00110046109319805,317
"Bob Damron's Address Book","Beaumont, TX",107,0.0588746684860957,214
"Bob Damron's Address Book","Beaver Dam, WI",14,0.00770322765238635,305
"Bob Damron's Address Book","Beaver Falls, PA",12,0.0066027665591883,307
"Bob Damron's Address Book","Beavercreek, OH",3,0.00165069163979707,316
"Bob Damron's Address Book","Beaverton, OR",11,0.00605253601258927,308
"Bob Damron's Address Book","Beckenridge, CO",1,0.000550230546599025,318
"Bob Damron's Address Book","Beckley, WV",26,0.0143059942115746,293
"Bob Damron's Address Book","Bedford, MA",4,0.0022009221863961,315
"Bob Damron's Address Book","Bedford, VA",1,0.000550230546599025,318
"Bob Damron's Address Book","Belfast, ME",8,0.0044018443727922,311
"Bob Damron's Address Book","Bell Gardens, CA",5,0.00275115273299512,314
"Bob Damron's Address Book","Bellaire, MI",5,0.00275115273299512,314
"Bob Damron's Address Book","Belle Fourche, SD",3,0.00165069163979707,316
"Bob Damron's Address Book","Belleville, IL",12,0.0066027665591883,307
"Bob Damron's Address Book","Belleville, MI",14,0.00770322765238635,305
"Bob Damron's Address Book","Belleville, NJ",5,0.00275115273299512,314
"Bob Damron's Address Book","Bellevue, NE",23,0.0126553025717776,296
"Bob Damron's Address Book","Bellevue, WA",9,0.00495207491939123,310
"Bob Damron's Address Book","Bellflower, CA",4,0.0022009221863961,315
"Bob Damron's Address Book","Bellingham, WA",210,0.115548414785795,149
"Bob Damron's Address Book","Bellmawr, NJ",2,0.00110046109319805,317
"Bob Damron's Address Book","Bellmore, L.I., NY",1,0.000550230546599025,318
"Bob Damron's Address Book","Bellmore, NY",41,0.02255945241056,278
"Bob Damron's Address Book","Bellows Falls, VT",9,0.00495207491939123,310
"Bob Damron's Address Book","Bellport, NY",1,0.000550230546599025,318
"Bob Damron's Address Book","Bellville, IL",3,0.00165069163979707,316
"Bob Damron's Address Book","Bellwood, PA",4,0.0022009221863961,315
"Bob Damron's Address Book","Belmar, NJ",30,0.0165069163979708,289
"Bob Damron's Address Book","Belmont, VT",2,0.00110046109319805,317
"Bob Damron's Address Book","Beloit, WI",1,0.000550230546599025,318
"Bob Damron's Address Book","Belt, MT",3,0.00165069163979707,316
"Bob Damron's Address Book","Beltsville, MD",21,0.0115548414785795,298
"Bob Damron's Address Book","Belvidere, NJ",2,0.00110046109319805,317
"Bob Damron's Address Book","Bemedji, MN",1,0.000550230546599025,318
"Bob Damron's Address Book","Bemidji, MN",57,0.0313631411561444,262
"Bob Damron's Address Book","Bend, OR",59,0.0324636022493425,260
"Bob Damron's Address Book","Benicia, CA",5,0.00275115273299512,314
"Bob Damron's Address Book","Bennington, VT",13,0.00715299710578732,306
"Bob Damron's Address Book","Benton, IL",8,0.0044018443727922,311
"Bob Damron's Address Book","Berkeley Springs, WV",9,0.00495207491939123,310
"Bob Damron's Address Book","Berkeley, CA",242,0.133155792276964,133
"Bob Damron's Address Book","Berkeley, WV",2,0.00110046109319805,317
"Bob Damron's Address Book","Berkshires, MA",14,0.00770322765238635,305
"Bob Damron's Address Book","Berlin, NJ",17,0.00935391929218342,302
"Bob Damron's Address Book","Berlin, VT",6,0.00330138327959415,313
"Bob Damron's Address Book","Bernal Heights, CA",6,0.00330138327959415,313
"Bob Damron's Address Book","Bernalillo, NM",5,0.00275115273299512,314
"Bob Damron's Address Book","Berne, NY",2,0.00110046109319805,317
"Bob Damron's Address Book","Berwick, ME",1,0.000550230546599025,318
"Bob Damron's Address Book","Berwick, PA",10,0.00550230546599025,309
"Bob Damron's Address Book","Berwin, IL",2,0.00110046109319805,317
"Bob Damron's Address Book","Berwyn, IL",3,0.00165069163979707,316
"Bob Damron's Address Book","Bethany Beach, DE",45,0.0247603745969561,274
"Bob Damron's Address Book","Bethany Village, DE",2,0.00110046109319805,317
"Bob Damron's Address Book","Bethel Park, PA",3,0.00165069163979707,316
"Bob Damron's Address Book","Bethel, CT",12,0.0066027665591883,307
"Bob Damron's Address Book","Bethel, ME",2,0.00110046109319805,317
"Bob Damron's Address Book","Bethesda, MD",2,0.00110046109319805,317
"Bob Damron's Address Book","Bethlehem, NH",12,0.0066027665591883,307
"Bob Damron's Address Book","Bethlehem, NJ",3,0.00165069163979707,316
"Bob Damron's Address Book","Bethlehem, PA",49,0.0269612967833522,270
"Bob Damron's Address Book","Bettendorf, IA",16,0.0088036887455844,303
"Bob Damron's Address Book","Beverly Hills, CA",12,0.0066027665591883,307
"Bob Damron's Address Book","Beverly Hills, MI",1,0.000550230546599025,318
"Bob Damron's Address Book","Beverly Shores, IN",13,0.00715299710578732,306
"Bob Damron's Address Book","Bicknell, UT",2,0.00110046109319805,317
"Bob Damron's Address Book","Biddeford, ME",5,0.00275115273299512,314
"Bob Damron's Address Book","Big Bay, MI",2,0.00110046109319805,317
"Bob Damron's Address Book","Big Bear Lake, CA",57,0.0313631411561444,262
"Bob Damron's Address Book","Big Bear, CA",23,0.0126553025717776,296
"Bob Damron's Address Book","Big Rapids, MI",47,0.0258608356901542,272
"Bob Damron's Address Book","Big Spring, TX",3,0.00165069163979707,316
"Bob Damron's Address Book","Big Sur, CA",6,0.00330138327959415,313
"Bob Damron's Address Book","Billings, MT",111,0.0610755906724918,211
"Bob Damron's Address Book","Biloxi, MS",248,0.136457175556558,129
"Bob Damron's Address Book","Biltmore Village, NC",1,0.000550230546599025,318
"Bob Damron's Address Book","Binghampton, NY",43,0.0236599135037581,276
"Bob Damron's Address Book","Binghamton, NY",235,0.129304178450771,136
"Bob Damron's Address Book","Birmingham, AL",629,0.346095013810787,56
"Bob Damron's Address Book","Birmingham, MI",3,0.00165069163979707,316
"Bob Damron's Address Book","Bisbee, AZ",30,0.0165069163979708,289
"Bob Damron's Address Book","Bishop, CA",13,0.00715299710578732,306
"Bob Damron's Address Book","Bismarck, NC",1,0.000550230546599025,318
"Bob Damron's Address Book","Bismarck, ND",18,0.00990414983878245,301
"Bob Damron's Address Book","Bismark, ND",1,0.000550230546599025,318
"Bob Damron's Address Book","Black Mountain, NC",1,0.000550230546599025,318
"Bob Damron's Address Book","Black River, NY",5,0.00275115273299512,314
"Bob Damron's Address Book","Blacksburg, VA",13,0.00715299710578732,306
"Bob Damron's Address Book","Blackwood, NJ",4,0.0022009221863961,315
"Bob Damron's Address Book","Blaine, ME",1,0.000550230546599025,318
"Bob Damron's Address Book","Blaine, WA",43,0.0236599135037581,276
"Bob Damron's Address Book","Blairsville, PA",9,0.00495207491939123,310
"Bob Damron's Address Book","Bland, VA",2,0.00110046109319805,317
"Bob Damron's Address Book","Bloomingdale, NY",2,0.00110046109319805,317
"Bob Damron's Address Book","Bloomington, CA",1,0.000550230546599025,318
"Bob Damron's Address Book","Bloomington, IL",95,0.0522719019269074,226
"Bob Damron's Address Book","Bloomington, IN",240,0.132055331183766,134
"Bob Damron's Address Book","Blowing Rock, NC",13,0.00715299710578732,306
"Bob Damron's Address Book","Blue Island, IL",15,0.00825345819898538,304
"Bob Damron's Address Book","Blue Mounds, WI",3,0.00165069163979707,316
"Bob Damron's Address Book","Blue Point, NY",1,0.000550230546599025,318
"Bob Damron's Address Book","Blue Rapids, KS",17,0.00935391929218342,302
"Bob Damron's Address Book","Blue River, OR",7,0.00385161382619318,312
"Bob Damron's Address Book","Bluefield, WV",60,0.0330138327959415,259
"Bob Damron's Address Book","Boca Ration, FL",3,0.00165069163979707,316
"Bob Damron's Address Book","Boca Raton, FL",57,0.0313631411561444,262
"Bob Damron's Address Book","Boerum Hill, NY",2,0.00110046109319805,317
"Bob Damron's Address Book","Bohemia, NY",7,0.00385161382619318,312
"Bob Damron's Address Book","Boise, ID",291,0.160117089060316,113
"Bob Damron's Address Book","Bonita Springs, FL",1,0.000550230546599025,318
"Bob Damron's Address Book","Boone, IA",28,0.0154064553047727,291
"Bob Damron's Address Book","Boone, NC",4,0.0022009221863961,315
"Bob Damron's Address Book","Boonton, NJ",7,0.00385161382619318,312
"Bob Damron's Address Book","Boonville, CA",5,0.00275115273299512,314
"Bob Damron's Address Book","Boonville, MO",4,0.0022009221863961,315
"Bob Damron's Address Book","Booth Bay Harbor, ME",1,0.000550230546599025,318
"Bob Damron's Address Book","Boothbay Harbor, ME",4,0.0022009221863961,315
"Bob Damron's Address Book","Boothbay, ME",2,0.00110046109319805,317
"Bob Damron's Address Book","Boquerón, PR",1,0.000550230546599025,318
"Bob Damron's Address Book","Bordentown, NJ",4,0.0022009221863961,315
"Bob Damron's Address Book","Bossier City, LA",9,0.00495207491939123,310
"Bob Damron's Address Book","Boston, MA",1898,1.04433757744495,15
"Bob Damron's Address Book","Boulder, CO",254,0.139758558836152,126
"Bob Damron's Address Book","Boulder, MT",24,0.0132055331183766,295
"Bob Damron's Address Book","Boulder, UT",3,0.00165069163979707,316
"Bob Damron's Address Book","Bourne, MA",9,0.00495207491939123,310
"Bob Damron's Address Book","Bowden, GA",2,0.00110046109319805,317
"Bob Damron's Address Book","Bowling Green, KY",40,0.022009221863961,279
"Bob Damron's Address Book","Bowman, SC",1,0.000550230546599025,318
"Bob Damron's Address Book","Boyers, PA",3,0.00165069163979707,316
"Bob Damron's Address Book","Boyle Heights, CA",1,0.000550230546599025,318
"Bob Damron's Address Book","Boynton Beach, FL",2,0.00110046109319805,317
"Bob Damron's Address Book","Bozeman, MT",73,0.0401668299017288,246
"Bob Damron's Address Book","Bradenton Beach, FL",5,0.00275115273299512,314
"Bob Damron's Address Book","Bradenton, FL",62,0.0341142938891396,257
"Bob Damron's Address Book","Bradford, PA",1,0.000550230546599025,318
"Bob Damron's Address Book","Bradley, CA",3,0.00165069163979707,316
"Bob Damron's Address Book","Brainerd, MN",1,0.000550230546599025,318
"Bob Damron's Address Book","Brandon, FL",2,0.00110046109319805,317
"Bob Damron's Address Book","Brandon, VT",2,0.00110046109319805,317
"Bob Damron's Address Book","Branson, MO",8,0.0044018443727922,311
"Bob Damron's Address Book","Brattleboro, VT",66,0.0363152160755357,253
"Bob Damron's Address Book","Brattlebro, VT",5,0.00275115273299512,314
"Bob Damron's Address Book","Brattlesboro, VT",2,0.00110046109319805,317
"Bob Damron's Address Book","Brawley, CA",5,0.00275115273299512,314
"Bob Damron's Address Book","Brazil, IN",6,0.00330138327959415,313
"Bob Damron's Address Book","Brea, CA",21,0.0115548414785795,298
"Bob Damron's Address Book","Breckenridge, CO",44,0.0242101440503571,275
"Bob Damron's Address Book","Bremerton, WA",79,0.043468213181323,240
"Bob Damron's Address Book","Brentwood, CA",3,0.00165069163979707,316
"Bob Damron's Address Book","Brentwood, NY",4,0.0022009221863961,315
"Bob Damron's Address Book","Brewer, ME",1,0.000550230546599025,318
"Bob Damron's Address Book","Brewster, MA",1,0.000550230546599025,318
"Bob Damron's Address Book","Brewster, NY",4,0.0022009221863961,315
"Bob Damron's Address Book","Briarwood, NY",1,0.000550230546599025,318
"Bob Damron's Address Book","Brick Town, NJ",2,0.00110046109319805,317
"Bob Damron's Address Book","Bricktown, NJ",6,0.00330138327959415,313
"Bob Damron's Address Book","Bridgehampton, NY",10,0.00550230546599025,309
"Bob Damron's Address Book","Bridgeport, CT",142,0.0781327376170615,186
"Bob Damron's Address Book","Bridgeport, PA",35,0.0192580691309659,284
"Bob Damron's Address Book","Bridgeton, MO",5,0.00275115273299512,314
"Bob Damron's Address Book","Bridgeville, PA",7,0.00385161382619318,312
"Bob Damron's Address Book","Bridgewater Corners, VT",4,0.0022009221863961,315
"Bob Damron's Address Book","Bridgewater, NH",7,0.00385161382619318,312
"Bob Damron's Address Book","Brigham City, UT",1,0.000550230546599025,318
"Bob Damron's Address Book","Brinnon, WA",4,0.0022009221863961,315
"Bob Damron's Address Book","Bristol, CT",13,0.00715299710578732,306
"Bob Damron's Address Book","Bristol, PA",52,0.0286119884231493,267
"Bob Damron's Address Book","Bristol, RI",1,0.000550230546599025,318
"Bob Damron's Address Book","Bristol, TN",14,0.00770322765238635,305
"Bob Damron's Address Book","Bristol, VA",16,0.0088036887455844,303
"Bob Damron's Address Book","Brockton, MA",19,0.0104543803853815,300
"Bob Damron's Address Book","Bronx, NY",16,0.0088036887455844,303
"Bob Damron's Address Book","Brookfield, CT",7,0.00385161382619318,312
"Bob Damron's Address Book","Brookhaven, MS",10,0.00550230546599025,309
"Bob Damron's Address Book","Brookings, SD",19,0.0104543803853815,300
"Bob Damron's Address Book","Brookline, PA",2,0.00110046109319805,317
"Bob Damron's Address Book","Brooklyn Heights, NY",29,0.0159566858513717,290
"Bob Damron's Address Book","Brooklyn, IL",3,0.00165069163979707,316
"Bob Damron's Address Book","Brooklyn, MI",13,0.00715299710578732,306
"Bob Damron's Address Book","Brooklyn, NY",144,0.0792331987102596,184
"Bob Damron's Address Book","Brownsville, TX",37,0.0203585302241639,282
"Bob Damron's Address Book","Brunswick, ME",49,0.0269612967833522,270
"Bob Damron's Address Book","Brunswick, OH",5,0.00275115273299512,314
"Bob Damron's Address Book","Bryan - College Station, TX",1,0.000550230546599025,318
