"title","type","address","city","state","description","stars","star.type","notes","year","unclear.address","statewide.address","mentions.race","mentions.disability","transcription.method"
"Magnolia","Music Production","21 S 15th St","Birmingham","AL","35205 Arrange concerts, etc.","","","",1985,"FALSE","TRUE","FALSE","FALSE","manual"
"Lodestar Books","Alternative Bookstore","2020 11th Avenue, South (Five Points South)","Birmingham","AL","Tel. 939-3356. Gay & lesbian books, feminist books","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Rodofo's Holiday Inn","Bars","Ross Clark Circle","Dothan","AL","","**","Bars, Clubs, Coffeehouses","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"FATS","Bars","315 South 2nd","Gadsen","AL"," Tel. 546-4522. ","*","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"HELPLINE","Services","","Huntsville","AL","Tel. 539-3424","","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Atlantis","Bars","2572 Sparkman Drive","Huntsville","AL","Tel. 852-9990","**","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Avenue 54","Bars","","Huntsville","AL","The Mall;  Tel. 536-0301. Show bar + quiet lounge.","**","Bars, Clubs, Coffeehouses","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Books as Seeds","Alternative Bookstore","202 Andrew Jackson Way","Huntsville","AL","Tel. 533-0270. Gay and lesbian, feminist titles.","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Club Park Avenue","Bars","7, South Joachim Street","Mobile","AL","Tel. 433-9105","**","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Society Lounge","Bars","51 South Conception","Mobile","AL","Tel. 433-9141.","**","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"The Corral","Bars","54 South Conception","Mobile","AL"," Tel. 433-9258","MGM**","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Gulf Alliance for Equality ","Groups","","Mobile","AL","Tel. 476-5171","*","Organizations","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"B & R Club","Bars","211 Lee Street","Montgomery","AL","Tel. 262-9212. Thursdays are women's nights.","**(**)","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Skeeters","Bars","150 Lee Street ","Montgomery","AL","Tel. 265-8290. Disco, show-bar. ","**","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Metropolitan Community Church","Religious Groups","","Montgomery","AL","Tel. 264-7887.","","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"The Chukker","Bars","2121 6th Street","Tuscaloosa","AL","","*","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Gay/Lesbian Group","Groups","","Tuscaloosa","AL","Tel. 939-1543","*","Organizations","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Another World Magazine, Alabama Forum: LAMBDA","Publications","P.O. Box 55913","Birmingham","AL","Gay/lesbian newspaper. Regional directory. $8.00 p.a.","","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Starlight Club","Bars","Old Calion Highway;","El Dorado","AR","Tel. 863-9701.","*","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"News of the Gay and Lesbian Community","Publications"," P.O. Box 2897;72701","Fayetteville ","AR","Arkansas Gay & Lesbian Rights of Fayetteville,-Tel. 521-4509 & 443-0661. ","","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"The Closet","Bars","275 Huntsville Road","Fayetteville ","AR","Tel. 442-9552. ","**","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Tisza's","Bars","4630 North College Avenue","Fayetteville ","AR","Tel. 442-9685 ","**","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Metropolitan Community Church of the Ozarks","Religious Groups","P.O. Box 92","Fayetteville ","AR","Tel. 443-4278","","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Parents and Friends of Lesbians and Gays","Parents Group","","Fayetteville ","AR","Tel. 521-4509. ","*","Organizations","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Village Landing","Bars","3028 North 6th","Fort Smith","AR","Tel. 783-9101 ","***","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Our House Lounge & Restaurant","Bars","336 Central Avenue","Hot Springs","AR","Tel. 624-6868. Open Mon-Sat.","**","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Arkansas Advisor","Publications","P.O. Box 4397","Little Rock","AR","from UNIVERSAL PUBLISHERS, Tel. (501)225-1300. Complete list of local resources. Very helpful to GAIA'S GUIDE.","","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Gay Counselling Service","Services","409 Walnut ","Little Rock","AR"," Tel. 663-6455. ","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"National Organization for Women","N.O.W.","Box 622","Little Rock","AR","Tel. 663-8486.","","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Calamity's ","Bars"," 5922 South University","Little Rock","AR","Tel. 562-9041. Hours Monday-Friday 3 pm-1 am. Sat. noon-midnight.","****","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Silver Dollar","Bars","2710 Asher Avenue.","Little Rock","AR"," Tel. 663-9886.","****","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Metropolitan Community Church","Religious Groups","Box 1964","Little Rock","AR","Tel. 666-2404.","","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Gay A.A.","Groups","7509 Cantrell (Suite 102) Tanglewood Shopping Center","Little Rock","AR","","","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Grassroots Women's House","Centers","1524 South Summit","Little Rock","AR","Tel. 378-7851.","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Discovery Disco","Bar/Restaurant","1021 Jessie. ","Little Rock","AR","Tel. 664-4784 .. Frequent drag shows. ","**","Bar/Restaurant","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Metropolitan Community Church - of the Pines","Religious Groups","","Texarkana","AR","Tel. 772-1660.","","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Lesbian and Gay Community Switchboard","Services","","","AZ","Tel. 234-2752 (7pm-11pm) ","*","Hotels, Motels, Services?","",1985,"TRUE","TRUE","FALSE","FALSE","manual"
"Aradia Women's Bookstore","Feminist Bookstore","116 West Cottage","Flagstaff","AZ","Tel. 779-3817","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"The Directory","Publications","PO Box 25073","Phoenix","AZ"," 85002 Tel. 277-0196. Gay resource and guide for Arizona. Extremely handy and extremely useful.","","","",1985,"TRUE","TRUE","FALSE","FALSE","manual"
"Western Express","Publications"," PO Box 32575","Phoenix","AZ"," Tel. 254-1324","","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Hotbods","Bars"," 3437 East McDowell Road","Phoenix","AZ","Tel. 252-9940","MGM**","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Incognito II","Bars"," 2601 West Camelback","Phoenix","AZ","Tel. 249-9658.","****","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Incognito Lounge","Bars","2424 East Thomas Road","Phoenix","AZ","Tel. 956-9940 ","***","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"New Moon","Bars","3108 East McDowell Road","Phoenix","AZ"," Tel. 275-0764. ","****","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"RAGS","Bars","2320 North 32nd Street.","Phoenix","AZ","Tel. 957-9929. Cocktail and dinners, Sunday brunch. Open till 3 am Sat.","****","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Casa de Cristo (M.C.C.)","Religious Groups","1029 E. Turney","Phoenix","AZ","Tel. 265-2831 ","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Oasis Metropolitan Community Church","Religious Groups","PO Box 10272;85064","Phoenix","AZ","Rev. Kay Palin, Pastor.","","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"FLAC: The Women's Center","Groups","1634 N. 7th Street","Phoenix","AZ","Newsletter.","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"The Grand Camel Club","Bar/Restaurant","5105 North 3rd Avenue","Phoenix","AZ","Tel. 841-6306","**","Bar/Restaurant","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Desert Adventures","Special Interest Groups","1129 W. Culver ","Phoenix","AZ","Tel. 257-9290. Activities group for gay women and men. ","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Gay Al-Anon","Special Interest Groups","6829 North 21st Avenue","Phoenix","AZ","Tel. 249-1257","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Parents and Friends of Gays","Special Interest Groups","4217 E. Hazelwood","Phoenix","AZ","Tel. 957-1738","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Ace Taxis","Taxi Cabs","","Phoenix","AZ","Tel. 956-1009","","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Discount Cab","Taxi Cabs","","Phoenix","AZ","Tel. 275-3538","","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Joseph A. Tuedt Jr.","Attorneys","","Phoenix","AZ","Tel. 231-0907 (private practice) ","","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"R. Hegyi","Card Shop"," 5150 North 7th Street","Phoenix","AZ","Tel. 277-1929","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Human Space","Alternative Bookstore","2401 North 32nd Street (no.5)","Phoenix","AZ","Tel. 956-6336.","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Women's Pages ","Publications","PO Box 384","Scottsdale","AZ","85252 Tel 947-5655. Statewide directory of women's resources, services and businesses Extremely handy.","","","",1985,"TRUE","TRUE","FALSE","FALSE","manual"
"Arizona Lesbian and Gay Task Force","Groups","P.O. Box 1405","Tempe","AZ","Tel. 234-2752","*","Organizations","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Arizona Gay News (AGN)","Publications","PO Box 5002","Tucson","AZ"," 85703. Tel 623-5268. Weekly gay newspaper, full of Arizona news and resources","","","",1985,"TRUE","TRUE","FALSE","FALSE","manual"
"Switchboard ","Services","","Tucson","AZ","Tel. 792-3772","","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Collette's","Bars","2849 North First Ave.","Tucson","AZ","Tel. 622-9733","***","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Rita's Rendezvous","Bars","3455 East Grant","Tucson","AZ","Tel. 327-3390","**","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Ruby's","Bars"," 2512 East Grant Road","Tucson","AZ","Tel. 327-0114","***","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"The Fine Line","Bars","101 West Drachman","Tucson","AZ"," Tel. 882-4953","**","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"The Graduate","Bars","23 West Washington Boulevard","Tucson","AZ","Tel. 622-9233. 
","***","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Tramps","Bars","616 North 4th Avenue ","Tucson","AZ","Tel. 882-0785.","**","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Dignity/Tuscon","Religious Groups"," PO Box 27929;85726","Tucson","AZ","Tel. 745-1812 & 297-6340. ","","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Metropolitan Community Church of Tuscon","Religious Groups","560 South Stone. ","Tucson","AZ","Tel. 622-4536 ","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Antigone Books","Feminist Bookstore","403 East Speedway","Tucson","AZ","Tel. 326-3332. Very well stocked, including: posters records cards, and gifts. + Bulletin board/local info center. Very helpful to GAIA'S GUIDE. They sell GAIA'S GUIDE. Say ""hi"" from GAIA. ","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"The Sidewalk Cafe","Restaurants","4784 Sunrise Drive","Tucson","AZ","Tel. 299-4500","*","Restaurants","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Joshua Tree","Bar/Restaurant","2921 North First Street","Tucson","AZ","Tel. 722-6233","MGM**","Bar/Restaurant","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Great Outdoors","Special Interest Groups","2772 West 8th Street","Tucson","AZ"," Tel (213) 385-4725 ","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Women on Wheels","Country Trips","","Tucson","AZ","Tel. 326-6008. Sightseeing around the desert, etc. with really nice women. ","","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Women for Nuclear Disarmament ","Organizations","","","CA","","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Sante","Fitness Center","847 San Pablo Avenue","Albany","CA","Tel. 526-5900. Fully equipped gym/sauna/Jacuzzi/steam baths/personalized exercise program/massage. Managed and operated by women.","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Casablanca","Bars","1209 20th Street.","Bakersfield ","CA"," Tel. 324-4769","**","Bar/Restaurant","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Twin Star","Bars"," 1030 20th St","Bakersfield ","CA"," Tel. 322-8901","**","Bar/Restaurant","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Metropolitan Community Church of Bakersfield ","Religious Groups","2413 Alta Vista Drive.","Bakersfield ","CA","Tel. 327-3724","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Cheese and Coffee Center","Restaurants","2110 Alston Way","Berkeley ","CA","Tel. 848-7115","*","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"The Brick Hut","Restaurants"," 3222 Adeline Ave","Berkeley ","CA","-fabulous food, open from 7am- lesbian owned and operated. ","**","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Vivoli's Ice Cream of Italy","Ice Cream Shop","Trumpetvine Court, 21154 Allston Way","Berkeley ","CA","tel. 845-6458. A women's collective serving truly exotic ice-cream, acknowledged hang-out. ","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"The Old Mole","Bookstore/Coffeehouse ","1942 University Walk","Berkeley ","CA","Tel. 540-6077. Serving espresso, drip coffee and pastries. + a fine selection of women's books. ","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Cody's Books","Bookstore","2454 Telegraph Avenue","Berkeley ","CA"," Tel. 845-7852. Good selection of feminist books. ","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"The Laughing Goddess Grotto","Spirituality Center","4118 Telegraph Ave","Berkeley ","CA","Tel. 653-4169. Kwan Yin & Venus of Willendorf image candles, oils, incense charcoal, ritual supplies. They also sell the mysterious and esoteric GAIA'S GUIDE. Send for their marvelous mail order catalogue","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"For Yourself","Sexuality Boutique","5467 College Avenue","Berkeley ","CA","Tel. 658-1904. Vibrators, massage oils, books, toys, and erotic art. Say 'hi' from GAIA. ","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Point of Departure","Travel Agencies","1660 Shattuck Avenue","Berkeley ","CA","Tel. 845-6636.-A woman-owned and operated travel agency Interested in furthering International feminist contact. ","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Pacific Center for Gay People","Centers","2712 Telegraph Avenue","Berkley","CA","Tel. 841-6245. (switchboard). Crises referrals for housing, jobs, etc., monthly newsletter and calendar of events, mental health services and switchboard. Many, many lesbian support and special interest groups. One of the best gay centers in the world.","***(**)","Organizations","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Feminist Women's Health Center","Health Center","2930 McClure Street","Berkley","CA"," Tel. 444-7664/444-5676. Full gynaecological services/lesbian health and now: their own sperm bank. By appointment only. Weekdays 9am-7pm.","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"SWITCHBOARD","Services","","Berkley/Oakland","CA","Tel. 665-7300, Mon-Fri. 10am-3pm. ","","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Berkley Women's Center","Centers","2908 Ellsworth. ","Berkley/Oakland","CA","Tel. 843-6194","***(**)","Organizations","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Metropolitan Community Church","Religious Groups","148 East 22nd Street","Costa Mesa","CA"," Tel. 545-6117 ","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Gays & Lesbians at Davis","Political Group","433 Russell Boulevard.","Davis","CA","Tel. 753-2090","*","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Driftwood Tavern","Bars","200 First Street","Eureka","CA","Tel. 442-9788. Gay some evenings only.","**","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Humboldt United Gays","Groups","207'G' Street - Suite 104","Eureka","CA","Tel. 442-5604. Answerphone. ","*","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Les Biens","Groups","","Fairfield","CA","Tel. (707)448-1010. (for messages and information)-Solano county women's support group. Free newsletter, nice women. ","**","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"The Front Runner","Publications","164 North Blackstone Ave., (suite 119)","Fresno","CA","Monthly local gay newspaper. Free at bars or $12.00 p.a.","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Fresno Gay Hotline","Services","Tel. 264-HELP","Fresno","CA","","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Desert Sun","Bars","408 N Blackstone","Fresno","CA","","MGM**","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"The Palace/Rawhide Room","Bars","4030 East Belmont avenue","Fresno","CA","Tel. 264-8283","MGM**","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Metropolitan COmmunity Church/Fresno","Religious Groups"," 4144 North Melbrook","Fresno","CA","Tel. 441-0105","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Gordick's","Bookstore"," 6015 North Palm Avenue;93704","Fresno","CA","Tel. 435-1845. Full selection of lesbian and gay titles, newspapers, including Front Runner, etc. Open Mon Fri. 10am-6pm/Sat. till 5pm/Closed Sundays. They sell GAIA'S GUIDE. Very nice people, say 'hi' from GAIA. ","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Meadow Lake Camp","Women's Holiday Rentals","Box 15419","Fresno","CA","Tel. (209)855-8994. Cabins, rooms and camp
spaces. Women-only camp secure and secluded in the Sierras.","","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"ASH","Services","11918 Garden Grove Blvd","Garden Grove","CA","Tel. 537-9968. HOTLINE: (714)534-5820. Nightly (AA) gay meetings, counseling, social and educational in a non-drinking environment. ","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Happy Hour","Bars"," 12081 Garden Grove Blvd","Garden Grove","CA","Tel. 537-9097","****","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Macie's Landing","Bars","8514 Garden Grove Blvd","Garden Grove","CA","Tel. 537-9958","***","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Rumour Hazzit","Bars","8741 Garden Grove Blvd","Garden Grove","CA","Tel. 534-9370","*","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"THe Mug","Bars","8612 Garden Grove Blvd","Garden Grove","CA","Tel. 534-9943","MGM**","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Metropolitan Community Church","Religious Groups","12012 Magnolia Ave L31","Garden Grove","CA","Tel. 636-6505","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Gay and Lesbian Community Services","Centers","12832 Garden Grove Blvd., Suite'E' ","Garden Grove","CA","Tel. 534 3261","***(**)","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Big Mama's","Bars","22615 Mission Blvd","Hayward","CA","Tel. 881-9310","*","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Driftwood Lounge","Bars","22170 Mission Boulevard.","Hayward","CA","Tel. 581-2050. Disco-light show and mist machine/pool tables and video games. Open every day 2pm-2am. 
","****","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"The Turf Club","Bars","22517 Mission Blvd","Hayward","CA","Tel. 881-9877","MGM**","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Faces","Bars","5520 Santa Monica Blvd","Hollywood","CA","Tel. 466-1094. Disco/video.","****","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Lesbian Central (Of The Gay And Lesbian Community Services Center)","Centers","1213 N Highland Ave","Hollywood","CA","90038. Tel.464-740-ext. 231. Services and activities and-support groups for lesbians-too numerous and diverse to list all of them here, but this is just about the most highly organized lesbian/gay center in the world and should be one of your first stops in L.A.-Assistance with housing and employment + these groups: Black Lesbians Support/Lesbian Mothers Support/Mixed After-school Rap/Senior Citizens & (projected) interest in gay/lesbian foster Parenting.","*****","Center","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"International National Gay Archives","Archives","1654 N Hudson Ave ","Hollywood","CA","Natalie Barney/Edward Carpenter Library, mail to: Po. Box 3g100; Hollywood,CA;90038. Location: 1654 North Hudson Ave,Hollywood-Tel. 463-5450. Lectures/discussions/film nights/theater parties/over 12000 books and many more Periodicals.","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"LO (Laguna Outreach)","Organizations","PO Box 1701","Laguna Beach","CA","Tel. 497-4237","*","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Mainstreet","Bars"," 1460 South Coast Highway","Laguna Beach","CA","Tel. 494-0056. Not really recommended.","MGM**","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Little Shrimp","Bar/Restaurant"," 1305 South Coast Highway","Laguna Beach","CA","Tel. 494-4111","*","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Fahrenheit 451","Bookstore"," 509 South Coast Highway","Laguna Beach","CA","Tel. 494-5151. Gay literature and periodicals-they sell GAIA'S GUIDE","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Coast Inn","Hotel"," 1401 South Coast Highway","Laguna Beach","CA","Tel. 494 7588","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Lesbian News","Publications","1025 Coronado","Long Beach","CA",". Full
of local Info and news. Very useful classified section. Sliding scale from $8.50
pa. Includes events calendar.","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Helpline","Services","","Long Beach","CA","Tel. (213)434-4455","","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Executive Suite","Bars","3428 East Pacific Coast Highway","Long Beach","CA","Tel. 597-3884. Sparkling
view/game room/penthouse disco. Open Weds-Sat. 6pm-2am/Sun. 5pm-2am.
Sunday beer bust 5-9pm, $3.00 all you can drink. 
","****","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Hoop's Coop","Bars","2718 East Anaheim Street.","Long Beach","CA","Tel. 424-1449. A real old-timer still going
strong. Beer and wine bar","****","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Le Cat","Bars","1435 East Broadway","Long Beach","CA","y;fel. 432-4146. Highly recommended","****","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Que Sera Sera","Bars","1923 East 7th Stree","Long Beach","CA","Tel. 599-6170.","****","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Metropolitan Community Church","Religious Groups","1231 Locust Ave","Long Beach","CA","Tel. 432-3641. Sunday services at 11am & 7:30p ","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
