"title","type","address","city","state","description","stars","star.type","notes","year","unclear.address","statewide.address","mentions.race","mentions.disability","transcription.method"
"Information Services Helpline","Information Services","","Huntsville","AL","Tel.539-3424","","Organizations","",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Metropolitan Community Church","Religious Groups","","Montgomery","AL","Gay Help Line -Tel. 476-9142","","Organizations","",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Golden Rod","Bars","219 Conti Street","Mobile","AL","Tel.433-9175 Women's bar and recommended some gay men, too","**","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Arkansas Advisor","Publications"," PO Box 4397","Little Rock","AR","Universal Publishers, P O Box 4397. Little Rock; 72214 Tel 225-1300.","","","PO Box, no street address",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Arkansas Gay and Lesbian Task Force","Organizations","PO Box 45053","Little Rock","AR","PO Box 45053, Little Rock 72214 -Tel 664-0227.","","","PO Box, no street address",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Hideout","Bars","Old Callon Highway","El Dorado","AR","T I B 3-9701","","Bars, Clubs, Coffeehouses","No stars",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Center Street Bar and Grill","Bars","10 Center Street","Eureka Springs","AR","Tel 253-8102","*","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Greenwood Hollow Ridge","Guest Houses / Bed and Breakfast","Rt 4 Box 155","Eureka Springs","AR","Roule 4, Box 155. Eureka Springs, 72 32 -Tel. 253-5283 Woman-owned b d and breakfast lor lesbians and gay men. Highly recommended. say 'hi' from GAIA","","","Star type for guest house without stars?",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"News of the Gay and Lesbian Community","Publications","PO Box 2897","Fayetteville","AR","from Arkansas Gay & Lesbian Rights of Fayetteville. PO Box 2897. 72701 -Tel 521-4509 / 443 0661","","","Star type for publications?",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Women's Library","Library","632 West Dickson Street","Fayetteville","AR","Women's library, P. 0. Box 3220; 72702, -Tel. 443-4278. Phone up to confirm before visiting.","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Gay and Lesbian Student Association (GLSA)","Organizations","","Fayetteville","AR","AU 517, University of Arkansas; 72701","","","",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"GLAD: Gay / Lesbian Action Delegation","Organizations","PO Box 2897","Fayetteville","AR","PO Box 2897. 72702. No phone right now","","","PO Box, no street address",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Metropolitan Community Church","Religious Groups","PO Box 92","Fayetteville","AR","PO Box 92, 7270 I Tel 443-4278","","","PO Box, no street address",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Bumpers","Bars","605 South School Street","Fayetteville","AR","Tel 442-9685","**(MGM)","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Tisza's","Bars","4630 North College Avenue","Fayetteville","AR","Tel 442-9685","**(MGM)","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Reunion Station","Bars","426 West Dixon","Fayetteville","AR","72701-Tel.521-2008","**(MGM)","Bars, Clubs, Coffeehouses","Location of zip codes?",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"St. John's","Bars","214 North West Street","Fayetteville","AR","Tel 442-3052","**(MGM)","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Our House Lounge and Restaurant","Bars","226 Central Avenue","Hot Springs","AR","Tel 624-6868","**","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Gay Counseling Services","Organizations","409 Walnut","Little Rock","AR","Tel. 374-3605","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"National Organization for Women","Organizations","PO Box 662","Little Rock","AR","Box 662; 72203 Tel. 227-0003","","","",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Metropolitan Community Church","Religious Groups","PO Box 1964","Little Rock","AR","Box 1964; 72203-fel. 753-7075","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Dignity","Religious Groups","PO Box 3015","Little Rock","AR","PO Box 3015, 72203-Tel. 835-6087","","","",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Silver Dollar","Bars","2710 Asher Ave","Little Rock","AR","Tel 663-9886","****","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Discovery III","Bars","1021 Jessie Road","Little Rock","AR","72202-(write PO Box 4699. 72204 -Tel 664-4 784 A private club. all lesbian gay and welcoming non-members who have a a copy of GAIA'S GUIDE (& admission charge, if any) Their women's entertainment nights are very very highly recommended say hi from GAIA Open seven days a week. 7pm-2am / 5am ","**(**)","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Calamity's","Bars","5922 South University","Little Rock","AR","Tel. 562-9041. Mon-Fri 3pm-1am &Sat. noon-midnight. ","****","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Fifth Gear","Bars","","Little Rock","AR","""666-1948--what is the new address?""","**","Bars, Clubs, Coffeehouses","no address",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Metropolitan Community Church","Religious Groups","PO Box 3012","Texarkana","AR","PO Box 3012, 75504","","","PO Box, no street address",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"BJ's Club","Bars","Farm Route 989","Texarkana","AR","7550 I Tel 832 3038","*","Bars, Clubs, Coffeehouses","Just mentions a road",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"New Moon","Bars","3108 East McDowell Road","Phoenix","AZ","Tel. 267-8707","****","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"HumanSpace Books, Inc.","Bookstores","1617 North 32nd Street #5","Phoenix","AZ","85008-Tel. 220-4419. Lesbian titles/ women's studies/ music/ T-shirts/GAIA'S GUIDE. BULLETIN BOARD and information cent r. Local and national publications and guide books, too numerous to list here. Say 'hi' from GAIA.","","Bookstores","Question about Apt. #'s",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Incognito Lounge","Bars","2424 East Thomas Road","Phoenix","AZ","Tel. 955-9805","****","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Majix","Bars","1019 East Indian School Road","Phoenix","AZ","Tel. 241-9122","****","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Network","Bars","3025 North 24th Street","Phoenix","AZ","Tel. 224-0922","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"New Talk of the Town Night Club","Bars","4301 North 7th Avenue","Phoenix","AZ","Tel. 248-8573","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Susan's Place","","204 Chisolm Trail","Prescott","AZ","86303 -Tel. 445-5673. Five lesbians offering bed and breakfast 'in the sparkling clean air two hours from Phoenix. $40.00 double/$20. 00 single. No smoking. Sale space for the chemically sensitive. Write or phone, no drop-ins. ","","","From here on, I'm omitting ""star type"" for entries with no stars.
",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Gay Info & Referral","Information Services","","Tucson","AZ","Tel. (602)881-Spm, Mon. -Friday.","","","",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"The Graduate","Bars","23 West University Boulevard","Tucson","AZ","Tel 622-9233 bar stop In Tucson, say 'hi' from GAIA","****","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Colette's","Bars","3143 East Speedway","Tucson","AZ","Tel 323-0008","***","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Rita's Rendezvous","Bars","3455 East Grant","Tucson","AZ","Tel 327 3390","**","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Casa de Cristo - Evangelical Metropolitan Community Church","Religious Groups","","Phoenix","AZ","1029 Turney -Tel 265-2831 Alcoholics anonymous support group","","Organizations","Cannot read address",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Lesbian and Gay Switchboard","Information Services","","Phoenix","AZ","Tel 234 2753 write to PO Box Operates Barn midnight. seven days a week","","","Refers to PO Box (not legible)",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"It's About Time","Bars","616 North Fourth Avenue","Tucson","AZ","Tel 882 3053","**","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Rumor Hazit","Bars","2222 North Stone","Tucson","AZ","Tel 791-0309 Disco bar","**","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Antigone Books","Bookstores","403 East 5th Street","Tucson","AZ","85705 Tel 7923715 Full range of lesbian titles and women's studies/music/jewelry & bulletin board and local information available. They carry Tucson Women's Yellow Pages I Lesbian Connection/Lesbian Ethics and many, many more excellent lesbianI feminist publications Your first stop in lesbian/ feminist Tucson. say 'hi' from GAIA","","","Location of zip codes?",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Enchanted Room Bookshop","Bookstores","808 East University","Tucson","AZ","(no 100); 85719 -Tel 622-8070. Lots of lesbian titles and women's studies No periodicals but they hav Tucson Women's Yellow Pages, say 'hi from GAIA","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"West Coast Wimen's Music and Comedy Festival (WCWMF)","Events","842 Chase Street","Sepulveda","CA","Yosemite Park in California on LABOR DAY WEEKEND, September, 1989. Five days and nights of music/ comedy /workshops/ crafts/ FILM FESTIVAL.","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Mariah Wilderness Expeditions","Adventure Vacations","P O Box 248","Point Richmond","CA","PO Box 248. Point Richmond CA. 480"" -Tel (415)233-2303 Women-owned, white water rafting","","","PO Box, no street address",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"June L. Mazer Collection","Library","3271 North Raymond Avenue","Altadena","CA","91001 -Tel. (818)79 t-4561. West Coast Lesbian Collections","","","Gaia category: ""Lesbian Archives."" Location of zip codes?",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"M&M","Guest Houses / Bed and Breakfast","PO Box 547","Albion","CA"," PO Box 547, Albion. CA, 95410 Lesbian owned land with camping special. ","","","Location of zip codes?",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Switchboard","Information Services","","Bakersfield","CA","Tel. 328-0729 TAPE","","","",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Gay / Lesbian Center","Organizations","2413 Alta Vista Drive","Bakersfield","CA","Tel. 328-0729","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Metropolitan Community Church of the Harvest / Community and Social Center","Religious Groups","2413 Alta Vista Drive","Bakersfield","CA","Box 30357; Tel. 327-3724 .. 24 hour community information tape: 328-0729. An excellent first contact in Bakersfield, say 'hi' from GAIA.","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Golden Girls","Bars","1030 20th Street","Bakersfield","CA","Tel. 325-8195","****","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"The Cellar","Bars","1927 K Street","Bakersfield","CA","Tel. 322-1229","**","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Tradewinds","Bars","1029 20th Street","Bakersfield","CA","Tel. 324-1384","**","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Eucalyptus Books","Bookstores","PO Box 2694","Bakersfield","CA","PO Box 2694; 93303 -Tel. (805)395-0527","","","PO Box, no street address",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Mama Bear's News and Notes","Bookstores","6536 Telegraph Avenue","Berkeley","CA","Packed lull of lesbian and feminist info on the East Bay Area. Huge local resource list for groups, etc. , also very useful classified section, book reviews, etc.","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"KPFA","Radio","2207 Shattuck Ave","Berkeley","CA","Public radio station. It actually has a Women's Department and regularly broadcasts women's news, music and features.","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Pacific Center for Human Growth","Organizations","2712 Telegraph Avenue","Berkeley","CA","Tel. 841-6224. (switchboard). Crises referrals for housing, jobs, etc. , -. Mental health services/ SWITCHBOARD. 'We offer a variety of support groups for Lesbians, Gays & other sexual minorities. Emphasis on third world outreach.'","***(**)","Gay center with separate lesbian space and or groups using the premises","Emphasis on third world outreach.'",1989,"FALSE","FALSE","TRUE","FALSE","manual"
"Oakland Feminist Women's Health Center","Health Centers / Clinics / Counseling / Practitioners","McClure Street","Oakland","CA","","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Community Chiropractic","Medical Practitioners--Including Alternative","","Oakland","CA","Tel. 654-0276","","","Unclear whether this is Berkeley or Oakland",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Joreen Deabueno, DC","Medical Practitioners--Including Alternative","1456 San Pablo Avenue","Berkeley","CA","94702 -Tel 524-8362. Chiropractor.","","","Location of zip codes?",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Susan Drummond, DC","Medical Practitioners--Including Alternative","","","CA","Tel.268-8557","","","",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Nina Allen","Medical Practitioners--Including Alternative","","","CA","Tel. 547 1119-qualified acupuncturist","","","",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Sandra K. Wolter","Medical Practitioners--Including Alternative","","","CA","Tel 654-2611-massage","","","",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Holley Wieber, DDS","Medical Practitioners--Including Alternative","","","CA","Tel. 549-2814-dentist","","","",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Ollie's of Oakland","Bars","4130 Telegraph Avenue.","Oakland","CA","Tel. 653-6017. Lesbian super-bar. Dance hall/ gallery/ performance space (features the very best in women's entertainment)/ film shows. Recommended by everyone","****","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"The Barn","Restaurants and Cafes","1726West7thStreet","Oakland","CA","Tel 832-3996. Great recommendations, opens 10am-10pm M-F & 10am-8pm Sat","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"A Woman's Place Bookstore","Bookstores","4015 Broadway","Oakland","CA","New hour: 10am-6pm & till 9pm Weds. Closed Tuesdays. 10am-9pm /Th./ Fri/ Sat. Sun. 10am-6pm.","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Mama Bear's","Bookstores","6536 Telegraph Avenue","Oakland","CA","WOMEN ONLY in the evenings. 'A little isle of Lesbos'. They now sell crafts and jewelry, have their own newsletter and sell GAIA 'S GUIDE. Say 'hi' from GAIA. Open 10am-7pm every day. Now: outdoor patio and Sunday brunch. They have their own newspaper: MAMA BEAR'S NEWS & NOTES & OUR OWN & COMING UP & B. A. R.","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Paper Tiger Books","Bookstores","1543 Shattuck","Berkeley","CA"," 94709; -Tel 540-8899 Good used books. etc. Woman-owned and operated 'We buy books for cash or trade'.","","","Location of zip codes?",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"As You Like It Books","Bookstores","2556 Telegraph Avenue","Berkeley","CA","T I 848 2291 Women sbooks They run a series of women authors which Is superb","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Berkeley Women's Inn","Guest Houses / Bed and Breakfast","1411 Allston Way","Berkeley","CA","Lesbian household w,th one charming guest room and hot-tub $ 5 00 per night Write or phone up first, -no drop-,ns","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Phoenix Auto","Auto Repair","4200 A Street","Oakland","CA","Woman owned, VW & Toyota specialists.","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Wild Iris Women's Services","Organizations","633 North Main Street","Bishop","CA","Local, non-profit organization providing, information, intervention and support for survivors of sexual assault and domes1,c violence Advocacy/ sobering station, rape crises/ shelter/ child assault prevention program Out of the area?-call collect! say ""hi' from GAIA to these great new women doing great new things ","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Gay Hotline","Information Services","","Chico","CA","Tel. 891-5718","","","",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Parents and Friends of Gays","Organizations","555 Vallembrosa #73","Chico","CA","95926","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"RJ's 900 Cherry","Bars","900 Cherry Street","Chico","CA","Tel {916)893-0900","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Labry's Books","Bookstores","116 West 2nd Street","Chico","CA","Women's Books and Coffee-House. Feminist writers, political writers, Lesbian writers, novels, Sci-Fi, periodicals. Very friendly, helpful women, say 'hi' from GAIA. They sell GAIA 'S GUIDE (and would appear to have a real sense of humor) .","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Wild Iris Bookstore","Bookstores","143 A Harvard Avenue","Claremont","CA","Excellent selection of feminist and lesbian books, & spirituality, recovery, Native American, Black, Latina, science fiction & fantasy, mystery. Women's music & videos. Non-sexist children's books. Women's art and unique gifts. Author signings & a bulletin board for events. We carry GAIA 'S GUIDE, say 'hi' from GAIA. Hours: Tues- Sat. 10am-5: 30pm.","","","",1989,"FALSE","FALSE","TRUE","FALSE","manual"
"Blue Fish Cove","Guest Houses / Bed and Breakfast","10573 East Highway 20","Clear Lake","CA","mailing address: P 0. Box 1273, Clearlake Oaks, CA, 95423 -Tel. 998-1769. Lake front resort with 7 housekeeping cottages, boats and other facilities say 'hi' from GAIA","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"The Cabaret","Bars","9435 East Highway 20","Clear Lake","CA","Glenhaven -Tel. 998-1169.","","","Glenhaven may be a burrough? Category is actually: ""Women's Resort""",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Metropolitan Community Church","Religious Groups","","Clear Lake","CA","Tel. 827-2960","","","No address",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Fresno Gay Hotline","Organizations","","Clear Lake","CA","Tel 264 HELP","","","No address",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Lesbian and Gay Center","Organizations","606 East Belmont","Clear Lake","CA","Tel 268-3541","***","Centers","Look back through for ""centers""",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Metropolitan Community Church of the Vineyard","Religious Groups","606 East Belmont","Clear Lake","CA","Tel 441-0105","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"The Palace / Rawhide Room","Bars","4030 East Belmont Avenue","Clear Lake","CA","Tel. 264-8283","**","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Metro","Bars","1445 Tuolumne","Clear Lake","CA","Tel. 237-9540","**","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Valley Women","Bookstores","805 East Olive","Clear Lake","CA","93728. -Tel. 233-3600. Very well stocked shop run by helpful. friendly women, your local info center and first-stop ,n Fresno. Pick up your free copy of ANSWERS there, they sell GAIA'S GUIDE, be sure and say 'hi' from GAIA","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Gay and Lesbian Community Services Center of Orange County","Organizations","12832 Garden Grove Boulevard Suite #","Garden Grove","CA","92643 -Tel. 534 3261-(hotl,ne)","***(**)","Gay center with separate lesbian space and or groups using the premises","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"ASH - Alcoholism Services for Homosexuals, Inc.","Organizations","11918 Garden Grove Boulevard","Garden Grove","CA","Tel. 537-9968. HOTLINE: (714)534-5820. Nightly (AA) gay meetings, counseling, social and educational in a non-drinking environment.","","","Return to entries - addiction/recovery as disability",1989,"FALSE","FALSE","FALSE","TRUE","manual"
"Metropolitan Community Church","Religious Groups","12012 Magnolia Ave L31","Garden Grove","CA","Tel 636-6505","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Happy Hour","Bars","12081 Garden Grove Boulevard","Garden Grove","CA","Tel. 537-9097","****","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"The Gasp","Bars","8514 Garden Grove Boulevard","Garden Grove","CA","Tel. 638- 7422","****","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Driftwood Lounge","Bars","22170 Mission Boulevard","Hayward","CA","Tel.581-2050. Disco-lightshow and mist machine/ pool tables and video games. Open every day 2pm-2am.","****","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Information Services","Information Services","","Laguna Beach","CA","Tel. 497-4237","","","No address",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Different Drummer Bookshoppe","Bookstores","1027 North Coast Highway, Suite A","Laguna Beach","CA","your first stop in lesbian / feminist Laguna Beach - 92651; -Tel. 497-6699. A feminist/ lesbian bookstore with a strong gay section. Also excellent new age psychology/ spirituality/ and health section. Lesbian and gay music/ women's music/ buttons/ posters/ T-shirts. Free literature and a bulletin board for events. Author's nights/ poetry readings and discussions. 'We carry GAIA'S GUIDE' ... be sure and say 'hi' from GAIA. Acknowledged local meeting place and Information center. Your best bet as a first stop in Laguna Beach.","","","Location of zip codes?",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Mainstreet","Bars","1460 South Coast Highway:","Laguna Beach","CA","Tel. 494-0056.","**(MGM)","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Fahrenheit 451","Bookstores","509 South Coast Highway","Laguna Beach","CA","Tel. 494-5151. Gay / lesbian literature and periodicals. They sell GAIA'S GUIDE.","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Coast Inn","Guest Houses / Bed and Breakfast","1401 South Coast Highway","Laguna Beach","CA","Tel.494-7588 ""Road, south Lake Tahoe; ...","","","Confirmed address is in Laguna beach, but desc. says South Lake Tahoe",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Buddie's","Bars","1255 West Avenue","Lancaster","CA","One, Tel (805)945 2566","*","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"The Center","Organizations","2017 East 44th Street","Long Beach","CA","90814-1001; -Tel. 434-4455 Information I library / counselling / rap groups for lesbians and gay men Hours 10am-10pm Monday-Friday","***(**)","Gay center with separate lesbian space and or groups using the premises","Disambiguate ""organizations?"" & Location of zip codes?",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Metropolitan Community Church","Religious Groups","1231 Locust Avenue","Long Beach","CA","90813 -Tel. 432-3641 Office hours M-F, 9am-5pm Worship services, Sunday 11am-?pm. Wednesdays at 7pm Their newsletter. 'Outreach""-they have a church library, softball team and many. many social act1v1t1esSay 'h1'from GAIA","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Le Chat","Bars","1435 East Broadway","Long Beach","CA","Tel 432-4146. A woman's bar for ev ryone","****","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Executive Suite","Bars","3428 East Pacific Coast Highway","Long Beach","CA","Tel. 597 3884","****","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Whispers","Bars","5873 North Atlantic Avenue","Long Beach","CA","Tel 422-7927","****","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Que Sera, Sera","Bars","1923 East 7th Street","Long Beach","CA","Tel. 599-6170","****","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Hoop's Coop","Bars","2718 East Anaheim Street","Long Beach","CA","Tel 434-1449","****","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Rusty's","Bar / Restaurants","2336 Pacific Avenue","Long Beach","CA"," 90806 -Tel 427-2781 Opens Weds -Sat 5pm-10pm Pool tables, music. games. bar-Sunday brunch","****","Bar / Restaurants","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Corland's","Restaurants and Cafes","1538 Broadway","Long Beach","CA","","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Dodd's Books","Bookstores","4818 East 2nd Street","Long Beach","CA","Tel 438 9948 Feminist/tgay/ lesbian titles They sell GAIA'S GUIDE.","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
