"title","type","address","city","state","description","stars","star.type","notes","year","unclear.address","statewide.address","mentions.race","mentions.disability","transcription.method"
"Lesbian Task Force of N.O.W.","Group","","Phoenix","AZ","Tel. (602)-966-0039 and 255-0154 PO Box 11344; 85061.","**","Organizations","",1977,"checked","","",,"manual"
"Caterpillar Wings","Poetry/Music Collective","","Phoenix","AZ","Tel. 967-1994. ""Lesbian poets and songwriters. Let's get together and share.""","","","",1977,"checked","","",,"manual"
"Phoenixbird","Softball","","Phoenix","AZ","Tel. 268-8856 or see ""Women Rising"" for current details. ","","","",1977,"checked","","",,"manual"
"The Habit","Bar","7051 North 7th Street ","Phoenix","AZ","Tel. 994-9018 Women's Rock Bands","****","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Sportsmen's Lounge","Bar","4622 7th Street","Phoenix","AZ","Tel. 279-9041","***","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Diamond Lil's","Bar","3025 North 24th Street","Phoenix","AZ","Tel. 956-9937","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"The Talk of the Town","Bar","3701 North 16th Street","Phoenix","AZ","Tel. (602)-263-9960","****","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Unlimited","Bar","2320 North 32nd Street","Phoenix","AZ","Tel. (602)-957-9929","****","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"C.F.W.","Counseling Service","4216 North Brown No. 1","Scottsdale","AZ","Tel. (602) 994-5742 women counselors who concentrate on the needs of women. ","","","",1977,"","","",,"manual"
"The Women's Center","Women's Center","1430 South McAllister","Tempe","AZ","Tel. (602) 968-0743 ","","","",1977,"","","",,"manual"
"Free Spirit","Organization","","Tempe","AZ","Tel. (602)-966-5090 Helpline 271-0125 Saturday and Sunday nights from 8pm-12pm. ","***(**)","Organizations","",1977,"checked","","",,"manual"
"Tucson Women's Center","","6th Street","Tucson","AZ","Tel. 286-8856 (Phoenix Information for details) Mainly a crisis center for women - also a crash pad for needy travelers. Fantastic staff: helpful, really nice women. ","","","",1977,"checked","","",,"manual"
"Women's Colorado Land Collective","Land Trust","110 West Geneva Drive, Tempe Arizona","Tempe","AZ","Tel (602) 966-0039 Planning for a Southwest Women's Land Trust - one primary location will probably be in western Colorado - exploring and expanding the collective concept. ","","","",1977,"","","",,"manual"
"Antigone Books","Feminist Bookstore","415 North 4th Ave ","Tucson","AZ","","","","",1977,"","","",,"manual"
"Back Pocket/Stonewall ","Bar","2921 1/2 North First Ave","Tucson","AZ","Mostly gay men. ","","","",1977,"checked","","",,"manual"
"Nourishing Space","Retreat","","Vail","AZ","Tel 7991-7686 Cave Canyon Ranch Box D-11 85641","","","",1977,"checked","","",,"manual"
"The Women's Center","Women's Center","207 Razorback","Fayatteville","AR","Has a Lesbian Co-operative. ","****(*)","Organizations","",1977,"","","",,"manual"
"M.C.C. Study Group","Religious Group","","Fayatteville","AR","Tel. 521-5367","","","",1977,"checked","","",,"manual"
"Women's Land Trust","Land Trust","","Fayatteville","AR","Box 521 72701","","","",1977,"checked","","",,"manual"
"42nd Street","Bar","6449 West Dickson Street","Fayatteville","AR","Very gay with a huge dance floor. The entire building i s owned by gay people and it's got tons of potential. ","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"George's Lounge","Bar","519 West Dickson","Fayatteville","AR","","*","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"New Orleans Hotel","Hotel","","Eureka Springs","AR","Tel. (501)-253-8955 Feminist owned and highly recommended.","","","",1977,"checked","","",,"manual"
"Peacock Lounge","Bar","220 Central","Fort Smith","AR","Tel. 623-0227","**","Bars, Clubs, Coffeehouses ","",1977,"checked","","",,"manual"
"Bonnie's Lounge and Showbar","Bar","600 North Tenth Street","Fort Smith","AR","Tel. 783-9002","*","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Drummers Club in the Manning Motor Hotel","Bar","","Little Rock","AR","Tel 372-5141 Recommended as being very gay and a good place to ask for more info on the local scene. ","**","Bars, Clubs, Coffeehouses ","",1977,"checked","","",,"manual"
"Lesbians In the Law (LIL)","Lawyers Assocation","536 Mission Street","San Francisco","CA","Women's Association, Golden Gate University, Law School","","","Listed under ""California"" in scanned issue, not San Fran, CA. Though address is city specific, I believe it is a statewide entry(?)",1977,"","checked","",,"manual"
"California Land Trusts","Land Trust","1538 ""V"" Street","Matthews","CA","Home of the ""Bacchanal""","","","Listed under ""California"" in scanned issue, not Matthews, CA. Though address is city specific, I believe it is a statewide entry(?)",1977,"","checked","",,"manual"
"Bacchanal","","","Albany","CA","","","","",1977,"checked","","",,"manual"
"Plexus","Newspaper","2600 Dwight Way Room 209","Berkeley","CA","A tremendous source of information for all Lesbians in the Bay Area","","","",1977,"","","",,"manual"
"Berkeley Women's Center","Women's Center","2112 Channing Way ","Berkeley","CA","Tel. (415) 548-4343 2112 Channing Way.","****(*)","Organizations","",1977,"","","",,"manual"
"Kafeneo","Restaurants","1543 Shattuck Avenue","Berkeley","CA","Tel. 848-9664 ","","","",1977,"","","",,"manual"
"Pacific Center Community Services ","Women's Center","","Berkeley","CA","Tel. (415) 841-6224","***(**)","Organizations","",1977,"checked","","",,"manual"
"The Campground","Bar","2329 San Pablo Avenue","Berkeley","CA","Beer and Wine","****","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Barbara S. Arms, M.A.","Counseling Service","","Berkeley","CA","Tel. 626-7206. Counseling for Lesbians. ""No charge for initial lesson to see if we can work together.""","","","",1977,"checked","","",,"manual"
"Cheese and Coffee Center","Restaurants","2110 Center Street","Berkeley","CA","Tel. 848-7115","","","",1977,"","","",,"manual"
"Electric Banana","Bar","5625 Paradise Drive","Corte Madera","CA","Tel. 924-1546. Disco","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Everywoman's Clinic ","Clinic","2600 Park Avenue","Concord","CA","Tel. 825-7900 and 825-7903 Gynecological Services","","","",1977,"","","",,"manual"
"Bear Wallow Guest Ranch","Guest Ranch","","Boonville","CA","Tel. (707) 895-3435. Mostly gay men. Box 476 95415","**","Organizations","",1977,"checked","","",,"manual"
"Savoy","Bar","24969 Silverado","Cupertino","CA","Tel. 255-0195 Open: 2pm-2am. ""One of the greatest lesbian bars ever"" or ""Just some men and seedy with it!"" i.e. conflicting reports. ","****","Bars, Clubs, Coffeehouses ","(or is it *?)",1977,"","","",,"manual"
"Janice Macomber","PIano Tuning","","Emeryville","CA","Tel. (415) 652-6789","","","",1977,"checked","","",,"manual"
"Fogg's","Bar","E Street and Second","Eureka","CA","","***","Bars, Clubs, Coffeehouses ","",1977,"checked","","",,"manual"
"The Woods","Bar","1625 St. Francis Drake ","Fairfax","CA","Disco. ""Lots of gay women"" or has it ""gone straight?""","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"New Alibi","Bar","Foothill Boulevard at Fontana","Fontana","CA","","****","Bars, Clubs, Coffeehouses ","",1977,"checked","","",,"manual"
"Acacia","Bar","Citrus & Arrow","Fontana","CA","Sunday brunch. Open till 4am. Good dinners closed Mondays. ","***","Bars, Clubs, Coffeehouses ","",1977,"checked","","",,"manual"
"Lesbian and Sexuality Task Force","Organization","420 North Van Ness","Fresno","CA","Tel. 233-2384 93721","****(*)","Organizations","",1977,"","","",,"manual"
"Gay People's Union ","Organization","","Fresno","CA","Te. 237-6536 California State University Fresno 937004 c/o Student Affairs","**","Organizations","",1977,"checked","","",,"manual"
"Showbiz","Bar","1350 North Blackstone","Fresno","CA","Tel. 4486-7760 Dancing","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Hang Out ","Bar","6900 Motel Drive","Fresno","CA","Tel. 268-1562 90% Gay men. No dancing. ","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Mama Jeans","Bar","15215 South Crenshaw","Gardena","CA","","****","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"The Club","Bar","16805 South Western","Gardena","CA","","****","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Pit Stop","Bar","","Gardena","CA","17901-D South Vermont","*","Bars, Clubs, Coffeehouses ","",1977,"checked","","",,"manual"
"Juanita's","Restaurant/Bar","Arnold Drive","Glen Ellen","CA","","*","Bars, Clubs, Coffeehouses ","",1977,"checked","","",,"manual"
"Emma's Place","Women's Retreat","","Grover City","CA","Tel. (805)-489-9633 PO Box 717 93433","****(?)","Organizations","",1977,"checked","","",,"manual"
"South County Women's Center","Women's Retreat","","Hayward","CA","25036 Hilary","","","",1977,"checked","","",,"manual"
"Driftwood Lounge","Bar","22170 Mission Blvd","Hayward","CA","","","","",1977,"","","",,"manual"
"The Oracle","Feminist Bookstore","22640 Main Street","Hayward","CA","Tel. 886-1268 ""We sell Gaia's Guide""","","","",1977,"","","",,"manual"
"Long Beach Gay Hotline","Gay Hotline","","Long Beach","CA","Tel. (213) 591-7611","","","",1977,"checked","","",,"manual"
"Gay Students' Union","Gay Group","","Long Beach","CA","PO Box 3075 90803","*","Organizations","",1977,"checked","","",,"manual"
"Gay Outdoor Club","Gay Group","","Long Beach","CA","Tel. (213) 438-6029 PO Box 14403 90814 A group of gay women and men totally non-sexist. Activities include: beach cookouts, camping, hiking, prospecting, etc. ","*","Organizations","",1977,"checked","","",,"manual"
"Que Sera Sera","Bar","1415 Santa Fe Avenue","Long Beach","CA","Tel. 437-9351","****","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Li'l Lucy's ","Bar","1200 East Broadway","Long Beach","CA","Tel. (213) 436-3558","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Soujourner","Feminist Bookstore","538 Redondo Beach","Long Beach","CA","Tel. 433-5384","","","",1977,"","","",,"manual"
"The Lesbian Tide","Publication","1727 North Spring Street","Los Angeles","CA","Tel. (213) 839-7254 90012 $5.00 per year - $10.00 to institutions and overseas subscribers. An extremely sophisticated magazine, this bi-monthly is probably the most uncompromising and thoroughly lesbian publication of its kind in the world. ","","","",1977,"","","",,"manual"
"(Unnamed) Switchboard","Switchboard","","Los Angeles","CA","Tel. (213) 464-7485","","","",1977,"checked","","",,"manual"
"The Women's Building","Organization","1727 North Spring Street","Los Angeles","CA","This is a phenomenon in the Lesbian/Feminist scene. Purchased and organized with the proceeds from women's dances, the Women's Building houses: studio workshops and an art gallery, a restaurant, the Tide Collective office, Olivia Records, and performance space, plus the Sisterhood Bookstore. It is a center for these activities.: feminist study programs, therapy, art exhibits, and dances. ","","","",1977,"","","",,"manual"
"(Unnamed) Switchboard","Switchboard","","Los Angeles","CA","Tel. 466-4241","","","",1977,"checked","","",,"manual"
"Temple Beth Chayum Chadashim","Religious Organization","1945 Westwood Boulevard","Los Angeles","CA","Tel. (213) 552-2485. Friday Services: 8:15pm (Followed by Social hour) ""Where a woman is able to express her Jewishness feminism and gayness. We have the regular services of a female Rabbinic Intern and a female Cantorial Student. It was a beautiful experience to them lead our congregation during the High Holiday services"" Newsletter and phone recorder switchboard. ","","","",1977,"","","",,"manual"
"Alcoholism Center for Women","Organization","1147 South Alvarado Street","Los Angeles","CA","Tel. (213) 381-7805. ""offers a supportive, sisterly environment for every woman who feels like she has a drinking problem, and wishes to explore her alternatives. Counseling groups, recovery home, social activities, survival services. Coffeehouse nights plus Lesbian rap groups. ","****(*)","Organizations","",1977,"","","",,"manual"
"Gay Community Services Center","Organization","1213 North Highland","Los Angeles","CA","Tel 464-7485 Switchboard. Probably the most highly organized Gay Center in the world. ","***(**)","Organizations","",1977,"","","",,"manual"
"The Lesbian News","Publication","","Los Angeles","CA","PO Box 2023, Culver City 90230","","","",1977,"checked","","",,"manual"
"M.C.C.","Counseling Service","","Los Angeles","CA","Tel. 466-4241 (Hotline) Information and Counseling: Tel 7448-0121","","","",1977,"checked","","",,"manual"
"Dignity ","Counseling Service","","Los Angeles","CA","Tel. 664-2872 PO Box 6161 90055","","","",1977,"checked","","",,"manual"
"Joe's Place","Bar","2682 Long Beach Boulevard","Long Beach","CA","Tel. 426-8421","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Amazon Airwayys Collective, KPFK-FM","Radio and Television","","Los Angeles","CA","Tel (213) 390-7356 ""Need women to produce new shows - no previous experience in radio is necessary.","","","",1977,"checked","","",,"manual"
"Pernell Agencies","Travel Agency","3900 West Third Street","Los Angeles","CA","Might be just for gay men. ","","","",1977,"","","",,"manual"
"KTTV","Radio and Television","","Los Angeles","CA","Channel 11, Metro News at 11:30pm weeknights ""An unusual amount of Gay News""","","","",1977,"checked","","",,"manual"
"Wicca","Occult","","Los Angeles","CA","Tel. 399-3919 Occult literature and accessories for lesbians. ","","","",1977,"checked","","",,"manual"
"Plush Pony","Bar","5261 Alhambra","Los Angeles","CA","(El Sereno Area)","***","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Girl Talk ","Bar","757 South La Brea","Los Angeles","CA","","***","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Dianic Mechanics","Feminist Garage","","Los Angeles","CA","Tel. 931-0460. A place to get your car fixed and a way to learn more about it yourself. ","","","",1977,"checked","","",,"manual"
"Identified Woman Cafe","Feminist Restaurant","1727 North Spring Street","Los Angeles","CA","In the Women's Building. 11am-7pm Thurs, Fri, Sat","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Palms","Bar","8572 Santa Monica Boulevard","Los Angeles","CA","Tel. 652-6188. Recommended by Ruth (Who knows? Perhaps someone there asked her to dance)","","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Great American Dancing and Distillery Company","Restaurant/Bar","7713 Beverly Boulevard ","Los Angeles","CA","Tel. 936-5557","","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"David's","Restaurants","7013 Melrose Avenue","Los Angeles","CA","Tel. 934-5730","*","Restaurants","",1977,"","","",,"manual"
"Dummy Up","Bar","12179 1/2 Ventura Boulevard","Los Angeles","CA","Studio City, off the alley - one block west of Laurel Canyon. Open: Noon-2am every day. Pool table, dancing, softball team. ","****","Bars, Clubs, Coffeehouses ","",1977,"checked","","",,"manual"
"Love Inn","Bar","10700 Van Owen","Los Angeles","CA","Tel. 769-9215","***","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Hialeah House","Bar","8540 Lankershim","Los Angeles","CA","","****","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Carriage Trade","Restaurant/Bar","8077 Beverly Boulevard","Los Angeles","CA","Tel. 653-9337","***","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Oxwood Inn","Bar","13713 Oxnard at Woodman","Los Angeles","CA","Tel. 997-9666","***","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"The Canyon Room","Bar","13625 Moorpark St. ","Los Angeles","CA","Tel. 986-0285","***","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"The 49'r Disco","Bar","6411 Lankershim Boulevard","Los Angeles","CA","Tel. (213)-761-4966","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Brian's","Restaurants","11800 Ventura Boulevard","Los Angeles","CA","Recommended","*","Restaurants","",1977,"","","",,"manual"
"Westside Women's Clinic","Clinic","1711 Ocean Park Boulevard
","Santa Monica","CA","Tel. 450-2191","","","",1977,"","","",,"manual"
"Chez Jer","Bar","1717 Artesia Boulevard","Manhattan Beach","CA","Manhattan Beach/Redondo Beach","*","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Califia Inc","Feminist Shop","3415 North Highland Ave","Manhattan Beach","CA","Tel. 545-8717 Open Tues-Sat 11am-6pm. Sundays 11am-4pm. Closed Mondays. Books, periodicals, arts and crafts by women for women.","","","",1977,"","","",,"manual"
"Pink Elephant","Bar","2810 Main Street","Santa Monica","CA","Piano bar. Recommended","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"The Feminist Shop","Occult","4224 Lincoln Boulevard","Venice","CA","Tel. (213) 399-3919. Open: Mon, Thurs, Sat. Noon - 6:30pm. Herbs, books, Tarot reading, occult supplies.","","","",1977,"","","",,"manual"
"Golden Bull","Bar","170 West Channel Road","Santa Monica","CA","","*","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Mustang Club","Bar","413 North 7th Street
","Venice","CA","","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Righteous Ram","Bar","430 Washington","Venice","CA","","***","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Bishop's Coffeehouse/Womanspace","Coffeehouse","14137 Harrison","Oakland","CA","Tel. 444-9805 and 451-0395","**(**)","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"After Dark","Bar","214 Lighthouse Avenue","Venice","CA","Tel. (408) 373-7828. Mostly gay men. ","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Gilded Cage","Bar","420 Tyler","Venice","CA","Tel. 375-8878","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"I.C.I. Information Center Incorporate","Information Center","5251 Broadway","Oakland","CA","Tel. 654-9920. Lesbian books, magazines and newspapers. They sell Gaia's Guide","","","",1977,"","","",,"manual"
"Sidetrack","Bar","5384 Bancroft Avenue","Oakland","CA","Tel. 532-3820","****","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Whitehorse","Bar","6547 Telegraph ","Oakland","CA","Tel. 652-3820. Once again straight, voyeuristic men and some lesbians. It was the same in 1956 but then there really was no place else to go. ","*","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Grandma's House","Bar","135 12th Street","Oakland","CA","Restaurant and bar. Quite atmosphere, lively guitar music. Very highly recommended. ","****","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Jubilee","Bar","4900 Bancroft","Oakland","CA","","***","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"World Travel Bureau","Travel Agency","236 West Lincoln","Anaheim","CA","Tel. (714) 774-8800. May be just for gay men. ","","","",1977,"","","",,"manual"
"Gay Community Center of Orange County","Organization","12732 Garden Grove","Orange County","CA","Suites G & H. Tels. (714)-534-3280 and 534-3261 (hotline) and 534-5820 (Alcohol hotline) Their Gay Women's Groups are extremely active. Their publication is ""Focus"" monthly. They are definitely the people to contact if you are in one of those areas listed above. ","***(**)","Organizations","",1977,"","","",,"manual"
"Newport Station","Bar","1945 Placentia Ave","Costa Mesa","CA","Tel. (714) 631-0031. Good disco dancing and restaurant. Gay women and men. ","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Lesbian Group ","Group","","Fullerton","CA","California State University. They meet in the Women's Center on Thursday nights. ","**","Organizations","",1977,"checked","","",,"manual"
"The Horny Toad","Feminist Bookstore","716 West Commonwealth","Fullerton","CA","Lesbian titles plus sexuality and health.","","","",1977,"","","",,"manual"
"Happy Hour","Bar","12081 Garden Grove Boulevard","Garden Grove","CA","Tel. 537-9079. Cocktail hour, dinner, and dancing. ","****","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"D.O.K. West","Bar","12889 Garden Grove Boulevard","Garden Grove","CA","Tel. 534-0521","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"D.J.'s Disco","Bar","12625 Harbor","Garden Grove","CA","","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Knotty Keg","Bar","8932 Garden Grove Boulevard","Garden Grove","CA","","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Talk of the Town","Boutique","9922 Garden Grove Boulevard","Garden Grove","CA","Tel (714) 636-8111. Clothes for all occasions. Fun fashions just for you. ","","","",1977,"","","",,"manual"
"Granada Realtors","Realtors","","Garden Grove","CA","Tel. (714) 750-0842 Catherine Tatum, Broker Real Estate for you ","","","",1977,"checked","","",,"manual"
"The Mug","Bar","8612 Garden Grove Boulevard","Garden Grove","CA","Tel (714) 534-9943. The guys outnumber the gals but it's apparently quite o.k. anyway. ","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Little Shrimp","Bar","1305 South Coast Highway","Laguna Beach","CA","Tel. 494-4111","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"South Seas Bar","Bar","1401 South Coast Hiway","Laguna Beach","CA","Tel. 494-1588","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"M.C.C. ","Religious Group","964 Noria Street","Laguna Beach","CA","Tel. (714) 7552-1220","","","",1977,"","","",,"manual"
"Andree's ","Restaurants","1464 South Coast Highway","Laguna Beach","CA","Tel. 494-2528","*","Restaurants","",1977,"","","",,"manual"
"Main Street Bar","Bar","1460 South Coast Highway","Laguna Beach","CA","Tel. 494-0056. About 80% gay men, and could use some livening up. ","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"The Cottage","Restaurants","308 North Coast Highway ","Laguna Beach","CA","Tel. 494-3023 and 3025","*","Restaurants","",1977,"","","",,"manual"
"Feminist Forge","Feminist Shop","686 South Coast Highway","Laguna Beach","CA","Tel. (714) 494-7877 Feminist jewellery plus things like belts and buckles. ","","","",1977,"","","",,"manual"
"Pinokkio's","Bar","15122 Beach Boulevard","Midway City","CA","Tel. 897-6676","**(**)","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Lesbians in the Feminist Effort","Group","436 North Olive","Orange","CA","Tel. (714) 548-7896","**","Organizations","",1977,"","","",,"manual"
"Aunt Hattie's ","Bar","67800 Highway 111","Palm Springs","CA","Tel 328-9074","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Doll House","Bar","68-961 ""B"" Street","Palm Springs","CA","Just off Highway 111","***","Bars, Clubs, Coffeehouses ","",1977,"checked","","",,"manual"
"Desert Knight Motel","Motel/Bars","435 Avenida Olancha","Palm Springs","CA","","***","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Desert Palms Inn","Motel/Bars","67-580 Highway 111","Palm Springs","CA","Tel. 328-9000","*","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Desert Paradise Hotel","Motel/Bars","772 Prescott Drive","Palm Springs","CA","","*","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Harlow Haven Hotel","Motel/Bars","175 E Alameda","Palm Springs","CA","Tel. 325-9093","*","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Daily Double","Bar","3739 East Colorado Boulevard","Pasadena","CA","Tel. 449-8271","***","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Page One Books","Feminist Bookstore","26 North Lake Ave","Pasadena","CA","We sell Gaia's Guides","","","",1977,"","","",,"manual"
"Alibi East","Bar","225 South San Antonio","Pomona","CA","Disco","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Wayside Inn","Bar","","Redding","CA","One mile west on Highway 299","*","Bars, Clubs, Coffeehouses ","",1977,"checked","","",,"manual"
"Gay Line","Gay Hotline","","Redding","CA","Tel. 246-9686","","","",1977,"checked","","",,"manual"
"Circus Room","Bar","3800 7th Street","Riverside","CA","","*","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"M.C.C.","Religious Organization","5539 Mission Boulevard","Riverside","CA","Tel. (714) 682-7445 PO Box 2451 Riverside California 93509 Rap Groups, counseling, social activities (Rev Ms. Debbie Gendron)","","","",1977,"checked","","",,"manual"
"Red Shade","Bar","5539 Mission Boulevard","Rubidoux","CA","","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Noah's Ark","Bar","9117 River Road","Russian River","CA","Forestville","*","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Gay Crisis Line and Referral Service","Gay Hotline","","Sacramento","CA","Tel. 391-1544. 24 hours. Everything from therapy to current local community social activities. PO Box 215","","","",1977,"checked","","",,"manual"
"M.C.C.","Religious Organization","2741 34th Street","Sacramento","CA","Tel. 916-451-5552 Lots of activities and lots of lesbian participation. ","","","",1977,"","","",,"manual"
"Purple Tortoise","Bar","3480 West Capitol","Sacramento","CA","","***","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Grand Central","Bar","7th Street","San Bernadino","CA","Disco","**","Bars, Clubs, Coffeehouses ","",1977,"checked","","",,"manual"
"Skylark","Bar","Inland Center Drive","San Bernadino","CA","","**","Bars, Clubs, Coffeehouses ","",1977,"checked","","",,"manual"
"Pacific Coast Times","Publication","7985 Santa Monica Blvd","San Diego","CA","Tel. (714) 222-9678. Their L.A. office (address listed) PO Box 7173. Tel (213) 654-0454 Heavy on items of cultural interest plus education and reviews. Big glossy, fun reading...male oriented but with items of lesbian interest. ","","","",1977,"checked","","",,"manual"
"San Diego Son","Publication","","San Diego","CA","PO Box 813, Santee California, 92071. Bi-monthly news magazine of the San Diego area. Male owned but there are lesbians on the staff and they are looking for input from gay women. ","","","",1977,"checked","","",,"manual"
"Pathways","Emergency Services","4312 Cass","San Diego","CA","Pacific Beach 92109. 24 hour counseling service from gay women and men","","","",1977,"","","",,"manual"
