"title","type","address","city","state","description","stars","star.type","notes","year","unclear.address","statewide.address","mentions.race","mentions.disability","transcription.method"
"Maypole","Bars","2720-22 Main Street","Santa Monica","CA","Tel.399-9705.Disco. Open 8pm weekdays/4pm Sundays I.D. required.","**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Vermie's","Bars","3772 E. Foothill Boulevard","Pasadena","CA","Tel.(213)578-9359. Dancing, pool table. Local clientel- good atmosphere. Open: Mon.-Thurs.pm-midnight; Fri & Sat: noon-2am; Sun:Ncon-midnight. Very, very highly recommended.","****","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Lesbian Tide, Tide Publications","Publications","8706 Cadillac Avenue","Los Angeles","CA","Tel.(213)839-7254.The most sophisticated lesbian publication in the world. Local and international news in depth. Photos, reviews, resources. $6. 00 per year. $8.00 for Canada and overseas. Bi-monthly.","-","","",1981,"","","",,"manual"
"Westside","Restaurants","6112 Venice Boulevard","Los Angeles","CA","Tel.935-1274. Excellent 'homestyle' cooking. Gay clientel.","*","Restaurants","",1981,"","","",,"manual"
"Carriage Trade","Restaurants","","Hollywood","CA","More men than women but highly recommended. Excellent food.","**","Restaurants","",1981,"checked","","",,"manual"
"Westside Bar","Bar/Restaurant","6112 Venice Boulevard","Los Angeles","CA","Tel.935-1274.""Plano bar, low key and friendly. Mostly gay men but quite good for women too."" Recommended","**","Bar/Restaurant","",1981,"","","",,"manual"
"Apache","Bar/Restaurant","2214 Stoner Avenue","Los Angeles","CA","Open 6pm-2am. Dance bar and restaurant.","**","Bar/Restaurant","",1981,"","","",,"manual"
"Blue Angel","Bars","5472 Mission","Rubdoux","CA","","***","Bars, Clubs, Coffeehouses","Unsure why Blue Angel is listed twice in two separate cities.",1981,"","","",,"manual"
"Integrity","Religious Groups","at St. John's Episcopal Church.","Los Angeles","CA","Tel.931-8550","-","","",1981,"checked","","",,"manual"
"The Oracle","Feminist Bookstore","22640 Main Street","Hayward","CA","Tel.886-1268. They sell GAIA'S GUIDE.","-","","",1981,"","","",,"manual"
"Isla Vista Women's Center","Women's Centers","6503 Fardall","Isla Vista","CA","","****","Organizations","",1981,"","","",,"manual"
"Daily Double","Bars","3739 E. Colorado Boulevard","Pasadena","CA","Tel.578-9701. Pooltable, Juke box, club-like atmosphere. Open Sat &Sun:lpm-2an;Mon-Wed:5pm-midnight. Very, very highly recommended.","****","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"The Jack's","Bars","Deer Creek Plaza, 101 Broad Street","Nevada City","CA","Te1.265-5809. Food and cocktails.","**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Lesbians of Color","Third World Group","","Pasadena","CA","write Box 199.Pasadena.","**","Organizations","",1981,"checked","","checked",,"manual"
"The Happy Hour","Bars","12081 Garden Grove Boulevard","Garden Grove","CA","Tel. 537- 9079.Dinner and dancing. Cocktail hours, pool table and live bands. 4 highly recommended old-timer.","****","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Jett's Cafe & Art Haus","Coffeehouses","964 W. Manchester Avenue","Los Angeles","CA","","*","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Chez Claude","Restaurants","700 North Gardner","Los Angeles","CA","Tel.(213)651-5578.","*","Restaurants","",1981,"","","",,"manual"
"N.O.W. (Sacramento Chapter)","Groups","","Sacramento","CA","Tel.443-3470. 24 hour switchboard service. Newsletter.","-","","",1981,"checked","","",,"manual"
"Pickwick Books","Bookstore","6743 Hollywood Boulevard","Los Angeles","CA","Tel. 469-8191. Gay titles.","-","","",1981,"","","",,"manual"
"Women's Community Resource Center","Women's Centers","2625 East Third","Long Beach","CA","Tel.433-2183.Bisexual/Teminist group meets weekly.","****","Organizations","",1981,"","","",,"manual"
"Feminist Women's Health Center","Health Center","2930 McClure Street","Oakland","CA","Tel.(415)444-7664.","-","","",1981,"","","",,"manual"
"Sacramento Women's Center","Women's Centers","2104 Capitol Ave. ","Sacramento","CA","Tel.442-4657.","****(*)","Organizations","",1981,"","","",,"manual"
"Belinda Terrace","Bars","480 Pomona Mall West","Pomona","CA","Tel.(714)623-9474. Recommended.","**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Blue Angel","Bars","5472 Mission Boulevard","Riverside","CA","Tel.683-9520.","***","Bars, Clubs, Coffeehouses","Unsure why this is listed as having the same number as Circus Room in Redwood City. Different area code, or error?",1981,"","","",,"manual"
"M.C.C.","Religious Groups","4986 Fairfax Avenue","Oakland","CA","Tel.(415)533-4848. They own their own church and have a lesbian pastor plus lesbian student ministers. The congregation is about 60% lesbian | and they have many social activities and dances as well as religious services and counseling. Worship 1s Sundays at 6pm & Thursdays at 7pm. Their publication is: KRYSALIS-monthly","-","","",1981,"","","",,"manual"
"The Circle","Bars","2777 North Maroa","Fresno","CA","Tel.(209)224-0440.Veryhighly recommended. Discos and long happy hours.","***","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Old Town Bar & Grill","Bars","Second Street","Eureka","CA","Very mixed.","*","Bars, Clubs, Coffeehouses","Very mixed could refer to bar being friendly but not just lesbian, or could refer to race?",1981,"checked","","",,"manual"
"Fools Rush Inn","Resorts","P.O.Box 387","Little River","CA","Tel.(707 )937-5339.""Rustc cabins by the sea...we offer accomodation in a beautiful setting at reasonable price. We are gay-owned and operated.""","-","","",1981,"checked","","",,"manual"
"Sandwiched Inn","Restaurants","3943 Piedmont Avenue","Oakland","CA","Tel.655-1202.Lunches and dinners. Woman owned and recommended.","*","Restaurants","",1981,"","","",,"manual"
"Lesbian News","Publications","P.O. Box 2023, Culver City","Culver City","CA","Tel.837-6874.L.A. oriented monthly in big newsletter form. It’s full of local resources and inf ormation-includes a very useful classifiedsection. It’s one of my own favorites. $5.00 per year donation to cover postage and handling. Now includes the extremely useful and unique: RESOURCE REFERENCE LIST FOR THE SOUTHERN CALIFORNIA WOMEN'S COMMUNITY, (updated monthly)","-","","",1981,"checked","","",,"manual"
"Lesbian Rights Committee/NOW","Organisation and Services","420 North Van Ness","Fresno","CA","","****(*)","Organizations","",1981,"","","",,"manual"
"For Yourself","Sexual Boutique","5647 College Avenue","Oakland","CA","Tel. 658-1904.","-","","",1981,"","","",,"manual"
"Brave Bull","Bars","709 South 9th Street","Modesto","CA","Tel.529-6712.","**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Lost & Found","Bars","2105 Artesia Boulevard","Redondo Beach","CA","Tel.371-7859.Pleasant atmosphere, good disco, pool table, and outdoor patio","**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"GAF","Bars","68-555 E. Ramon Road","Palm Springs","CA","Tel.(714)328-9079.Disco, lounge and game rooms. Open:9pm-2am seven nights a week. O.K. for gay women.","MGM**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Lesbian Visions","Publications","c/o G.P.U.","Palo Alto","CA","Tel.(415)497-1488.","-","","",1981,"checked","","",,"manual"
"G.P.U.","Groups","P.O. Box 8265","Palo Alto","CA","Tel.(415)497-1488. Gay People's Union at Stanford Women's Collective. Legal and medical referrals, health clinic, emergency housing, local information, dances, raps, pot-lucks. Regular weekly meetings.","**","Organizations","",1981,"checked","","",,"manual"
"Holy Trinity Community Church","Religious Groups","5323 Lexington Avenue","Los Angeles","CA","Tel.(213)461-1647.","-","","",1981,"","","",,"manual"
"Odyssey","Bars","8471 Beverly Boulevard","Hollywood","CA","Tel.(213)658-8106. Young crowd—no alcohol. Pool and pin-ball. All gay. Open 9pm-4am. Recommended. ""Before and after hours dancing"".","***","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Big Horn","Bars","4482 Lankershim","North Hollywood","CA","Tel.980-9792. Dancing, pool table, pin-ball and still going strong.","****","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Santa Monica Bay Women's Club","Women's Club","1210 4th Street","Santa Monica","CA","","-","","",1981,"","","",,"manual"
"Coast Inn","Hotel","1401 South Coast Highway","Isla Vista","CA","Tel.(714)494-7588.","-","","",1981,"","","",,"manual"
"David's","Restaurants","7013 Melrose Avenue","Hollywood","CA","Tel.934-5730.""Excellent food, cozy fireplace atmosphere and more women are going all the time.""","*","Restaurants","",1981,"","","",,"manual"
"Red Lantern","Bars","4618 East Belmont","Fresno","CA","Tel.(209)251-5898.Western, but friendly to women. Pool table.","MGM**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"The Blue Book from Payne Publications","Resources and References","1651 Cosmo Street, suite 329","Los Angeles","CA","Tel. (213)966-5669. A complete source of information about gay L.A. & environs. $3.00 each-mail order.","-","","",1981,"","","",,"manual"
"Golden T's","Bars","740 Broadway","Long Beach","CA","","***","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"The Farmhouse","Resorts","7871 Trenton Road","Forestville","CA","Tel.(707)887-1623.","-","","",1981,"","","",,"manual"
"Skate World","Bars","3645 San Pablo Dam Road","El Sobrante","CA","Tel.(415)222-0244.Women's nights.","**(**)","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Main Street","Bars","1460 South Coast HIghway","Laguna Beach","CA","Tel.(714)494-0056. Friendly and casual. Affluent clientel. More women attending regularly.","**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Dummy Up","Bars","12179 1/2 Ventura Boulevard","Studio City","CA","Tel.980-9936.Dancing, pool table, soft-ball team. Open noon-2am very day. It’s locateoff the Alley—one block west of Laurel Canyon.","****","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Mi Wey (Safari)","Bars","11513 West Washington Boulevard","Hollywood","CA","el.391-9264. Disco dancing and pool tables. ""Great atmosphere."" Seven days a week.","****","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"A Woman's Place","Feminist Bookstore","5251 Broadway","Oakland","CA","Tel.547-9920. Lesbian books, periodicals, newspapers, magazines.","-","","",1981,"","","",,"manual"
"Red Dog Saloon","Bars","7302 Melrose Avenue","Hollywood","CA","","***","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"""MOM""--Guess What!""","Publications","Box 8170","Sacramento","CA","Tel.362-8283.Non-sexist gay newspaper. Events calender, resources,' community map, classified ads and business directory. News and reviews. $10.00 per year — monthly.","-","","",1981,"checked","","",,"manual"
"Rink's","Bars","15215 South Crenshaw. ","Gardena","CA","Showbar. Pool table. About 30% gay women.","**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"The Store","Bars","10937 Burbank Boulevard","North Hollywood","CA","Tel. 980-9798. Open 6am-6pm.","**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Back Door","Bars","Round Hill Village","Lake Tahoe","CA","Tel.(702)588-2515. Mostly gay men?","**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Bull 'n' Bear Saloon","Bars","420 Tyler Street","Monterey","CA","Tel- (408)372-8700. Two bars, one with small disco dance floor. ""A good place to drink and talk—relaxed, friendly atmosphere","***","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"The Church in Ocean Park","Religious Groups","235 Hill Street","Santa Monica","CA","Tel. 399-1631. ""Our space is available for events such as concerts, films, discussions, forums, meetings and theater.""","-","","",1981,"","","",,"manual"
"The Club","Bars","16805 South Western","Gardena","CA","","***","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
