record_id,ENTITY_ID,REASONING,CONFIDENCE
d-1988-01223,1,Error in processing,low
d-1988-01224,1,Error in processing,low
d-1988-01225,1,Error in processing,low
d-1989-01323,1,Error in processing,low
d-1989-01324,1,Error in processing,low
d-1992-01376,1,Error in processing,low
d-1990-01224,1,Error in processing,low
d-1991-03903,1,Error in processing,low
d-1995-03612,1,Error in processing,low
d-1997-04280,1,Error in processing,low
d-1998-07096,1,Error in processing,low
d-1999-01315,1,Error in processing,low
d-2000-01610,1,Error in processing,low
d-2001-01376,1,Error in processing,low
d-2002-03522,1,Error in processing,low
d-2003-02410,1,Error in processing,low
d-1996-01406,1,Error in processing,low
g-1977-00233,1,Error in processing,low
d-1996-01409,1,Error in processing,low
d-1998-06259,1,Error in processing,low
d-2000-01612,1,Error in processing,low
d-2001-01378,1,Error in processing,low
d-2002-03524,1,Error in processing,low
d-2003-02412,1,Error in processing,low
d-1997-03556,1,Error in processing,low
d-1999-01317,1,Error in processing,low
d-2003-02423,1,Error in processing,low
d-1990-01218,1,Error in processing,low
d-1992-01370,1,Error in processing,low
d-1993-01425,1,Error in processing,low
d-1994-01293,1,Error in processing,low
d-1995-03484,1,Error in processing,low
d-1991-01296,1,Error in processing,low
d-1998-00277,1,Error in processing,low
d-1998-00278,1,Error in processing,low
d-1998-00279,1,Error in processing,low
d-2002-00308,1,Error in processing,low
d-2002-00309,1,Error in processing,low
d-2003-00281,1,Error in processing,low
d-2003-00282,1,Error in processing,low
d-2003-00283,1,Error in processing,low
d-2003-00284,1,Error in processing,low
d-2003-00285,1,Error in processing,low
d-2003-00286,1,Error in processing,low
d-2003-00287,1,Error in processing,low
d-2003-00288,1,Error in processing,low
d-1983-00805,2,"Record shares the exact title “Boulder Hot Springs,” same city/state (Boulder, MT), same guidebook, and identical description of cruisy baths; matches other records from 1983–1989 in group.",high
d-1984-00793,2,"Same entity as above: identical title/description/location, Damron guide entry for Boulder Hot Springs in consecutive years.",high
d-1985-00842,2,"Same entity as above: title, description, and location unchanged, part of consistent listing sequence 1983–1989.",high
d-1986-00881,2,"Same entity: “Boulder Hot Springs” listing with consistent description and location, part of the continuous Damron listings.",high
d-1987-03537,2,"Same entity: identical title/description/location, grouping all the cruisy-baths entries for Boulder Hot Springs.",high
d-1988-03607,2,"Same entity: despite slight variation in type field, title and description identify the same Boulder Hot Springs bathhouse.",high
d-1989-03606,2,Same entity: title “Boulder Hot Springs” with minor description typo (‘Cruisy Spa’) but matches location and successive-year pattern.,high
d-1990-03256,3,"Title still “Boulder Hot Springs,” same location, but type shifts to gyms/health clubs starting in 1990; continuous listing implies same entity undergoing category change.",high
d-1991-03424,3,"Continuation of the Boulder Hot Springs listing under gym/health club type, same city/state and local inquiry note.",high
d-1992-03681,3,"Continuation of the Boulder Hot Springs gym/health club category, identical description and location.",high
d-1993-03768,3,"Same entity: Boulder Hot Springs gym/health club entry, consistent across 1990–1993.",high
d-1994-03442,4,"Title evolves to “Boulder Hot Springs Hotel & Conference Ctr.,” same location, new amenities and conference focus but clearly continuation of the Hot Springs property.",high
d-1995-05309,4,"Title “Boulder Hot Springs Hotel & Retreat” with same phone number and P.O. Box, same location, evolution of property services indicates same entity.",high
d-1996-03822,4,Minor wording changes in description but identical phone/P.O. Box and location; continuation of the Hotel & Retreat listing.,high
d-1997-05512,4,"Same Hotel & Retreat property in Boulder, MT; consistent amenities, phone, and P.O. Box across years.",high
d-1999-05835,4,"Same Hotel & Retreat listing: identical property name and amenity features, continuity from 1994 onwards.",high
d-2000-04608,4,Same Hotel & Retreat: description narrows to retreat only but same phone and location details.,high
d-2001-07148,5,"Title “Diamond S Ranch & Hot Springs” matches across 1979–1981, same location and descriptive note (‘Steambath can be interesting’).",high
d-1981-01418,5,"Same entity: slightly varied title but identical name and description, same city/state, continuous listings in Damron guide.",high
d-1980-02017,5,Same ranch and hot springs property: identical descriptive phrase and location across years.,high
d-1979-01813,4,"No title provided but description and amenity features match the Boulder Hot Springs Hotel & Retreat entries (same amenities, call-for-info pattern).",medium
d-1998-01106,4,No title but phone/amenity pattern and location match the Hotel & Retreat listing; direct continuation of 2001 entry.,medium
d-2002-01174,4,"No title but same phone number, amenities, and workshop/massage notes as prior Hotel & Retreat entries, same entity.",medium
d-2003-01020,4,"No title but same phone number, amenities, and workshop/massage notes as prior Hotel & Retreat entries, same entity.",medium
d-2001-05410,6,"All three records share the same title ('Eagle Star Ranch'), exact street address ('330 E Boulder Pines Rd'), identical phone number (435/335-7438), and type ('Accommodations'). They appear in successive years of the same publication, indicating a continued listing of the same ranch.",high
d-2002-07643,6,"All three records share the same title ('Eagle Star Ranch'), exact street address ('330 E Boulder Pines Rd'), identical phone number (435/335-7438), and type ('Accommodations'). They appear in successive years of the same publication, indicating a continued listing of the same ranch.",high
d-2003-02425,6,"All three records share the same title ('Eagle Star Ranch'), exact street address ('330 E Boulder Pines Rd'), identical phone number (435/335-7438), and type ('Accommodations'). They appear in successive years of the same publication, indicating a continued listing of the same ranch.",high
