record_id,title,description,type,address,city,state,publication,year,notes,amenityfeatures,stars,star.type,full.address,status,geoAddress,lat,lon
g-1977-00228,Boulder County Women's Research Center,Tel 303 447-9675,Organization,1408 Pine Street,Boulder,CO,Gaia's Guide,1977,,,****,Organizations,,,,,
g-1977-00229,Lesbian Caucus of Women's Liberation Coalition,Tel. 303-492-7735 Office in the UMC on the University of Colorado at Boulder campus. ,Organization,,Boulder,CO,Gaia's Guide,1977,,,**,Organizations,,,,,
g-1977-00230,507 Bath ,Women's nites,Sauna,507 Canyon Boulevard,Boulder,CO,Gaia's Guide,1977,,,,,,,,,
g-1977-00231,Little Professor Book Center,Tel. 443-3390. Lots of lesbian and feminist titles. ,Bookstore,1344 Pearl,Boulder,CO,Gaia's Guide,1977,,,,,,,,,
g-1977-00232,Carnival Cafe,Natural foods,Restaurants,1843 Broadway,Boulder,CO,Gaia's Guide,1977,,,,,,,,,
g-1977-00233,Women's Crisis Line,Tel 492-8910. Lesbian counseling and referrals,Women's Crisis Line,,Boulder,CO,Gaia's Guide,1977,,,,,,,,,
g-1977-00234,Lambda Services Bureau,Tel. 475 8409 For Gay help and information,Services,,Colorado Springs,CO,Gaia's Guide,1977,,,,,,,,,
g-1977-00235,Women's Health Service Clinic,,Services,1703 North Weber,Colorado Springs,CO,Gaia's Guide,1977,,,,,,,,,
g-1977-00236,Sappho's (The Exit),21st Street exit off 24th West,Bar,2028 Sheldon Avenue,Colorado Springs,CO,Gaia's Guide,1977,,,****,"Bars, Clubs, Coffeehouses ",,,,,
g-1977-00237,Feminist Switchboard,"Tel. 320-5972 Woman to woman: more than a bookstore. Lesbian groups, woman energy exchange. This is the best place for a newcomer to find out what's happening in Denver. ",Services,,Denver,CO,Gaia's Guide,1977,,,,,,,,,
g-1977-00238,Velvet Hammer,,Bar,2638 West 23rd Avenue,Denver,CO,Gaia's Guide,1977,,,****,"Bars, Clubs, Coffeehouses ",,,,,
g-1977-00239,N.O.W. Lesbian Task Force,Tel. 798 3033 Women's Video workshops at Denver Community Video Center,Services,1459 Ogden Street,Denver,CO,Gaia's Guide,1977,,,**,Organizations,,,,,
g-1977-00240,Three Sisters,Open Mon-Sat 4pm-2am Sundays 4pm-12am,Bar,"3358 Mariposa 
",Denver,CO,Gaia's Guide,1977,,,****,"Bars, Clubs, Coffeehouses ",,,,,
g-1977-00241,Music Box,"Drag shows.
",Bar,717 East Colfax,Denver,CO,Gaia's Guide,1977,,,*,"Bars, Clubs, Coffeehouses ",,,,,
g-1977-00242,The Broadway,Tel. 861-0478 Mostly gay men but many women do go there. Disco dancing and live entertainment. ,Bar,1260 Broadway ,Denver,CO,Gaia's Guide,1977,,,**,"Bars, Clubs, Coffeehouses ",,,,,
g-1977-00243,Back Door,Show bar. ,Bar,1512 Broadway,Denver,CO,Gaia's Guide,1977,,,**,"Bars, Clubs, Coffeehouses ",,,,,
g-1977-00244,Global Village,"Tel 778-7214 Tues-Sat 9pm
",Restaurants,76 South Penn,Denver,CO,Gaia's Guide,1977,,,,,,,,,
g-1977-00245,Maxine's Place,Tel. 534-1202 Pizza homemade,Restaurants,823 14th Street,Denver,CO,Gaia's Guide,1977,,,,,,,,,
g-1977-00246,Alicia's Mexican Restaurant,,Restaurants,,Denver,CO,Gaia's Guide,1977,,,*,"Bars, Clubs, Coffeehouses ",,,,,
g-1977-00247,Woman Everywhere,KFML 12.90 am Some news about lesbian topics and issues. ,Radio and Television,,Denver,CO,Gaia's Guide,1977,,,,,,,,,
g-1977-00248,Lake Steak Baths,Women's nights. ,Steam Baths,2540 West Colfax Ave,Denver,CO,Gaia's Guide,1977,,,,,,,,,
g-1977-00249,Fort Collins Women's Center,Tel 484 1902,Organization,629 Howe Street,Fort Collins,CO,Gaia's Guide,1977,,,****,Organizations,,,,,
g-1979-00323,Big Mama Rag.,"80206. Tel. (303) 322-2010. $8.00 per year, USA and Canada. A fine and tenacious feminist monthly. Third-world orientation. Lesbian news and info. ""Big Mama Tag is a national feminist news journal which has been publishing for the past six years. It is dedicated to representing a feminist point of view and providing a forum for women to develop their theories and practices of feminism.""",Feminist Periodical,1724 Gaylord,Denver,CO,Gaia's Guide,1979,,,,,,,,,
g-1979-00324,Boulder Country Women's Resource Center,80302. Tel. (303) 447-9670.,Centers,1406 Pine St,Boulder,CO,Gaia's Guide,1979,,,****,Organizations,,,,,
g-1979-00325,Lilith,"80302. Tel. 443-9467. Lesbian/feminist selections. Poetry readings the first and third Sundays of each month. ""We sell Gaia's Guide.""",Bookstores,1743 Walnut,Boulder,CO,Gaia's Guide,1979,,,,,,,,,
g-1979-00326,Little Professor Book Center,Tel. 443-3390. Lots of lesbian and feminist titles. ,Bookstores,1344 Pearl,Boulder,CO,Gaia's Guide,1979,,,,,,,,,
g-1979-00327,Hide and Seek Complex,"Big disco, two bars.",Bars,512 W Colorado,Colorado Springs,CO,Gaia's Guide,1979,,,**,"Bars, Clubs, Coffeehouses",,,,,
g-1979-00328,Woman to Woman Feminist Center,"Tel. 320-5972. Open: Tues-Sat 10am-8pm. Center, referral service and the Woman to Woman Library. Highly recommended for those who are new to Denver. ",Feminist Center and Bookstore,2023 E Colfax,Denver,CO,Gaia's Guide,1979,,,****,Center,,,,,
g-1979-00329,The Velvet Hammer,"Open: Tues-Fri. 5pm-2am; Sat. 4pm-2am; Sun. 4pm-midnight. Dancing, pool table, women's groups, spaghetti nites. ""Group meetings welcome."" Very highly recommended. ",Bars,38th & Chesnut,Denver,CO,Gaia's Guide,1979,,,****,"Bars, Clubs, Coffeehouses",,,,,
g-1979-00330,Three Sisters,"Open: Mon-Sat. 4pm-2am; Sun. 4pm-midnight. ""Owned and operated by women for women."" ",Bars,3358 Mariposa ,Denver,CO,Gaia's Guide,1979,,,****,"Bars, Clubs, Coffeehouses",,,,,
g-1979-00331,Back Door III,(rear). Showbar.,Bars,1512 Broadway,Denver,CO,Gaia's Guide,1979,,,**(?),"Bars, Clubs, Coffeehouses",,,,,
g-1979-00332,The Broadway,Tel. 861-0478. MGM but many women do go there. Disco dancing and live entertainment. ,Bars,1260 Broadway,Denver,CO,Gaia's Guide,1979,,,**,"Bars, Clubs, Coffeehouses",,,,,
g-1979-00333,The Clover,"Tel. 922-9024. 60% gay men, 35% gay women and 5% straight. Country and western atmosphere. ",Bars,4801 Morrison Rd,Denver,CO,Gaia's Guide,1979,,,**(?),"Bars, Clubs, Coffeehouses",,,,,
g-1979-00334,The Apartment,open: 8 pm-midnight and Tuesday nite is drag night. Disco. Very popular with 50% gay women. Recommended.,Bars,1999 Lincoln St,Denver,CO,Gaia's Guide,1979,,,**,"Bars, Clubs, Coffeehouses",,,,,
g-1979-00335,Pearl Street,"between 13th & 14th on Pearl. Open: Mon-Sat. till 2am (after hours till 4am); Sun. till 2am. Disco music, restaurant at the back. 30% gay women. ""Hasn't picked up yet, nice place to go through."" Recommended. ",Bars,,Denver,CO,Gaia's Guide,1979,,,**,"Bars, Clubs, Coffeehouses",,,,,
g-1979-00336,Joyce Submarines,at Zuni. Tel. 455-8719,Restaurants,2411 W 44th ,Denver,CO,Gaia's Guide,1979,,,*,Restaurant,,,,,
g-1979-00337,Cafe Nepenthes,"Tel. 534-5423. Lunches, expresso, entertainment and late nite activity. ",Restaurants,1416 Market,Denver,CO,Gaia's Guide,1979,,,*,Restaurant,,,,,
g-1979-00338,Alicia's Mexican Restaurant,"Tel. 777-9904. ""Good, home-made food.""",Restaurants,278 S Downing,Denver,CO,Gaia's Guide,1979,,,*,Restaurant,,,,,
g-1979-00339,Elrond's,Tel. 839-5810.,Restaurants,13th & Grant,Denver,CO,Gaia's Guide,1979,,,*,Restaurant,,,,,
g-1979-00340,Woman to Woman,80206. Tel. 320-5972. Feminist bookstore and information center. (See Center listing.) ,Bookstores,2023 E Colfax,Denver,CO,Gaia's Guide,1979,,,,,,,,,
g-1979-00341,Colorado State University Women's Coalition,80523. Tel. (303) 491-5849. ,Centers,Box 112,Fort Collins,CO,Gaia's Guide,1979,,,****,Center,,,,,
g-1979-00342,Satisfy,80218. Tel. (303) 832-3832. Open: Mon-Sat. 10am-6pm. Lots of lesbian titles. Woman-owned. ,Bookstores,1431 Ogden St,Denver,CO,Gaia's Guide,1979,,,,,,,,,
g-1981-00380,Big Mama Rag,"Tel.(303)322-2010.
1 Feminist newspaper—third world orientation.lt’s six years old
and international in scope.$6.00 per year.Lots of resource and
| reference materlals--s trong lesbian/feminist orientation.
",Publications,"1724 Gaylord, 80206",Statewide,CO,Gaia's Guide,1981,,,-,,,,,,
g-1981-00381,Boulder County Women's Resource Center,"Tel.(303)447-9670.
",Women's Centers,1406 Pine Street,Boulder,CO,Gaia's Guide,1981,,,****,Organizations,,,,,
g-1981-00382,Metropolitan Community Church,Lesbian coffeehouse nights plus lesbian network meetings. See BIG MAMA RAG for all current details,Religious Groups,1520 Euclid,Boulder,CO,Gaia's Guide,1981,,,-,,,,,,
g-1981-00383,Little Professor Book Center,"Tel.443-3390
",Bookstore,1344 Pearl,Boulder,CO,Gaia's Guide,1981,,,,,,,,,
g-1981-00384,Women's Group/Lesbian Coalition,"They hold a women’s festival in July with music, food,
exhibits, information. ",Groups,University of Colorado,Colorado Springs,CO,Gaia's Guide,1981,,,**,Organizations,,,,,
g-1981-00385,The Place in the Back,"Dance floor/disco nights/floor shows/pool table. ""A good place to be alone or to meet new people"". Very highly recommended.",Bars,1710 La Crede,Colorado Springs,CO,Gaia's Guide,1981,,,****,"Bars, Clubs, Coffeehouses",,,,,
g-1981-00386,Hide & Seek Complex,Big disco with two bars. Lunches/dinners/drag shows/pin-ball and pool tables. 80% gay men but recommended as O.K. anyway.,Bars,512 West Colorado,Colorado Springs,CO,Gaia's Guide,1981,,,**,"Bars, Clubs, Coffeehouses",,,,,
g-1981-00387,Boxcar,Disco dancin/pool table and quite O.K.,Bars,5939 North Nevada,Colorado Springs,CO,Gaia's Guide,1981,,,MGM**,"Bars, Clubs, Coffeehouses",,,,,
g-1981-00388,The Exit,Dinners/juke box and pool table.,Bars,2028 Sheldon Avenue,Colorado Springs,CO,Gaia's Guide,1981,,,MGM**,"Bars, Clubs, Coffeehouses",,,,,
g-1981-00389,Woman to Woman,"el. 3 2 0-59 72
go there when you first hit Denver — very helpful, good women.
They sell GAIA’S GUIDE and an extremly full range of women’s
books and materials",Feminist Bookstore,2023 Colfax,Denver,CO,Gaia's Guide,1981,,,-,,,,,,
g-1981-00390,The Globe International,Tel.(303)534-6516. operated by women — great disco and pool room. Very highly recommended.,Bars,4501 Logan,Denver,CO,Gaia's Guide,1981,,,****,"Bars, Clubs, Coffeehouses",,,,,
g-1981-00391,Velvet Hammer,"Dancing, pool table, spaghetti nights, women's bands and group meetings. Very, very
highly recommended. Community oriented. Open Tues-Fri. 5pm-
2am;Sat. 4pm-2am & Sun. 4pm-midnight",Bars,38th and Chestnut,Denver,CO,Gaia's Guide,1981,,,****,"Bars, Clubs, Coffeehouses",,,,,
g-1981-00392,Three Sisters,"Owned and operated by women for women. Open Mon.-Sat 4pm-midnight. Very,
very highly recommended.",Bars,3358 Mariposa,Denver,CO,Gaia's Guide,1981,,,****,"Bars, Clubs, Coffeehouses",,,,,
g-1981-00393,Going Bananas,,Bars,3737 East Colfax,Denver,CO,Gaia's Guide,1981,,,****,"Bars, Clubs, Coffeehouses",,,,,
g-1981-00394,Back Door,"Entrance in the rear of the building.-- Recommended, ""For REAL brave women only"".",Bars,1260 Broadway,Denver,CO,Gaia's Guide,1981,,,**,"Bars, Clubs, Coffeehouses",,,,,
g-1981-00395,The Broadway,"Tel.861-0478. Disco Dancing and entertainment more gay men than women;—but it is apparently O.K.—However ""Friday and Saturdays nights there is a $5.00 cover charge for women"". (I?)
",Bars,1260 Broadway,Denver,CO,Gaia's Guide,1981,,,**,"Bars, Clubs, Coffeehouses",,,,,
g-1981-00396,Apartment,50% gay women and very popular. Disco and drag show nights. Open 8pm-midnight. Recommended.,Bars,1999 Lincoln Street,Denver,CO,Gaia's Guide,1981,,,**,"Bars, Clubs, Coffeehouses",,,,,
g-1981-00397,Joyce's Submarines,Tel. 455-8719 ,Restaurants,2411 West 44th,Denver,CO,Gaia's Guide,1981,,,*,Restaurants,,,,,
g-1981-00398,Cafe Nepenthes,"Te1.534-5423.
lunches,expresso, entertainment and late night activity",Restaurants,1416 Market,Denver,CO,Gaia's Guide,1981,,,*,Restaurants,,,,,
g-1981-00399,Alicia's Mexican Restaurant,"Tel.777-
9904. ""Good, home-made food"".
",Restaurants,278 South Downing,Denver,CO,Gaia's Guide,1981,,,*,Restaurants,,,,,
g-1981-00400,Elrond's,"Tel. 839-5810.
",Restaurants,13th and Grant,Denver,CO,Gaia's Guide,1981,,,*,Restaurants,,,,,
g-1981-00401,The Grist Mill,"Tel.893-6845.A good place to go for people-watching after the
bars close.",Restaurants,Speer Boulevard at West 8th Avenue,Denver,CO,Gaia's Guide,1981,,,*,Restaurants,,,,,
g-1981-00402,Zach's,".Tel.(303)831-0870
",Restaurants,1480 Humboldt,Denver,CO,Gaia's Guide,1981,,,*,Restaurants,,,,,
g-1981-00403,Women to Women,"Tel. (303)320-
9572. A full range of women’s books and periodicals and
nuch more. It’s a referral and information center,has a library
which includes all the titles the store carries and more+free
clothing and a monthly coffeehouse. Records/posters/buttons/
T-shirts/ cards/ menstrual sponges and GAIA’s GUIDE.
",Feminist Bookstore,2023 East Colfax,Denver,CO,Gaia's Guide,1981,"This seems to be a duplicate of the first mention, but because the style of address entry has changed (no longer adding ""street/avenue/etc"" to entries, also some more editorializing in description), I think it's because a different person took over typing partway through. The description is different from the first entry.",,-,,,,,,
g-1981-00404,Colorado State University Women's Coalition,Tel. (303)491-5879.,Women's Centers,"Box 122- Student Center, 80523.",Fort Collins,CO,Gaia's Guide,1981,,,****,Organizations,,,,,
g-1981-00405,Form,"Te l. ( 303 ) 861 - 1166. Original
designs — a woman owned business.",Jewelry/Crafts,723 East 17th Avenue,Denver,CO,Gaia's Guide,1981,,,-,,,,,,
g-1983-00483,Gay Help-Line,Tel. 471-4429. 6pm-9pm.,Services,,Colorado Springs,CO,Gaia's Guide,1983,,,,,,,,,
g-1983-00484,Narapa Institute,"80302 Tel. 444-0202. A small Arts college including dance, music, psychology, Buddhism, etc. Women and feminism in Buddhism symposium. It's extremely successful. About half the participants are Lesbian feminists.",,1111 Pearl St,Boulder,CO,Gaia's Guide,1983,,,,,,,,,
g-1983-00485,Womanventure Ranch,Tel. 388-7288. Open year round/call for directions.,Recreational Retreat,,Bailey,CO,Gaia's Guide,1983,,,,,,,,,
g-1983-00486,Big Mama Rag,80206. Tel. 322-2010. Feminist newspaper with lesbian content and lots of local resources. $7.00 per year.,Publication,1724 Gaylord,Denver,CO,Gaia's Guide,1983,"Under ""Statewide"" with no city listed",,,,,,,,
g-1983-00487,Colorado Springs Women's Health Clinic,Tel. 471-9492.,Health Center/Clinic/Counseling,111 E Dale St,Colorado Springs,CO,Gaia's Guide,1983,,,,,,,,,
g-1983-00488,The Gay and Lesbian Community Center of Colorado,"80218. Center: 1436 Lafayette St Tel. 831-6268 or 837-1598. This center is a truly successful alternative to the bar scene. Includes the EVERYWOMAN'S COMING OUT & SUPPORT GROUP, coffeehouse nights, gay/lesbian educators group, young lesbian mothers' group and Spanish information and support group. The center receives over 2,300 call and visits each month. Open from 10am-10pm Monday through Friday and 12 noon-10pm on Saturdays. They keep files on businesses, medical, counseling, housing, jobs, and much more. Extremely helpful to GAIA'S GUIDE. Their publication: COLORADO GAY & LESBIAN NEWS.",Center,PO Box 18467,Denver,CO,Gaia's Guide,1983,,,***(**),Organizations,,,,,
g-1983-00489,The Exit,(at south 21st Street) Tel. 634-9276. Pool table/sandwiches/ terrific soups/lunches served every day. 'Gay Women are Welcome Here'.,Bars,2028 Sheldon Ave,Colorado Springs,CO,Gaia's Guide,1983,,,**,"Bars, Clubs, Coffeehouses",,,,,
g-1983-00490,Hide and Seek Complex,Tel. 634-9303. Big disco with 3 bars. Lunches/dinners/drag shows/pin-ball and pool tables. Includes the separate women's bar NOW/WOMEN-disco. Tel. 473-3549.,Bars,512 W Colorado Ave,Colorado Springs,CO,Gaia's Guide,1983,,,**(**),"Bars, Clubs, Coffeehouses",,,,,
g-1983-00491,Out Front,(suite 100A); 80218. Mail to: PO Box 18597; 80218. Tel. 831-4137.,Publication,1245 E Colfax,Denver,CO,Gaia's Guide,1983,,,,,,,,,
g-1983-00492,The Gyde,80209 Tel. 778-1042.,Publication,PO Box 9469,Denver,CO,Gaia's Guide,1983,,,,,,,,,
g-1983-00493,Datacall,(Gay Community Center): Tel. 831-6268. Angry about police abuse or dis- crimination? Phone and report it. Alternate phone: 320-5972.,Services,,Denver,CO,Gaia's Guide,1983,,,,,,,,,
g-1983-00494,Double Standard,Tel. 477-5561. Denver's lesbian newspaper.,Publication,4090 Jason,Denver,CO,Gaia's Guide,1983,,,,,,,,,
g-1983-00495,Pike's Peak Metropolitan Community Church,meets at Unitarian Church 730 North Tejon Tel. 634-6186. Gayand Christian religious counselling/worship services.,Religious Groups,,Denver,CO,Gaia's Guide,1983,,,,,,,,,
g-1983-00496,Chrysalis Metropolitan Community Church,St Paul's Church: 1615 Ogden Tel. 329-0562. The congregation is highly lesbian. The pastor is Judy Dahl. Very supportive people.,Religious Groups,1615 Ogden ,Denver,CO,Gaia's Guide,1983,,,,,,,,,
g-1983-00497,The Group,"Tel. 831-0998. Outdoor/warm weather: bicyle trips, camping, picnics, hiking, running, backpacking, rafting and volleyball. Outdoor/cold weather: downhill and cross country skiing and ice skating. Year round: roller skating, concerts, movies, card games, photography and pot luck.",Special Interest Groups,PO Box 9733,Denver,CO,Gaia's Guide,1983,,,,,,,,,
g-1983-00498,Parents & Friends of Gays,Tel. 333-0286. Or check with Gay Community Center if there's any change in phone number.,Special Interest Groups,,Denver,CO,Gaia's Guide,1983,,,,,,,,,
g-1983-00499,Lavender and Old Lace,Tel. 322-8153. Lesbian S/M support group. Check with Gay Community Center if there happens to be a change in phone number.,Special Interest Groups,,Denver,CO,Gaia's Guide,1983,,,,,,,,,
g-1983-00500,Dignity/Denver,Tel. 480-1924 (Recorded message). Gay Catholics and their friends.,Religious Groups,,Denver,CO,Gaia's Guide,1983,,,,,,,,,
g-1983-00501,The Globe Internaitonal," (at 45th) Tel. 294-0323. A gay women's bar/ owned and operated by women. Great disco and pool room. Very highly recommended. Open 7pm-2am Tues-Sat.
",Bars,4501 Logan ,Denver,CO,Gaia's Guide,1983,,,****,"Bars, Clubs, Coffeehouses",,,,,
g-1983-00502,Three Sisters,Tel. 458-8926. Community minded all-lesbian bar. Dancing/pool table/game room.,Bars,3358 Mariposa St,Denver,CO,Gaia's Guide,1983,,,****,"Bars, Clubs, Coffeehouses",,,,,
g-1983-00503,Slightly Older Lesbians (SOL),"Tel. (Shirley) 428-80?3, This group meets the 4th Sat of each month at 7.30pm - at different locations. Ring the-Gay Community Center if there's any change in the phone number.",Special Interest Groups,,Denver,CO,Gaia's Guide,1983,,,,,,,,,
g-1983-00504,The Highland,Tel. 455-9978. A neighborhood type gay bar for women and their gay men friends. Great Mexican food/parties/2 pool tables. They sponsor a national league bowling team and have regular pool tournaments.,Bars,2532 15th St,Denver,CO,Gaia's Guide,1983,,,***,"Bars, Clubs, Coffeehouses",,,,,
g-1983-00505,Garbo's,Tel. 837-8219. Ultra elegant gay bar for women and men. Piano bar/excellent food.,Bars/Restaurants,116 E 9th Ave,Denver,CO,Gaia's Guide,1983,,,**,"Bars, Clubs, Coffeehouses",,,,,
g-1983-00506,The Grove,"Tel. 320-9205. A gay bar for women and men. 3.2 beer, juice, soft drinks. ",Bars,1618 E 17th Ave,Denver,CO,Gaia's Guide,1983,,,**,"Bars, Clubs, Coffeehouses",,,,,
g-1983-00507,Lipps,Tel. 233-5420. A gay bar for women and their gay men friends.,Bars,6300 W Colfax,Denver,CO,Gaia's Guide,1983,,,***,"Bars, Clubs, Coffeehouses",,,,,
g-1983-00508,BJ's Carousel & Restaurant,Tel. 777-9880. 'The nicest gay women in Denver come here.'A wonderful bar-gay artwork exhibited. Opens daily at 10am.,Bars/Restaurants,1380 S Broadway ,Denver,CO,Gaia's Guide,1983,,,**,"Bars, Clubs, Coffeehouses",,,,,
g-1983-00509,Rocky Mountain Women's Center and Bookstore, (1547 High; formulated address) Tel. 320-5972. Was WOMAN TO WOMAN - new plans. Perhaps check for recent details with the Gay Community Center.,Feminist Bookstore,1547 High,Denver,CO,Gaia's Guide,1983,,,,,,,,,
g-1983-00510,Cafe Du Monde (née Nepenthes),1416 Market Tel. 534-5423. Lunches/expresso/women * entertainers. Open 11am-midnight weekdays and till 2am weekends.,Coffeehouse,1416 Market ,Denver,CO,Gaia's Guide,1983,,,*,"Bars, Clubs, Coffeehouses",,,,,
g-1983-00511,New York Cafe,Tel. 321-2337. 'Supportive to gay women and men.',Bars/Restaurants,440 S Colorado Blvd,Denver,CO,Gaia's Guide,1983,,,**,"Bars, Clubs, Coffeehouses",,,,,
g-1983-00512,Category Six/A Gay & Lesbian Bookstore,"80218 Tel. 832-6263. An excellent first stop in Denver. They sell GAIA'S GUIDE and are extremely helpful, friendly people. Open Monday to Saturday 10am-7pm, Sunday 1pm-5pm. Be sure and say hi from GAIA.
",Gay/Lesbian Bookstore,909 E Colfax Ave,Denver,CO,Gaia's Guide,1983,,,,,,,,,
g-1983-00513,Woman Wise Healthcare,Tel. 320-1020. General health care clinic for women. Gyn care. Internal medicine physician.,Health Center/Clinic/Counseling,1829 High St,Denver,CO,Gaia's Guide,1983,,,,,,,,,
g-1983-00514,Denver Book Barter,Tel. 831-9768. Used books. Some feminist/gay and lesbian titles.,Bookstores,919 E Colfax Ave,Denver,CO,Gaia's Guide,1983,,,,,,,,,
g-1983-00515,Trilogy Bookstore,"80203. Tel. 722-7612. Good selection of gay/feminist and lesbian books. Open, weekdays 10am-9pm/Saturday to 7pm/Sunday 1-5pm.",Bookstores,630 E 6th Ave,Denver,CO,Gaia's Guide,1983,,,,,,,,,
g-1983-00516,Together Books,80203 Tel. 832-5171. Alternative books. Gay titles/lesbian titles/feminist titles. Open 9am to 6pm weekdays/Saturday 9am-7pm/Sunday 1pm-5pm.,Bookstores,200 E 13th Ave,Denver,CO,Gaia's Guide,1983,,,,,,,,,
g-1983-00517,Womanschool Network,(Lakewood)Tel.238-7837. General classes in subjects of interest to women-includes self-defense.,Classes,1005 Wadsworth,Denver,CO,Gaia's Guide,1983,,,,,,,,,
g-1983-00518,Northern Colorado LAMBDA,80631 Tel 346-4216.,Group,PO Box 338,Greeley,CO,Gaia's Guide,1983,,,*,Organizations,,,,,
g-1983-00519,The Club,Tel. 542-9847. A gay bar for men and women.,Bars,707 N Main St,Pueblo,CO,Gaia's Guide,1983,,,,,,,,,
g-1985-00004,Devika,Tel 355-9802. Custom-made couples rings and other original designs in precious metals.,Jewelry/Crafts,"1575 Race Street, Suite A",,CO,Gaia's Guide,1985,,,,,,,,,
g-1985-00005,Womanschool Network,Tel. 238-7837,Classes,1005 Wadsworth.,,CO,Gaia's Guide,1985,,,,,,,,,
g-1985-00012,Dignity , Tel. 480-1924 ,Religious Groups,,,CO,Gaia's Guide,1985,,,,,,,,,
g-1985-00446,Aspen Gay Community ,Tel. 925-9249,Groups,PO Box 3143; 81612,Aspen,CO,Gaia's Guide,1985,,,,,,,,,
g-1985-00447,Womanventure Ranch, Tel. 388-7288,Recreational Retreat,,Bailey,CO,Gaia's Guide,1985,,,,,,,,,
g-1985-00448,Gay Liberation U.M.C.,Tel. 492-8567 ,Organizations,28 Boulder,Boulder,CO,Gaia's Guide,1985,,,,,,,,,
g-1985-00449,Boulder Express,Tel. 433-8162,Bars,2075 30th St. Aspen Plaza,Boulder,CO,Gaia's Guide,1985,,,,,,,,,
g-1985-00450,Left Hand,"Tel. 443-8252. Lesbian/women's studies/gay titles, magazines & newspapers, posters, buttons, women's music, T-shirts and cards. Reading area, bulletin board; tea and coffee. They also sell GAIA'S GUIDE. ",Alternative Bookstore,1200 Pearl Street,Boulder,CO,Gaia's Guide,1985,,,,,,,,,
g-1985-00451,Hide and Seek Complex,Tel. 634-9303,Bars,512 West Colorado Ave,Colorado Springs,CO,Gaia's Guide,1985,,,**(**),,,,,,
g-1985-00452,Gay Helpline,Tel. 471-4429,Services,,Colorado Springs,CO,Gaia's Guide,1985,,,,,,,,,
g-1985-00453,The Exit, Tel. 634-9276,Bars,2028 Sheldon Ave,Colorado Springs,CO,Gaia's Guide,1985,,,**,,,,,,
