"","title","description","type","amenityfeatures","city","state","Year","notes","publication","country"
"25","'Hitch-Hikers'","carrying a newspaper rolled up","Cruising Areas","Cruisy Area","Denver","CO",1981,"","Bob Damron's Address Book","United States"
"26","'Hitch-Hikers'","","Cruising Areas","Cruisy Area","Denver","CO",1983,"","Bob Damron's Address Book","United States"
"27","'Hitch-hikers'","","Cruising Areas","Cruisy Area,(*)","Sioux Falls","SD",1981,"","Bob Damron's Address Book","United States"
"28","'Hitch-hikers'","","Cruising Areas","Cruisy Area","Washington","DC",1983,"","Bob Damron's Address Book","United States"
"29","'Hitch-hikers'","E. Speedway","Cruising Areas","Cruisy Area","Tucson","AZ",1983,"","Bob Damron's Address Book","United States"
"30","'Hitch-hikers'","","Cruising Areas","Cruisy Area","Phoenix","AZ",1983,"","Bob Damron's Address Book","United States"
"31","'Hitch-hikers'","","Cruising Areas","Cruisy Area","El Paso","TX",1983,"","Bob Damron's Address Book","United States"
"32","'Hitch-hikers'","4th Ave. & Hwy. 8","Cruising Areas","Cruisy Area,(AYOR)","Yuma","AZ",1983,"","Bob Damron's Address Book","United States"
"33","'Hitch-hikers'","N. Farwell & Prospect","Cruising Areas","Cruisy Area","Milwaukee","WI",1983,"","Bob Damron's Address Book","United States"
"34","'Hitch-hikers'","","Cruising Areas","Cruisy Area","Phoenix","AZ",1983,"","Bob Damron's Address Book","United States"
"35","'Hitch-hikers' 2nd & Roosevelt Sts.","","Cruising Areas","Cruisy Area","Phoenix","AZ",1981,"","Bob Damron's Address Book","United States"
"36","'Hitch-hikers' on 4th Ave. & Hwy 8","","Cruising Areas","Cruisy Area","Yuma","AZ",1981,"","Bob Damron's Address Book","United States"
"37","'Hitch-hikers' on E. Speedway","","Cruising Areas","Cruisy Area","Tucson","AZ",1981,"","Bob Damron's Address Book","United States"
"38","'Holdings' Little America Lodge","(jet. of I-25 & I-80)","Bars/Clubs","(M)","Cheyenne","WY",1981,"","Bob Damron's Address Book","United States"
"39","'Homo Heights'","","Cruising Areas","Cruisy Area","Dallas","TX",1981,"","Bob Damron's Address Book","United States"
"40","'Homo Heights'","Oaklawn & Lemmon","Cruising Areas","Cruisy Area","Dallas","TX",1983,"","Bob Damron's Address Book","United States"
"41","'In the woods'","","Cruising Areas","Cruisy Area,(AYOR)","Columbus","OH",1983,"","Bob Damron's Address Book","United States"
"42","'Info center 'Rest Stop' T-Room","","Cruising Areas","Cruisy Area","Texarkana","AR",1981,"","Bob Damron's Address Book","United States"
"43","'K' Mart","T-Room","Cruising Areas","Cruisy Area","Sierra Vista","AZ",1983,"","Bob Damron's Address Book","United States"
"44","'K' St.","","Cruising Areas","Cruisy Area","Washington","DC",1983,"","Bob Damron's Address Book","United States"
"45","'L' St. Beach","","Cruising Areas","Cruisy Area,(OC)","Boston","MA",1981,"","Bob Damron's Address Book","United States"
"46","'L' St. Beach","","Cruising Areas","Cruisy Area,(OC)","Boston","MA",1983,"","Bob Damron's Address Book","United States"
"47","'Milk Run'","Howard & Jackson Sts., betw . 16th & 18th, in vicinity of Bus Depot (Nights)","Cruising Areas","Cruisy Area","Omaha","NE",1983,"","Bob Damron's Address Book","United States"
"48","'P' St. Beach","(Georgetown)","Cruising Areas","Cruisy Area,(AYOR)","Washington","DC",1981,"","Bob Damron's Address Book","United States"
"49","'P' St. Beach","(Georgetown)","Cruising Areas","Cruisy Area,(AYOR)","Washington","DC",1983,"","Bob Damron's Address Book","United States"
"50","'Primrose Path'","Senate St. & grounds adj. to the Capitol","Cruising Areas","Cruisy Area,(AYOR)","Columbia","SC",1981,"","Bob Damron's Address Book","United States"
"51","'Primrose Path'","Senate St. & grounds adj. to the Capitol","Cruising Areas","Cruisy Area,(AYOR)","Columbia","SC",1983,"","Bob Damron's Address Book","United States"
"52","'Rest Stop '","just N. o f town","Cruising Areas","Cruisy Area","Hernando","MS",1983,"","Bob Damron's Address Book","United States"
"53","'Rest Stop'","","Cruising Areas","Cruisy Area","Baton Rouge","LA",1981,"","Bob Damron's Address Book","United States"
"54","'Rest Stop'","","Cruising Areas","Cruisy Area","Maple Hill","KS",1981,"","Bob Damron's Address Book","United States"
"55","'Rest Stop'","betw. Greenville & Anderson Ga.","Cruising Areas","Cruisy Area","Greenville","SC",1981,"","Bob Damron's Address Book","United States"
"56","'Rest Stop'","","Cruising Areas","Cruisy Area,(AYOR)","Easthampton","MA",1981,"","Bob Damron's Address Book","United States"
"57","'Rest Stop'","","Cruising Areas","Cruisy Area","Ruston","LA",1981,"","Bob Damron's Address Book","United States"
"58","'Rest Stop'","","Cruising Areas","Cruisy Area","Ft. Worth","TX",1981,"","Bob Damron's Address Book","United States"
"59","'Rest Stop'","","Cruising Areas","Cruisy Area","Mansfield","OH",1981,"","Bob Damron's Address Book","United States"
"60","'Rest Stop'","on old Hwy. 218 betw. Cedar Rapids & Iowa City (Summers only)","Cruising Areas","Cruisy Area,(AYOR)","Cedar Rapids","IA",1981,"","Bob Damron's Address Book","United States"
"61","'Rest Stop'","10 mi. S., just off Ind. 3","Cruising Areas","Cruisy Area","Muncie","IN",1981,"","Bob Damron's Address Book","United States"
"62","'Rest Stop'","(Both sides)","Cruising Areas","Cruisy Area","Batesville","MS",1981,"","Bob Damron's Address Book","United States"
"63","'Rest Stop'","","Cruising Areas","Cruisy Area","Morton","MS",1981,"","Bob Damron's Address Book","United States"
"64","'Rest Stop'","betw. Bath & Brunswick (S.)","Cruising Areas","Cruisy Area","Brunswick","ME",1981,"","Bob Damron's Address Book","United States"
"65","'Rest Stop'","","Cruising Areas","Cruisy Area","Belleville","MI",1981,"","Bob Damron's Address Book","United States"
"66","'Rest Stop'","","Cruising Areas","Cruisy Area","Marshfield-Pembroke","MA",1981,"","Bob Damron's Address Book","United States"
"67","'Rest Stop'","10 mi. W.  (The Playhouse')","Cruising Areas","Cruisy Area,(AYOR)","Akron","OH",1981,"","Bob Damron's Address Book","United States"
"68","'Rest Stop'","betw. Appleton & Green Bay","Cruising Areas","Cruisy Area","Appleton","WI",1981,"","Bob Damron's Address Book","United States"
"69","'Rest Stop'","","Cruising Areas","Cruisy Area","Dayton","OH",1981,"","Bob Damron's Address Book","United States"
"70","'Rest Stop'","12 mi. S.","Cruising Areas","Cruisy Area","Wilkes-Barre","PA",1981,"","Bob Damron's Address Book","United States"
"71","'Rest Stop'","5 mi. S. (Late nights)","Cruising Areas","Cruisy Area","Medford","OR",1981,"","Bob Damron's Address Book","United States"
"72","'Rest Stop'","","Cruising Areas","Cruisy Area,(AYOR)","Tempe","AZ",1981,"","Bob Damron's Address Book","United States"
"73","'Rest Stop'","7 mi. E. (Watchout for Highway Patrol)","Cruising Areas","Cruisy Area","Augusta","KS",1981,"","Bob Damron's Address Book","United States"
"74","'Rest Stop'","","Cruising Areas","Cruisy Area","Rutland","VT",1981,"","Bob Damron's Address Book","United States"
"75","'Rest Stop'","","Cruising Areas","Cruisy Area","Longview","TX",1981,"","Bob Damron's Address Book","United States"
"76","'Rest Stop'","Wilbur Cross Pkwy- E.","Cruising Areas","Cruisy Area","Orange","CT",1981,"","Bob Damron's Address Book","United States"
"77","'Rest Stop'","just N. of I-35 (Both sides)","Cruising Areas","Cruisy Area","Oklahoma City","OK",1981,"","Bob Damron's Address Book","United States"
"78","'Rest Stop'","Southbound","Cruising Areas","Cruisy Area","Chambersburg","PA",1981,"","Bob Damron's Address Book","United States"
"79","'Rest Stop'","","Cruising Areas","Cruisy Area","Walton","KS",1981,"","Bob Damron's Address Book","United States"
"80","'Rest Stop'","and adj. woods - 1 mi. E. of Rte. 119","Cruising Areas","Cruisy Area","Blairsville","PA",1981,"","Bob Damron's Address Book","United States"
"81","'Rest Stop'","4 mi. W.","Cruising Areas","Cruisy Area,(AYOR)","Olathe","KS",1981,"","Bob Damron's Address Book","United States"
"82","'Rest Stop'","","Cruising Areas","Cruisy Area,(AYOR)","Weymouth","MA",1981,"","Bob Damron's Address Book","United States"
"83","'Rest Stop'","just N. of N. Canton","Cruising Areas","Cruisy Area","Canton","OH",1981,"","Bob Damron's Address Book","United States"
"84","'Rest Stop'","","Cruising Areas","Cruisy Area","Wakarusa","KS",1981,"","Bob Damron's Address Book","United States"
"85","'Rest Stop'","betw. Bay City and Saginaw","Cruising Areas","Cruisy Area","Saginaw","MI",1981,"","Bob Damron's Address Book","United States"
"86","'Rest Stop'","just N. of 203","Cruising Areas","Cruisy Area","Owens","OH",1981,"","Bob Damron's Address Book","United States"
"87","'Rest Stop'","","Cruising Areas","Cruisy Area,(AYOR)","Pontiac","MI",1981,"","Bob Damron's Address Book","United States"
"88","'Rest Stop'","","Cruising Areas","Cruisy Area","Hattiesburg","MS",1981,"","Bob Damron's Address Book","United States"
"89","'Rest Stop'","in Minden","Cruising Areas","Cruisy Area","Shreveport","LA",1981,"","Bob Damron's Address Book","United States"
"90","'Rest Stop'","","Cruising Areas","Cruisy Area","Houston","TX",1981,"","Bob Damron's Address Book","United States"
"91","'Rest Stop'","6 mi. S.","Cruising Areas","Cruisy Area","Wilkes-Barre","PA",1981,"","Bob Damron's Address Book","United States"
"92","'Rest Stop'","at N. Attleboro","Cruising Areas","Cruisy Area","Attleboro","MA",1981,"Assuming this is also on I-95? Entry on pg. 230","Bob Damron's Address Book","United States"
"93","'Rest Stop'","","Cruising Areas","Cruisy Area","Lordsburg","NM",1981,"","Bob Damron's Address Book","United States"
"94","'Rest Stop'","8 mi. N.","Cruising Areas","Cruisy Area","Big Rapids","MI",1981,"","Bob Damron's Address Book","United States"
"95","'Rest Stop'","Southbound at Herman & Northbound at Carmel","Cruising Areas","Cruisy Area,(AYOR)","Bangor","ME",1981,"","Bob Damron's Address Book","United States"
"96","'Rest Stop'","2 mi. W. of town","Cruising Areas","Cruisy Area","Junction City","KS",1981,"","Bob Damron's Address Book","United States"
"97","'Rest Stop'","betw. Northampton & Holyoke (Mass arrests)","Cruising Areas","Cruisy Area,(AYOR)","Springfield","MA",1981,"","Bob Damron's Address Book","United States"
"98","'Rest Stop'","7 mi. S.","Cruising Areas","Cruisy Area","Everett","WA",1981,"","Bob Damron's Address Book","United States"
"99","'Rest Stop'","10 mi. E. of Junction City","Cruising Areas","Cruisy Area","Manhattan","KS",1981,"","Bob Damron's Address Book","United States"
"100","'Rest Stop'","at Attleboro","Cruising Areas","Cruisy Area","Attleboro","MA",1981,"","Bob Damron's Address Book","United States"
"101","'Rest Stop'","","Cruising Areas","Cruisy Area","Ogunquit","ME",1981,"","Bob Damron's Address Book","United States"
"102","'Rest Stop'","T-Room nr. Sterling Jet","Cruising Areas","Cruisy Area","Worcester","MA",1981,"","Bob Damron's Address Book","United States"
"103","'Rest Stop'","Wise. 141 - eastside nr. city limits","Cruising Areas","Cruisy Area","Green Bay","WI",1981,"","Bob Damron's Address Book","United States"
"104","'Rest Stop'","25 mi. E.","Cruising Areas","Cruisy Area","Cleveland","OH",1981,"","Bob Damron's Address Book","United States"
"105","'Rest Stop'","just S. of 271","Cruising Areas","Cruisy Area","Richfield","OH",1981,"","Bob Damron's Address Book","United States"
"106","'Rest Stop'","10 mi. S.","Cruising Areas","Cruisy Area","Nacogdoches","TX",1981,"","Bob Damron's Address Book","United States"
"107","'Rest Stop'","20 mi. S.","Cruising Areas","Cruisy Area,(WE)","Cleveland","OH",1981,"","Bob Damron's Address Book","United States"
"108","'Rest Stop'","at Sidney (Southbound) & Augusta (Northbound) - also woods in back","Cruising Areas","Cruisy Area","Augusta","ME",1981,"","Bob Damron's Address Book","United States"
"109","'Rest Stop'","","Cruising Areas","Cruisy Area","Dover","NJ",1981,"","Bob Damron's Address Book","United States"
"110","'Rest Stop'","3 mi. N. (Both sides)","Cruising Areas","Cruisy Area","Grants Pass","OR",1981,"","Bob Damron's Address Book","United States"
"111","'Rest Stop'","(AYOR - Fuzz)","Cruising Areas","Cruisy Area,(AYOR),(OC)","Sharon","PA",1981,"","Bob Damron's Address Book","United States"
"112","'Rest Stop'","","Cruising Areas","Cruisy Area","Forest","MS",1981,"","Bob Damron's Address Book","United States"
"113","'Rest Stop'","3 mi. S.","Cruising Areas","Cruisy Area,(AYOR)","Beaver Dam","WI",1981,"","Bob Damron's Address Book","United States"
"114","'Rest Stop'","","Cruising Areas","Cruisy Area","Arcadia","LA",1981,"","Bob Damron's Address Book","United States"
"115","'Rest Stop'","E & W","Cruising Areas","Cruisy Area,(AYOR)","Seekonk","MA",1981,"","Bob Damron's Address Book","United States"
"116","'Rest Stop'","","Cruising Areas","Cruisy Area","Columbia","SC",1981,"","Bob Damron's Address Book","United States"
"117","'Rest Stop'","nr. jet. 28","Cruising Areas","Cruisy Area","Andover","MA",1981,"","Bob Damron's Address Book","United States"
"118","'Rest Stop'","","Cruising Areas","Cruisy Area","Greencastle","PA",1981,"","Bob Damron's Address Book","United States"
"119","'Rest Stop'","15 E.","Cruising Areas","Cruisy Area","Houston","TX",1981,"","Bob Damron's Address Book","United States"
"120","'Rest Stop'","US 41 - S. of DePere (AYOR - many arrests)","Cruising Areas","Cruisy Area,(AYOR)","Green Bay","WI",1981,"","Bob Damron's Address Book","United States"
"121","'Rest Stop'","","Cruising Areas","Cruisy Area","Ogunquit","ME",1981,"","Bob Damron's Address Book","United States"
"122","'Rest Stop'","","Cruising Areas","Cruisy Area","Wooster","OH",1981,"","Bob Damron's Address Book","United States"
"123","'Rest Stop'","(Summers)","Cruising Areas","Cruisy Area","Freeport","ME",1981,"","Bob Damron's Address Book","United States"
"124","'Rest Stop'","Northbound at Carmel","Cruising Areas","Cruisy Area,(AYOR)","Bangor","ME",1981,"","Bob Damron's Address Book","United States"
"125","'Rest Stop'","1 mi. E.","Cruising Areas","Cruisy Area","Great Bend","KS",1981,"","Bob Damron's Address Book","United States"
"126","'Rest Stop'","& woods behind (Known locally as 'Ruth Ann's')","Cruising Areas","Cruisy Area,(AYOR)","Burtonsville","MD",1981,"","Bob Damron's Address Book","United States"
"127","'Rest Stop'","betw. Chattanooga & Cleveland","Cruising Areas","Cruisy Area","Chattanooga","TN",1981,"","Bob Damron's Address Book","United States"
"128","'Rest Stop'","at 31 mile marker","Cruising Areas","Cruisy Area,(AYOR)","Ann Arbor","MI",1981,"","Bob Damron's Address Book","United States"
"129","'Rest Stop'","3 mi. W.","","","Lyons","KS",1981,"","Bob Damron's Address Book","United States"
"130","'Rest Stop'","Jet. K.C. & Columbia","Cruising Areas","Cruisy Area","Kansas City","MO",1981,"","Bob Damron's Address Book","United States"
"131","'Rest Stop'","3 mi. N.E.","Cruising Areas","Cruisy Area","Knightstown","IN",1981,"","Bob Damron's Address Book","United States"
"132","'Rest Stop'","Both N. & S.","Cruising Areas","Cruisy Area","Flint","MI",1981,"","Bob Damron's Address Book","United States"
"133","'Rest Stop'","8 mi. N.","Cruising Areas","Cruisy Area","Provo","UT",1981,"","Bob Damron's Address Book","United States"
"134","'Rest Stop'","8 mi. from town on (Sure suicide - massive arrests) hidden cameras!","Cruising Areas","Cruisy Area,(AYOR)","Kalamazoo","MI",1981,"","Bob Damron's Address Book","United States"
"135","'Rest Stop'","4 mi. W.","Cruising Areas","Cruisy Area","Kenosha","WI",1981,"","Bob Damron's Address Book","United States"
"136","'Rest Stop'","3 mi. W.","Cruising Areas","Cruisy Area","Mount Vernon","TX",1981,"","Bob Damron's Address Book","United States"
"137","'Rest Stop'","","Cruising Areas","Cruisy Area,(AYOR)","Weymouth","MA",1983,"","Bob Damron's Address Book","United States"
"138","'Rest Stop'","","Cruising Areas","Cruisy Area","Forest","MS",1983,"","Bob Damron's Address Book","United States"
"139","'Rest Stop'","(Eastbound) 1/2 mi. E. of Garden St. Pkwy.","Cruising Areas","Cruisy Area","Clifton","NJ",1983,"","Bob Damron's Address Book","United States"
"140","'Rest Stop'","at Bridgeville","Cruising Areas","Cruisy Area","Pittsburgh","PA",1983,"","Bob Damron's Address Book","United States"
"141","'Rest Stop'","3 mi. W.","Cruising Areas","Cruisy Area","Lyons","KS",1983,"","Bob Damron's Address Book","United States"
"142","'Rest Stop'","","Cruising Areas","Cruisy Area","Baton Rouge","LA",1983,"","Bob Damron's Address Book","United States"
"143","'Rest Stop'","10 mi. E. of Junction City","Cruising Areas","Cruisy Area","Manhattan","KS",1983,"","Bob Damron's Address Book","United States"
"144","'Rest Stop'","at Federal Way","Cruising Areas","Cruisy Area","Tacoma","WA",1983,"","Bob Damron's Address Book","United States"
"145","'Rest Stop'","in Minden","Cruising Areas","Cruisy Area","Shreveport","LA",1983,"","Bob Damron's Address Book","United States"
"146","'Rest Stop'","3 mi. N.E.","Cruising Areas","Cruisy Area","Knightstown","IN",1983,"","Bob Damron's Address Book","United States"
"147","'Rest Stop'","in Vet Park - 3 mi. S.","Cruising Areas","Cruisy Area","Bay City","MI",1983,"","Bob Damron's Address Book","United States"
"148","'Rest Stop'","Westbound","Cruising Areas","Cruisy Area","Belleville","MI",1983,"","Bob Damron's Address Book","United States"
"149","'Rest Stop'","","Cruising Areas","Cruisy Area","Covington","KY",1983,"","Bob Damron's Address Book","United States"
"150","'Rest Stop'","8 mi. N .","Cruising Areas","Cruisy Area","Big Rapids","MI",1983,"","Bob Damron's Address Book","United States"
"151","'Rest Stop'","2 mi. S. of I96 (Northbound)","Cruising Areas","Cruisy Area","Lansing","MI",1983,"","Bob Damron's Address Book","United States"
"152","'Rest Stop'","","Cruising Areas","Cruisy Area","Liberty","ME",1983,"","Bob Damron's Address Book","United States"
"153","'Rest Stop'","Northbound at Carmel","Cruising Areas","Cruisy Area,(AYOR)","Bangor","ME",1983,"","Bob Damron's Address Book","United States"
"154","'Rest Stop'","& woods behind (Known locally as 'Ruth Ann's')","Cruising Areas","Cruisy Area,(AYOR)","Burtonsville","MD",1983,"","Bob Damron's Address Book","United States"
"155","'Rest Stop'","","Cruising Areas","Cruisy Area","Gaffney","SC",1983,"","Bob Damron's Address Book","United States"
"156","'Rest Stop'","","Cruising Areas","Cruisy Area","Saint Marys","OH",1983,"","Bob Damron's Address Book","United States"
"157","'Rest Stop'","10 mi. S.","Cruising Areas","Cruisy Area","Farmersbury","IN",1983,"","Bob Damron's Address Book","United States"
"158","'Rest Stop'","","Cruising Areas","Cruisy Area","Pittsburgh","PA",1983,"","Bob Damron's Address Book","United States"
"159","'Rest Stop'","just S. of 1-94","Cruising Areas","Cruisy Area","Ann Arbor","MI",1983,"","Bob Damron's Address Book","United States"
"160","'Rest Stop'","1 mi. E.","Cruising Areas","Cruisy Area","Great Bend","KS",1983,"","Bob Damron's Address Book","United States"
"161","'Rest Stop'","20 mi. S. (WE)","Cruising Areas","Cruisy Area","Cleveland","OH",1983,"","Bob Damron's Address Book","United States"
"162","'Rest Stop'","1 mi. N.","Cruising Areas","Cruisy Area","Lansing","MI",1983,"","Bob Damron's Address Book","United States"
"163","'Rest Stop'","","Cruising Areas","Cruisy Area","Houston","TX",1983,"","Bob Damron's Address Book","United States"
"164","'Rest Stop'","","Cruising Areas","Cruisy Area","Pontiac","MI",1983,"","Bob Damron's Address Book","United States"
"165","'Rest Stop'","","Cruising Areas","Cruisy Area","Lebanon","OH",1983,"","Bob Damron's Address Book","United States"
"166","'Rest Stop'","betw. Cedar Rapids & Iowa City (Summers only)","Cruising Areas","Cruisy Area,(AYOR)","Cedar Rapids","IA",1983,"","Bob Damron's Address Book","United States"
"167","'Rest Stop'","","Cruising Areas","Cruisy Area","Rutland","VT",1983,"","Bob Damron's Address Book","United States"
"168","'Rest Stop'","4 mi. W.","Cruising Areas","Cruisy Area","Kalamazoo","MI",1983,"","Bob Damron's Address Book","United States"
"169","'Rest Stop'","(AYOR - Fuzz)","Cruising Areas","Cruisy Area,(OC),(AYOR)","Sharon","PA",1983,"","Bob Damron's Address Book","United States"
"170","'Rest Stop'","(Uxbridge)","Cruising Areas","Cruisy Area","Worcester","MA",1983,"","Bob Damron's Address Book","United States"
"171","'Rest Stop'","","Cruising Areas","Cruisy Area","Ogunquit","ME",1983,"","Bob Damron's Address Book","United States"
"172","'Rest Stop'","","Cruising Areas","Cruisy Area","Hattiesburg","MS",1983,"","Bob Damron's Address Book","United States"
"173","'Rest Stop'","at exits 201 & 202","Cruising Areas","Cruisy Area","Dayton","OH",1983,"","Bob Damron's Address Book","United States"
"174","'Rest Stop'","(I-40)","Cruising Areas","Cruisy Area","Ozark","AR",1983,"","Bob Damron's Address Book","United States"
"175","'Rest Stop'","(Okemos)","Cruising Areas","Cruisy Area","Lansing","MI",1983,"","Bob Damron's Address Book","United States"
"176","'Rest Stop'","nr. jet. 28","Cruising Areas","Cruisy Area","Attleboro","MA",1983,"","Bob Damron's Address Book","United States"
"177","'Rest Stop'","Augusta (Northbound) - also woods in back","Cruising Areas","Cruisy Area,(AYOR)","Augusta","ME",1983,"","Bob Damron's Address Book","United States"
"178","'Rest Stop'","","Cruising Areas","Cruisy Area","New Lebanon","IN",1983,"","Bob Damron's Address Book","United States"
"179","'Rest Stop'","","Cruising Areas","Cruisy Area","Lafayette","LA",1983,"","Bob Damron's Address Book","United States"
"180","'Rest Stop'","3 mi. S.","Cruising Areas","Cruisy Area,(AYOR)","Beaver Dam","WI",1983,"","Bob Damron's Address Book","United States"
"181","'Rest Stop'","","Cruising Areas","Cruisy Area,(AYOR)","Swansea","MA",1983,"","Bob Damron's Address Book","United States"
"182","'Rest Stop'","","Cruising Areas","Cruisy Area","Marshfield-Pembroke","MA",1983,"","Bob Damron's Address Book","United States"
"183","'Rest Stop'","","Cruising Areas","Cruisy Area","South Chino","ME",1983,"","Bob Damron's Address Book","United States"
"184","'Rest Stop'","","Cruising Areas","Cruisy Area","Oshkosh","WI",1983,"","Bob Damron's Address Book","United States"
"185","'Rest Stop'","Both N & S.","Cruising Areas","Cruisy Area","Flint","MI",1983,"","Bob Damron's Address Book","United States"
"186","'Rest Stop'","betw. Philipsburg & Port Matilda","Cruising Areas","Cruisy Area","Philipsburg","PA",1983,"","Bob Damron's Address Book","United States"
"187","'Rest Stop'","","Cruising Areas","Cruisy Area,(*)","Columbus","OH",1983,"","Bob Damron's Address Book","United States"
"188","'Rest Stop'","W. on I-40 (Gazebos)","Cruising Areas","Cruisy Area","Little Rock","AR",1983,"","Bob Damron's Address Book","United States"
"189","'Rest Stop'","betw. Chattanooga & Cleveland","Cruising Areas","Cruisy Area","Chattanooga","TN",1983,"","Bob Damron's Address Book","United States"
"190","'Rest Stop'","(West)","Cruising Areas","Cruisy Area,(AYOR)","Flint","MI",1983,"","Bob Damron's Address Book","United States"
"191","'Rest Stop'","Northbound at 31 mile marker","Cruising Areas","(*),Cruisy Area,(AYOR)","Ann Arbor","MI",1983,"","Bob Damron's Address Book","United States"
"192","'Rest Stop'","just N. of N. Canton","Cruising Areas","Cruisy Area","Canton","OH",1983,"","Bob Damron's Address Book","United States"
"193","'Rest Stop'","25 mi. E.","Cruising Areas","Cruisy Area","Cleveland","OH",1983,"","Bob Damron's Address Book","United States"
"194","'Rest Stop'","E. of town","Cruising Areas","Cruisy Area","Logan","UT",1983,"","Bob Damron's Address Book","United States"
"195","'Rest Stop'","3 mi. W.","Cruising Areas","Cruisy Area","Mount Vernon","TX",1983,"","Bob Damron's Address Book","United States"
"196","'Rest Stop'","","Cruising Areas","Cruisy Area","Walton","KS",1983,"","Bob Damron's Address Book","United States"
"197","'Rest Stop'","NW on Hwy. 80","Cruising Areas","Cruisy Area","Flagstaff","AZ",1983,"","Bob Damron's Address Book","United States"
"198","'Rest Stop'","","Cruising Areas","Cruisy Area","Ft. Worth","TX",1983,"","Bob Damron's Address Book","United States"
"199","'Rest Stop'","10 mi. S., just off Ind. 3","Cruising Areas","Cruisy Area","Muncie","IN",1983,"","Bob Damron's Address Book","United States"
"200","'Rest Stop'","5 mi. S. (Late nights)","Cruising Areas","Cruisy Area","Medford","OR",1983,"","Bob Damron's Address Book","United States"
"201","'Rest Stop'","W. of Dover","Cruising Areas","Cruisy Area","Mine Hill","NJ",1983,"","Bob Damron's Address Book","United States"
"202","'Rest Stop'","15 E.","Cruising Areas","Cruisy Area","Houston","TX",1983,"","Bob Damron's Address Book","United States"
"203","'Rest Stop'","7 mi. E.","Cruising Areas","Cruisy Area,(AYOR)","Augusta","KS",1983,"","Bob Damron's Address Book","United States"
