"geocode.value","lon","lat","geoAddress"
"Annandale-On-Hudson, NY",-73.9084197,42.0218278,"annandale-on-hudson, red hook, ny, usa"
"Binghampton, NY",-75.9116546,42.0971204,"binghamton, ny, usa"
"Buffalo, NY",-78.8788896,42.8869004,"buffalo, ny, usa"
"Chittango, NY",-75.86658,43.0450671,"chittenango, ny 13037, usa"
"Elmira, NY",-76.8046194,42.0912025,"elmira, ny, usa"
"Congers, NY",-73.9454159,41.150651,"congers, ny, usa"
"Farmingville, NY",-73.029552,40.8312096,"farmingville, ny, usa"
"Fire Island, NY",-73.1459474,40.6475997,"fire island, ny, usa"
"Geneseo, NY",-77.816947,42.795896,"geneseo, ny 14454, usa"
"Jamestown, NY",-79.2353259,42.0970023,"jamestown, ny 14701, usa"
"Long Island, NY",-73.134961,40.789142,"long island, new york, usa"
"The Bronx, NY",-73.8648268,40.8447819,"bronx, ny, usa"
"Brooklyn, NY",-73.9441579,40.6781784,"brooklyn, ny, usa"
"Manhattan, NY",-73.9821938,40.7685167,"manhattan, new york, ny, usa"
"Queens, NY",-73.7948516,40.7282239,"queens, ny, usa"
"Staten Island, NY",-74.1502007,40.5795317,"staten island, ny, usa"
"Olean, NY",-78.429927,42.083639,"olean, ny 14760, usa"
"Saratoga Springs, NY",-73.7849756,43.0833706,"saratoga springs, ny, usa"
"Syracuse, NY",-76.1473977,43.0494832,"syracuse, ny, usa"
"Yonkers, NY",-73.899008,40.9318589,"yonkers, ny, usa"
"Whitestone, NY",-73.8095574,40.7920449,"whitestone, queens, ny, usa"
"Chapel Hill, NC",-79.0558445,35.9131996,"chapel hill, nc, usa"
"Charlotte, NC",-80.840116,35.2215548,"charlotte, nc, usa"
"Greensboro, NC",-79.791534,36.0725632,"greensboro, nc, usa"
"Raleigh, NC",-78.6381787,35.7795897,"raleigh, nc, usa"
"Grand Forks, ND",-97.0328547,47.9252568,"grand forks, nd, usa"
"Athens, OH",-82.1012554,39.3292396,"athens, oh 45701, usa"
"Akron, OH",-81.5188377,41.081199,"akron, oh, usa"
"Bowling Green, OH",-83.6513229,41.3747744,"bowling green, oh, usa"
"Canton, OH",-81.3769965,40.7973776,"canton, oh, usa"
"Cincinnati, OH",-84.5120196,39.1031182,"cincinnati, oh, usa"
"Cleveland, OH",-81.6943605,41.49932,"cleveland, oh, usa"
"Columbus, OH",-83.0032218,39.9625112,"columbus, oh, usa"
"Dayton, OH",-84.1936144,39.7592225,"dayton, oh, usa"
"Springfield, OH",-83.8098689,39.9234389,"springfield, oh, usa"
"Yellow Springs, OH",-83.886874,39.8064486,"yellow springs, oh 45387, usa"
"Toledo, OH",-83.5378674,41.6528052,"toledo, oh, usa"
"Ada, OK",-96.6783449,34.774531,"ada, ok, usa"
"Norman, OK",-97.4446151,35.2215893,"norman, ok, usa"
"Oklahoma City, OK",-97.519539,35.4688692,"oklahoma city, ok, usa"
"Tulsa, OK",-95.989501,36.1551375,"tulsa, ok, usa"
"Eugene, OR",-123.0896705,44.052121,"eugene, or, usa"
"Klamath Falls, OR",-121.7816704,42.224867,"klamath falls, or, usa"
"Portland, OR",-122.6783853,45.515232,"portland, or, usa"
"Duncansville, OR",-78.433903,40.4234058,"duncansville, pa 16635, usa"
"Cresson, OR",-78.5916837,40.4597938,"cresson, pa 16630, usa"
"New Hope, OR",-123.36667,42.3625,"new hope, or 97527, usa"
"Nazareth, OR",35.303546,32.699635,"nazareth, israel"
"Germantown, OR",-77.2716502,39.1731621,"germantown, md, usa"
"Erie, OR",-80.0849716,42.1290386,"erie, pa, usa"
"March's Hook, OR",-75.4185272,39.8192794,"marcus hook, pa 19061, usa"
"Allentown, PA",-75.4714098,40.6022939,"allentown, pa, usa"
"Bridgeport, PA",-75.3451838,40.1051084,"bridgeport, pa, usa"
"Philadelphia, PA",-75.1652215,39.9525839,"philadelphia, pa, usa"
"Pittsburgh, PA",-79.9972352,40.4386612,"pittsburgh, pa, usa"
"Stroudsburg, PA",-75.1946248,40.9867609,"stroudsburg, pa 18360, usa"
"Newport, RI",-71.3118637,41.491756,"newport, ri, usa"
"Providence, RI",-71.414199,41.8245558,"providence, ri, usa"
"Woonsocket, RI",-71.5147839,42.0028761,"woonsocket, ri 02895, usa"
"Charleston, SC",-79.9319664,32.7833163,"charleston, sc, usa"
"Columbia, SC",-81.035147,34.0008322,"columbia, sc, usa"
"Aberdeen, SD",-98.4864829,45.4646985,"aberdeen, sd 57401, usa"
"Chatanooga, TN",-85.3093995,35.0457984,"chattanooga, tn, usa"
"Memphis, TN",-90.0518955,35.1485812,"memphis, tn, usa"
"Nashville, TN",-86.7816016,36.1626638,"nashville, tn, usa"
"Amarillo, TX",-101.8320065,35.2069816,"amarillo, tx, usa"
"Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa"
"Austin, TX",-97.7430608,30.267153,"austin, tx, usa"
"Corpus Christi, TX",-97.4029944,27.7964047,"corpus christi, tx, usa"
"El Paso, TX",-106.4850217,31.7618778,"el paso, tx, usa"
"Fort Worth, TX",-97.3307658,32.7554883,"fort worth, tx, usa"
"Galveston, TX",-94.7950151,29.3012309,"galveston, tx, usa"
"Houston, TX",-95.3701108,29.7600771,"houston, tx, usa"
"San Antonio, TX",-98.4945922,29.4251905,"san antonio, tx, usa"
"Waco, TX",-97.1289922,31.5575916,"waco, tx, usa"
"Salt Lake City, UT",-111.8881397,40.7605601,"salt lake city, ut, usa"
"Burlington, VT",-73.212072,44.4758825,"burlington, vt, usa"
"Arlington, VA",-77.0831211,38.8827061,"arlington, va, usa"
"Charlottesville, VA",-78.4769353,38.0301826,"charlottesville, va, usa"
"Norfolk, VA",-76.2858726,36.8507689,"norfolk, va, usa"
"Richmond, VA",-77.4360481,37.5407246,"richmond, va, usa"
"Morgantown, WV",-79.954468,39.6304078,"morgantown, wv, usa"
"Charleston, WV",-81.6326234,38.3498195,"charleston, wv, usa"
"Wheeling, WV",-80.720417,40.0645386,"wheeling, wv 26003, usa"
"Green Bay, WI",-88.0132958,44.5133188,"green bay, wi, usa"
"Fox Valley, WI",-88.2284395707144,44.39399106968,"fox river, wisconsin, usa"
"Madison, WI",-89.4007501,43.0721661,"madison, wi, usa"
"Milwaukee, WI",-87.9096783,43.0410344,"milwaukee, wi, usa"
"Racine, WI",-87.7828523,42.7261309,"racine, wi, usa"
"Boulder, CO",-105.2747406,40.0189728,"boulder, co, usa"
"Colorado Springs, CO",-104.8216009,38.8353142,"colorado springs, co, usa"
"Denver, CO",-104.990251,39.7392358,"denver, co, usa"
"Fort Collins, CO",-105.084423,40.5852602,"fort collins, co, usa"
"Cheyenne, WY",-104.8211901,41.1347435,"cheyenne, wy, usa"
"Bridgeport, CT",-73.1923287,41.17989,"bridgeport, ct, usa"
"Westport, CT",-73.3580987,41.1414381,"westport, ct, usa"
"Storrs, CT",-72.2495231,41.8084314,"storrs, mansfield, ct, usa"
"Greenville, DE",-75.5982599,39.7790012,"greenville, de 19807, usa"
"Newark, DE",-75.7496572,39.6837226,"newark, de, usa"
"Rehoboth Beach, DE",-75.0760137,38.7209454,"rehoboth beach, de, usa"
"Washington, DC",-77.0368707,38.9071923,"washington, dc, usa"
"Auburn, AL",-85.4799167,32.6082403,"auburn, al, usa"
"Dothan, AL",-85.389326,31.2233594,"dothan, al, usa"
"Fairbanks, AK",-147.7199756,64.8400511,"fairbanks, ak, usa"
"Juneau, AK",-134.4201306,58.3004933,"juneau, ak, usa"
"Scottsdale, AZ",-111.9216734,33.4948764,"scottsdale, az, usa"
"Vail, AZ",-110.7009206,32.0005283,"vail, az 85641, usa"
"Fayatteville, AR",-94.1579484,36.0618652,"fayetteville, ar, usa"
"Fort Smith, AR",-94.4209646,35.3843722,"fort smith, ar, usa"
"Matthews, CA",-119.4179324,36.778261,"california, usa"
"Albany, CA",-122.2977557,37.886704,"albany, ca, usa"
"Corte Madera, CA",-122.5274755,37.9254806,"corte madera, ca, usa"
"Concord, CA",-122.025904,37.9817195,"concord, ca, usa"
"Boonville, CA",-123.3671551,39.0089749,"boonville, ca, usa"
"Cupertino, CA",-122.0321823,37.3229978,"cupertino, ca, usa"
"Emeryville, CA",-122.2892278,37.8395028,"emeryville, ca, usa"
"Eureka, CA",-124.1636729,40.8020712,"eureka, ca, usa"
"Fontana, CA",-117.435048,34.0922335,"fontana, ca, usa"
"Fresno, CA",-119.7871247,36.7377981,"fresno, ca, usa"
"Gardena, CA",-118.3091185,33.8837294,"gardena, ca, usa"
"Glen Ellen, CA",-122.5241487,38.3640795,"glen ellen, ca 95442, usa"
"Hayward, CA",-122.0809964,37.6687665,"hayward, ca, usa"
"Manhattan Beach, CA",-118.4092903,33.8881489,"manhattan beach, ca, usa"
"Venice, CA",-118.4527302,33.994091,"venice, los angeles, ca, usa"
"Anaheim, CA",-117.9143012,33.8365932,"anaheim, ca, usa"
"Orange County, CA",-117.8311428,33.7174708,"orange county, ca, usa"
"Midway City, CA",-117.9863236,33.7446861,"midway city, ca, usa"
"Orange, CA",-117.855281,33.7879085,"orange, ca, usa"
"Pomona, CA",-117.7499909,34.055103,"pomona, ca, usa"
"Redding, CA",-122.3836121,40.5754129,"redding, ca, usa"
"Rubidoux, CA",-117.41762,33.9971988,"rubidoux, riverside, ca, usa"
"San Bernadino, CA",-117.291869,34.1045589,"san bernardino, ca, usa"
"San Rafael, CA",-122.5310874,37.9735346,"san rafael, ca, usa"
"Stockton, CA",-121.2924737,37.9575104,"stockton, ca, usa"
"Greenwich, CT",-73.6281964,41.0262417,"greenwich, ct, usa"
"Hartford, CT",-72.6733723,41.7658043,"hartford, ct, usa"
"Manchester, CT",-72.5215009,41.7759301,"manchester, ct, usa"
"Middletown, CT",-72.6506488,41.5623209,"middletown, ct 06457, usa"
"New Haven, CT",-72.9278835,41.308274,"new haven, ct, usa"
"New London, CT",-72.0995209,41.3556539,"new london, ct, usa"
"Waterbury, CT",-73.0514965,41.5581525,"waterbury, ct, usa"
"Norwalk, CT",-73.4076534,41.1138517,"norwalk, ct, usa"
"Dewey Beach, DE",-75.0746249,38.6928899,"dewey beach, de 19971, usa"
"Bethany Beach, DE",-75.0551806,38.5395564,"bethany beach, de, usa"
"Wilmington, DE",-75.5483909,39.744655,"wilmington, de, usa"
"Clearwater, FL",-82.7958948,27.9655722,"clearwater, fl, usa"
"Augusta, FL",-81.5157535,27.6648274,"florida, usa"
"Gainsville, FL",-82.324998,29.6519563,"gainesville, fl, usa"
"Hallendale, FL",-80.148379,25.9812024,"hallandale beach, fl 33009, usa"
"Jacksonville, FL",-81.6591529,30.3297566,"jacksonville, fl, usa"
"Jacksonville Beach, FL",-81.3961338,30.2841224,"jacksonville beach, fl, usa"
"Neptune Beach, FL",-81.3964734,30.311908,"neptune beach, fl, usa"
"Sarasota, FL",-82.5310117,27.336465,"sarasota, fl, usa"
"St. Petersburgh, FL",-82.6384451,27.7671271,"st. petersburg, fl, usa"
"West Palm Beach, FL",-80.0549456,26.7144532,"west palm beach, fl, usa"
"Columbus, GA",-84.9920268,32.4672737,"columbus, ga, usa"
"Boise, ID",-116.2023137,43.6150186,"boise, id, usa"
"Lewiston, ID",-117.0019991,46.4040971,"lewiston, id 83501, usa"
"Pocatello, ID",-112.4506191,42.8621042,"pocatello, id, usa"
"Peoria, IL",-89.5927783,40.6926929,"peoria, il, usa"
"Rock Island, IL",-90.5787476,41.5094771,"rock island, il, usa"
"Urbana, IL",-88.2072697,40.1105875,"urbana, il, usa"
"South Bend, IN",-86.2519898,41.6763545,"south bend, in, usa"
"Terre Haute, IN",-87.4139427,39.4654441,"terre haute, in, usa"
"Cedar Rapids, IA",-91.6656232,41.9778795,"cedar rapids, ia, usa"
"Lexington, KT",-84.5152662,38.0389091,"lexington, ky, usa"
"Louisville, KT",-85.7663724,38.2468618,"louisville, ky, usa"
"Alexandria, LA",-92.4451371,31.3112936,"alexandria, la, usa"
"ME, United States",-69.4454689,45.253783,"maine, usa"
"Augusta, ME",-69.7681096,44.3164961,"augusta, me 04330, usa"
"Ogunquit, ME",-70.5986223,43.2468352,"ogunquit, me, usa"
"Brockton, MA",-71.0183787,42.0834335,"brockton, ma, usa"
"Lowell, MA",-71.3127093,42.6458914,"lowell, ma, usa"
"Martha's Vineyard Island, MA",-70.645473,41.3804981,"martha's vineyard, massachusetts, usa"
"Northhampton, MA",-72.6412013,42.3250896,"northampton, ma, usa"
"North Quincy, MA",-71.0245188,42.2811843,"north quincy, quincy, ma, usa"
"Randolph, MA",-71.0413284,42.1626042,"randolph, ma 02368, usa"
"Tynesboro, MA",-71.4244224,42.6766696,"tyngsborough, ma, usa"
"Vineyard Haven, MA",-70.6036395,41.4542786,"vineyard haven, tisbury, ma 02568, usa"
"Wakefield, MA",-71.0750488,42.5018307,"wakefield, ma 01880, usa"
"Highland Park, MI",-83.096868,42.4055925,"highland park, mi 48203, usa"
"Mt. Clemens, MI",-82.8779754,42.5972563,"mt clemens, mi, usa"
"Western Michigan University, MI",-85.6152186,42.2831778,"western michigan university/krph, kalamazoo, mi, usa"
"St. Paul, MN",-93.0899578,44.9537029,"st paul, mn, usa"
"Biloxi, MS",-88.8870459,30.3954269,"biloxi, ms, usa"
"Great Falls, MT",-111.3007715,47.5052849,"great falls, mt, usa"
"Missoula, MT",-113.9940314,46.8721284,"missoula, mt, usa"
"Las Vegas, NV",-115.1391009,36.171563,"las vegas, nv, usa"
"Reno, NV",-119.8142691,39.529919,"reno, nv, usa"
"Manchester, NH",-71.4547891,42.9956397,"manchester, nh, usa"
"Portsmouth, NH",-70.7546771,43.0702046,"portsmouth, nh 03801, usa"
"Dover, NJ",-74.5561104,40.8878934,"dover, nj, usa"
"East Orange, NJ",-74.2110209,40.7609451,"east orange, nj, usa"
