"city","new.city","state"
"Dalhart","Dalhart","TX"
"Dallas","Dallas","TX"
"Dalton","Dalton","GA"
"Daly CIty","Daly CIty","CA"
"Dana Point","Dana Point","CA"
"Danbury","Danbury","CT"
"Dandridge","Dandridge","TN"
"Dania","Dania","FL"
"Dania Beach","Dania Beach","FL"
"Danville","Danville","IL"
"Danville","Danville","PA"
"Danville","Danville","VA"
"Darien","Darien","CT"
"Dartmouth","Dartmouth","MA"
"Davenport","Davenport","FL"
"Davenport","Davenport","IA"
"Davis","Davis","CA"
"Days Creek","Days Creek","OR"
"Dayton","Dayton","OH"
"Daytona","Daytona","FL"
"Daytona Beach","Daytona Beach","FL"
"De Kalb","De Kalb","IL"
"Decanso","Decanso","CA"
"Decatur","Decatur","AL"
"Decatur","Decatur","GA"
"Decatur","Decatur","IL"
"Decorah","Decorah","IA"
"Dedham","Dedham","MA"
"Deep Park","Deep Park","NY"
"Deer Isle","Deer Isle","ME"
"Deer Park","Deer Park","NY"
"Deer Park, L.I.","Deer Park, L.I.","NY"
"Dekalb","Dekalb","IL"
"Del Valle","Del Valle","TX"
"Deland","Deland","FL"
"Delavan","Delavan","WI"
"Delray Beach","Delray Beach","FL"
"Deltona","Deltona","FL"
"Deming","Deming","NM"
"Deming","Deming","WA"
"Denison","Denison","TX"
"Dennis","Dennis","MA"
"Denton","Denton","TX"
"Denver","Denver","CO"
"Denville","Denville","NJ"
"Deptford","Deptford","NJ"
"Derby","Derby","VT"
"Derry","Derry","NH"
"Des Moines","Des Moines","IA"
"Des Plaines","Des Plaines","IL"
"Des Plains","Des Plains","IL"
"Descanso","Descanso","CA"
"Desert Hot Springs","Desert Hot Springs","CA"
"Destin","Destin","FL"
"Detriot Lakes","Detriot Lakes","MN"
"Detroit","Detroit","MI"
"Detroit Lakes","Detroit Lakes","MN"
"Dewey Beach","Dewey Beach","DE"
"Dewy Rose","Dewy Rose","GA"
"Dexter","Dexter","ME"
"Dickenson","Dickenson","ND"
"Dillon","Dillon","CO"
"Dillon","Dillon","SC"
"Dixmore","Dixmore","IL"
"Dodge City","Dodge City","KS"
"Dodson","Dodson","LA"
"Donna","Donna","TX"
"Dorchester","Dorchester","MA"
"Dorrington","Dorrington","CA"
"Dorset","Dorset","MN"
"Dorset","Dorset","VT"
"Dotham","Dotham","AL"
"Dothan","Dothan","AL"
"Douglas","Douglas","AK"
"Douglas","Douglas","AZ"
"Douglas","Douglas","MI"
"Douglas","Douglas","WY"
"Dover","Dover","DE"
"Dover","Dover","NH"
"Dover","Dover","NJ"
"Dowelltown","Dowelltown","TN"
"Doweltown","Doweltown","TN"
"Downers Grove","Downers Grove","IL"
"Downingtown","Downingtown","PA"
"Downs","Downs","KS"
"Doyalstown","Doyalstown","PA"
"Doyleston","Doyleston","PA"
"Doylestown","Doylestown","PA"
"Driggs","Driggs","ID"
"Du Quoin","Du Quoin","IL"
"Duarte","Duarte","CA"
"Dublin","Dublin","OH"
"Dubuque","Dubuque","IA"
"Duck","Duck","NC"
"Duluth","Duluth","MN"
"Dummerston","Dummerston","VT"
"Dumont","Dumont","NJ"
"Duncan Mills","Duncan Mills","CA"
"Duncans Mills","Duncans Mills","CA"
"Duncansville","Duncansville","OR"
"Duncansville","Duncansville","PA"
"Dunedin","Dunedin","FL"
"Dunepin","Dunepin","FL"
"Dunkirk","Dunkirk","NY"
"Durango","Durango","CO"
"Durham","Durham","CA"
"Durham","Durham","ME"
"Durham","Durham","NC"
"Durham","Durham","NH"
"Duryea","Duryea","PA"
"Dutch Flat","Dutch Flat","CA"
"Duxbury","Duxbury","MA"
"E. Hartford","E. Hartford","CT"
"E. Lansing","E. Lansing","MI"
"E. Meadow","E. Meadow","NY"
"E. Northport","E. Northport","NY"
"Eagle River","Eagle River","AK"
"Eagle River","Eagle River","WI"
"Eagle Rock","Eagle Rock","CA"
"Eaglewood Cliffs","Eaglewood Cliffs","NJ"
"East Alamosa","East Alamosa","CO"
"East Barnet","East Barnet","VT"
"East Bay","East Bay","CA"
"East Brunswick","East Brunswick","NJ"
"East Drummerston","East Drummerston","VT"
"East Dummerston","East Dummerston","VT"
"East Greenwich","East Greenwich","RI"
"East Hampton","East Hampton","NY"
"East Hardwick","East Hardwick","VT"
"East Hartford","East Hartford","CT"
"East Haven","East Haven","CT"
"East Hollywood","East Hollywood","CA"
"East Islip","East Islip","NY"
"East Lancing","East Lancing","MI"
"East Lansing","East Lansing","MI"
"East Meadow","East Meadow","NY"
"East Middlebury","East Middlebury","VT"
"East Orange","East Orange","NJ"
"East Patterson","East Patterson","NJ"
"East Providence","East Providence","RI"
"East Rutherford","East Rutherford","NJ"
"East St Louis","East St Louis","IL"
"East St. Louis","East St. Louis","IL"
"East Stroudsberg","East Stroudsberg","PA"
"East Stroudsburg","East Stroudsburg","PA"
"East Village","East Village","NY"
"East Windham","East Windham","NY"
"East Windsor","East Windsor","CT"
"East Worcester","East Worcester","NY"
"Easthampton","Easthampton","MA"
"Easthampton","Easthampton","NY"
"Easton","Easton","PA"
"Eastport","Eastport","MD"
"Eatontown","Eatontown","NJ"
"Eau Claire","Eau Claire","WI"
"Echo Park","Echo Park","CA"
"Edgartown","Edgartown","MA"
"Edgemont","Edgemont","PA"
"Edgewater","Edgewater","MD"
"Edgewood","Edgewood","MD"
"Edina","Edina","MN"
"Edinboro","Edinboro","PA"
"Edison","Edison","NJ"
"Edmond","Edmond","OK"
"Edmonds","Edmonds","WA"
"Edmonton","Edmonton","KY"
"Edwardsville","Edwardsville","PA"
"Effingham","Effingham","IL"
"Egg Harbor City","Egg Harbor City","NJ"
"El Cajon","El Cajon","CA"
"El Centro","El Centro","CA"
"El Dorado","El Dorado","AR"
"El Monte","El Monte","CA"
"El Paso","El Paso","TX"
"El Prado","El Prado","NM"
"El Reno","El Reno","OK"
"El Segundo","El Segundo","CA"
"El Sobrante","El Sobrante","CA"
"Elgin","Elgin","IL"
"Eliot","Eliot","ME"
"Elizabeth","Elizabeth","NJ"
"Elizabeth","Elizabeth","PA"
"Elizabethtown","Elizabethtown","KY"
"Elizabethtown","Elizabethtown","NC"
"Elizabethtown","Elizabethtown","NY"
"Elk Grove","Elk Grove","IL"
"Elk Grove Village","Elk Grove Village","IL"
"Elkhart","Elkhart","IN"
"Elkin","Elkin","WV"
"Elkins","Elkins","WV"
"Elko","Elko","NV"
"Ellensburg","Ellensburg","WA"
"Ellicott City","Ellicott City","MD"
"Ellington","Ellington","CT"
"Ellsworth","Ellsworth","ME"
"Ellsworth","Ellsworth","MI"
"Elmhurst","Elmhurst","NY"
"Elmira","Elmira","NY"
"Elmont","Elmont","NY"
"Elmwood Park","Elmwood Park","NJ"
"Ely","Ely","MN"
"Elyria","Elyria","OH"
"Emeryville","Emeryville","CA"
"Emigrant","Emigrant","MT"
"Emlenton","Emlenton","PA"
"Emmaus","Emmaus","PA"
"Emporia","Emporia","KS"
"Encinitas","Encinitas","CA"
"Encino","Encino","CA"
"Endicott","Endicott","NY"
"Enfield","Enfield","CT"
"Engelwood","Engelwood","NJ"
"Englewood","Englewood","NJ"
"Englewood Cliffs","Englewood Cliffs","NJ"
"Enid","Enid","OK"
"Enterprise","Enterprise","MS"
"Ephrata","Ephrata","PA"
"Erie","Erie","OH"
"Erie","Erie","OR"
"Erie","Erie","PA"
"Escalante","Escalante","UT"
"Escanaba","Escanaba","MI"
"Escondido","Escondido","CA"
"Esopus","Esopus","NY"
"Essex Junction","Essex Junction","VT"
"Essex Juntion","Essex Juntion","VT"
"Estacada","Estacada","OR"
"Estes Park","Estes Park","CO"
"Etna","Etna","WY"
"Eugene","Eugene","OR"
"Eujasco","Eujasco","PR"
"Eureka","Eureka","CA"
"Eureka Springs","Eureka Springs","AK"
"Eureka Springs","Eureka Springs","AR"
"Evanston","Evanston","IL"
"Evanstown","Evanstown","IL"
"Evansville","Evansville","IL"
"Evansville","Evansville","IN"
"Evansville","Evansville","WY"
"Everett","Everett","WA"
"Exeter","Exeter","NH"
"Exeter","Exeter","PA"
"FT. Huachuca","FT. Huachuca","AZ"
"Fabens","Fabens","TX"
"Fairbanks","Fairbanks","AK"
"Fairfax","Fairfax","CA"
"Fairfax","Fairfax","VA"
"Fairfield","Fairfield","CA"
"Fairfield","Fairfield","CT"
"Fairfield","Fairfield","IA"
"Fairhaven","Fairhaven","MA"
"Fairhaven","Fairhaven","WA"
"Fairview","Fairview","NC"
"Fairview","Fairview","NJ"
"Fairview Park","Fairview Park","OH"
"Fajardo","Fajardo","PR"
"Fall River","Fall River","MA"
"Falls Church","Falls Church","VA"
"Falls River","Falls River","MA"
"Falls Village","Falls Village","CT"
"Falmouth","Falmouth","MA"
"Fanwood","Fanwood","NJ"
"Fargo","Fargo","NC"
"Fargo","Fargo","ND"
"Farmersbury","Farmersbury","IN"
"Farmingdale","Farmingdale","NY"
"Farmington","Farmington","CT"
"Farmington","Farmington","ME"
"Farmington","Farmington","NM"
"Farmingville","Farmingville","NY"
"Fayatteville","Fayatteville","AR"
"Fayetteville","Fayetteville","AK"
"Fayetteville","Fayetteville","AL"
"Fayetteville","Fayetteville","AR"
"Fayetteville","Fayetteville","NC"
"Fayetteville","Fayetteville","SC"
"Fells Point","Fells Point","MD"
"Fennville","Fennville","MI"
"Fernandina Beach","Fernandina Beach","FL"
"Ferndale","Ferndale","CA"
"Ferndale","Ferndale","MI"
"Fernnville","Fernnville","MI"
"Ferrisburg","Ferrisburg","VT"
"Findlay","Findlay","OH"
"Fire Island","Fire Island","NY"
"Fire Island, L.I.","Fire Island, L.I.","NY"
"Fish Camp","Fish Camp","CA"
"Fishers","Fishers","IN"
"Fishkill","Fishkill","NY"
"Fitchburg","Fitchburg","MA"
"Fitzwilliam","Fitzwilliam","NH"
"Flagstaff","Flagstaff","AZ"
"Fleischmanns","Fleischmanns","NY"
"Flint","Flint","MI"
"Floral Park","Floral Park","NY"
"Floral Park, L.I.","Floral Park, L.I.","NY"
"Florence","Florence","AL"
"Florence","Florence","KY"
"Florence","Florence","MA"
"Florence","Florence","MS"
"Florence","Florence","NJ"
"Florence","Florence","RI"
"Florence","Florence","SC"
"Flushing","Flushing","NY"
"Folly Beach","Folly Beach","SC"
"Folsom","Folsom","CA"
"Folsom","Folsom","LA"
"Folsom- S.F.","Folsom- S.F.","CA"
"Fond Du Lac","Fond Du Lac","WI"
"Fond-Du-Lac","Fond-Du-Lac","WI"
"Fontana","Fontana","CA"
"Ford","Ford","KS"
"Forest","Forest","MS"
"Forest Grove","Forest Grove","OR"
"Forest Hill","Forest Hill","NY"
"Forest Hills","Forest Hills","NY"
"Forest Lake","Forest Lake","MN"
"Forest Park","Forest Park","IL"
"Forestville","Forestville","CA"
"Forked River","Forked River","NJ"
"Forrest Hill","Forrest Hill","NY"
"Fort Atkinson","Fort Atkinson","WI"
"Fort Bragg","Fort Bragg","CA"
"Fort Campbell","Fort Campbell","KY"
"Fort Collins","Fort Collins","CO"
"Fort Collins","Fort Collins","WY"
"Fort Dodge","Fort Dodge","IA"
"Fort Knox","Fort Knox","KY"
"Fort Lauderdale","Fort Lauderdale","FL"
"Fort Lauderdale Beach","Fort Lauderdale Beach","FL"
"Fort Lee","Fort Lee","NJ"
"Fort Mill","Fort Mill","SC"
"Fort Mohave","Fort Mohave","AZ"
"Fort Myers","Fort Myers","FL"
"Fort Myers Beach","Fort Myers Beach","FL"
"Fort Scott","Fort Scott","KS"
"Fort Scott-Pleasanton","Fort Scott-Pleasanton","KS"
"Fort Smith","Fort Smith","AK"
"Fort Smith","Fort Smith","AR"
"Fort Walton Beach","Fort Walton Beach","FL"
"Fort Wayne","Fort Wayne","IN"
"Fort Worth","Fort Worth","TX"
"Forth Worth","Forth Worth","TX"
"Fountain City","Fountain City","IN"
"Fountain Hills","Fountain Hills","AZ"
"Fox Lake","Fox Lake","IL"
"Fox Valley","Fox Valley","WI"
"Franconia","Franconia","NH"
"Frankfort","Frankfort","IL"
"Franklin","Franklin","NC"
"Franklin","Franklin","NH"
"Franklin Park","Franklin Park","IL"
"Frederick","Frederick","MD"
"Fredericksburg","Fredericksburg","TX"
"Fredericksburg","Fredericksburg","VA"
"Fredericksted","Fredericksted","VI"
"Frederiksted","Frederiksted","VI"
"Frederiksted, St Croix","Frederiksted, St Croix","VI"
"Frederiksted, St. Croix","Frederiksted, St. Croix","VI"
"Freedom","Freedom","WY"
"Freehold","Freehold","NJ"
"Freeport","Freeport","IL"
"Freeport","Freeport","MD"
"Freeport","Freeport","ME"
"Fremont","Fremont","CA"
"Fremont","Fremont","OH"
"Fresno","Fresno","CA"
"Frostburg","Frostburg","MD"
"Fruitland","Fruitland","ID"
"Ft Worth","Ft Worth","TX"
"Ft. Belvoir","Ft. Belvoir","VA"
"Ft. Dodge","Ft. Dodge","IA"
"Ft. Huachuca","Ft. Huachuca","AZ"
"Ft. Lauderdale","Ft. Lauderdale","FL"
"Ft. Lauderdale Beach","Ft. Lauderdale Beach","FL"
"Ft. Launderdale","Ft. Launderdale","FL"
"Ft. Lee","Ft. Lee","NJ"
"Ft. McCoy","Ft. McCoy","FL"
"Ft. Myers","Ft. Myers","FL"
"Ft. Pierce","Ft. Pierce","FL"
"Ft. Smith","Ft. Smith","AK"
"Ft. Smith","Ft. Smith","AR"
"Ft. Walton Beach","Ft. Walton Beach","FL"
"Ft. Wayne","Ft. Wayne","IN"
"Ft. Worth","Ft. Worth","TX"
"Full City","Full City","MN"
"Fullerton","Fullerton","CA"
"Gadsden","Gadsden","AL"
"Gadsen","Gadsen","AL"
"Gaffney","Gaffney","SC"
"Gahanna","Gahanna","OH"
"Gainesville","Gainesville","FL"
"Gainesville","Gainesville","GA"
"Gainesville","Gainesville","TX"
"Gainseville","Gainseville","FL"
"Gainsville","Gainsville","FL"
"Gainsville","Gainsville","TX"
"Gaithersburg","Gaithersburg","MD"
"Gaitlinburg","Gaitlinburg","TN"
"Galesburg","Galesburg","IL"
"Galeton","Galeton","PA"
"Galisteo","Galisteo","NM"
"Galloway","Galloway","WV"
"Gallup","Gallup","NM"
"Galveston","Galveston","TX"
"Garberville","Garberville","CA"
"Garden City","Garden City","ID"
"Garden Grove","Garden Grove","CA"
"Gardena","Gardena","CA"
"Gardiner","Gardiner","MT"
"Garrison","Garrison","NY"
"Garwood","Garwood","NJ"
"Gary","Gary","IN"
"Gas City","Gas City","IN"
"Gasden","Gasden","AL"
"Gastonia","Gastonia","NC"
"Gatlinburg","Gatlinburg","TN"
"Gatlingburg","Gatlingburg","TN"
"Gaviota State Beach","Gaviota State Beach","CA"
"Gaylord","Gaylord","MI"
"Genesee Valley","Genesee Valley","NY"
"Geneseo","Geneseo","NY"
"Genessee","Genessee","NY"
"Geneva","Geneva","AL"
"Geneva","Geneva","NY"
"Geneva Lake","Geneva Lake","WI"
"Geneva Lakes","Geneva Lakes","WI"
"Geneva on the Lake","Geneva on the Lake","OH"
"Georgetown","Georgetown","DC"
"Gering","Gering","NE"
"Germantown","Germantown","OR"
"Gettysburg","Gettysburg","PA"
"Geyserville","Geyserville","CA"
"Ghent","Ghent","NY"
"Gibson","Gibson","PA"
"Gillette","Gillette","WY"
"Glacier","Glacier","WA"
"Gladstone","Gladstone","OR"
"Glassboro","Glassboro","NJ"
"Glasser","Glasser","NJ"
"Glastonbury","Glastonbury","CT"
"Glen","Glen","NH"
"Glen Allen","Glen Allen","VA"
"Glen Cove","Glen Cove","NY"
"Glen Ellen","Glen Ellen","CA"
"Glen Falls","Glen Falls","NY"
"Glen Oaks","Glen Oaks","NY"
"Glen Rose","Glen Rose","TX"
"Glenbrook","Glenbrook","CT"
"Glendale","Glendale","AZ"
"Glendale","Glendale","CA"
"Glendora","Glendora","CA"
"Glenford","Glenford","NY"
"Glenford","Glenford","OH"
"Glenhaven","Glenhaven","CA"
"Glenn","Glenn","MI"
"Glenrose","Glenrose","TX"
"Glens Falls","Glens Falls","NY"
"Glenview","Glenview","IL"
"Gloucester","Gloucester","MA"
"Glouchester","Glouchester","MA"
"Golden","Golden","CO"
"Golden Valley","Golden Valley","AZ"
"Goldsboro","Goldsboro","NC"
"Goose Creek","Goose Creek","SC"
"Gordo","Gordo","AL"
"Goshen","Goshen","MA"
"Granbury","Granbury","TX"
"Grand Forks","Grand Forks","NC"
"Grand Forks","Grand Forks","ND"
"Grand Haven","Grand Haven","MI"
"Grand Island","Grand Island","NE"
"Grand Junction","Grand Junction","CO"
"Grand Lake","Grand Lake","CO"
"Grand Marais","Grand Marais","MN"
"Grand Portage","Grand Portage","MN"
"Grand Rapids","Grand Rapids","MI"
"Grand haven","Grand haven","MI"
"Grandisland","Grandisland","NE"
"Grandview","Grandview","OH"
"Grandview Pike","Grandview Pike","WV"
"Granite City","Granite City","IL"
"Grant's Pass","Grant's Pass","OR"
"Grants Pass","Grants Pass","OR"
"Grapevine Lake","Grapevine Lake","TX"
"Grass Valley","Grass Valley","CA"
"Gray","Gray","TN"
"Great Barrington","Great Barrington","MA"
"Great Bend","Great Bend","KS"
"Great Falls","Great Falls","MT"
"Greeley","Greeley","CO"
"Green Bay","Green Bay","WI"
"Green Mountain Falls","Green Mountain Falls","CO"
"GreenField","GreenField","MA"
"Greenbay","Greenbay","WI"
"Greenbelt","Greenbelt","MD"
"Greenburg","Greenburg","PA"
"Greencastle","Greencastle","PA"
"Greeneville","Greeneville","TN"
"Greenfield","Greenfield","MA"
"Greenland","Greenland","NH"
"Greensboro","Greensboro","NC"
"Greensburg","Greensburg","PA"
"Greenville","Greenville","DE"
"Greenville","Greenville","MS"
"Greenville","Greenville","NC"
"Greenville","Greenville","RI"
"Greenville","Greenville","SC"
"Greenville","Greenville","TN"
"Greenwhich","Greenwhich","CT"
"Greenwich","Greenwich","CT"
"Greenwich Village","Greenwich Village","NY"
"Greenwich Village & Chelsea","Greenwich Village & Chelsea","NY"
"Greenwich Village/ Chelsea","Greenwich Village/ Chelsea","NY"
"Greenwood","Greenwood","SC"
"Greenwood Lake","Greenwood Lake","NY"
"Grenta","Grenta","LA"
"Gretna","Gretna","LA"
"Grinnell","Grinnell","IA"
"Groesbeck","Groesbeck","TX"
"Groton","Groton","CT"
"Grover City","Grover City","CA"
"Gualala","Gualala","CA"
"Guerneville","Guerneville","CA"
"Guernewood Park","Guernewood Park","CA"
"Guerneyville","Guerneyville","CA"
"Gulfport","Gulfport","FL"
"Gulfport","Gulfport","MS"
"Gun Barrel City","Gun Barrel City","TX"
"Guttenberg","Guttenberg","NJ"
"Hackensack","Hackensack","NJ"
"Hackettstown","Hackettstown","NJ"
"Hadley","Hadley","MA"
"Haena, Kauai","Haena, Kauai","HI"
"Hagerstown","Hagerstown","MD"
"Haight, Filmore & West- S.F.","Haight, Filmore & West- S.F.","CA"
"Haiku","Haiku","HI"
"Haiku, Maui","Haiku, Maui","HI"
"Hales Corners","Hales Corners","WI"
"Haley","Haley","TN"
"Half Moon Bay","Half Moon Bay","CA"
"Hallandale","Hallandale","FL"
"Hallendale","Hallendale","FL"
"Hallowell","Hallowell","ME"
"Hamakua Coast","Hamakua Coast","HI"
"Hamburg","Hamburg","PA"
"Hamden","Hamden","CT"
"Hamilton","Hamilton","KS"
"Hamilton","Hamilton","OH"
"Hammonasset","Hammonasset","CT"
"Hammond","Hammond","IN"
"Hammond","Hammond","LA"
"Hampton","Hampton","NH"
"Hampton","Hampton","VA"
"Hana","Hana","HI"
"Hana, Maui","Hana, Maui","HI"
"Hanalei","Hanalei","HI"
"Hanalei, Kauai","Hanalei, Kauai","HI"
"Hancock","Hancock","ME"
"Hanover","Hanover","NH"
"Harford","Harford","PA"
"Harker Heights","Harker Heights","TX"
"Harlingen","Harlingen","TX"
"Harmonie Park","Harmonie Park","MI"
"Harned","Harned","KY"
"Harper","Harper","KS"
"Harpers Ferry","Harpers Ferry","WV"
"Harrisburg","Harrisburg","PA"
"Harrisonburg","Harrisonburg","VA"
"Harrodsburg","Harrodsburg","KY"
"Hart's Location","Hart's Location","NH"
"Hartford","Hartford","CT"
"Hartland Four Corners","Hartland Four Corners","VT"
"Harvey","Harvey","LA"
"Harwich","Harwich","MA"
"Haslett","Haslett","MI"
"Hastings","Hastings","MN"
"Hastings","Hastings","NE"
"Hathaway Pines/Murphy's","Hathaway Pines/Murphy's","CA"
"Hato Ray","Hato Ray","PR"
"Hato Rey","Hato Rey","PR"
"Hattiesburg","Hattiesburg","MS"
"Hauppauge","Hauppauge","NY"
"Hauppauge, L.I.","Hauppauge, L.I.","NY"
"Haverhill","Haverhill","MA"
"Havertown","Havertown","PA"
"Havherill","Havherill","MA"
"Havre de Grace","Havre de Grace","MD"
"Hawaii","Hawaii","HI"
"Hawi, Hawaii","Hawi, Hawaii","HI"
"Hawthorne","Hawthorne","CA"
"Hawthrone","Hawthrone","CA"
"Hayden Lake","Hayden Lake","ID"
"Hays","Hays","KS"
"Hayward","Hayward","CA"
"Hayward","Hayward","WI"
"Hazard","Hazard","KY"
"Hazel Green","Hazel Green","WI"
"Hazel Park","Hazel Park","MI"
"Hazelhurst","Hazelhurst","WI"
"Hazelton","Hazelton","PA"
"Hazlet","Hazlet","NJ"
"Hazleton","Hazleton","PA"
"Healdsburg","Healdsburg","CA"
"Heath","Heath","OH"
"Heflin","Heflin","AL"
"Hegins","Hegins","PA"
"Helena","Helena","AK"
"Helena","Helena","AR"
"Helena","Helena","MT"
"Hemet","Hemet","CA"
"Hempstead","Hempstead","NY"
"Henderson","Henderson","KY"
"Henderson","Henderson","NV"
"Hendersonville","Hendersonville","NC"
"Henrietta","Henrietta","TX"
"Hermiston","Hermiston","OR"
"Hermon","Hermon","NY"
"Hermosa Beach","Hermosa Beach","CA"
"Hernando","Hernando","MS"
"Herndon","Herndon","CA"
"Hertford","Hertford","NC"
"Hewitt","Hewitt","TX"
"Hialeah","Hialeah","FL"
"Hiawassee","Hiawassee","GA"
"Hickory","Hickory","NC"
"Hicksville","Hicksville","NY"
"Higgins Lake","Higgins Lake","MI"
"High Falls","High Falls","NY"
"High Point","High Point","NC"
"Highland","Highland","CA"
"Highland","Highland","NY"
"Highland Park","Highland Park","CA"
"Highland Park","Highland Park","MI"
"Highland Park","Highland Park","NJ"
"Highland Park","Highland Park","NY"
"Highlands","Highlands","NJ"
"Highlands Park","Highlands Park","NJ"
"Hilaleah","Hilaleah","FL"
"Hill City","Hill City","MN"
"Hill City","Hill City","SD"
"Hillcrest","Hillcrest","CA"
"Hillsboro","Hillsboro","OH"
"Hillsboro","Hillsboro","TX"
"Hillsborough","Hillsborough","CA"
"Hillsborough","Hillsborough","NH"
"Hilo","Hilo","HI"
"Hilo, Hawaii","Hilo, Hawaii","HI"
"Hilton Head","Hilton Head","GA"
"Hilton Head","Hilton Head","RI"
"Hilton Head","Hilton Head","SC"
"Hinckley","Hinckley","MN"
"Hindale","Hindale","IL"
"Hinesburg","Hinesburg","VT"
"Hinsdale","Hinsdale","IL"
"Hobbs","Hobbs","NM"
"Hoboken","Hoboken","NJ"
"Hodges","Hodges","SC"
"Hoffman Estates","Hoffman Estates","IL"
"Holbrook","Holbrook","NY"
"Holden","Holden","NC"
"Holiday","Holiday","FL"
"Holland","Holland","MI"
"Hollis","Hollis","NY"
"Holly Hill","Holly Hill","FL"
"Holly Springs","Holly Springs","MS"
"Hollywood","Hollywood","CA"
"Hollywood","Hollywood","FL"
"Hollywood & North Hollywood","Hollywood & North Hollywood","CA"
"Hollywood Station","Hollywood Station","CA"
"Hollywood West","Hollywood West","CA"
"Holyoke","Holyoke","MA"
"Home Valley","Home Valley","WA"
"Homer","Homer","AK"
"Homestead","Homestead","FL"
"Homestead","Homestead","PA"
"Honaunau-Kona","Honaunau-Kona","HI"
"Honokaa","Honokaa","HI"
"Honokaa, Hawaii","Honokaa, Hawaii","HI"
"Honolulu","Honolulu","HI"
"Honolulu, Oahu","Honolulu, Oahu","HI"
"Honomu","Honomu","HI"
"Honor","Honor","MI"
"Hopatcong","Hopatcong","NJ"
"Hopland/Talmadge","Hopland/Talmadge","CA"
"Hoquiam","Hoquiam","WA"
"Hormigueros","Hormigueros","PR"
"Hostetter","Hostetter","PA"
"Hot Springs","Hot Springs","AK"
"Hot Springs","Hot Springs","AR"
"Hot Springs","Hot Springs","NC"
"Hot Springs","Hot Springs","SD"
"Hotchkiss","Hotchkiss","CO"
"Houghton","Houghton","MI"
"Houghton Lake","Houghton Lake","MI"
"Houma","Houma","LA"
"Houston","Houston","TX"
"Howell","Howell","MI"
"Howell","Howell","NJ"
"Huachuca","Huachuca","AZ"
"Hudson","Hudson","NY"
"Hudson Valley","Hudson Valley","NY"
"Huelo","Huelo","HI"
"Huelo, Maui","Huelo, Maui","HI"
"Hugo","Hugo","OK"
"Humble","Humble","TX"
"Humboldt","Humboldt","KS"
"Hummelstown","Hummelstown","PA"
"Huntington","Huntington","NY"
"Huntington","Huntington","WV"
"Huntington (WV)","Huntington (WV)","WV"
"Huntington Beach","Huntington Beach","CA"
"Huntington Park","Huntington Park","CA"
"Huntington Sation","Huntington Sation","NY"
"Huntington Station","Huntington Station","NY"
"Huntington, L.I.","Huntington, L.I.","NY"
"Huntsville","Huntsville","AL"
"Huntsville","Huntsville","AR"
"Huntsville","Huntsville","MO"
"Hurley","Hurley","WI"
"Hutchinson","Hutchinson","KS"
"Hyannis","Hyannis","MA"
"Hyattsville","Hyattsville","MD"
"Hyde Park","Hyde Park","IL"
"Hyde Park","Hyde Park","VT"
"Idaho Falls","Idaho Falls","CO"
"Idaho Falls","Idaho Falls","ID"
"Idaho Springs","Idaho Springs","CO"
"Idyllwild","Idyllwild","CA"
"Idylwild","Idylwild","CA"
"Imperial","Imperial","MO"
"Imperial","Imperial","NE"
"Imperial Beach","Imperial Beach","CA"
"Ina","Ina","IL"
"Independence","Independence","KS"
"Independence","Independence","MO"
"Index","Index","WA"
"Indiana","Indiana","PA"
"Indianapolis","Indianapolis","IN"
"Indio","Indio","CA"
"Inglewood","Inglewood","CA"
"Inkster","Inkster","MI"
"Inman","Inman","NC"
"Inman","Inman","SC"
"Interlochen","Interlochen","MI"
"Intervale","Intervale","NH"
"Inverness","Inverness","FL"
"Iowa City","Iowa City","IA"
"Ipswich","Ipswich","MA"
"Ironbound","Ironbound","NJ"
"Ironwood","Ironwood","MI"
"Irvine","Irvine","CA"
"Irving","Irving","TX"
"Irvington","Irvington","NJ"
"Isabela","Isabela","PR"
"Isla Verde","Isla Verde","PR"
"Isla Vista","Isla Vista","CA"
"Island Park","Island Park","NY"
"Islip","Islip","NY"
"Issaquah","Issaquah","WA"
"Ithaca","Ithaca","NY"
"Jackson","Jackson","AL"
"Jackson","Jackson","MI"
"Jackson","Jackson","MS"
"Jackson","Jackson","NH"
"Jackson","Jackson","TN"
"Jackson","Jackson","WI"
"Jackson","Jackson","WY"
"Jackson Heights","Jackson Heights","NY"
"Jackson Hole","Jackson Hole","WY"
"Jacksonville","Jacksonville","AL"
"Jacksonville","Jacksonville","FL"
"Jacksonville","Jacksonville","IL"
"Jacksonville","Jacksonville","NC"
"Jacksonville Beach","Jacksonville Beach","FL"
"Jamaica","Jamaica","NY"
"Jamaica Plain","Jamaica Plain","MA"
"Jamestown","Jamestown","KY"
"Jamestown","Jamestown","NY"
"Jamestown","Jamestown","TN"
"Janesville","Janesville","WI"
"Jasper","Jasper","FL"
"Jefferson","Jefferson","IA"
"Jefferson","Jefferson","IN"
"Jefferson City","Jefferson City","MO"
"Jefferson Township","Jefferson Township","NJ"
"Jeffersonville","Jeffersonville","IN"
"Jerome","Jerome","AZ"
"Jersey City","Jersey City","NJ"
"Jessup","Jessup","MD"
"Joelton","Joelton","TN"
"Johns Island","Johns Island","SC"
"Johnson City","Johnson City","NY"
"Johnson City","Johnson City","TN"
"Johnston","Johnston","RI"
"Johnstown","Johnstown","PA"
"Joilet","Joilet","IL"
